cohort,system_label,scalar_variant,variant_id,route_applied,R80_kpc,compact_weight_30,compact_weight_100,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
P0581_four,MACS1931,constant,constant_scalar,False,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.0,4,4,True,26.968002821151355
P0581_four,MACS1931,constant,constant_plus_route,True,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.021223614390630443,4,4,True,27.029301312815335
P0581_four,MACS1931,OR_direct,OR_direct_scalar,False,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.0,4,4,True,27.120135671327574
P0581_four,MACS1931,OR_direct,OR_direct_plus_route,True,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.02107714250992149,4,4,True,27.18143521970822
P0581_four,MACS1931,OR_compact30,OR_compact30_scalar,False,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.0,4,4,True,26.96854972339366
P0581_four,MACS1931,OR_compact30,OR_compact30_plus_route,True,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.02122307871017524,4,4,True,27.029849240875954
P0581_four,MACS1931,OR_compact100,OR_compact100_scalar,False,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.0,4,4,True,26.97386667306593
P0581_four,MACS1931,OR_compact100,OR_compact100_plus_route,True,496.88247432525844,0.0036320756842444955,0.038926834918059504,0.02121787463372825,4,4,True,27.03517611455492
RXJ2129,RXJ2129,constant,constant_scalar,False,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.0,7,6,False,inf
RXJ2129,RXJ2129,constant,constant_plus_route,True,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.007735875507890846,7,6,False,inf
RXJ2129,RXJ2129,OR_direct,OR_direct_scalar,False,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.0,7,7,True,2.7924258763065724
RXJ2129,RXJ2129,OR_direct,OR_direct_plus_route,True,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.007507532154014364,7,7,True,2.69991431116832
RXJ2129,RXJ2129,OR_compact30,OR_compact30_scalar,False,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.0,7,6,False,inf
RXJ2129,RXJ2129,OR_compact30,OR_compact30_plus_route,True,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.007735047003675833,7,6,False,inf
RXJ2129,RXJ2129,OR_compact100,OR_compact100_scalar,False,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.0,7,6,False,inf
RXJ2129,RXJ2129,OR_compact100,OR_compact100_plus_route,True,504.64375503118424,0.0035216045815178168,0.037783567636269985,0.007726995674713121,7,6,False,inf
