system_label,variant,parameter,level,training_RMS_arcsec,training_all_roots,heldout_RMS_arcsec,heldout_images,heldout_converged_roots,heldout_all_roots
MACS1931,return_length_over_R80__0p36,return_length_over_R80,0.36,4.897990247218952,True,10.920836065429105,4,4,True
MACS1931,return_length_over_R80__0p42,return_length_over_R80,0.42,inf,False,inf,4,2,False
MACS1931,width_over_R80__0p18,width_over_R80,0.18,5.27730890005599,True,14.360776788194267,4,4,True
MACS1931,width_over_R80__0p23,width_over_R80,0.23,4.897990247218952,True,10.920836065429105,4,4,True
MACS1931,width_over_R80__0p28,width_over_R80,0.28,inf,False,inf,4,1,False
MACS1931,gate_mode__none,gate_mode,none,inf,False,inf,4,2,False
MACS1931,gate_mode__cluster_logistic_soft,gate_mode,cluster_logistic_soft,inf,False,10.612893273015082,4,4,True
MACS1931,gate_mode__cluster_logistic,gate_mode,cluster_logistic,4.897990247218952,True,10.920836065429105,4,4,True
MACS1931,contrast_cap__5p0,contrast_cap,5.0,inf,False,10.874196844981755,4,4,True
MACS1931,contrast_cap__10p0,contrast_cap,10.0,inf,False,10.827214712993776,4,4,True
MACS1931,contrast_cap__20p0,contrast_cap,20.0,4.897990247218952,True,10.920836065429105,4,4,True
