galaxy,split,hubble_type,inclination_deg,quality,distance_mpc,light_rmse_dex,rotation_rmse_km_s,angular_photometry_rmse_dex,pixelized_light_rmse_dex,pixelized_rotation_rmse_km_s,rendered_luminosity_lsun,input_luminosity_lsun,total_light_fractional_error,bulge_fraction,apparent_axis_ratio,light_knots,rotation_knots,angular_photometry_knots
IC4202,holdout,4,90.0,1,100.4,0.0,0.0,3.080562385557057e-05,0.042024019390848,1.2750043225301402,1114774887931.8252,1109023057316.5728,0.005186394076575507,0.03706530493698188,0.12,55,32,54
KK98-251,train,10,59.0,2,6.8,0.0,0.0,3.00587241818667e-05,0.11359336211144751,0.03154475802307763,385637286.79896086,382964899.97093683,0.006978150812846806,0.0,0.5252089240094012,18,14,17
NGC0024,train,5,64.0,1,7.3,0.0,0.0,3.087375016576331e-05,0.024096597310697576,0.685752562880862,15094788989.216263,15041694819.290174,0.00352979970435241,0.0,0.45144437637378504,66,28,64
NGC0055,development,9,77.0,2,2.11,0.0,0.0,3.0564515057320417e-05,0.044804549237495696,0.08195530320136098,72220173724.82945,71795972420.52559,0.005908427590049392,0.0,0.25352375427910195,30,20,28
NGC0100,train,6,89.0,1,13.5,0.0,0.0,3.0511666497309586e-05,0.03937707579242857,0.14235698677889402,21333789814.908024,21202364081.15352,0.0061986358337902114,0.0,0.12124438314820868,60,21,60
NGC0247,train,7,74.0,2,3.7,0.0,0.0,3.0441541437123718e-05,0.06117130529720192,0.2027356574078293,46340514108.62145,43545224129.20524,0.06419280266240368,0.0,0.2988007667562339,26,26,26
NGC0289,development,4,46.0,2,20.8,0.0,0.0,3.1022793004461985e-05,0.07097467835061635,1.5436324958307504,119501945381.7203,115045428365.49324,0.03873701962383902,0.0,0.7000010914455831,80,27,65
NGC0300,train,7,42.0,2,2.08,0.0,0.0,3.219644982466263e-05,0.058353279515621775,0.16806317843309285,8445259858.227234,8429693999.289986,0.0018465508876785997,0.0,0.7474701510416986,100,24,50
NGC0801,holdout,5,80.0,1,80.7,0.0,0.0,3.07419003605261e-05,0.09580112137993903,2.652862078536301,998443760473.9608,978902407639.4255,0.019962513813464033,0.0,0.21004636744467725,58,12,57
NGC0891,holdout,3,90.0,1,9.91,0.0,0.0,3.100038655028063e-05,0.017967237547492732,0.2960350599461633,319842897028.4958,319256787451.682,0.0018358562757339048,0.06504411172031081,0.12,49,17,47
NGC1003,train,6,67.0,1,11.4,0.0,0.0,3.063360584115624e-05,0.0192015990351096,0.1598684782569935,23380746475.002953,23205567610.484703,0.0075490014921721915,0.0,0.40604476974566006,83,35,60
NGC1090,holdout,4,64.0,1,37.0,0.0,0.0,3.0507830909617272e-05,0.02085132689922204,0.8004397727329953,157680828983.18616,157180755906.48148,0.0031815159166317386,0.0,0.45144437637378504,60,23,55
NGC2403,development,6,63.0,1,3.16,0.0,0.0,3.07418569000216e-05,0.030166080128511793,0.4794443598998357,17415190807.607018,17362945447.73984,0.003009014802495713,0.0,0.4664112216384478,85,72,50
NGC2683,development,3,80.0,2,9.81,0.0,0.0,3.088689266415218e-05,0.059868159255589797,0.501432328099424,303531157635.3625,301377116103.18585,0.007147329432401595,0.019659475267208917,0.21004636744467725,82,10,65
NGC2841,train,3,76.0,1,14.1,0.0,0.0,3.1491349861789944e-05,0.09544579886328523,0.9511941603869334,424367552082.2069,409430334360.8852,0.03648292876158887,0.12375261081509337,0.2684835679126765,86,49,67
NGC2903,train,4,66.0,1,6.6,0.0,0.0,3.2438463047261935e-05,0.07536534814024817,1.5880571730929105,109744269701.68811,106603465909.54993,0.029462492287099407,0.0,0.42125103820210896,79,33,68
NGC2915,train,11,56.0,2,4.06,0.0,0.0,3.193055781224646e-05,0.06543806026605496,0.18529503534225342,1051835670.6895641,1046447959.5471717,0.0051485705459484166,0.0,0.5679734771665298,84,29,58
NGC2955,train,3,56.0,1,97.9,0.0,0.0,3.107917877945883e-05,0.04070588788833682,3.4812478108722256,587552803212.7783,585944879022.5934,0.0027441560592986747,0.1333266114091482,0.5679734771665298,60,24,59
NGC2976,train,5,61.0,2,3.58,0.0,0.0,2.9956134087249553e-05,0.04539413637614634,0.23795654477430345,9999383086.754902,9964997215.30398,0.0034506654350201504,0.0,0.4960401058239915,65,27,65
NGC2998,development,5,58.0,1,68.1,0.0,0.0,3.088357855176641e-05,0.03862345939745949,2.758676693991995,282710814116.8254,281839391134.4416,0.0030919133726345915,0.0,0.5396023525359601,57,13,57
NGC3109,train,9,70.0,1,1.33,0.0,0.0,3.136219956241812e-05,0.5168649929988723,0.09146105654019093,1932972775.6783724,1917995009.1236305,0.007809074832569873,0.0,0.36012955784129647,32,22,30
NGC3198,development,5,73.0,1,13.8,0.0,0.0,3.063962397515315e-05,0.10398827947583215,0.8791243949824223,100347706636.00693,93861200075.21336,0.06910743263026431,0.0,0.31408642798579417,77,42,66
NGC3521,train,4,75.0,1,7.7,0.0,0.0,3.158652943180304e-05,0.036363186705472936,0.8549241452037036,155130572343.3388,148187628959.0576,0.04685238189619367,0.0,0.2835889296411773,70,40,68
NGC3726,train,5,53.0,2,18.0,0.0,0.0,3.0947787099749364e-05,0.024371888409175493,0.30244675204240584,131406737730.0664,130764524677.64565,0.004911217732820994,0.0,0.6093979906870246,69,11,63
NGC3741,train,10,70.0,1,3.21,0.0,0.0,3.7032211320354885e-05,0.017249936105266334,0.09515968810082115,38113948.894875295,37084865.87241802,0.027749406617718186,0.0,0.36012955784129647,74,13,50
NGC3769,train,3,70.0,2,18.0,0.0,0.0,3.091401821683887e-05,0.054983908027454786,0.29299634503835115,54381798527.52084,54141516635.878815,0.004438034000008084,0.0,0.36012955784129647,73,11,61
NGC3877,train,5,76.0,2,18.0,0.0,0.0,3.152017393716453e-05,0.04355742598603345,0.3275698640376084,275991031306.3259,273218530179.52988,0.01014755889717378,0.0,0.2684835679126765,63,13,63
NGC3893,train,5,49.0,1,18.0,0.0,0.0,3.101196566286914e-05,0.039479909766110974,0.2343474848714563,90501150738.74284,90241378431.24794,0.002878638513847731,0.0,0.6622805265496485,62,9,59
NGC3917,development,6,79.0,1,18.0,0.0,0.0,3.104686478903444e-05,0.0387924319901565,0.22097682570873187,90286964941.47595,89938395952.69548,0.0038756415998768556,0.0,0.22424048802454744,63,17,63
NGC3953,holdout,4,62.0,1,18.0,0.0,0.0,3.116783119842405e-05,0.041890767467946836,0.20808383972134453,267622723416.20285,266622107603.79807,0.0037529363990014275,0.0,0.4812792714938137,63,8,63
NGC3972,development,4,77.0,1,18.0,0.0,0.0,3.0821667891880604e-05,0.04076266329132603,0.29400427636382365,49556882664.20241,49393965945.87167,0.0032983121563727735,0.0,0.25352375427910195,59,10,59
NGC3992,train,4,56.0,1,23.7,0.0,0.0,3.072417595148873e-05,0.06166651595666411,0.21103921558216218,413113939967.4675,409191384573.15894,0.009586114327407858,0.0,0.5679734771665298,68,8,67
NGC4010,development,7,89.0,2,18.0,0.0,0.0,3.0360005933195284e-05,0.03965203436974455,0.1610884925629033,128368004925.3296,127848608390.97675,0.004062590441066716,0.0,0.12124438314820868,61,12,61
NGC4013,train,3,89.0,2,18.0,0.0,0.0,3.164494700167818e-05,0.023974173809389973,0.31239631229046505,640782796783.4432,636745150509.1401,0.006341071103681983,0.026664856977687498,0.12124438314820868,60,15,59
NGC4088,train,4,69.0,1,18.0,0.0,0.0,3.120122886367158e-05,0.020201776277287854,0.4320908896417205,283126381545.0631,281620673156.0902,0.0053465833033441434,0.0,0.3754706779560026,63,11,61
NGC4100,train,4,73.0,1,18.0,0.0,0.0,3.0788803192530705e-05,0.18335097336974457,0.37244184963233007,185887240629.9829,185331704215.5732,0.002997524987756517,0.0,0.31408642798579417,64,22,61
NGC4157,train,3,82.0,1,18.0,0.0,0.0,3.124415379717188e-05,0.047435660367609364,0.09368795454124418,702650414584.8264,702615785683.0566,4.928568710726999e-05,0.003152392006083584,0.18300337767810865,68,16,64
NGC4183,holdout,6,82.0,1,18.0,0.0,0.0,3.071766010762988e-05,0.025134184471157027,0.13552664231521575,58704957450.67816,58402399916.43731,0.005180566803312026,0.0,0.18300337767810865,63,22,62
NGC4217,train,3,86.0,1,18.0,0.0,0.0,3.103579704471967e-05,0.038598883836456516,0.7646087046180371,623153957631.3276,619994425305.285,0.005096065701698516,0.1212028530703323,0.13854925378418367,64,19,63
NGC4559,train,6,67.0,1,9.0,0.0,0.0,3.1084839679103086e-05,0.032288653154552246,0.23625061102694583,44965010558.2018,44777040172.31782,0.004197918959373048,0.0,0.40604476974566006,55,31,51
NGC5005,train,4,68.0,1,16.9,0.0,0.0,3.063915637101207e-05,0.03866900725147188,1.6283328187617316,457922414813.27844,455667242719.2267,0.004949164395917194,0.05011673746106927,0.39078043245934496,72,18,71
NGC5033,development,5,66.0,1,15.7,0.0,0.0,3.183800129551458e-05,0.08274875193442055,0.1070969282949893,242798461794.40997,237558186015.14517,0.02205891477438171,0.11649564070083612,0.42125103820210896,75,21,67
NGC5055,development,4,55.0,1,9.9,0.0,0.0,3.23811742440902e-05,0.19359617115833394,1.237550055231877,292116508492.8619,260925609316.24765,0.11953943217129814,0.0,0.5819385477600796,77,27,69
NGC5371,holdout,4,53.0,1,39.7,0.0,0.0,3.1384085881094096e-05,0.027072221486400774,0.14325434738810522,465492308850.1949,463789948179.6641,0.0036705424022498434,0.0,0.6093979906870246,60,15,60
NGC5585,train,7,51.0,1,7.06,0.0,0.0,3.0778409234080646e-05,0.03907536618746241,0.31799936895997527,4277019117.956231,4263697325.0454464,0.0031244696551349094,0.0,0.6361926742465747,61,17,61
NGC5907,train,5,88.0,1,17.3,0.0,0.0,3.0411350211112664e-05,0.016532178635431827,0.22697430832591428,1637074125888.6345,1594670470000.4333,0.02659085791448157,0.0,0.12490170548058428,74,18,68
NGC5985,train,3,60.0,1,39.7,0.0,0.0,3.101346743576537e-05,0.042099699830528504,0.42379515618117664,460339234669.29047,459075508706.16046,0.002752762757245897,0.024330270156770206,0.5106858133921482,61,32,60
NGC6015,train,6,60.0,2,17.0,0.0,0.0,3.073064506370781e-05,0.021939690747918447,0.8924585718208109,63608791097.48941,63305360041.89594,0.00479313371557577,0.0,0.5106858133921482,70,42,60
NGC6195,train,3,62.0,1,127.8,0.0,0.0,3.098079938449388e-05,0.04508467438903547,2.1650714030704377,639194216850.7395,637148954055.734,0.0032100229969562744,0.18055615608795275,0.4812792714938137,58,23,57
NGC6503,train,6,74.0,1,6.26,0.0,0.0,3.2992252167821846e-05,0.10371921775054485,0.23216783202562183,45025430058.11718,43856763640.03817,0.02664734743473174,0.0,0.2988007667562339,81,30,66
NGC6674,holdout,3,54.0,1,51.2,0.0,0.0,3.084411289225887e-05,0.07955440449448209,0.5524109348418776,362933936496.41583,361357814838.8724,0.004361664789915398,0.052385935592666265,0.5957486258247062,59,14,38
NGC6946,development,6,38.0,1,5.52,0.0,0.0,3.466120847358327e-05,0.08900178643561632,0.39849427563914436,91105767523.1343,89780128237.72177,0.014765397548803572,0.050258356634479875,0.7914664302113616,80,55,67
NGC7331,holdout,3,75.0,1,14.7,0.0,0.0,3.013202613576477e-05,0.028244033305394517,0.42187576515426595,616671185943.8972,610264710316.445,0.010497863499480786,0.020905138441948183,0.2835889296411773,73,34,66
NGC7793,train,7,47.0,1,3.61,0.0,0.0,3.842015320679022e-05,0.06123320892312754,0.7149075686598643,10071085796.095968,10011763045.679869,0.005925305078179788,0.0,0.6876219962587693,70,45,67
NGC7814,train,2,90.0,1,14.4,0.0,0.0,3.1689408751201446e-05,0.0921100423595921,0.09393118891108038,163434434781.76276,158263810790.3192,0.0326709180426219,0.3514587254209044,0.12,66,17,59
UGC00128,development,8,57.0,1,64.5,0.0,0.0,3.058775776742843e-05,0.030196708699650705,0.4157755937006542,22208940978.849518,22148651178.363728,0.002722052914205797,0.0,0.5538593524463098,63,20,51
UGC00191,holdout,9,45.0,1,17.1,0.0,0.0,3.066248016099696e-05,0.04628556413213067,0.3536274879225128,3246922627.1016703,3237997399.9919963,0.002756403420736575,0.0,0.7121797525905943,57,8,51
UGC00731,development,10,57.0,1,12.5,0.0,0.0,3.067011609096044e-05,0.01704635264938866,0.08225715705409406,2626029923.418536,2619097016.0453525,0.002647060162609849,0.0,0.5538593524463098,35,11,33
UGC01281,train,8,90.0,1,5.27,0.0,0.0,3.095167927710848e-05,0.03932810312279434,0.06103738534168741,2437556477.5070763,2427223506.6475325,0.004257115519540999,0.0,0.12,62,25,62
UGC02259,train,8,41.0,2,10.5,0.0,0.0,3.080497991485242e-05,0.035488794320974744,0.0732499589731221,2740154229.1859217,2733541172.7968917,0.0024192269188554327,0.0,0.7588046548045948,60,7,53
UGC02487,train,0,36.0,1,69.1,0.0,0.0,3.097484236353952e-05,0.01421508900924762,0.27593781792557726,561561508294.9136,559870975274.288,0.003019504663190231,0.2086744134764907,0.8120859405432249,49,16,43
UGC02885,development,5,64.0,1,80.6,0.0,0.0,3.048107878068108e-05,0.08559590379388961,1.3177814671676182,551401865026.7185,550151482783.6129,0.0022727962792701284,0.09732619778326308,0.45144437637378504,62,18,57
UGC02916,train,2,50.0,2,65.4,0.0,0.0,3.07052375605435e-05,0.0831211744576527,0.31513502265731835,199856917279.35123,199631998014.10092,0.001126669409151626,0.3946784314439255,0.6493274813572399,87,42,38
UGC02953,development,2,50.0,2,16.5,0.0,0.0,3.053785856252274e-05,0.029293878934528467,26.978829138844233,365414972537.54095,362389202090.73755,0.008349504977926525,0.09149413587861015,0.6493274813572399,94,114,61
UGC03205,train,2,67.0,1,50.0,0.0,0.0,3.099029229377961e-05,0.1427207502618854,2.318208786310159,237497320453.6881,236784642737.62357,0.003009813929758298,0.08059040147903566,0.40604476974566006,62,47,53
UGC03546,train,1,55.0,1,28.7,0.0,0.0,3.121906581942793e-05,0.04007364973724731,0.9661590689563169,147263773377.9985,146873844207.35898,0.002654857798159105,0.20481041217302595,0.5819385477600796,59,26,58
UGC03580,holdout,1,63.0,2,20.7,0.0,0.0,3.0007598559241687e-05,0.028945827423733632,3.723956760757051,20155722898.64154,20092500996.273544,0.0031465422039655966,0.17721062149937636,0.4664112216384478,70,46,56
UGC04278,train,7,90.0,1,9.51,0.0,0.0,3.0693886909839244e-05,0.03504403266383863,0.1212670845025553,10125841105.780321,10107637293.80143,0.0018009957668401189,0.0,0.12,58,25,58
UGC04325,holdout,9,41.0,1,9.6,0.0,0.0,3.055935767622624e-05,0.038168293752811465,0.17184112909853558,3311309809.650245,3301925925.0164347,0.002841942807594533,0.0,0.7588046548045948,56,8,56
UGC04483,development,10,58.0,2,3.34,0.0,0.0,3.200022845944633e-05,0.008164498496064966,0.028647067877223903,16718343.52772903,16681155.918383023,0.002229318491353771,0.0,0.5396023525359601,57,7,41
UGC04499,train,8,50.0,1,12.5,0.0,0.0,3.0468841711023567e-05,0.014840355158055783,0.10070167796398395,2553913657.323539,2546891630.4649644,0.0027570968370147497,0.0,0.6493274813572399,57,8,56
UGC05005,train,10,41.0,1,53.7,0.0,0.0,3.0601314499506455e-05,0.0391991265036016,0.17145768549040205,4273172572.6188436,4262584895.014961,0.0024838631639372277,0.0,0.7588046548045948,44,10,28
UGC05253,train,2,37.0,2,22.9,0.0,0.0,3.12214243022721e-05,0.037786174020364605,23.20442225101776,208445702586.87646,206003571430.3683,0.01185480008696671,0.3497991553501295,0.8018940634189887,69,72,67
UGC05716,holdout,9,54.0,2,21.3,0.0,0.0,3.0507647162050922e-05,0.0167085167068024,0.043498996040394984,739644848.4013853,732111018.6795259,0.010290556390542882,0.0,0.5957486258247062,25,11,18
UGC05721,train,7,61.0,1,6.18,0.0,0.0,3.062098196014436e-05,0.03057923294427611,0.41054968607827586,900654167.3478202,898495270.8089005,0.0024027912099926496,0.0,0.4960401058239915,68,22,53
UGC05750,train,8,64.0,1,58.7,0.0,0.0,3.123183379498231e-05,0.0071936690906928905,0.16375583540580468,11622212881.818148,11500399070.048986,0.010592137805583324,0.0,0.45144437637378504,20,10,19
UGC05764,train,10,60.0,2,7.47,0.0,0.0,3.067538741139491e-05,0.041401430271340675,0.08485535507987368,307521996.8974025,306691766.1107189,0.002707052742928484,0.0,0.5106858133921482,53,10,53
UGC05829,train,10,34.0,2,8.64,0.0,0.0,3.066129370871775e-05,0.043430677103061754,0.0470060165743596,1452832027.6588597,1449183315.2332847,0.0025177714835804554,0.0,0.8317488378322879,58,11,58
UGC05918,train,10,46.0,2,7.66,0.0,0.0,3.053562845464773e-05,0.29595167852679477,0.04553675374800104,301971673.99773526,300388871.839408,0.005269177079147758,0.0,0.7000010914455831,22,7,22
UGC05986,train,9,90.0,2,8.63,0.0,0.0,3.093250110229897e-05,0.044975576252507025,0.09032773267997367,26431497387.521893,26283269342.945393,0.005639634957219863,0.0,0.12,58,10,58
UGC06399,train,9,75.0,1,18.0,0.0,0.0,3.033705649821807e-05,0.005512947174320211,0.08567817331145061,7173468621.469151,7156346180.939675,0.00239262328799561,0.0,0.2835889296411773,52,8,52
UGC06446,train,7,51.0,1,12.0,0.0,0.0,3.032508970600773e-05,0.07547700032733369,0.238256008223906,1332275694.4327013,1328614242.984983,0.0027558423876987703,0.0,0.6361926742465747,62,16,53
UGC06614,train,1,36.0,1,88.7,0.0,0.0,3.139252001619682e-05,0.03847053153199473,0.11170683334939707,130159491406.8978,130259715540.51025,-0.0007694177220991527,0.56288828629945,0.8120859405432249,52,9,51
UGC06667,train,6,89.0,1,18.0,0.0,0.0,3.0266591116612342e-05,0.06498426515818617,0.07371492802949742,68497141426.87341,67954051806.243126,0.007992012340614973,0.0,0.12124438314820868,23,9,23
UGC06786,holdout,0,64.0,1,29.3,0.0,0.0,3.0599180892321965e-05,0.029747376242341694,9.567044152824286,133360301774.63031,133072576066.71613,0.0021621713234885043,0.15581860325133937,0.45144437637378504,65,44,59
UGC06787,train,2,66.0,2,21.3,0.0,0.0,3.1180438905285274e-05,0.03098060976931337,6.526663677709701,170522107669.89655,169740151664.33615,0.004606782767030415,0.30980299853360194,0.42125103820210896,68,70,65
UGC06818,holdout,9,75.0,2,18.0,0.0,0.0,3.0831817783663165e-05,0.041361317245267704,0.11186247324010655,3378699844.550216,3369011836.5568466,0.0028756230204494138,0.0,0.2835889296411773,52,8,52
UGC06917,train,9,56.0,1,18.0,0.0,0.0,3.0709406726283004e-05,0.038789791881532545,0.10901923866412103,12483880392.996307,12426126520.380234,0.004647777609647852,0.0,0.5679734771665298,55,11,55
UGC06930,holdout,7,32.0,1,18.0,0.0,0.0,3.0608074535647805e-05,0.018679491097719637,0.21230407807746585,16877190818.912125,16829271925.505976,0.002847353921088258,0.0,0.8504288924640657,59,8,59
UGC06983,train,6,49.0,1,18.0,0.0,0.0,3.087097537388859e-05,0.038033685924843096,0.2822022955367463,9712634816.209095,9689227667.702332,0.002415790949446661,0.0,0.6622805265496485,58,13,58
UGC07089,development,8,80.0,2,18.0,0.0,0.0,3.049222407354918e-05,0.040776848037706856,0.13481470182698332,15673372546.447844,15628873857.453243,0.002847210195722427,0.0,0.21004636744467725,56,12,56
UGC07125,train,9,90.0,1,19.8,0.0,0.0,3.0483509574523232e-05,0.18889141037299903,0.11330303783369859,8592486354.930285,8520044319.152423,0.008502542130563562,0.0,0.12,58,9,58
UGC07151,train,6,90.0,1,6.87,0.0,0.0,3.093087268704304e-05,0.03790276258317094,0.19472218131694236,9201565864.16326,9149431119.174196,0.005698140606775759,0.0,0.12,63,11,63
UGC07323,train,8,47.0,1,8.0,0.0,0.0,3.0039888369830943e-05,0.039510220203161056,0.05858402529060929,7185139877.663681,7165211335.649328,0.0027812915880376377,0.0,0.6876219962587693,60,10,60
UGC07399,holdout,8,55.0,1,8.43,0.0,0.0,3.102439299989222e-05,0.040856830584442345,0.1538898341487535,2909476997.3607473,2901907130.481606,0.002608583437983869,0.0,0.5819385477600796,59,10,59
UGC07524,train,9,46.0,1,4.74,0.0,0.0,4.880454461407323e-05,0.21011345539735557,0.0978873531895203,6516941388.38949,6395004156.98325,0.019067576566480726,0.0,0.7000010914455831,69,27,68
UGC07577,train,10,63.0,2,2.59,0.0,0.0,3.491703847595764e-05,0.075675322557381,0.009918578577527669,123663863.88379717,123350468.45244244,0.00254069105116983,0.0,0.4664112216384478,48,8,48
UGC07603,train,7,78.0,1,4.7,0.0,0.0,3.060002160753665e-05,0.024711910671749108,0.07428349199883703,938484877.2233579,936727907.5179396,0.001875645735882614,0.0,0.238756776812149,65,11,51
UGC08286,train,6,90.0,1,6.5,0.0,0.0,3.131378967668288e-05,0.03318628242161376,0.11407709970082652,8466508741.677068,8455945992.157406,0.001249150542051547,0.0,0.12,65,17,65
UGC08490,train,9,50.0,1,4.65,0.0,0.0,2.9468831030048802e-05,0.06836739311954139,0.04747496025268462,1659309240.0944927,1653633001.624379,0.003432586592392539,0.0,0.6493274813572399,76,29,60
UGC08550,holdout,7,90.0,1,6.7,0.0,0.0,3.0335711115772797e-05,0.05253025967777209,0.1194121007160585,1255432258.1554017,1249365571.5202405,0.004855813841403656,0.0,0.12,62,10,52
UGC08699,development,2,73.0,2,39.3,0.0,0.0,3.127450504529288e-05,0.04217671598398001,0.10801071330493198,121123043898.71335,120718080791.68127,0.003354618499368911,0.13381860249582606,0.31408642798579417,58,41,57
UGC08837,train,10,80.0,2,7.21,0.0,0.0,3.088150401591702e-05,0.04138006162760302,0.02734666281134943,936980855.2112712,933723421.1582966,0.0034886498283759337,0.0,0.21004636744467725,57,8,57
UGC09037,holdout,6,65.0,2,83.6,0.0,0.0,3.0569499570892376e-05,0.041946251727472704,0.6007856158960324,124752813745.13745,124443838474.20271,0.0024828490885773213,0.0,0.4363877472460397,57,22,57
UGC09133,development,2,53.0,1,57.1,0.0,0.0,3.096516833673076e-05,0.0845325745927835,25.10209818046554,441173468719.6656,437933386632.93414,0.00739857290087631,0.20224377806375182,0.6093979906870246,79,67,57
UGC11455,development,6,90.0,1,78.6,0.0,0.0,3.141111011851346e-05,0.3030453406212929,1.0164028988304932,1959808890290.3157,1941930098363.123,0.009206712405489093,0.0,0.12,55,35,55
UGC11557,holdout,8,30.0,2,24.2,0.0,0.0,3.0668181664082166e-05,0.0381923783100254,0.177226242901974,13538860496.666983,13499329119.4189,0.0029283956927323995,0.0,0.8681013765684283,53,12,53
UGC11820,train,9,45.0,1,18.1,0.0,0.0,3.054992925686912e-05,0.08989157164885268,0.47084769040203844,1163175012.4467962,1160172732.757477,0.002587786804972847,0.0,0.7121797525905943,62,9,54
UGC11914,development,2,31.0,1,16.9,0.0,0.0,3.1362758308432895e-05,0.04608926881703573,0.6005633561718714,168242934646.7372,167822256214.34238,0.0025066903632706694,0.2435527081574878,0.8593925681205808,62,65,61
UGC12506,development,6,86.0,2,100.6,0.0,0.0,3.07889719239721e-05,0.04573034193714965,0.4602009675668205,1905805055099.1824,1888974525186.3323,0.00890987659623943,0.0,0.13854925378418367,21,27,21
UGC12632,train,9,46.0,1,9.77,0.0,0.0,3.0141112355751322e-05,0.18839248340558362,0.06094734377167879,2321403702.387715,2314812920.3389688,0.0028472201752618442,0.0,0.7000010914455831,62,14,58
UGC12732,development,9,39.0,1,13.2,0.0,0.0,3.120177882488969e-05,0.012214433754177108,0.1345344945290634,2981891457.6978183,2974000522.743002,0.0026533065123803823,0.0,0.7808065581403577,66,15,56
UGCA442,train,9,64.0,1,4.35,0.0,0.0,3.074950066254372e-05,0.05055313194163498,0.05379399525268263,997300965.9232558,987841704.2644075,0.009575685677182477,0.0,0.45144437637378504,26,7,25
UGCA444,development,10,78.0,2,0.98,0.0,0.0,8.980569223339834e-05,0.20181554982650135,0.08403444372419883,83408050.28815314,80904268.58442055,0.030947461086308303,0.0,0.238756776812149,33,34,19
