galaxy,split,hubble_type,inclination_deg,quality,distance_mpc,input_luminosity_lsun,bulge_fraction,apparent_axis_ratio,light_knots,angular_photometry_knots,rotation_knots
NGC7793,train,7,47.0,1,3.61,10011763045.679869,0.0,0.6876219962587693,70,67,45
NGC7814,train,2,90.0,1,14.4,158263810790.3192,0.3514587254209044,0.12,66,59,17
UGC00128,development,8,57.0,1,64.5,22148651178.363728,0.0,0.5538593524463098,63,51,20
UGC00191,holdout,9,45.0,1,17.1,3237997399.9919963,0.0,0.7121797525905943,57,51,8
UGC00731,development,10,57.0,1,12.5,2619097016.0453525,0.0,0.5538593524463098,35,33,11
UGC01281,train,8,90.0,1,5.27,2427223506.6475325,0.0,0.12,62,62,25
UGC02259,train,8,41.0,2,10.5,2733541172.7968917,0.0,0.7588046548045948,60,53,7
UGC02487,train,0,36.0,1,69.1,559870975274.288,0.2086744134764907,0.8120859405432249,49,43,16
UGC02885,development,5,64.0,1,80.6,550151482783.6129,0.09732619778326308,0.45144437637378504,62,57,18
UGC02916,train,2,50.0,2,65.4,199631998014.10092,0.3946784314439255,0.6493274813572399,87,38,42
UGC02953,development,2,50.0,2,16.5,362389202090.73755,0.09149413587861015,0.6493274813572399,94,61,114
UGC03205,train,2,67.0,1,50.0,236784642737.62357,0.08059040147903566,0.40604476974566006,62,53,47
UGC03546,train,1,55.0,1,28.7,146873844207.35898,0.20481041217302595,0.5819385477600796,59,58,26
UGC03580,holdout,1,63.0,2,20.7,20092500996.273544,0.17721062149937636,0.4664112216384478,70,56,46
UGC04278,train,7,90.0,1,9.51,10107637293.80143,0.0,0.12,58,58,25
UGC04325,holdout,9,41.0,1,9.6,3301925925.0164347,0.0,0.7588046548045948,56,56,8
UGC04483,development,10,58.0,2,3.34,16681155.918383023,0.0,0.5396023525359601,57,41,7
UGC04499,train,8,50.0,1,12.5,2546891630.4649644,0.0,0.6493274813572399,57,56,8
UGC05005,train,10,41.0,1,53.7,4262584895.014961,0.0,0.7588046548045948,44,28,10
UGC05253,train,2,37.0,2,22.9,206003571430.3683,0.3497991553501295,0.8018940634189887,69,67,72
UGC05716,holdout,9,54.0,2,21.3,732111018.6795259,0.0,0.5957486258247062,25,18,11
UGC05721,train,7,61.0,1,6.18,898495270.8089005,0.0,0.4960401058239915,68,53,22
UGC05750,train,8,64.0,1,58.7,11500399070.048986,0.0,0.45144437637378504,20,19,10
UGC05764,train,10,60.0,2,7.47,306691766.1107189,0.0,0.5106858133921482,53,53,10
UGC05829,train,10,34.0,2,8.64,1449183315.2332847,0.0,0.8317488378322879,58,58,11
UGC05918,train,10,46.0,2,7.66,300388871.839408,0.0,0.7000010914455831,22,22,7
UGC05986,train,9,90.0,2,8.63,26283269342.945393,0.0,0.12,58,58,10
UGC06399,train,9,75.0,1,18.0,7156346180.939675,0.0,0.2835889296411773,52,52,8
UGC06446,train,7,51.0,1,12.0,1328614242.984983,0.0,0.6361926742465747,62,53,16
UGC06614,train,1,36.0,1,88.7,130259715540.51025,0.56288828629945,0.8120859405432249,52,51,9
UGC06667,train,6,89.0,1,18.0,67954051806.243126,0.0,0.12124438314820868,23,23,9
UGC06786,holdout,0,64.0,1,29.3,133072576066.71613,0.15581860325133937,0.45144437637378504,65,59,44
UGC06787,train,2,66.0,2,21.3,169740151664.33615,0.30980299853360194,0.42125103820210896,68,65,70
UGC06818,holdout,9,75.0,2,18.0,3369011836.5568466,0.0,0.2835889296411773,52,52,8
UGC06917,train,9,56.0,1,18.0,12426126520.380234,0.0,0.5679734771665298,55,55,11
UGC06930,holdout,7,32.0,1,18.0,16829271925.505976,0.0,0.8504288924640657,59,59,8
UGC06983,train,6,49.0,1,18.0,9689227667.702332,0.0,0.6622805265496485,58,58,13
UGC07089,development,8,80.0,2,18.0,15628873857.453243,0.0,0.21004636744467725,56,56,12
UGC07125,train,9,90.0,1,19.8,8520044319.152423,0.0,0.12,58,58,9
UGC07151,train,6,90.0,1,6.87,9149431119.174196,0.0,0.12,63,63,11
UGC07323,train,8,47.0,1,8.0,7165211335.649328,0.0,0.6876219962587693,60,60,10
UGC07399,holdout,8,55.0,1,8.43,2901907130.481606,0.0,0.5819385477600796,59,59,10
UGC07524,train,9,46.0,1,4.74,6395004156.98325,0.0,0.7000010914455831,69,68,27
UGC07577,train,10,63.0,2,2.59,123350468.45244244,0.0,0.4664112216384478,48,48,8
UGC07603,train,7,78.0,1,4.7,936727907.5179396,0.0,0.238756776812149,65,51,11
UGC08286,train,6,90.0,1,6.5,8455945992.157406,0.0,0.12,65,65,17
UGC08490,train,9,50.0,1,4.65,1653633001.624379,0.0,0.6493274813572399,76,60,29
UGC08550,holdout,7,90.0,1,6.7,1249365571.5202405,0.0,0.12,62,52,10
UGC08699,development,2,73.0,2,39.3,120718080791.68127,0.13381860249582606,0.31408642798579417,58,57,41
UGC08837,train,10,80.0,2,7.21,933723421.1582966,0.0,0.21004636744467725,57,57,8
UGC09037,holdout,6,65.0,2,83.6,124443838474.20271,0.0,0.4363877472460397,57,57,22
UGC09133,development,2,53.0,1,57.1,437933386632.93414,0.20224377806375182,0.6093979906870246,79,57,67
UGC11455,development,6,90.0,1,78.6,1941930098363.123,0.0,0.12,55,55,35
UGC11557,holdout,8,30.0,2,24.2,13499329119.4189,0.0,0.8681013765684283,53,53,12
UGC11820,train,9,45.0,1,18.1,1160172732.757477,0.0,0.7121797525905943,62,54,9
UGC11914,development,2,31.0,1,16.9,167822256214.34238,0.2435527081574878,0.8593925681205808,62,61,65
UGC12506,development,6,86.0,2,100.6,1888974525186.3323,0.0,0.13854925378418367,21,21,27
UGC12632,train,9,46.0,1,9.77,2314812920.3389688,0.0,0.7000010914455831,62,58,14
UGC12732,development,9,39.0,1,13.2,2974000522.743002,0.0,0.7808065581403577,66,56,15
UGCA442,train,9,64.0,1,4.35,987841704.2644075,0.0,0.45144437637378504,26,25,7
UGCA444,development,10,78.0,2,0.98,80904268.58442055,0.0,0.238756776812149,33,19,34
