model,system_id,source_kind,source_id,field_job_id,scientific_job_id,state,converged,iterations,maximum_relative_update,maximum_equation_residual,universal_gravity_parameters,per_object_gravity_parameters,observation_targets,scored_observation_targets,valid_observation_points,observation_rmse_m_s,observation_weighted_rmse_m_s,observation_chi_square,observation_degrees_freedom
newtonian_poisson,DDO216,galaxy_job_artifact,job_cfecb4f74bd6f901b3f0f192,job_4d0ad6e8a0cacc6fc841ff2d,fieldjob_8b33a97cca51f03b0c4ffc71,succeeded,true,17,3.0132704731650917e-9,2.1818939079747461e-10,1,0,1,1,12,7041.2894265757395,6453.962811383983,100.88992573940098,12
newtonian_poisson,NGC1569,galaxy_job_artifact,job_aa63fd1de2ba942bbcf6b160,job_d6650c425ecd185aef983868,fieldjob_346a7d146b1e5356b035f545,succeeded,true,17,3.013270478848556e-9,5.932160608191824e-10,1,0,1,1,10,21234.384469054796,15278.74422777898,32.54186108016721,10
newtonian_poisson,UGC8508,galaxy_job_artifact,job_b8c2813004222959ecdeda3a,job_2f56abe99a09a84a16a8b36c,fieldjob_3e206c68629602e9abab103e,succeeded,true,17,3.013270473601655e-9,3.2600703471989914e-10,1,0,1,1,11,15353.933979640306,13001.88559405315,169.85017721606772,11
aqual_simple_mu,CVnIdwA,galaxy_job_artifact,job_e355039cfc47130afbd5a2bb,job_e1b84d1b4d281878bf6eea5e,fieldjob_25740b92d42b55135846965b,succeeded,true,35,2.7899316962607737e-9,8.071981388174421e-9,2,0,1,1,9,9009.826310161876,7455.554962512688,111.04500632997753,9
aqual_simple_mu,DDO47,galaxy_job_artifact,job_7fd1566cce8d4320a47eef3a,job_af2513f86218e6cbceb36c64,fieldjob_59c3ce2a700fab744abcd696,succeeded,true,42,1.2740036684617035e-9,6.431286750123507e-9,2,0,1,1,14,15754.846774112684,14704.923281695306,368.80592870567756,14
aqual_simple_mu,DDO50,galaxy_job_artifact,job_10d6491d04f5df5433f757d5,job_2e30c6d0920d30abf172b67a,fieldjob_acc620d74232be712c770627,succeeded,true,34,1.0405877843989143e-9,9.935903468946796e-9,2,0,1,1,26,13914.681689823889,12000.73592806882,158.8613819928639,26
aqual_simple_mu,DDO52,galaxy_job_artifact,job_90600b65e329c5b0b283200b,job_5d95ac88cdd70a6bec314984,fieldjob_07622343f9fa09a68167d9b5,succeeded,true,33,2.7041092852486225e-9,8.295042899224945e-9,2,0,1,1,12,9116.73863078889,7920.493675704474,54.6180305957117,12
aqual_simple_mu,DDO53,galaxy_job_artifact,job_dc1ee30b4be44e31fe4148ce,job_92afa2d1b21307e394e8658a,fieldjob_9889cb0aaca2209f7574899e,succeeded,true,40,9.41306729019556e-10,9.481928988291838e-9,2,0,1,1,9,3928.4324348113955,5015.529717768718,15.88413068168875,9
aqual_simple_mu,DDO87,galaxy_job_artifact,job_d3d2bb12fe97f74f3f3f87cc,job_fb0680ddc3d131dd77f8758c,fieldjob_574a6ff8f0fb9bb8afdeb393,succeeded,true,42,1.9237690532478634e-9,5.782072985503734e-9,2,0,1,1,12,10946.89605137798,10739.71085572912,132.25933919034952,12
aqual_simple_mu,DDO101,galaxy_job_artifact,job_bafddadbde446963ac11da5b,job_a172897eff2096dc9ecc72f1,fieldjob_63a4f91296477bfdc76f2942,succeeded,true,50,1.5643882996563018e-9,7.864847391900068e-9,2,0,1,1,10,26634.364273630774,28523.8052536259,883.1658119584357,10
aqual_simple_mu,DDO126,galaxy_job_artifact,job_982e97943dcaaaefceb1dd49,job_89e8e34398df97658509a770,fieldjob_162f44f8908f910eb45c46d5,succeeded,true,35,8.619298190855788e-10,8.129478927317969e-9,2,0,1,1,13,3019.3325092129962,2230.9499519135843,12.605284281082307,13
aqual_simple_mu,DDO133,galaxy_job_artifact,job_1f7cb50ac8d001734180b67f,job_93d510591507c69559d09cef,fieldjob_d9d04173441cdcdce536e619,succeeded,true,50,2.251157267795213e-9,7.653744866158622e-9,2,0,1,1,15,11107.865912103502,10663.185083677912,207.41257057219886,15
aqual_simple_mu,DDO210,galaxy_job_artifact,job_99a86aae58cf378ae08f8810,job_7dbf249e757b2265a6bdbd79,fieldjob_4835b08d8228f544e0b3c551,succeeded,true,35,1.576789974037929e-9,9.692896747782592e-9,2,0,1,1,8,3374.330826325242,2350.5421235140852,4.692103156914414,8
aqual_simple_mu,DDO216,galaxy_job_artifact,job_cfecb4f74bd6f901b3f0f192,job_5c4ea4403806dbf8f0fa2a02,fieldjob_13ff27f651525b37f20e0ff2,succeeded,true,32,1.1509364258885906e-9,5.396616586866398e-9,2,0,1,1,12,2803.342674721426,1911.457891893019,8.84961455983702,12
aqual_simple_mu,NGC1569,galaxy_job_artifact,job_aa63fd1de2ba942bbcf6b160,job_05afb9a88f26946c9438cb45,fieldjob_36e42cca35ce8a4a38548e4d,succeeded,true,32,3.221284365483004e-9,4.637556161211657e-9,2,0,1,1,10,25049.171244479523,27514.11901625157,105.53057111270135,10
aqual_simple_mu,UGC8508,galaxy_job_artifact,job_b8c2813004222959ecdeda3a,job_2a539542ce1443e291ea98b2,fieldjob_6eba38599f656e55d8c534b5,succeeded,true,31,3.2364034931042675e-9,4.361477976228415e-9,2,0,1,1,11,3397.9595431798634,2194.8209958197267,4.840068808883977,11
qumond_simple_nu,CVnIdwA,galaxy_job_artifact,job_e355039cfc47130afbd5a2bb,job_94458c44f3ed869bd33d7bcb,fieldjob_6011839665ff7063057f0677,succeeded,true,18,6.554807603236634e-9,4.0917530297085777e-10,2,0,1,1,9,6551.311254590214,5172.655679826156,53.45227837971465,9
qumond_simple_nu,DDO47,galaxy_job_artifact,job_7fd1566cce8d4320a47eef3a,job_c0220b7f623a2df8decfec2d,fieldjob_98cc3d85a23c35c3eafab057,succeeded,true,18,6.371678674926705e-9,3.8810467633188344e-10,2,0,1,1,14,19060.143578657484,17908.21253438987,546.9868021408175,14
qumond_simple_nu,DDO50,galaxy_job_artifact,job_10d6491d04f5df5433f757d5,job_ddcd4782fa85bb48a9de02c8,fieldjob_08266cc4380d1ad072e36175,succeeded,true,18,6.529135905199006e-9,4.07645179594528e-10,2,0,1,1,26,12183.986288823597,10231.436076174059,115.47175540872153,26
qumond_simple_nu,DDO52,galaxy_job_artifact,job_90600b65e329c5b0b283200b,job_dc4a81b56fc345dc2106bc94,fieldjob_2efc144f1e4bb8c7294bdc20,succeeded,true,18,6.4627061343855915e-9,3.872474798266914e-10,2,0,1,1,12,10200.259527911629,9197.158614711121,73.64425721193545,12
qumond_simple_nu,DDO53,galaxy_job_artifact,job_dc1ee30b4be44e31fe4148ce,job_cfefd4be90e69f2d5cba40ad,fieldjob_810d524a4ddf7e90343dd585,succeeded,true,18,6.378338081815747e-9,4.2664157623266824e-10,2,0,1,1,9,1623.559751824377,2101.350773014949,2.788219393448889,9
qumond_simple_nu,DDO87,galaxy_job_artifact,job_d3d2bb12fe97f74f3f3f87cc,job_f28084ae3dccb10ac0ed61d5,fieldjob_902ddd04bedc42e2e77e45f3,succeeded,true,18,6.37787977479153e-9,3.965151358200934e-10,2,0,1,1,12,13604.379247229579,13351.341865277149,204.40475902744475,12
qumond_simple_nu,DDO101,galaxy_job_artifact,job_bafddadbde446963ac11da5b,job_94c8f7c9f1206ffbf8a59736,fieldjob_1f2055766bea75e035520f18,succeeded,true,18,6.5078602908087715e-9,3.8507099552456375e-10,2,0,1,1,10,29076.223760297577,30872.06024567539,1034.566829130465,10
qumond_simple_nu,DDO126,galaxy_job_artifact,job_982e97943dcaaaefceb1dd49,job_bd77518fdee4d707b7081453,fieldjob_40e37f865d4966027ae0849c,succeeded,true,18,6.470888752672817e-9,4.0625818187579325e-10,2,0,1,1,13,2338.9612595586077,2630.5486881751103,17.525308765016444,13
qumond_simple_nu,DDO133,galaxy_job_artifact,job_1f7cb50ac8d001734180b67f,job_8e54edac44c9005959f43357,fieldjob_dd0eadfbacaf65f960b55198,succeeded,true,18,6.509426319860213e-9,3.9599948268938615e-10,2,0,1,1,15,14189.885179054327,13666.686884328763,340.7121868631395,15
qumond_simple_nu,DDO210,galaxy_job_artifact,job_99a86aae58cf378ae08f8810,job_4c6a3e8829b9294c5c9f5990,fieldjob_33af4215ea4ecf970873e890,succeeded,true,18,6.364244662593533e-9,3.910571603606146e-10,2,0,1,1,8,3721.468093790433,1938.4912219952964,3.1912376869281274,8
qumond_simple_nu,DDO216,galaxy_job_artifact,job_cfecb4f74bd6f901b3f0f192,job_3901cbfe50316b1789505de0,fieldjob_31b245734bda71c2252a5029,succeeded,true,18,6.3604293729360036e-9,3.8177920797407363e-10,2,0,1,1,12,2147.5020323881126,1556.3605837281048,5.866989782330147,12
qumond_simple_nu,NGC1569,galaxy_job_artifact,job_aa63fd1de2ba942bbcf6b160,job_9eeaceb4c4fd86de106b52c6,fieldjob_1e651182db93c34e1f2e09cf,succeeded,true,18,6.385966574566518e-9,5.532482224595364e-10,2,0,1,1,10,9271.44251689023,7143.949583621218,7.114490885657005,10
qumond_simple_nu,UGC8508,galaxy_job_artifact,job_b8c2813004222959ecdeda3a,job_a240541eff9edb31be304692,fieldjob_48abc99e8c5d2e2318e7cadc,succeeded,true,18,6.486650201983321e-9,4.3767281985594184e-10,2,0,1,1,11,4874.687665524242,3473.009861629169,12.118960131588222,11
refracted_gravity_published_fixture,CVnIdwA,galaxy_job_artifact,job_e355039cfc47130afbd5a2bb,job_5d30f172d7925febd0bdde1f,fieldjob_35209b7f501e6c6f83d423f9,succeeded,true,17,3.0132704757091804e-9,2.3437023517987187e-10,4,0,1,1,9,3761.206190697749,2593.6307389652957,13.438641551308825,9
refracted_gravity_published_fixture,DDO47,galaxy_job_artifact,job_7fd1566cce8d4320a47eef3a,job_219185e068f9be98459fc3be,fieldjob_182af872a6592e5bec174dad,succeeded,true,17,3.013270475045651e-9,2.2543025965612327e-10,4,0,1,1,14,21363.402007011573,20468.12109581284,714.5429246818721,14
refracted_gravity_published_fixture,DDO50,galaxy_job_artifact,job_10d6491d04f5df5433f757d5,job_f188c1509066583cc2567f43,fieldjob_76440448bc2724850c8957a0,succeeded,true,17,3.013270472410089e-9,2.4744566845062733e-10,4,0,1,1,26,16605.816539072075,13608.914760040678,204.2911557192263,26
refracted_gravity_published_fixture,DDO52,galaxy_job_artifact,job_90600b65e329c5b0b283200b,job_bc2d7f5efed9cf17c3ef4cd3,fieldjob_8fa1f4a6bc8079f98d035a87,succeeded,true,17,3.013270473859485e-9,2.1154246240020876e-10,4,0,1,1,12,12037.077521682517,11596.523217526008,117.08119245102833,12
refracted_gravity_published_fixture,DDO53,galaxy_job_artifact,job_dc1ee30b4be44e31fe4148ce,job_a47d93aa4eba562b573e4d31,fieldjob_359923a96c24469beef6c34b,succeeded,true,17,3.0132704738621614e-9,2.9029160234688653e-10,4,0,1,1,9,3348.472574066078,2258.50572960533,3.220862824246768,9
refracted_gravity_published_fixture,DDO87,galaxy_job_artifact,job_d3d2bb12fe97f74f3f3f87cc,job_f95a784ca9a43841c3834135,fieldjob_0aee9d54a6c026185731b9c3,succeeded,true,17,3.013270471555592e-9,2.470077783357656e-10,4,0,1,1,12,15651.388023387215,15643.682396879045,280.620342766007,12
refracted_gravity_published_fixture,DDO101,galaxy_job_artifact,job_bafddadbde446963ac11da5b,job_7b774fbbb37ebbec888b98d3,fieldjob_b631c4b177b3e3e8a8f02ed9,succeeded,true,17,3.013270473789269e-9,1.9860526353438474e-10,4,0,1,1,10,33826.12678677814,35888.6823052496,1398.1132435094269,10
refracted_gravity_published_fixture,DDO126,galaxy_job_artifact,job_982e97943dcaaaefceb1dd49,job_57606978661819ad8a4dc773,fieldjob_2c84fc9300303e60c61cb0e1,succeeded,true,17,3.0132704734594655e-9,2.4060778870375296e-10,4,0,1,1,13,3672.8221281059214,4199.085619503411,44.656270445688335,13
refracted_gravity_published_fixture,DDO133,galaxy_job_artifact,job_1f7cb50ac8d001734180b67f,job_47b584ae1fb8c6762e2f00fe,fieldjob_f885afed7ac4db0b2c74f253,succeeded,true,17,3.013270476799422e-9,2.1055917787661378e-10,4,0,1,1,15,17172.338781752416,16674.67581565203,507.19618423085274,15
refracted_gravity_published_fixture,DDO210,galaxy_job_artifact,job_99a86aae58cf378ae08f8810,job_57d8778649762cd8e22048dd,fieldjob_f3e80a06687c65c1f15643ba,succeeded,true,17,3.013270474835703e-9,2.216272013387435e-10,4,0,1,1,8,6566.95878528157,3483.1243747927747,10.303136167034989,8
refracted_gravity_published_fixture,DDO216,galaxy_job_artifact,job_cfecb4f74bd6f901b3f0f192,job_34090af5a86e21b77eea67e8,fieldjob_1c286b49e451a9bc0a770ac8,succeeded,true,17,3.013270476683481e-9,2.1627123828055771e-10,4,0,1,1,12,3391.4619471682363,4247.309541077884,43.694091280252046,12
refracted_gravity_published_fixture,NGC1569,galaxy_job_artifact,job_aa63fd1de2ba942bbcf6b160,job_246892e89d5170871f3c8768,fieldjob_aa75d0f07e947ecff5e6c088,succeeded,true,17,3.0132704800505887e-9,5.961321312940549e-10,4,0,1,1,10,5717.44359117261,5951.442069857509,4.937549773502495,10
refracted_gravity_published_fixture,UGC8508,galaxy_job_artifact,job_b8c2813004222959ecdeda3a,job_89e09e0af2ce0effc5235af0,fieldjob_aa72d261c451a4cc3a63279e,succeeded,true,17,3.0132704737818583e-9,2.6988289779635016e-10,4,0,1,1,11,4817.656027334926,4744.5090350414275,22.617045919217354,11
