name,hubble_type,hubble_name,type_group,distance_mpc,avg_bulge_frac,n_points,ape,rms,chi2,chi2_reduced,success,mean_v_obs,v_flat
NGC3917,6,Scd,late,18.0,0.0,17,33.63001418692124,30.16037854946123,989.9383039178996,61.871143994868724,0,114.8529411764706,136.55555555555554
NGC2403,6,Scd,late,3.16,0.0,73,38.00710346822824,38.92024842963517,22908.49467018221,318.173537085864,0,107.99726027397259,129.16216216216216
UGC06667,6,Scd,late,18.0,0.0,9,65.4576520198795,47.078213827982864,1879.7823000147089,234.9727875018386,0,67.86666666666667,82.53999999999999
NGC4085,5,Sc,intermediate,18.0,0.0,7,68.35770361857287,60.54033241008808,695.9501604214731,115.99169340357885,0,108.58571428571429,131.5
NGC3877,5,Sc,intermediate,18.0,0.0,13,52.99159346075469,61.46630158318753,1404.7520679563413,117.0626723296951,0,144.06923076923078,168.42857142857142
F579-V1,5,Sc,intermediate,89.5,0.0,14,18.5509329560058,17.593289914926732,39.742094607443924,3.0570842005726098,1,100.55714285714285,112.14285714285714
NGC0801,5,Sc,intermediate,80.7,0.0,13,118.99771318887989,289.2721048120738,37578.49008236924,3131.5408401974364,0,207.46153846153845,218.85714285714286
NGC5907,5,Sc,intermediate,17.3,0.0,19,72.13332184951781,173.47483436171345,87751.08568876161,4875.060316042312,0,221.57894736842104,216.4
NGC2998,5,Sc,intermediate,68.1,0.0,13,92.74461706723288,169.99950879404105,11063.224606530199,921.9353838775165,0,187.07692307692307,211.71428571428572
F568-1,5,Sc,intermediate,90.7,0.0,12,55.70266821671836,58.98884636948265,348.18506583134604,31.65318780284964,0,100.88333333333333,128.83333333333334
NGC3726,5,Sc,intermediate,18.0,0.0,12,87.48470646807817,136.17422282982918,8937.955953653474,812.541450332134,0,151.83333333333334,160.66666666666666
NGC3893,5,Sc,intermediate,18.0,0.0,10,61.47624784058852,109.7681035534078,2240.079778534701,248.89775317052232,0,178.6,179.4
NGC5033,5,Sc,intermediate,15.7,0.2971767858805522,22,62.677256805661166,152.8879391088339,44830.92173289506,2134.805796804527,0,211.54545454545453,204.45454545454547
NGC4100,4,Sbc,intermediate,18.0,0.0,23,54.93748320197488,100.4801474235239,7711.308186593643,350.51400848152923,0,175.29166666666666,171.08333333333334
NGC5005,4,Sbc,intermediate,16.9,0.2853787548099517,18,65.55181890311984,178.7987994491443,2584.894206425356,152.0526003779621,0,252.27777777777777,263.22222222222223
NGC1090,4,Sbc,intermediate,37.0,0.0,24,166.90206008521045,170.94803437857382,46671.93989664908,2029.2147781151773,0,149.9958333333333,164.08333333333334
NGC3953,4,Sbc,intermediate,18.0,0.0,8,69.64846082736842,162.4947959931819,5353.340695649482,764.7629565213546,0,213.625,221.5
NGC3972,4,Sbc,intermediate,18.0,0.0,10,20.77566949547283,18.022777697923004,119.95033854237342,13.327815393597046,1,105.1,127.4
NGC5371,4,Sbc,intermediate,39.7,0.0,19,147.08054820795982,336.1025197161857,187888.63868193072,10438.257704551706,0,221.3684210526316,219.8
NGC2903,4,Sbc,intermediate,6.6,0.0,34,105.61339113774797,165.03093595909618,67006.46667170999,2030.4989900518178,0,182.7058823529412,187.8235294117647
NGC3992,4,Sbc,intermediate,23.7,0.0,9,69.94392933952014,187.13167676291764,8774.140100537812,1096.7675125672265,0,253.66666666666666,245.6
NGC5055,4,Sbc,intermediate,9.9,0.0,28,113.56999731875551,229.15864104712074,235769.6745760763,8732.210169484308,0,187.25,183.92857142857142
NGC4389,4,Sbc,intermediate,18.0,0.0,6,149.39767458814745,84.11451571241345,1031.5582482203952,206.31164964407904,0,73.10000000000001,96.46666666666665
NGC3769,3,Sb,early,18.0,0.0,12,36.02380608334057,46.916746236125995,682.4941327281535,62.044921157104866,0,115.875,117.83333333333333
NGC2841,3,Sb,early,14.1,0.3048438571952449,49,35.70062824641972,130.0740194909761,16953.173605702326,353.1911167854651,0,301.42,288.2
NGC6674,3,Sb,early,51.2,0.1269365302640861,15,50.43792769846092,149.74332023083784,29519.73485615581,2108.552489725415,0,249.93333333333334,240.25
NGC0891,3,Sb,early,9.91,0.18789787068527058,18,96.72025057365283,213.4661981477726,65889.06432844474,3875.827313437926,0,219.44444444444446,218.55555555555554
NGC5985,3,Sb,early,39.7,0.09712947286309777,32,34.50733625404631,107.79997330336145,16532.034610080667,533.2914390348602,0,285.45454545454544,291.0
NGC4217,3,Sb,early,18.0,0.8215966691222065,19,123.28140169261125,180.152936435639,12451.632214083418,691.7573452268566,0,168.6157894736842,184.1
NGC4157,3,Sb,early,18.0,0.029234507028991663,17,95.53092348334272,170.86222835885883,9182.113961446363,573.8821225903977,0,180.78823529411764,184.0
NGC4013,3,Sb,early,18.0,0.174506389791781,35,63.526394404077394,116.87692582944565,21563.757118558377,634.2281505458346,0,178.41666666666666,173.72222222222223
NGC2955,3,Sb,early,97.9,0.4048727275967789,24,89.9400231459963,231.09277300298473,37082.60286689782,1612.2870811694704,0,252.125,261.1666666666667
NGC7331,3,Sb,early,14.7,0.05616214602783562,35,110.58513556571518,279.49754423740865,169450.22333771182,4983.830098167995,0,241.86111111111111,237.77777777777777
