cluster,partition,family_id,source_redshift,model,observed_images,global_roots,magnification_threshold_from_glafic,retained_roots,matched_images,image_RMS_arcsec,topology_retained_matched_images,topology_correct,source_east_arcsec,source_north_arcsec
PLCKG287,fit,37,5.1838999999999995,QUMOND_simple_nu_diagnostic,2,1,5.633978686611546,0,1,inf,0,False,-23.82560601673384,7.67366789159618
PLCKG287,fit,37,5.1838999999999995,glafic_v2_compact_halo,2,11,5.633978686611546,8,2,1.9221338493430002,2,False,-9.28753202292059,-3.2095779514887655
PLCKG287,fit,39,2.9305000000000003,P0707_Weyl_frozen_axis_contract,4,1,2.736397542719475,0,1,inf,0,False,-8.933854648603965,-6.378934195241655
PLCKG287,fit,39,2.9305000000000003,P0707_Weyl_axis_repaired_exploratory,4,1,2.736397542719475,1,1,inf,1,False,-13.579614217535648,-1.1834386784265014
PLCKG287,fit,39,2.9305000000000003,baryon_only_GR,4,1,2.736397542719475,0,1,inf,0,False,-13.989909857782763,-3.4839450283291935
PLCKG287,fit,39,2.9305000000000003,AQUAL_simple_mu_diagnostic,4,1,2.736397542719475,0,1,inf,0,False,-12.75856131316835,-4.392233539408792
PLCKG287,fit,39,2.9305000000000003,QUMOND_simple_nu_diagnostic,4,1,2.736397542719475,0,1,inf,0,False,-12.74985109037537,-4.405089213371051
PLCKG287,fit,39,2.9305000000000003,glafic_v2_compact_halo,4,5,2.736397542719475,5,4,3.8463660714276484,4,False,-20.462001826716822,-8.208204883555485
PLCKG287,holdout,40,4.3337,P0707_Weyl_frozen_axis_contract,5,1,0.0016081948555983253,1,1,inf,1,False,-25.332897649156727,-7.343133979101441
PLCKG287,holdout,40,4.3337,P0707_Weyl_axis_repaired_exploratory,5,1,0.0016081948555983253,1,1,inf,1,False,-26.085729276200823,-3.1178332691038984
PLCKG287,holdout,40,4.3337,baryon_only_GR,5,1,0.0016081948555983253,1,1,inf,1,False,-41.45402779493045,-8.791994911630985
PLCKG287,holdout,40,4.3337,AQUAL_simple_mu_diagnostic,5,1,0.0016081948555983253,1,1,inf,1,False,-37.74281537139768,-8.476391070480002
PLCKG287,holdout,40,4.3337,QUMOND_simple_nu_diagnostic,5,1,0.0016081948555983253,1,1,inf,1,False,-37.754563725277244,-8.488714603189793
PLCKG287,holdout,40,4.3337,glafic_v2_compact_halo,5,5,0.0016081948555983253,5,5,43.15130151393194,5,True,-13.953197015176807,-1.4138432380701649
PLCKG287,fit,41,4.5173,P0707_Weyl_frozen_axis_contract,3,1,1.8746489805839246,1,1,inf,1,False,-0.9024917722962899,2.4473249306181226
PLCKG287,fit,41,4.5173,P0707_Weyl_axis_repaired_exploratory,3,1,1.8746489805839246,1,1,inf,1,False,-6.234473222247398,7.5098623255798005
PLCKG287,fit,41,4.5173,baryon_only_GR,3,1,1.8746489805839246,0,1,inf,0,False,-2.9812606274431914,8.08696077231008
PLCKG287,fit,41,4.5173,AQUAL_simple_mu_diagnostic,3,1,1.8746489805839246,0,1,inf,0,False,-2.284720527514221,6.448174215238939
PLCKG287,fit,41,4.5173,QUMOND_simple_nu_diagnostic,3,1,1.8746489805839246,0,1,inf,0,False,-2.278090078302101,6.426096651329918
PLCKG287,fit,41,4.5173,glafic_v2_compact_halo,3,6,1.8746489805839246,6,3,1.7410579847646854,3,False,-19.111916341054812,-9.138139547905553
PLCKG287,fit,49,4.5206,P0707_Weyl_frozen_axis_contract,4,1,3.246106193952545,1,1,inf,1,False,25.21820678147194,-26.215785572578746
PLCKG287,fit,49,4.5206,P0707_Weyl_axis_repaired_exploratory,4,1,3.246106193952545,0,1,inf,0,False,27.13500254487242,-27.182220737547144
PLCKG287,fit,49,4.5206,baryon_only_GR,4,1,3.246106193952545,0,1,inf,0,False,37.83221508756492,-38.42425770415397
PLCKG287,fit,49,4.5206,AQUAL_simple_mu_diagnostic,4,1,3.246106193952545,0,1,inf,0,False,34.57667700423707,-35.328842874514095
PLCKG287,fit,49,4.5206,QUMOND_simple_nu_diagnostic,4,1,3.246106193952545,0,1,inf,0,False,34.55860685431441,-35.31744547054788
PLCKG287,fit,49,4.5206,glafic_v2_compact_halo,4,6,3.246106193952545,6,4,5.37003115934417,4,False,-8.107924498613178,-16.88405178372411
PLCKG287,fit,5,1.40825,P0707_Weyl_frozen_axis_contract,6,1,0.0,1,1,inf,1,False,-11.63712960375616,6.797703440569324
PLCKG287,fit,5,1.40825,P0707_Weyl_axis_repaired_exploratory,6,1,0.0,1,1,inf,1,False,-15.701190263387508,10.479486812305554
PLCKG287,fit,5,1.40825,baryon_only_GR,6,1,0.0,1,1,inf,1,False,-17.52501193111124,11.884693902437744
PLCKG287,fit,5,1.40825,AQUAL_simple_mu_diagnostic,6,1,0.0,1,1,inf,1,False,-16.02634194487949,10.253892826645954
PLCKG287,fit,5,1.40825,QUMOND_simple_nu_diagnostic,6,1,0.0,1,1,inf,1,False,-16.037109510311463,10.272059323427332
PLCKG287,fit,5,1.40825,glafic_v2_compact_halo,6,3,0.0,3,3,inf,3,False,-19.88311718204026,-3.6707062588839747
PLCKG287,fit,6,4.3462,P0707_Weyl_frozen_axis_contract,5,1,3.165352857778643,0,1,inf,0,False,-22.616240892217156,-6.922669665548554
PLCKG287,fit,6,4.3462,P0707_Weyl_axis_repaired_exploratory,5,1,3.165352857778643,1,1,inf,1,False,-24.252573313099827,-1.9989246819681306
PLCKG287,fit,6,4.3462,baryon_only_GR,5,1,3.165352857778643,0,1,inf,0,False,-38.426161873803196,-9.190372826288
PLCKG287,fit,6,4.3462,AQUAL_simple_mu_diagnostic,5,1,3.165352857778643,0,1,inf,0,False,-34.60175091924272,-8.722187826317471
PLCKG287,fit,6,4.3462,QUMOND_simple_nu_diagnostic,5,1,3.165352857778643,0,1,inf,0,False,-34.613130305699094,-8.731387170183513
PLCKG287,fit,6,4.3462,glafic_v2_compact_halo,5,8,3.165352857778643,7,5,11.617034080326336,5,False,-11.139976330571102,-0.5480784179244298
PLCKG287,holdout,7,3.3423999999999996,P0707_Weyl_frozen_axis_contract,2,1,4.247664886652814,0,1,inf,0,False,-4.5052288119745825,2.770253939984684
PLCKG287,holdout,7,3.3423999999999996,P0707_Weyl_axis_repaired_exploratory,2,1,4.247664886652814,0,1,inf,0,False,-9.000724195519016,6.5413006442882216
PLCKG287,holdout,7,3.3423999999999996,baryon_only_GR,2,1,4.247664886652814,0,1,inf,0,False,-8.77440839334679,7.194304745203439
PLCKG287,holdout,7,3.3423999999999996,AQUAL_simple_mu_diagnostic,2,1,4.247664886652814,0,1,inf,0,False,-7.43136557879815,6.069163281624514
PLCKG287,holdout,7,3.3423999999999996,QUMOND_simple_nu_diagnostic,2,1,4.247664886652814,0,1,inf,0,False,-7.400056330211938,6.026899264434753
PLCKG287,holdout,7,3.3423999999999996,glafic_v2_compact_halo,2,5,4.247664886652814,4,2,1.159953041348469,2,False,-16.187031820625087,-5.88195724046461
PLCKG287,holdout,8,1.1691,P0707_Weyl_frozen_axis_contract,3,1,5.713581135994173,0,1,inf,0,False,2.5908759052062087,-9.696605819043608
PLCKG287,holdout,8,1.1691,P0707_Weyl_axis_repaired_exploratory,3,1,5.713581135994173,0,1,inf,0,False,-2.847669176160474,-3.9573204075263075
PLCKG287,holdout,8,1.1691,baryon_only_GR,3,1,5.713581135994173,0,1,inf,0,False,0.35845424695409395,-9.302271169108545
PLCKG287,holdout,8,1.1691,AQUAL_simple_mu_diagnostic,3,1,5.713581135994173,0,1,inf,0,False,1.011271096728117,-9.385297505202407
PLCKG287,holdout,8,1.1691,QUMOND_simple_nu_diagnostic,3,1,5.713581135994173,0,1,inf,0,False,1.0396989500977902,-9.430061452389046
PLCKG287,holdout,8,1.1691,glafic_v2_compact_halo,3,5,5.713581135994173,5,3,0.49944564438840283,3,False,-11.85861999480114,-5.347487858696773
