stage,closure,lambda,fold,fit_images,validation_images,fit_RMS_arcsec,fit_roots,validation_RMS_arcsec,validation_roots,optimizer_cost
stage1,multipole_m4,-8.0,2,12,3,0.4031847801722769,12,1.8321937615681438,3,26.861085598456945
stage1,multipole_m4,-8.0,3,13,2,0.4474970562028106,13,1.109087433906321,2,34.174699859382976
stage1,multipole_m4,-8.0,4,12,3,0.27910729139756807,12,3.154995079268432,3,14.043626975053858
stage1,multipole_m4,-5.0,0,12,3,0.40600840128487403,12,4.358595844174258,3,25.03998060034627
stage1,multipole_m4,-5.0,1,11,4,0.4087681500313827,11,2.7396526695577013,4,23.02495862975305
stage1,multipole_m4,-5.0,2,12,3,0.4108735014884566,12,1.3698600178517149,3,26.57065209112471
stage1,multipole_m4,-5.0,3,13,2,0.43338688861792607,13,1.110545126991164,2,32.03825896146916
stage1,multipole_m4,-5.0,4,12,3,0.274655272729246,12,3.0178895421102943,3,13.506734022902892
stage1,multipole_m4,-2.0,0,12,3,0.40626881667972675,12,4.348678304553133,3,25.186456002514156
stage1,multipole_m4,-2.0,1,11,4,0.4081701873408122,11,2.584467710881439,4,23.01576386326462
stage1,multipole_m4,-2.0,2,12,3,0.4079343835646993,12,inf,2,25.85528825298329
stage1,multipole_m4,-2.0,3,13,2,0.4200897128212157,13,1.1088382941453336,2,30.182106689429062
stage1,multipole_m4,-2.0,4,12,3,0.2686044487424722,12,2.9902437300832783,3,13.00398802745419
stage1,multipole_m4,-0.5,0,12,3,0.40520537722357725,12,4.030293792870659,3,25.067178622046555
stage1,multipole_m4,-0.5,1,11,4,0.4079626238916276,11,2.503272095123751,4,23.027655708662206
stage1,multipole_m4,-0.5,2,12,3,0.4007062551457701,12,1.4099897752207815,3,25.490380438981
stage1,multipole_m4,-0.5,3,13,2,0.41334532797147566,13,1.1138435892383929,2,29.244006871471868
stage1,multipole_m4,-0.5,4,12,3,0.2671636822365528,12,2.914194043985161,3,12.747791324272049
stage1,multipole_m4,0.5,0,12,3,0.40636905049627936,12,4.304569147396208,3,25.196289013922964
stage1,multipole_m4,0.5,1,11,4,0.40786320302926227,11,2.4499877092256264,4,23.03793816573252
stage1,multipole_m4,0.5,2,12,3,0.40391267413300136,12,1.2085188748665845,3,25.535052890898967
stage1,multipole_m4,0.5,3,13,2,0.4092326729570753,13,1.1186555291158804,2,28.720997189840958
stage1,multipole_m4,0.5,4,12,3,0.2643123635989093,12,2.9627481108154488,3,12.599625410909448
stage1,multipole_m4,2.0,0,12,3,0.4040401380175453,12,4.222943821935856,3,24.78058394500685
stage1,multipole_m4,2.0,1,11,4,0.40764376323891915,11,2.36164830260043,4,23.095347859634906
stage1,multipole_m4,2.0,2,12,3,0.4020986787821063,12,1.1600856925845373,3,25.2008250504186
stage1,multipole_m4,2.0,3,13,2,0.4029615791128733,13,1.120442985266175,2,27.739216531777746
stage1,multipole_m4,2.0,4,12,3,0.26310076326175147,12,2.876080241590773,3,12.372787875003983
stage1,multipole_m4,5.0,0,12,3,0.40666815778254833,12,4.262895008553373,3,25.237386611851235
stage1,multipole_m4,5.0,1,11,4,0.4076921533543327,11,2.213439020553756,4,23.12139848399821
stage1,multipole_m4,5.0,2,12,3,0.4001833959467607,12,inf,2,24.615111230740464
stage1,multipole_m4,5.0,3,13,2,0.3914071837448961,13,1.1221003315592555,2,26.14066901946668
stage1,multipole_m4,5.0,4,12,3,0.2597007547814439,12,2.7661325447292864,3,11.947912793393707
stage1,multipole_m4,8.0,0,12,3,0.4070880402868972,12,4.235942173332692,3,25.286440638442915
stage1,multipole_m4,8.0,1,11,4,0.4078984571024938,11,2.0306599300950703,4,23.235613336427345
stage1,multipole_m4,8.0,2,12,3,0.3974678374966674,12,inf,2,24.470881098028574
stage1,multipole_m4,8.0,3,13,2,0.38092041360607876,13,1.1295084836818883,2,24.756434627082136
stage1,multipole_m4,8.0,4,12,3,0.2555498788779411,12,2.72855036853105,3,11.575784826130665
stage1,multipole_m4,12.5,0,12,3,0.40447337820713575,12,4.2065564792209305,3,24.676065677516824
stage1,multipole_m4,12.5,1,11,4,0.4087678187322502,11,1.8719768420435043,4,23.472440557550904
stage1,multipole_m4,12.5,2,12,3,0.39533296505960336,12,inf,2,24.081161024851895
stage1,multipole_m4,12.5,3,13,2,0.3652880631010557,13,1.1577998711863342,2,22.76654243729095
stage1,multipole_m4,12.5,4,12,3,0.25187475536785375,12,2.5912696378579563,3,11.116236405437828
stage2,multipole_m3,-12.5,0,12,3,0.3250166423737614,12,4.863090783165872,3,17.851407551716747
stage2,multipole_m3,-12.5,1,11,4,0.4062554794825585,11,1.8622870351302596,4,23.163406302965157
stage2,multipole_m3,-12.5,2,12,3,inf,11,0.8659162871885695,3,26.469200604109776
stage2,multipole_m3,-12.5,3,13,2,0.3202521746148304,13,1.1687642129714544,2,17.617242160122654
stage2,multipole_m3,-12.5,4,12,3,0.22002385419284967,12,1.9619081985898215,3,8.824681719039162
