candidate_id,spatial_mode,carrier,amplitude_A,potential_threshold_chi,potential_power,fold,training_galaxies,test_galaxies,training_clusters,test_clusters,training_galaxy_equal_RMSE_km_s,test_galaxy_equal_RMSE_km_s,training_galaxy_RMSE_ratio_to_fixed_RAR,test_galaxy_RMSE_ratio_to_fixed_RAR,training_cluster_equal_RMSE_dex,test_cluster_equal_RMSE_dex
local__potential_shape__A4__ct4e-06__p4,local,potential_shape,4.0,4e-06,4.0,4,105,26,16,4,11.01964897720221,9.396420120123572,1.0000311958253645,1.0002047359172348,0.21458036951618512,0.23213318759856674
local__potential_inverse_shape__A1__ct5e-07__p1,local,potential_inverse_shape,1.0,5e-07,1.0,0,104,27,16,4,15.723876228748576,18.54002461309118,1.4569373440069124,1.779512992505397,0.41956061932936034,0.4676166136132478
local__potential_inverse_shape__A1__ct5e-07__p1,local,potential_inverse_shape,1.0,5e-07,1.0,1,105,26,16,4,17.367130512688316,11.30683762883957,1.5581802810416854,1.2890721724285084,0.436481351884301,0.4009063086611127
local__potential_inverse_shape__A1__ct5e-07__p1,local,potential_inverse_shape,1.0,5e-07,1.0,2,105,26,16,4,15.889981289162453,18.062029102878792,1.5957183930558976,1.3531400160761595,0.43567589757858105,0.40439559786384716
local__potential_inverse_shape__A1__ct5e-07__p1,local,potential_inverse_shape,1.0,5e-07,1.0,3,105,26,16,4,17.34646462882221,11.434234451004988,1.6322770114045109,1.0329339812184168,0.4365570522867514,0.4005764732108936
local__potential_inverse_shape__A1__ct5e-07__p1,local,potential_inverse_shape,1.0,5e-07,1.0,4,105,26,16,4,15.270943707573034,20.103182451275867,1.3858354407531557,2.1398892384251904,0.41934129182359836,0.468402897495447
local__potential_inverse_shape__A1__ct5e-07__p2,local,potential_inverse_shape,1.0,5e-07,2.0,0,104,27,16,4,13.60530022619666,14.231603748738076,1.2606350805363211,1.365981130207649,0.41318294237644104,0.4608672113700557
local__potential_inverse_shape__A1__ct5e-07__p2,local,potential_inverse_shape,1.0,5e-07,2.0,1,105,26,16,4,14.586808102393805,9.563562678685088,1.3087295412378883,1.0903245383947409,0.43018469424540007,0.3937558600800651
local__potential_inverse_shape__A1__ct5e-07__p2,local,potential_inverse_shape,1.0,5e-07,2.0,2,105,26,16,4,12.868078610607657,16.793651473333075,1.2922500881886272,1.2581178833878346,0.4290285039651529,0.3987697746082523
local__potential_inverse_shape__A1__ct5e-07__p2,local,potential_inverse_shape,1.0,5e-07,2.0,3,105,26,16,4,14.280025191376748,11.279439053763733,1.343729534572267,1.0189502355962827,0.43014859663000987,0.3939135708100921
local__potential_inverse_shape__A1__ct5e-07__p2,local,potential_inverse_shape,1.0,5e-07,2.0,4,105,26,16,4,13.269051024828,15.482330919318855,1.2041640338343627,1.6480213220113986,0.4128036755749872,0.4622246896548776
local__potential_inverse_shape__A1__ct5e-07__p4,local,potential_inverse_shape,1.0,5e-07,4.0,0,104,27,16,4,12.21746894791508,11.328590133733544,1.1320419024233814,1.087343396271043,0.41201636161945426,0.459812949557922
local__potential_inverse_shape__A1__ct5e-07__p4,local,potential_inverse_shape,1.0,5e-07,4.0,1,105,26,16,4,12.671090857577804,9.051947599369962,1.1368512431653912,1.0319962256171902,0.4290994415095909,0.3923678818842293
local__potential_inverse_shape__A1__ct5e-07__p4,local,potential_inverse_shape,1.0,5e-07,4.0,2,105,26,16,4,10.912850864538974,15.792324985287248,1.0959003996497885,1.1831022285898996,0.42780871863795694,0.39796567512674413
local__potential_inverse_shape__A1__ct5e-07__p4,local,potential_inverse_shape,1.0,5e-07,4.0,3,105,26,16,4,12.17557507162419,11.47427345527971,1.1457038488995779,1.0365509831494797,0.42906110715013673,0.3925355307154796
local__potential_inverse_shape__A1__ct5e-07__p4,local,potential_inverse_shape,1.0,5e-07,4.0,4,105,26,16,4,12.151013237048991,11.578944462422847,1.1027023023215268,1.2325241890190906,0.4116555977903863,0.4611036247754365
local__potential_inverse_shape__A1__ct1e-06__p1,local,potential_inverse_shape,1.0,1e-06,1.0,0,104,27,16,4,13.036851644010023,14.91332375595593,1.2079639735212915,1.431414139894079,0.42569912376451824,0.47404500832405466
local__potential_inverse_shape__A1__ct1e-06__p1,local,potential_inverse_shape,1.0,1e-06,1.0,1,105,26,16,4,14.197263853415636,9.838584896928024,1.2737796013553313,1.1216793256459763,0.4425144748084734,0.4078252127473135
local__potential_inverse_shape__A1__ct1e-06__p1,local,potential_inverse_shape,1.0,1e-06,1.0,2,105,26,16,4,12.826439483474704,15.697183036913168,1.2880685652637285,1.175974547817206,0.4420649860896308,0.4097704700277529
local__potential_inverse_shape__A1__ct1e-06__p1,local,potential_inverse_shape,1.0,1e-06,1.0,3,105,26,16,4,14.029909808008709,10.764532932993614,1.3201940419398417,0.9724351819160547,0.44270731670924185,0.40698718989776506
local__potential_inverse_shape__A1__ct1e-06__p1,local,potential_inverse_shape,1.0,1e-06,1.0,4,105,26,16,4,13.071572754074207,14.858113131141131,1.1862429156880403,1.5815762737911696,0.42561440439586556,0.47434919721179875
local__potential_inverse_shape__A1__ct1e-06__p2,local,potential_inverse_shape,1.0,1e-06,2.0,0,104,27,16,4,11.23431104846355,11.40038216885166,1.0409448066482687,1.0942341562304922,0.4164503880120897,0.4638664671196023
