candidate_id,spatial_mode,carrier,amplitude_A,potential_threshold_chi,potential_power,galaxy_equal_RMSE_km_s,galaxy_pooled_RMSE_km_s,cluster_equal_RMSE_dex,cluster_pooled_RMSE_dex,cluster_mean_residual_dex,cluster_median_observed_over_predicted
local__potential__A2__ct5e-07__p2,local,potential,2.0,5e-07,2.0,24.87901352305265,27.10074368173451,0.12472396683961284,0.1233648708472963,-0.021300352793470364,1.0655887647773157
local__potential__A2__ct5e-07__p4,local,potential,2.0,5e-07,4.0,18.822390733187643,20.363060638460947,0.12349037359854818,0.12236808379056859,-0.017722242260219286,1.061580533314105
local__potential__A2__ct1e-06__p1,local,potential,2.0,1e-06,1.0,23.296056119907643,24.977199407474806,0.14572895782610912,0.14225307768072673,-0.06754047244639044,1.192065794035765
local__potential__A2__ct1e-06__p2,local,potential,2.0,1e-06,2.0,14.053041716249353,14.425260833497532,0.1295104386623506,0.12730680374776085,-0.03160495165371352,1.0914556626451382
local__potential__A2__ct1e-06__p4,local,potential,2.0,1e-06,4.0,10.943309073916003,10.64142137007742,0.12431977904693729,0.12303064058720559,-0.019327391137788093,1.0619947531491396
local__potential__A2__ct2e-06__p1,local,potential,2.0,2e-06,1.0,16.745362767251123,17.43279362357586,0.1723564983923834,0.16704639690354464,-0.10579056702395469,1.2905379765261225
local__potential__A2__ct2e-06__p2,local,potential,2.0,2e-06,2.0,11.234675070075356,10.96697748139029,0.1527084374335065,0.14720487428626822,-0.06494367462335138,1.1651545375170982
local__potential__A2__ct2e-06__p4,local,potential,2.0,2e-06,4.0,10.723484186615622,10.35719325746735,0.14129915992357553,0.13680936428892507,-0.03860460195793128,1.1174423697996296
local__potential__A2__ct4e-06__p1,local,potential,2.0,4e-06,1.0,13.266531902955983,13.335610329445194,0.21783370628093693,0.21059900981318647,-0.1620566064069497,1.460278411281495
local__potential__A2__ct4e-06__p2,local,potential,2.0,4e-06,2.0,10.80822716525102,10.452502962529202,0.22195803913078882,0.21068753784008867,-0.14447944934879647,1.4070168223156663
local__potential__A2__ct4e-06__p4,local,potential,2.0,4e-06,4.0,10.71684502971541,10.34896744944263,0.24192609243698024,0.22584119384216808,-0.13264520283841216,1.3146532478902904
local__potential__A3__ct5e-07__p1,local,potential,3.0,5e-07,1.0,45.16857354228871,49.61391295063314,0.14501909886680645,0.1452971134922216,0.07685531070364637,0.8562777808213663
local__potential__A3__ct5e-07__p2,local,potential,3.0,5e-07,2.0,33.23260406281725,36.68849079195333,0.15915406068282803,0.15935637635587158,0.10303498784986516,0.8001876676412643
local__potential__A3__ct5e-07__p4,local,potential,3.0,5e-07,4.0,24.233232484279753,26.75033329949884,0.1615775585564125,0.16161707620167667,0.1070668614473943,0.7967984277427229
local__potential__A3__ct1e-06__p1,local,potential,3.0,1e-06,1.0,30.94543448439172,33.69080984120446,0.1361007735074251,0.1358644986373694,0.05047594952421579,0.9080804309861459
local__potential__A3__ct1e-06__p2,local,potential,3.0,1e-06,2.0,16.627337589246203,17.5280007932627,0.15337814137350245,0.15382609894643015,0.09137322111655513,0.8231491630765824
local__potential__A3__ct1e-06__p4,local,potential,3.0,1e-06,4.0,11.141591371622445,10.90092826741029,0.1606300388229131,0.1607940930916937,0.10525716572573751,0.7971485200549364
local__potential__A3__ct2e-06__p1,local,potential,3.0,2e-06,1.0,20.93262469579736,22.298458796881896,0.13401396739229166,0.13168163649585787,0.006296125761109172,0.9892454813837146
local__potential__A3__ct2e-06__p2,local,potential,3.0,2e-06,2.0,11.636702714421572,11.46396544401497,0.14592044582147332,0.14507979073313254,0.05317475055989316,0.882091454544976
local__potential__A3__ct2e-06__p4,local,potential,3.0,2e-06,4.0,10.727424362959582,10.362121051161882,0.15782371867265263,0.15761876867136207,0.08317237023060411,0.8405965106096339
local__potential__A3__ct4e-06__p1,local,potential,3.0,4e-06,1.0,15.188469327404208,15.616102097640383,0.1574587254170572,0.15131178186247912,-0.05991520949858319,1.160906840145072
local__potential__A3__ct4e-06__p2,local,potential,3.0,4e-06,2.0,10.865256984559114,10.519497758830715,0.17797365513422936,0.16909896649954465,-0.040400154385496274,1.090612948419807
local__potential__A3__ct4e-06__p4,local,potential,3.0,4e-06,4.0,10.71705067599251,10.349220522122582,0.21990317534390316,0.20659338984453657,-0.029149991097330973,1.016831516886501
local__potential__A4__ct5e-07__p1,local,potential,4.0,5e-07,1.0,56.48022317700572,62.27860385165223,0.20977715598881402,0.21140759068385614,0.17155672951545992,0.6892683482008525
local__potential__A4__ct5e-07__p2,local,potential,4.0,5e-07,2.0,41.23212760232209,45.796702458436556,0.2328524309878608,0.23370814518581834,0.199582195691069,0.6406292565285395
local__potential__A4__ct5e-07__p4,local,potential,4.0,5e-07,4.0,29.546595231558214,32.93370254464288,0.2366034313671911,0.23711780728427445,0.2038870388810743,0.6377333602196219
local__potential__A4__ct1e-06__p1,local,potential,4.0,1e-06,1.0,38.4007948457253,42.11791325001809,0.1891128265047618,0.19122360183499948,0.14316560230495584,0.7321297722085582
local__potential__A4__ct1e-06__p2,local,potential,4.0,1e-06,2.0,19.401929450830657,20.817470372892863,0.22277766940188792,0.224471018378512,0.18709805853393233,0.6623930985248216
local__potential__A4__ct1e-06__p4,local,potential,4.0,1e-06,4.0,11.388886630305041,11.224100118465135,0.23496668061085824,0.2357310357931042,0.2019541840668446,0.6380324105783872
local__potential__A4__ct2e-06__p1,local,potential,4.0,2e-06,1.0,25.250249309793805,27.257972716576866,0.16197976846708226,0.16366714304725954,0.09526593662683357,0.8051813974155164
local__potential__A4__ct2e-06__p2,local,potential,4.0,2e-06,2.0,12.116123615975086,12.058798596797823,0.19731363732980411,0.20008629046257229,0.14588773043884734,0.7085743100161459
local__potential__A4__ct2e-06__p4,local,potential,4.0,2e-06,4.0,10.731640404059519,10.36742216928581,0.22156914856819168,0.2239180098976333,0.17812672829872328,0.6726480827761232
local__potential__A4__ct4e-06__p1,local,potential,4.0,4e-06,1.0,17.313278131688744,18.11359798690478,0.14589085580853262,0.14394902692210548,0.02260559818270492,0.9645318934108853
local__potential__A4__ct4e-06__p2,local,potential,4.0,4e-06,2.0,10.929424209379372,10.5960469618967,0.18027004023714613,0.177391334955295,0.04313564954835515,0.8890133955980943
local__potential__A4__ct4e-06__p4,local,potential,4.0,4e-06,4.0,10.71725742163482,10.349475083855278,0.23443959379637194,0.22717840870879624,0.05330435738377069,0.8229038980891292
local__potential_shape__A1__ct5e-07__p1,local,potential_shape,1.0,5e-07,1.0,14.01634477861462,13.655688608044578,0.29422939028007217,0.29189610326721005,-0.2663145222264369,1.8926335525784124
local__potential_shape__A1__ct5e-07__p2,local,potential_shape,1.0,5e-07,2.0,12.575798245335466,12.3544677900736,0.27976295243848837,0.2781783432465622,-0.2516354254612219,1.843107459786148
local__potential_shape__A1__ct5e-07__p4,local,potential_shape,1.0,5e-07,4.0,11.681713731623761,11.489721544047786,0.2772743723915188,0.2759768699412512,-0.24934895199901047,1.838671636524483
local__potential_shape__A1__ct1e-06__p1,local,potential_shape,1.0,1e-06,1.0,12.437521432166294,12.07283635936843,0.30855869322656104,0.305481761702171,-0.2806343925374118,1.9420325017808189
local__potential_shape__A1__ct1e-06__p2,local,potential_shape,1.0,1e-06,2.0,11.158238192334402,10.820223627004069,0.28691960382301757,0.2845334523055294,-0.2581436640442198,1.8562879859613184
local__potential_shape__A1__ct1e-06__p4,local,potential_shape,1.0,1e-06,4.0,10.760724524649733,10.399804480666868,0.27853167874171064,0.27702256738553194,-0.25036345670070304,1.8391577035191964
local__potential_shape__A1__ct2e-06__p1,local,potential_shape,1.0,2e-06,1.0,11.5473220849339,11.17303576378326,0.33145030653447627,0.32744288220344003,-0.3036588108312985,2.0488149868011556
local__potential_shape__A1__ct2e-06__p2,local,potential_shape,1.0,2e-06,2.0,10.813159749913728,10.448963454220888,0.30937310997510525,0.30483274691044254,-0.2785711664822373,1.937372126392015
local__potential_shape__A1__ct2e-06__p4,local,potential_shape,1.0,2e-06,4.0,10.718924138597288,10.351311386095151,0.2935741979424379,0.2896401238236253,-0.26208737236765345,1.890801621398157
local__potential_shape__A1__ct4e-06__p1,local,potential_shape,1.0,4e-06,1.0,11.108526579318696,10.732380579954734,0.36318100355367733,0.3583898184070235,-0.33607981340274967,2.220138580555247
local__potential_shape__A1__ct4e-06__p2,local,potential_shape,1.0,4e-06,2.0,10.73925309956036,10.371847406446106,0.35761039541634215,0.35025626978281743,-0.32456435029936337,2.1399440603082374
local__potential_shape__A1__ct4e-06__p4,local,potential_shape,1.0,4e-06,4.0,10.716591240097477,10.348642019100216,0.35586073355691666,0.3457444686827022,-0.3149886977333713,2.082145199972587
local__potential_shape__A2__ct5e-07__p1,local,potential_shape,2.0,5e-07,1.0,18.69081882268291,18.455046381867096,0.17053536654770585,0.16798954650856657,-0.11806417236094327,1.3545020889513646
local__potential_shape__A2__ct5e-07__p2,local,potential_shape,2.0,5e-07,2.0,15.463376221124161,15.538581732506138,0.154485780460985,0.15298177716750236,-0.09729995498244956,1.3062289065141846
local__potential_shape__A2__ct5e-07__p4,local,potential_shape,2.0,5e-07,4.0,13.35763712178531,13.492823337977276,0.151723315464545,0.15058437295618626,-0.09408842488235536,1.2997905046831866
local__potential_shape__A2__ct1e-06__p1,local,potential_shape,2.0,1e-06,1.0,14.944739630106445,14.669350189864568,0.18808107641887037,0.18441872008550514,-0.1386629304152956,1.4002883314600054
local__potential_shape__A2__ct1e-06__p2,local,potential_shape,2.0,1e-06,2.0,11.806379337428773,11.543027852065233,0.16293081573868706,0.1603447710096598,-0.10651797907275821,1.3213913603267147
local__potential_shape__A2__ct1e-06__p4,local,potential_shape,2.0,1e-06,4.0,10.816243138296546,10.465742614606027,0.15325783656874412,0.15184642861307576,-0.09551897056162276,1.3006225623563292
local__potential_shape__A2__ct2e-06__p1,local,potential_shape,2.0,2e-06,1.0,12.715178541882489,12.378766183337081,0.21825929253658072,0.21308278127055863,-0.1724802251309622,1.5222834429302443
local__potential_shape__A2__ct2e-06__p2,local,potential_shape,2.0,2e-06,2.0,10.928986599715081,10.573181780084283,0.19233517702332123,0.18653441825794756,-0.13608832244193994,1.3879613130833275
local__potential_shape__A2__ct2e-06__p4,local,potential_shape,2.0,2e-06,4.0,10.721460986861862,10.354221891773053,0.17449905669833035,0.16950286126413527,-0.11250916582066842,1.3222974709437842
local__potential_shape__A2__ct4e-06__p1,local,potential_shape,2.0,4e-06,1.0,11.615236291844063,11.247483371878596,0.26320519953124527,0.2565809581037382,-0.22159707868246728,1.7223683154639464
local__potential_shape__A2__ct4e-06__p2,local,potential_shape,2.0,4e-06,2.0,10.76339552504721,10.396883127440553,0.2616592243995339,0.25121996644906813,-0.2054668478081413,1.6229338154916055
local__potential_shape__A2__ct4e-06__p4,local,potential_shape,2.0,4e-06,4.0,10.716745639481198,10.34881852060543,0.27101792963851357,0.25619242416738663,-0.19363088396210584,1.505196600031415
local__potential_shape__A3__ct5e-07__p1,local,potential_shape,3.0,5e-07,1.0,23.695250133530667,23.597178467033743,0.12112644054679288,0.11994713598089847,-0.0077983736455844235,1.0491300026697719
local__potential_shape__A3__ct5e-07__p2,local,potential_shape,3.0,5e-07,2.0,18.750998505560023,19.13911969465322,0.11933498825448538,0.11900843728142564,0.016300683489569548,1.0098316868931954
local__potential_shape__A3__ct5e-07__p4,local,potential_shape,3.0,5e-07,4.0,15.408819749032268,15.907593405012216,0.11917267153277245,0.11900112220087598,0.020013438519125556,1.0040637351737718
local__potential_shape__A3__ct1e-06__p1,local,potential_shape,3.0,1e-06,1.0,17.813344146420576,17.653441596528072,0.12897623025174004,0.12650346561853942,-0.031932183997286145,1.1070117425369619
local__potential_shape__A3__ct1e-06__p2,local,potential_shape,3.0,1e-06,2.0,12.613510815378326,12.453992170099315,0.1212832344361928,0.1202836253249013,0.00559424347981995,1.0223369502661137
local__potential_shape__A3__ct1e-06__p4,local,potential_shape,3.0,1e-06,4.0,10.882535667450584,10.545627554453542,0.11958533621134067,0.1192980843761034,0.018356110364366563,1.0048087501467693
local__potential_shape__A3__ct2e-06__p1,local,potential_shape,3.0,2e-06,1.0,14.109658278876866,13.836204699363615,0.15090825601022523,0.146218766951925,-0.0720398143660822,1.203676717284432
local__potential_shape__A3__ct2e-06__p2,local,potential_shape,3.0,2e-06,2.0,11.062839123098845,10.719685712535412,0.13801268688318305,0.13370015265746665,-0.02919256147294896,1.0820067938838105
local__potential_shape__A3__ct2e-06__p4,local,potential_shape,3.0,2e-06,4.0,10.724047458245103,10.357197118395296,0.13267509152325194,0.12948628578628874,-0.0016514935279334786,1.018200643178977
local__potential_shape__A3__ct4e-06__p1,local,potential_shape,3.0,4e-06,1.0,12.216816586892897,11.87040519885204,0.19440409734119354,0.18727619520389988,-0.13141122883476464,1.3858809412049071
local__potential_shape__A3__ct4e-06__p2,local,potential_shape,3.0,4e-06,2.0,10.788846428950684,10.423549486153714,0.20265769390024646,0.1916727270780112,-0.11297189561384634,1.300372481247033
local__potential_shape__A3__ct4e-06__p4,local,potential_shape,3.0,4e-06,4.0,10.716900234736174,10.3489952776632,0.22894517312969395,0.21328231973052378,-0.10093325409310394,1.2103925063485903
local__potential_shape__A4__ct5e-07__p1,local,potential_shape,4.0,5e-07,1.0,28.706619780645664,28.741108962653698,0.143240413837582,0.14414813151289113,0.08004414916803361,0.8565794356973245
local__potential_shape__A4__ct5e-07__p2,local,potential_shape,4.0,5e-07,2.0,22.160368626748646,22.84553338956643,0.15784614484275172,0.1586584882609564,0.10624962154740336,0.8230761131631574
local__potential_shape__A4__ct5e-07__p4,local,potential_shape,4.0,5e-07,4.0,17.63634349187232,18.49155778067091,0.1602537393186375,0.16091074877358044,0.11027686105630592,0.8165526414194668
local__potential_shape__A4__ct1e-06__p1,local,potential_shape,4.0,1e-06,1.0,20.828505021439668,20.787820670288934,0.1338505649555185,0.13423738660065493,0.05364130583936494,0.9091560091391311
local__potential_shape__A4__ct1e-06__p2,local,potential_shape,4.0,1e-06,2.0,13.538619147363162,13.499697402945987,0.1520973333885834,0.15313405236437239,0.0946017293847535,0.8375546495602217
local__potential_shape__A4__ct1e-06__p4,local,potential_shape,4.0,1e-06,4.0,10.959136601195205,10.638787488953012,0.15939082639486732,0.16015262478113007,0.10847675302847223,0.8181410134128433
local__potential_shape__A4__ct2e-06__p1,local,potential_shape,4.0,2e-06,1.0,15.64927324385976,15.450937587717986,0.13101087219551208,0.1292174521562609,0.009408424802653984,0.9976857500636176
local__potential_shape__A4__ct2e-06__p2,local,potential_shape,4.0,2e-06,2.0,11.213620934717222,10.887001956449005,0.14444017740803966,0.14414279949699804,0.05643579741902623,0.8862114275864745
local__potential_shape__A4__ct2e-06__p4,local,potential_shape,4.0,2e-06,4.0,10.726683429307341,10.36023689351239,0.15717080477448328,0.15740197566336106,0.08650767570499336,0.8306158291439869
local__potential_shape__A4__ct4e-06__p1,local,potential_shape,4.0,4e-06,1.0,12.89521493492151,12.579686417132121,0.15389355270360447,0.14805995145221998,-0.05692120667681592,1.1623088204428482
local__potential_shape__A4__ct4e-06__p2,local,potential_shape,4.0,4e-06,2.0,10.815587726156815,10.451822645437826,0.17551196855430518,0.16703033498504288,-0.03717372245152247,1.0796912639423193
local__potential_shape__A4__ct4e-06__p4,local,potential_shape,4.0,4e-06,4.0,10.717055025832162,10.349172290231415,0.21820392146406606,0.205399797202424,-0.02565484474929349,1.0047233118514551
local__potential_inverse_shape__A1__ct5e-07__p1,local,potential_inverse_shape,1.0,5e-07,1.0,16.34405075178738,17.496440219781018,0.42960208344356693,0.42785572760996154,-0.4083998153463087,2.6105299303394394
local__potential_inverse_shape__A1__ct5e-07__p2,local,potential_inverse_shape,1.0,5e-07,2.0,13.736722089616547,14.283184892345094,0.42314989353642174,0.42171619641835917,-0.40188318548388163,2.573770995065413
local__potential_inverse_shape__A1__ct5e-07__p4,local,potential_inverse_shape,1.0,5e-07,4.0,12.039635151007879,12.163607668492785,0.4220089756272223,0.4207044624024083,-0.40082830024458344,2.5704744546522678
local__potential_inverse_shape__A1__ct1e-06__p1,local,potential_inverse_shape,1.0,1e-06,1.0,13.445048797555593,13.852711681211149,0.4357975781971413,0.43375179723208096,-0.41462708762521333,2.6481867164304393
local__potential_inverse_shape__A1__ct1e-06__p2,local,potential_inverse_shape,1.0,1e-06,2.0,11.268739682906642,11.070409721479782,0.4263556735918267,0.4245708613544997,-0.4048469710515426,2.584022558313864
local__potential_inverse_shape__A1__ct1e-06__p4,local,potential_inverse_shape,1.0,1e-06,4.0,10.742571586766294,10.386071868367738,0.42259520934227496,0.4211917867692884,-0.40131939992423227,2.5708375367019176
local__potential_inverse_shape__A1__ct2e-06__p1,local,potential_inverse_shape,1.0,2e-06,1.0,11.876874958531614,11.831715602459346,0.445359651310683,0.4429658740878824,-0.4243541880734534,2.710881588766198
local__potential_inverse_shape__A1__ct2e-06__p2,local,potential_inverse_shape,1.0,2e-06,2.0,10.80552806954564,10.460210858933124,0.4359038335328239,0.4332372542817799,-0.41381727941746244,2.623889242862262
local__potential_inverse_shape__A1__ct2e-06__p4,local,potential_inverse_shape,1.0,2e-06,4.0,10.717276837650038,10.349719221291638,0.4290538840416444,0.4266087132913676,-0.40670881484440274,2.5781120509801023
local__potential_inverse_shape__A1__ct4e-06__p1,local,potential_inverse_shape,1.0,4e-06,1.0,11.187772028791677,10.937928659286845,0.4580562412429562,0.45541425026660864,-0.43751318573426434,2.802469150822006
local__potential_inverse_shape__A1__ct4e-06__p2,local,potential_inverse_shape,1.0,4e-06,2.0,10.734254486104902,10.37007015406009,0.4551137985459012,0.45143233706869595,-0.43279496085218355,2.7388589249169932
local__potential_inverse_shape__A1__ct4e-06__p4,local,potential_inverse_shape,1.0,4e-06,4.0,10.716486053792973,10.348539321009886,0.45286662158343205,0.4481225932987278,-0.42855497157282324,2.6869068799257194
local__potential_inverse_shape__A2__ct5e-07__p1,local,potential_inverse_shape,2.0,5e-07,1.0,24.708405604459312,27.67396301745312,0.3653075240123311,0.36308104545780134,-0.337693231103198,2.2198340351720915
local__potential_inverse_shape__A2__ct5e-07__p2,local,potential_inverse_shape,2.0,5e-07,2.0,18.852856882072825,20.687972886738493,0.3548038695597356,0.3530859256338326,-0.32673628709556624,2.1624073327432014
local__potential_inverse_shape__A2__ct5e-07__p4,local,potential_inverse_shape,2.0,5e-07,4.0,14.714623471293422,15.666551350570243,0.3529715267967695,0.35145995726278495,-0.3249793157997635,2.1575992166871942
local__potential_inverse_shape__A2__ct1e-06__p1,local,potential_inverse_shape,2.0,1e-06,1.0,18.041735906685567,19.61158538019755,0.3755919523356563,0.3728618414995395,-0.34829163744555974,2.2741699270150875
local__potential_inverse_shape__A2__ct1e-06__p2,local,potential_inverse_shape,2.0,1e-06,2.0,12.321099151094614,12.46749939673336,0.36002950546520496,0.35773908530393494,-0.3317071933538045,2.180612395284225
local__potential_inverse_shape__A2__ct1e-06__p4,local,potential_inverse_shape,2.0,1e-06,4.0,10.794297446755072,10.459562720686232,0.3539080952874756,0.35224010970547204,-0.32579339616261266,2.1584294163365287
local__potential_inverse_shape__A2__ct2e-06__p1,local,potential_inverse_shape,2.0,2e-06,1.0,13.948690597832373,14.503850398772256,0.3917945709714248,0.38845278630741087,-0.36508967954196864,2.3480002442231442
local__potential_inverse_shape__A2__ct2e-06__p2,local,potential_inverse_shape,2.0,2e-06,2.0,10.942844817483705,10.640147969851597,0.3760953499233181,0.372297880647866,-0.34701093223259977,2.2427252865053657
local__potential_inverse_shape__A2__ct2e-06__p4,local,potential_inverse_shape,2.0,2e-06,4.0,10.718231468901847,10.3511340163773,0.3648015030464875,0.36137861306151803,-0.33494163487878403,2.190542445301937
local__potential_inverse_shape__A2__ct4e-06__p1,local,potential_inverse_shape,2.0,4e-06,1.0,11.990539166001751,11.982616216687303,0.413845875862375,0.4100280692733325,-0.38826956005275326,2.4693688835409597
local__potential_inverse_shape__A2__ct4e-06__p2,local,potential_inverse_shape,2.0,4e-06,2.0,10.75543415382021,10.396463050812889,0.40961265060866264,0.4039550407861432,-0.3802820698461315,2.416047419975482
local__potential_inverse_shape__A2__ct4e-06__p4,local,potential_inverse_shape,2.0,4e-06,4.0,10.716535523522706,10.348613504704401,0.40736273734348155,0.3997427548750464,-0.3734597814926033,2.3896045375706305
local__potential_inverse_shape__A3__ct5e-07__p1,local,potential_inverse_shape,3.0,5e-07,1.0,33.1763467638737,37.739439237392986,0.31242717873856357,0.3098017764779522,-0.2771855785466555,1.9155672784049638
local__potential_inverse_shape__A3__ct5e-07__p2,local,potential_inverse_shape,3.0,5e-07,2.0,24.403897018810827,27.41716341364125,0.2994367358750043,0.29744084722770014,-0.26299314613136093,1.877507298836516
local__potential_inverse_shape__A3__ct5e-07__p4,local,potential_inverse_shape,3.0,5e-07,4.0,17.902862085542345,19.670447106448005,0.29719878219397056,0.29545441757456076,-0.2607329880845821,1.8731705713162041
local__potential_inverse_shape__A3__ct1e-06__p1,local,potential_inverse_shape,3.0,1e-06,1.0,23.14496866129163,25.815282440677546,0.3253976302244328,0.32212869899448976,-0.29103579145808856,1.9772385053571084
local__potential_inverse_shape__A3__ct1e-06__p2,local,potential_inverse_shape,3.0,1e-06,2.0,13.710754715248068,14.27791369221931,0.30591365574795953,0.30320623133193475,-0.26941950924529384,1.884317918901972
local__potential_inverse_shape__A3__ct1e-06__p4,local,potential_inverse_shape,3.0,1e-06,4.0,10.870196693154156,10.566697770085911,0.29833865789530056,0.29640564950572146,-0.261776465686978,1.8741045844495936
local__potential_inverse_shape__A3__ct2e-06__p1,local,potential_inverse_shape,3.0,2e-06,1.0,16.501889128830037,17.716963176286633,0.3462421932170618,0.3421610385605109,-0.3132305831909669,2.090203757990894
local__potential_inverse_shape__A3__ct2e-06__p2,local,potential_inverse_shape,3.0,2e-06,2.0,11.124862499093021,10.882366969908466,0.3264529627151974,0.32178894496490623,-0.2894566179519792,1.988727364984694
local__potential_inverse_shape__A3__ct2e-06__p4,local,potential_inverse_shape,3.0,2e-06,4.0,10.719300557267928,10.35270960613336,0.3123165437431246,0.3081346265006103,-0.27370902368219624,1.8963203875390189
local__potential_inverse_shape__A3__ct4e-06__p1,local,potential_inverse_shape,3.0,4e-06,1.0,13.042562372732267,13.34679170320812,0.37527718692023976,0.3705184360847177,-0.3443347089935956,2.2336252891818065
local__potential_inverse_shape__A3__ct4e-06__p2,local,potential_inverse_shape,3.0,4e-06,2.0,10.779922254426019,10.427558087581255,0.37081625480193864,0.36358679834431207,-0.33396483211675587,2.169479271480247
local__potential_inverse_shape__A3__ct4e-06__p4,local,potential_inverse_shape,3.0,4e-06,4.0,10.71658544571302,10.348688324138655,0.3700162218733682,0.3600509993634342,-0.3255232560323285,2.0987902538046823
local__potential_inverse_shape__A4__ct5e-07__p1,local,potential_inverse_shape,4.0,5e-07,1.0,41.33958011818961,47.34635319269286,0.26870177078809493,0.2657397443589071,-0.2242541061165849,1.7053211110673814
local__potential_inverse_shape__A4__ct5e-07__p2,local,potential_inverse_shape,4.0,5e-07,2.0,29.934618217960196,34.016300652052415,0.2544691031063836,0.2522011724050271,-0.207592631409508,1.6414850818260867
local__potential_inverse_shape__A4__ct5e-07__p4,local,potential_inverse_shape,4.0,5e-07,4.0,21.238870490609354,23.75535644991932,0.25205267249666535,0.2500567933073629,-0.2049532210090548,1.6333452668910295
local__potential_inverse_shape__A4__ct1e-06__p1,local,potential_inverse_shape,4.0,1e-06,1.0,28.3126887189127,31.99636735760743,0.2832558443678162,0.27955848749823115,-0.2406243797277983,1.7748270219336066
local__potential_inverse_shape__A4__ct1e-06__p2,local,potential_inverse_shape,4.0,1e-06,2.0,15.311170978037959,16.318617388222282,0.2615857174368708,0.25853040531103466,-0.21512532443700838,1.667891894551294
local__potential_inverse_shape__A4__ct1e-06__p4,local,potential_inverse_shape,4.0,1e-06,4.0,10.968808020085318,10.705112257246382,0.25328082599697765,0.25108347007639875,-0.20616837295554127,1.6354924500835333
local__potential_inverse_shape__A4__ct2e-06__p1,local,potential_inverse_shape,4.0,2e-06,1.0,19.282934104471252,21.14479115761541,0.3071826893505961,0.3025203610154547,-0.2670848435905867,1.900202599094788
local__potential_inverse_shape__A4__ct2e-06__p2,local,potential_inverse_shape,4.0,2e-06,2.0,11.34784840525377,11.18054253769132,0.28496760641730445,0.2796419300539867,-0.23884419693700143,1.7797417350050395
local__potential_inverse_shape__A4__ct2e-06__p4,local,potential_inverse_shape,4.0,2e-06,4.0,10.720483728194923,10.354445433997416,0.26925324928858957,0.26448692361986714,-0.2202519508477684,1.6768576652016423
local__potential_inverse_shape__A4__ct4e-06__p1,local,potential_inverse_shape,4.0,4e-06,1.0,14.271819126787651,14.920067744184692,0.3413505482206438,0.33583174368249097,-0.30463156451965384,2.0805559705101935
local__potential_inverse_shape__A4__ct4e-06__p2,local,potential_inverse_shape,4.0,4e-06,2.0,10.807663122661761,10.463264562221108,0.3374240745706673,0.3289396515053663,-0.292460755803193,1.9865668956778975
local__potential_inverse_shape__A4__ct4e-06__p4,local,potential_inverse_shape,4.0,4e-06,4.0,10.716635820272456,10.348763779178016,0.3391117304280245,0.3272354642596412,-0.2830009280663492,1.8905883109124957
