galaxy,n_points_theory,sigma_v_true,Q_gal,G_sigma,K_mean,rms_gr_theory,rms_theory,delta_rms_theory,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,sigma_gate,accel_gate_min,accel_gate_median,accel_gate_max,n_points_emp,rms_gr_emp,rms_metric_resonance_sigma,delta_rms_emp,delta_emp,delta_theory,delta_emp_vs_gr,delta_theory_vs_gr
F579-V1,14,16.65,4.53339738739637,0.8192792004641238,-0.1399646574922878,38.60867712662157,42.91713761870048,4.308460492078908,data\Rotmod_LTG\F579-V1_rotmod.dat,16.65,25.0,1.5,5.694915875549634,3.689576554427001,0.6478720028627128,0.952060890493486,0.9840158872242116,0.9986807198559092,14,38.60867712662157,27.892722038832957,-10.715955087788618,-10.715955087788618,4.308460492078908,-10.715955087788615,4.308460492078908
F583-1,25,11.2875,3.4201294221425065,0.77376228058153,-0.1483749567886925,32.7530184892085,34.4738145004487,1.7207960112401963,data\Rotmod_LTG\F583-1_rotmod.dat,11.2875,25.0,1.5,5.694915875549634,4.369344962388618,0.7672360852857935,0.9994692467867262,0.9998705919076696,0.9999665360761972,25,32.7530184892085,26.72249350140204,-6.030524987806459,-6.030524987806459,1.7207960112401963,-6.030524987806459,1.7207960112401963
F583-4,12,9.12,4.412521574465283,0.8152432306750126,-0.1798793057568559,19.018287399996733,22.201817596610777,3.1835301966140435,data\Rotmod_LTG\F583-4_rotmod.dat,9.12,25.0,1.5,5.694915875549634,4.666684823554771,0.8194475433062258,0.994371758540885,0.9988309339207504,0.9999003939108608,12,19.018287399996733,13.526658648090711,-5.4916287519060205,-5.4916287519060205,3.1835301966140435,-5.491628751906022,3.1835301966140435
IC2574,34,9.36,3.825412526926844,0.7927638322278595,-0.2479012020272597,18.897457874966214,22.117544697007023,3.220086822040805,data\Rotmod_LTG\IC2574_rotmod.dat,9.36,25.0,1.5,5.694915875549634,4.633445616959788,0.813610897546858,0.9998571837239923,0.9998999923937189,0.9999568893563404,34,18.897457874966214,10.282108794255128,-8.615349080711091,-8.615349080711091,3.220086822040805,-8.615349080711086,3.220086822040809
IC4202,32,36.6,5.561352400608512,0.8475923957525497,-0.1570025632728654,35.22311818624543,37.6100485014214,2.3869303151759667,data\Rotmod_LTG\IC4202_rotmod.dat,36.6,25.0,1.5,5.694915875549634,2.054902935228128,0.3608311308074946,0.0021707385875752,0.2358153176776553,0.9048496444793844,32,35.22311818624543,35.71306593687883,0.489947750633398,0.489947750633398,2.3869303151759667,0.489947750633398,2.3869303151759738
KK98-251,15,4.32,4.954518148693562,0.8320602985785839,-0.3023716488311024,7.801556034620339,10.734443168905454,2.9328871342851146,data\Rotmod_LTG\KK98-251_rotmod.dat,4.32,25.0,1.5,5.694915875549634,5.313256127751479,0.9329823730256034,0.9996718746710124,0.9998111349972724,0.9999964288190644,15,7.801556034620339,7.719909636394616,-0.0816463982257227,-0.0816463982257227,2.9328871342851146,-0.08164639822572362,2.9328871342851146
NGC0024,29,15.975,3.335913363012029,0.7693680855040586,-0.1375142022579319,32.600734022504845,36.2529921246987,3.652258102193855,data\Rotmod_LTG\NGC0024_rotmod.dat,15.975,25.0,1.5,5.694915875549634,3.769469226999288,0.6619007741945766,0.621858275191117,0.740194515426716,0.9998025701340516,29,32.600734022504845,28.253845131236528,-4.346888891268318,-4.346888891268318,3.652258102193855,-4.346888891268318,3.652258102193855
NGC0055,21,12.8625,4.465229828174872,0.8170250782785556,-0.295662810095627,22.25378039182271,29.592323929044355,7.338543537221646,data\Rotmod_LTG\NGC0055_rotmod.dat,12.8625,25.0,1.5,5.694915875549634,4.159775842921373,0.7304367498703219,0.9848343924495134,0.9972921823889545,0.9994402872606,21,22.25378039182271,6.955539882483777,-15.298240509338932,-15.298240509338932,7.338543537221646,-15.298240509338932,7.338543537221646
NGC0100,21,12.802499999999998,3.6191926395942033,0.783511951541417,-0.1338747851492865,26.631135883562084,29.124497961153576,2.493362077591492,data\Rotmod_LTG\NGC0100_rotmod.dat,12.802499999999998,25.0,1.5,5.694915875549634,4.167627467775052,0.7318154576555219,0.9558761235589656,0.9936491853074958,0.9996573273838604,21,26.631135883562084,15.918551781613552,-10.712584101948533,-10.712584101948533,2.493362077591492,-10.712584101948533,2.4933620775914918
NGC0247,26,15.75,3.974356754874476,0.7989689824679183,-0.2503124736182703,32.17495623382241,38.87073246888927,6.695776235066866,data\Rotmod_LTG\NGC0247_rotmod.dat,15.75,25.0,1.5,5.694915875549634,3.796491632552377,0.6666457794138998,0.993765133499802,0.9969187402441366,0.9994904840674812,26,32.17495623382241,13.99007181420217,-18.18488441962024,-18.18488441962024,6.695776235066866,-18.18488441962024,6.695776235066866
NGC0289,28,25.5,3.5257002925467567,0.7790397208478717,-0.194972201613135,55.64994944279936,59.38524191401023,3.735292471210876,data\Rotmod_LTG\NGC0289_rotmod.dat,25.5,25.0,1.5,5.694915875549634,2.805170685771775,0.4925745607262441,0.002996200626601,0.9965395232165484,0.9999641604973404,28,55.64994944279936,48.35071293115809,-7.299236511641261,-7.299236511641261,3.735292471210876,-7.2992365116412685,3.735292471210869
NGC0300,25,13.9725,3.095682191975908,0.7558404306957316,-0.2229723105132896,36.12032545823501,41.043939432339926,4.923613974104917,data\Rotmod_LTG\NGC0300_rotmod.dat,13.9725,25.0,1.5,5.694915875549634,4.016638033541042,0.7053024348938929,0.9575850651449042,0.9976207188874018,0.9998962520152096,25,36.12032545823501,23.03472603401266,-13.085599424222348,-13.085599424222348,4.923613974104917,-13.085599424222348,4.923613974104917
NGC0801,13,33.15,5.805452561138789,0.853059000703303,-0.2266921294475916,37.74096372602602,23.925060863239374,-13.81590286278665,data\Rotmod_LTG\NGC0801_rotmod.dat,33.15,25.0,1.5,5.694915875549634,2.253701652494239,0.395739235090409,0.0012238630294224,0.418850441683148,0.995932648867592,13,37.74096372602602,48.721574907121024,10.980611181095,10.980611181095,-13.81590286278665,10.980611181095007,-13.815902862786643
NGC0891,18,32.85,6.480227995882293,0.8663142352678984,-0.2111721023323233,69.84503892878418,41.60604561870218,-28.238993310081995,data\Rotmod_LTG\NGC0891_rotmod.dat,32.85,25.0,1.5,5.694915875549634,2.2722982521280235,0.3990047090746037,4.5035998460542095e-05,0.0642238778279955,0.6951177427266658,18,69.84503892878418,76.16183733854916,6.316798409764985,6.316798409764985,-28.238993310081995,6.316798409764985,-28.238993310081995
NGC1003,36,16.65,2.717663032648767,0.7310138139960689,-0.2016794050609801,48.153251971836,52.44802841610689,4.294776444270887,data\Rotmod_LTG\NGC1003_rotmod.dat,16.65,25.0,1.5,5.694915875549634,3.689576554427001,0.6478720028627128,0.6254925422175063,0.9997476223395304,0.9999894233109208,36,48.153251971836,26.740527457619653,-21.412724514216347,-21.412724514216347,4.294776444270887,-21.412724514216347,4.294776444270887
NGC1090,24,24.6,4.973854072785542,0.8326038788668115,-0.0876881425902428,25.712295442140157,27.337571159998767,1.6252757178586137,data\Rotmod_LTG\NGC1090_rotmod.dat,24.6,25.0,1.5,5.694915875549634,2.881902060082282,0.5060482231977028,0.038379813268939,0.867157155674946,0.9965713807058652,24,25.712295442140157,37.04164347657497,11.329348034434815,11.329348034434815,1.6252757178586137,11.329348034434812,1.6252757178586101
NGC1705,14,10.725,2.3367224919976417,0.70030471446209,-0.147075618135381,38.06804446988434,40.41352183211179,2.3454773622274487,data\Rotmod_LTG\NGC1705_rotmod.dat,10.725,25.0,1.5,5.694915875549634,4.445725606530262,0.7806481612164624,0.175681836512895,0.998786555260048,0.9999688259592966,14,38.06804446988434,36.60762899136752,-1.460415478516822,-1.460415478516822,2.3454773622274487,-1.460415478516822,2.3454773622274487
NGC2366,26,7.619999999999999,3.944237019952895,0.7977443241567073,-0.2051687164094294,16.360956127974482,19.169912086255383,2.808955958280901,data\Rotmod_LTG\NGC2366_rotmod.dat,7.619999999999999,25.0,1.5,5.694915875549634,4.874631831063161,0.8559620436171406,0.995729059381395,0.9993034196202728,0.9999221059584168,26,16.360956127974482,14.545277732419132,-1.8156783955553504,-1.8156783955553504,2.808955958280901,-1.8156783955553504,2.808955958280901
NGC2403,73,20.175,3.0605890334693844,0.7537303106131882,-0.0979217155023859,37.895599436401874,39.6789431008992,1.7833436644973304,data\Rotmod_LTG\NGC2403_rotmod.dat,20.175,25.0,1.5,5.694915875549634,3.3014890213124057,0.57972568751839,0.0709155323701001,0.5455159509791588,0.9998099317542076,73,37.895599436401874,16.107247981504923,-21.78835145489695,-21.78835145489695,1.7833436644973304,-21.78835145489695,1.7833436644973233
NGC2683,11,25.575,4.395406842445674,0.8146571650291506,-0.4441343107279602,33.117970053884335,65.34073299184739,32.222762937963054,data\Rotmod_LTG\NGC2683_rotmod.dat,25.575,25.0,1.5,5.694915875549634,2.7989003459981534,0.4914735190408801,0.0057555062728393,0.93010929641193,0.9990726369416234,11,33.117970053884335,32.195720773363654,-0.9222492805206812,-0.9222492805206812,32.222762937963054,-0.9222492805206812,32.222762937963054
NGC2841,50,42.675,3.172918132883218,0.7603595450100372,-0.4630489738299861,87.87483219228517,146.9044908613042,59.02965866901903,data\Rotmod_LTG\NGC2841_rotmod.dat,42.675,25.0,1.5,5.694915875549634,1.7630045500914078,0.3095751699617959,0.0020094774293798,0.1716024758579089,0.9992808617027684,50,87.87483219228517,75.18660553286212,-12.688226659423052,-12.688226659423052,59.02965866901903,-12.688226659423052,59.02965866901903
NGC2903,34,27.525,4.662506576988285,0.8233997636199004,-0.0961079066467908,61.46052574802574,53.70423924430224,-7.756286503723501,data\Rotmod_LTG\NGC2903_rotmod.dat,27.525,25.0,1.5,5.694915875549634,2.6423295314456583,0.463980432580251,1.6064729056650642e-05,0.2290490145673008,0.9922979112798914,34,61.46052574802574,58.68994609961475,-2.770579648410987,-2.770579648410987,-7.756286503723501,-2.770579648410987,-7.756286503723501
NGC2915,30,12.315,2.122239564308874,0.67971708147214,-0.1250415864283398,48.7574283509878,50.243140509784894,1.4857121587970925,data\Rotmod_LTG\NGC2915_rotmod.dat,12.315,25.0,1.5,5.694915875549634,4.231829983581911,0.7430891124749905,0.1225801568465202,0.9998690304329434,0.9999896767539432,30,48.7574283509878,43.50446910989039,-5.252959241097415,-5.252959241097415,1.4857121587970925,-5.252959241097415,1.4857121587970923
NGC2955,24,40.35,5.92121323107485,0.85551666064698,-0.1640611763160661,44.13666718347167,25.754144103581503,-18.38252307989016,data\Rotmod_LTG\NGC2955_rotmod.dat,40.35,25.0,1.5,5.694915875549634,1.8668924264228173,0.3278173843512022,0.0004840953938083,0.0203917647030125,0.9313556551174644,24,44.13666718347167,48.388396154037466,4.2517289705658,4.2517289705658,-18.38252307989016,4.251728970565793,-18.38252307989017
NGC2976,27,11.745,7.106352154758122,0.8766399508793807,-0.1897742407715812,3.684550553964745,5.916201635356356,2.2316510813916115,data\Rotmod_LTG\NGC2976_rotmod.dat,11.745,25.0,1.5,5.694915875549634,4.307770262889055,0.7564238624461329,0.2734516244149652,0.5768868374430498,0.9281710378149646,27,3.684550553964745,3.674286199407667,-0.0102643545570773,-0.0102643545570773,2.2316510813916115,-0.010264354557077748,2.231651081391611
NGC2998,13,31.875,5.149415577265974,0.8373829207938164,-0.0898156042701219,35.122227450196725,39.16330192251589,4.041074472319167,data\Rotmod_LTG\NGC2998_rotmod.dat,31.875,25.0,1.5,5.694915875549634,2.3342902546117656,0.4098902083231346,0.0236260825503477,0.3636803140382141,0.9958032089159662,13,35.122227450196725,31.214664135625267,-3.9075633145714574,-3.9075633145714574,4.041074472319167,-3.9075633145714583,4.041074472319167
NGC3109,25,9.5325,2.461223756637931,0.711084844462251,-0.1595934403980446,29.98697739724072,31.50818912036014,1.521211723119421,data\Rotmod_LTG\NGC3109_rotmod.dat,9.5325,25.0,1.5,5.694915875549634,4.609585247593902,0.8094211307641163,0.9998384424177024,0.9999506757453352,0.9999987122496308,25,29.98697739724072,28.11836511222969,-1.8686122850110325,-1.8686122850110325,1.521211723119421,-1.8686122850110323,1.5212117231194178
NGC3198,43,22.275,3.60786828862372,0.7829799079828558,-0.0913991932293197,37.60592238748666,39.14414180408512,1.5382194165984586,data\Rotmod_LTG\NGC3198_rotmod.dat,22.275,25.0,1.5,5.694915875549634,3.0933148908972723,0.54317130551094,0.0147720065220399,0.5880971583851544,0.9999103855584436,43,37.60592238748666,25.348639096369272,-12.257283291117384,-12.257283291117384,1.5382194165984586,-12.257283291117385,1.5382194165984657
NGC3521,41,31.5,5.652423779496579,0.8496788489208854,-0.1623611081369339,52.51577662137675,32.74858204565334,-19.76719457572341,data\Rotmod_LTG\NGC3521_rotmod.dat,31.5,25.0,1.5,5.694915875549634,2.3587815145617386,0.4141907564761148,6.938151541518433e-05,0.0035908152653405,0.9266434860823524,41,52.51577662137675,51.73723932812386,-0.7785372932528887,-0.7785372932528887,-19.76719457572341,-0.7785372932528887,-19.76719457572341
NGC3726,12,24.15,4.866257608939706,0.8295335686458637,-0.5774985633750863,35.31058676501566,60.227714791856044,24.917128026840388,data\Rotmod_LTG\NGC3726_rotmod.dat,24.15,25.0,1.5,5.694915875549634,2.9213146312795946,0.512968882266,0.1529504433157439,0.7377388861795373,0.99852508652611,12,35.31058676501566,50.365583621890416,15.05499685687476,15.05499685687476,24.917128026840388,15.054996856874759,24.917128026840388
NGC3741,21,7.14,2.025444949982094,0.6694701055440065,-0.1877310498596536,25.07618692122832,26.29006521217844,1.2138782909501202,data\Rotmod_LTG\NGC3741_rotmod.dat,7.14,25.0,1.5,5.694915875549634,4.940805279628315,0.8675817848058139,0.9922907484480196,0.9999915837170424,0.999999263125246,21,25.07618692122832,23.82899846773333,-1.247188453494985,-1.247188453494985,1.2138782909501202,-1.2471884534949886,1.2138782909501202
NGC3769,12,17.925,3.394425084749677,0.772438946912446,-0.3027278333865049,38.65390422651838,44.2003409655832,5.546436739064816,data\Rotmod_LTG\NGC3769_rotmod.dat,17.925,25.0,1.5,5.694915875549634,3.5435406822753275,0.6222288019194541,0.035925497776577,0.98307459162837,0.999978625025872,12,38.65390422651838,27.779705434207777,-10.8741987923106,-10.8741987923106,5.546436739064816,-10.874198792310601,5.5464367390648235
NGC3877,13,25.2,7.922125708625197,0.8879190864758518,-0.2417869274476388,29.10908735068305,19.34150481344324,-9.767582537239814,data\Rotmod_LTG\NGC3877_rotmod.dat,25.2,25.0,1.5,5.694915875549634,2.830441369413644,0.4970119719530482,0.0170167906571713,0.1852421276633809,0.4604699480739359,13,29.10908735068305,40.65528594553025,11.5461985948472,11.5461985948472,-9.767582537239814,11.546198594847201,-9.76758253723981
NGC3893,10,27.375,5.175454377380151,0.8380685956222325,-0.3565383225355778,33.81205976768977,45.46288820320386,11.650828435514091,data\Rotmod_LTG\NGC3893_rotmod.dat,27.375,25.0,1.5,5.694915875549634,2.6539422708841496,0.4660195741044216,0.0022100580827345,0.5062721339553286,0.9794465399649288,10,33.81205976768977,28.677312961634826,-5.134746806054945,-5.134746806054945,11.650828435514091,-5.134746806054942,11.650828435514093
NGC3917,17,20.55,4.949017264816354,0.83190500960315,-0.2134653565395055,26.00930886489981,35.01196804417275,9.002659179272932,data\Rotmod_LTG\NGC3917_rotmod.dat,20.55,25.0,1.5,5.694915875549634,3.2630761928322385,0.5729805784913915,0.8329571381011815,0.9144127762000392,0.992929394646872,17,26.00930886489981,14.840207810365523,-11.16910105453429,-11.16910105453429,9.002659179272932,-11.169101054534288,9.002659179272936
NGC3949,7,23.55,7.754507811424418,0.8857731329344382,-0.4833622453941748,32.027021331325585,26.672261965972968,-5.354759365352617,data\Rotmod_LTG\NGC3949_rotmod.dat,23.55,25.0,1.5,5.694915875549634,2.9749743096672256,0.5223912652406129,0.0089850377085753,0.0479666725478975,0.3642484022847903,7,32.027021331325585,32.453221574625466,0.4262002432998812,0.4262002432998812,-5.354759365352617,0.42620024329988127,-5.354759365352617
