alpha,lam_coh_kpc,lam_cut_kpc,A_global,burr_ell0_kpc,phase_sign,corr_K_emp_theory,rms_theory,rms_empirical,rms_gr,delta_rms_vs_emp,delta_rms_vs_gr
3.0,10.0,900.0,5.0,5.0,1.0,-0.9961121198739854,44.333217245451834,39.57075032402997,111.37021851783247,4.762466921421861,-67.03700127238064
3.0,10.0,900.0,5.0,10.0,1.0,-0.9958180214830735,52.901179977378234,39.57075032402997,111.37021851783247,13.330429653348261,-58.469038540454235
3.0,10.0,900.0,5.0,40.0,1.0,-0.9953171509085755,76.88318297545676,39.57075032402997,111.37021851783247,37.31243265142679,-34.48703554237571
3.0,10.0,900.0,10.0,5.0,1.0,-0.9961121198739854,60.23022294203176,39.57075032402997,111.37021851783247,20.659472618001786,-51.13999557580071
3.0,10.0,900.0,10.0,10.0,1.0,-0.9958180214830735,44.622718756498536,39.57075032402997,111.37021851783247,5.051968432468563,-66.74749976133393
3.0,10.0,900.0,10.0,40.0,1.0,-0.9953171509085755,53.2220966059895,39.57075032402997,111.37021851783247,13.651346281959526,-58.14812191184297
3.0,10.0,900.0,15.0,5.0,1.0,-0.9961121198739851,102.01469954682155,39.57075032402997,111.37021851783247,62.443949222791574,-9.355518971010923
3.0,10.0,900.0,15.0,10.0,1.0,-0.995818021483074,72.3717082904747,39.57075032402997,111.37021851783247,32.80095796644473,-38.99851022735777
3.0,10.0,900.0,15.0,40.0,1.0,-0.9953171509085756,41.51221399772626,39.57075032402997,111.37021851783247,1.9414636736962905,-69.8580045201062
3.0,10.0,900.0,20.0,5.0,1.0,-0.9961121198739854,142.18323005229448,39.57075032402997,111.37021851783247,102.6124797282645,30.813011534462007
3.0,10.0,900.0,20.0,10.0,1.0,-0.9958180214830735,104.67709300382315,39.57075032402997,111.37021851783247,65.10634267979317,-6.693125514009324
3.0,10.0,900.0,20.0,40.0,1.0,-0.9953171509085755,44.026738894244424,39.57075032402997,111.37021851783247,4.455988570214451,-67.34347962358805
3.0,10.0,1300.0,5.0,5.0,1.0,-0.9961120624015406,44.33318896748322,39.57075032402997,111.37021851783247,4.762438643453244,-67.03702955034925
3.0,10.0,1300.0,5.0,10.0,1.0,-0.9958179599696968,52.90114762227707,39.57075032402997,111.37021851783247,13.3303972982471,-58.4690708955554
3.0,10.0,1300.0,5.0,40.0,1.0,-0.9953170821414551,76.88316016436526,39.57075032402997,111.37021851783247,37.31240984033529,-34.487058353467205
3.0,10.0,1300.0,10.0,5.0,1.0,-0.9961120624015406,60.230266501047566,39.57075032402997,111.37021851783247,20.659516177017593,-51.1399520167849
3.0,10.0,1300.0,10.0,10.0,1.0,-0.9958179599696968,44.6227309872865,39.57075032402997,111.37021851783247,5.051980663256529,-66.74748753054597
3.0,10.0,1300.0,10.0,40.0,1.0,-0.9953170821414551,53.22206428989647,39.57075032402997,111.37021851783247,13.6513139658665,-58.148154227936
3.0,10.0,1300.0,15.0,5.0,1.0,-0.9961120624015405,102.0147791696399,39.57075032402997,111.37021851783247,62.44402884560992,-9.355439348192576
3.0,10.0,1300.0,15.0,10.0,1.0,-0.9958179599696968,72.37176626729016,39.57075032402997,111.37021851783247,32.80101594326018,-38.998452250542314
3.0,10.0,1300.0,15.0,40.0,1.0,-0.9953170821414553,41.512193551071285,39.57075032402997,111.37021851783247,1.9414432270413116,-69.85802496676118
3.0,10.0,1300.0,20.0,5.0,1.0,-0.9961120624015406,142.1833318056119,39.57075032402997,111.37021851783247,102.61258148158194,30.813113287779444
3.0,10.0,1300.0,20.0,10.0,1.0,-0.9958179599696968,104.67717506150615,39.57075032402997,111.37021851783247,65.10642473747617,-6.693043456326322
3.0,10.0,1300.0,20.0,40.0,1.0,-0.9953170821414551,44.026750615867776,39.57075032402997,111.37021851783247,4.456000291837803,-67.34346790196469
3.0,40.0,500.0,5.0,5.0,1.0,-0.9960956359219058,44.32167480360009,39.57075032402997,111.37021851783247,4.750924479570116,-67.04854371423238
3.0,40.0,500.0,5.0,10.0,1.0,-0.9958006028394581,52.888054644435435,39.57075032402997,111.37021851783247,13.317304320405462,-58.482163873397035
3.0,40.0,500.0,5.0,40.0,1.0,-0.9952982773655228,76.87396723320273,39.57075032402997,111.37021851783247,37.30321690917276,-34.496251284629736
3.0,40.0,500.0,10.0,5.0,1.0,-0.9960956359219058,60.24753317473161,39.57075032402997,111.37021851783247,20.676782850701635,-51.12268534310086
3.0,40.0,500.0,10.0,10.0,1.0,-0.9958006028394581,44.62741420589912,39.57075032402997,111.37021851783247,5.056663881869149,-66.74280431193336
3.0,40.0,500.0,10.0,40.0,1.0,-0.9952982773655228,53.208990215899746,39.57075032402997,111.37021851783247,13.638239891869773,-58.161228301932724
3.0,40.0,500.0,15.0,5.0,1.0,-0.9960956359219054,102.04656346188267,39.57075032402997,111.37021851783247,62.4758131378527,-9.3236550559498
3.0,40.0,500.0,15.0,10.0,1.0,-0.9958006028394583,72.39484639136668,39.57075032402997,111.37021851783247,32.82409606733671,-38.975372126465786
3.0,40.0,500.0,15.0,40.0,1.0,-0.9952982773655222,41.50380491474347,39.57075032402997,111.37021851783247,1.9330545907134962,-69.866413603089
3.0,40.0,500.0,20.0,5.0,1.0,-0.9960956359219058,142.22402052594884,39.57075032402997,111.37021851783247,102.65327020191887,30.853802008116375
3.0,40.0,500.0,20.0,10.0,1.0,-0.9958006028394581,104.70995049032977,39.57075032402997,111.37021851783247,65.1392001662998,-6.6602680275026955
