galaxy,sigma_v,Q,K_mean,G_emp
NGC4088,25.875,7.729468599033816,-1.1089813745707504,0.8854454897620366
NGC4100,25.725,7.774538386783284,-1.1090724122160216,0.886033890796323
NGC4138,24.3,8.23045267489712,-1.1099701293192392,0.8916629514043691
NGC4157,27.675,7.226738934056007,-1.1079344106315934,0.878445152080817
NGC4183,16.5,12.121212121212121,-1.1164944875507146,0.9237875288683602
NGC4214,12.015,16.645859342488556,-1.1228120093146903,0.9433294814046176
NGC4217,27.675,7.226738934056007,-1.1079344106315934,0.878445152080817
NGC4389,11.4525,17.463435931019426,-1.1238812635328777,0.9458388999893593
NGC4559,18.3,10.92896174863388,-1.1146539996495743,0.9161704076958315
NGC5005,39.6,5.05050505050505,-1.1024156897790716,0.8347245409015025
NGC5033,29.625,6.751054852320675,-1.1068832483314117,0.8709853021230267
NGC5055,26.925,7.428040854224698,-1.1083608660818292,0.8813484631486175
NGC5371,31.95,6.259780907668231,-1.105722715453797,0.8622547962923044
NGC5585,13.4625,14.856081708449397,-1.120407761844265,0.936932716519295
NGC5907,32.325,6.187161639597834,-1.1055437193361193,0.8608630151727106
NGC5985,43.725,4.574042309891366,-1.100860794137293,0.8205969843060826
NGC6015,23.175,8.629989212513484,-1.1107254414883283,0.8961577237593816
NGC6195,37.725,5.301524188204109,-1.1031680175287653,0.8413082343043432
NGC6503,17.25,11.594202898550725,-1.1156936213976667,0.9205983889528193
NGC6674,36.3,5.5096418732782375,-1.10376231279391,0.8463817181548878
NGC6946,23.55,8.492569002123142,-1.1104687061144944,0.8946544397226571
NGC7331,35.775,5.590496156533892,-1.103986641317753,0.8482663556356697
NGC7793,16.2,12.345679012345679,-1.1168301415785025,0.9250693802035153
NGC7814,32.1,6.230529595015576,-1.1056508635609785,0.8616975441619992
PGC51017,2.8575,69.9912510936133,-1.186800074790729,0.9859137571940895
UGC00128,19.575,10.217113665389528,-1.1135000752641215,0.9108505066605943
UGC00191,8.64,23.148148148148145,-1.130996477406122,0.9585889570552147
UGC00731,10.4625,19.115890083632017,-1.1259992560324688,0.9502880560669953
UGC01230,15.6,12.820512820512821,-1.1175303919656698,0.9276437847866419
UGC01281,8.032499999999999,24.898848428260198,-1.1331155983808814,0.9613882446252389
UGC02259,12.4875,16.016016016016014,-1.1219767565939143,0.9412318371668922
UGC02455,5.4075,36.98566805362922,-1.1474092528976256,0.973674281610944
UGC02487,49.875,4.010025062656641,-1.098741991888373,0.80040020010005
UGC02885,44.7,4.47427293064877,-1.100510574747486,0.8173273395995097
UGC02916,31.425,6.364359586316627,-1.1059769283888812,0.8642108674516582
UGC02953,39.45,5.069708491761723,-1.1024747262782004,0.8352474420547087
UGC03205,32.55,6.144393241167435,-1.1054373225355307,0.8600301010535368
UGC03546,29.175,6.855184233076264,-1.107118968272535,0.8726955383440602
