galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,shell_mode,shell_params,budget_factor,force_match,rms_velocity
ESO444-G084,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 13.32, 'R_stop': 17.76, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.08502326709603542, 0.14035949532897388, 0.15565726624709225, 0.1452261374809116, 0.1287728476520061, 0.125112677478995, 0.10135921366772616, 0.06628698323502034, 0.05220211181323929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,21.332622640454993
ESO563-G021,ok,30,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 127.22999999999999, 'R_stop': 169.64, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.004567073738074142, 0.014981335438971987, 0.023363264559872962, 0.028116264472146792, 0.030498675212999593, 0.028061419683819096, 0.0214268996348776, 0.015081270622597964, 0.012691755930625938, 0.012294359213985114, 0.013870673649699768, 0.015432284140132159, 0.016967393950591807, 0.018465303030201885, 0.019916353565186815, 0.02131189123938819, 0.022644234909283807, 0.023906650080019434, 0.025093323248901445, 0.0261993352754934, 0.02722063267023589, 0.02815399619688583, 0.028997006535751, 0.029748007002483586, 0.03040606349151096, 0.030970921933991608, 0.03144296364105238, 0.031823158953531605, 0.03211301964645561, 0.029105912310037535, 0.02950781567151224, 0.029868437718894972, 0.03018399317356466, 0.03045071026184896, 0.030664869257949874, 0.03082284495469283, 0.03092115288416052, 0.030956499001260043, 0.030925832421944785, 0.030826400675365212]}",1.0,False,61.35434794470769
F561-1,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 28.98, 'R_stop': 38.64, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.00454042877094019, 0.006267084815991815, 0.008112344398594066, 0.009992390668044191, 0.011935009971208027, 0.013596616558178605, 0.014861527939900332, 0.015019394410077191, 0.013465786149692514, 0.01488192855820101, 0.01640339825714156, 0.017896218783948526, 0.019353528969321014, 0.020769198904957244, 0.02213771457988413, 0.02345410121297555, 0.02471387430165471, 0.025913009683545537, 0.027047925974862094, 0.02811547449650399, 0.02911293319957172, 0.030038002180902367, 0.030888799184614336, 0.03166385407184693, 0.03236210165849399, 0.032982872612525416, 0.03352588230251755, 0.03399121762328191, 0.034379321912278334, 0.031902609874192384, 0.03243182650452357, 0.032924444384640525, 0.033376246465835376, 0.0337829213767632, 0.034140095290718514, 0.03444336890662664, 0.03468835970301437, 0.034870749537240855, 0.03498633755530858, 0.03503109824948116]}",1.0,False,4.423937715895805
F563-1,ok,17,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 60.300000000000004, 'R_stop': 80.4, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.04811002402300926, 0.0874908085406532, 0.1212665929199691, 0.1311792131301756, 0.14193466471375152, 0.1310180039449745, 0.12500139821362324, 0.11474485108039555, 0.09925444343344804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,49.524507250368295
F563-V1,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 23.61, 'R_stop': 31.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.003327981582082721, 0.005215661049998235, 0.007096115159219446, 0.008799553853554017, 0.00960654986399017, 0.009958817594107617, 0.01057024553012504, 0.011812917054488276, 0.013539675068147792, 0.01507825767803534, 0.016595619103421326, 0.018091207837573113, 0.019558245428815128, 0.020990248951421285, 0.02238107614737488, 0.023724968937962637, 0.025016590260675937, 0.02625105276263084, 0.027423939483951904, 0.02853131728759911, 0.02956974395648732, 0.030536269846705006, 0.031428434883683874, 0.032244261573633734, 0.032982244598703206, 0.03364133747837503, 0.03422093671170789, 0.034720863762668766, 0.03514134521076063, 0.03261677726801908, 0.03317658304254866, 0.033699170615869356, 0.03418011950317665, 0.03461490811219918, 0.03499894696572371, 0.03532761724955327, 0.0355963148533085, 0.035800499981247284, 0.03593575229926659, 0.03599783145118743]}",1.0,False,1.904917092750782
F563-V2,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 31.410000000000004, 'R_stop': 41.88, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.002258066284936048, 0.006287913085034312, 0.00982697664363233, 0.012514516027618109, 0.013682217733627924, 0.015497465720818055, 0.01579763096851883, 0.014966225937387804, 0.015043948639390296, 0.014701095395917189, 0.016409490533052826, 0.018069799931192253, 0.019672042179986634, 0.021208239149374513, 0.022672081010869705, 0.02405863664358258, 0.025364109321179575, 0.02658563549308987, 0.027721122741918812, 0.028769121918956832, 0.029728728021111577, 0.030599504439189018, 0.03138142561372591, 0.03207483373225792, 0.032680405776883546, 0.03319912790488069, 0.033632274770003225, 0.033981391942951876, 0.03424828005726867, 0.03105815683236258, 0.03147722740722715, 0.03185913306401455, 0.032200307199332166, 0.032497127047638644, 0.032745941347165956, 0.03294310232027511, 0.0330850021022875, 0.033168113676105476, 0.0331890362757586, 0.03314454510947529]}",1.0,False,50.77029001268278
F565-V2,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 26.400000000000002, 'R_stop': 35.2, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.011055498993112815, 0.015274765086532787, 0.020568015513812165, 0.023492356899997926, 0.02278494303642857, 0.027321457304083425, 0.02753618247456418, 0.0231979469546573, 0.01932483801386206, 0.019165601468906383, 0.020533240560822737, 0.021766489772510562, 0.022871277029327442, 0.023854822506997286, 0.02472487550569165, 0.025489200460374662, 0.0261552535828642, 0.026729998897947232, 0.027219821950598116, 0.027630508943880975, 0.02796726739752151, 0.028234771205517324, 0.028437218227973002, 0.028578392472269263, 0.02866172575485682, 0.028690355734269986, 0.028667178581153887, 0.028594895473136865, 0.02847605270254355, 0.025958509373112105, 0.026086725989349895, 0.026184824805922473, 0.02625088331068591, 0.02628296716435356, 0.026279147466925192, 0.026237520678528102, 0.026156231257935727, 0.02603349703151652, 0.02586763724415845, 0.025657103171297355]}",1.0,False,36.6725492288806
F568-1,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 39.69, 'R_stop': 52.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.0016850958485875854, 0.00388916336147856, 0.005742202681905098, 0.007681250649765082, 0.009702200621924164, 0.011360050068469444, 0.012134976063718602, 0.013026603647939077, 0.01380339583925116, 0.014055374888246324, 0.01573246745044945, 0.017384353409211323, 0.01900219689777179, 0.02057817129778943, 0.022105261854504777, 0.02357713952471238, 0.02498808461621185, 0.026332943595286148, 0.027607106749818523, 0.02880649794363718, 0.029927570446148605, 0.030967304856766905, 0.031923206599701395, 0.03279330147763594, 0.03357612846100206, 0.03427072934689747, 0.03487663521886261, 0.035393849826724944, 0.03582283012047308, 0.03263889528477606, 0.03318163028013874, 0.03368697537712207, 0.034150606373690044, 0.03456810189830182, 0.0349349760817519, 0.03524671647075858, 0.035498827346529496, 0.03568687852244015, 0.03580655958539363, 0.0358537394142064]}",1.0,False,58.874812195859555
F568-3,ok,18,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 53.94, 'R_stop': 71.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.002150603968075539, 0.0053236582521646635, 0.007877079451915316, 0.010117637652940372, 0.011583038908630354, 0.012946383953861598, 0.013529064621595957, 0.014114428973265177, 0.014716055926734029, 0.014646805823030554, 0.0163256713076122, 0.01796225708193553, 0.019548473253364923, 0.021077716585967313, 0.022544527210278054, 0.023944333044528074, 0.02527326633648724, 0.026528036884047517, 0.027705847939960594, 0.028804342925736828, 0.02982157337909064, 0.03075598072833531, 0.031606386368946617, 0.032371986060220195, 0.03305234587328243, 0.03364739784568174, 0.03415743418287784, 0.03458309934305905, 0.034925379692922025, 0.03176349250315654, 0.03224237519534291, 0.0326845730127071, 0.03308613923293812, 0.033443045023724194, 0.03375120966269827, 0.03400653559688617, 0.03420494849009506, 0.034342442323297175, 0.034415129510711476, 0.034419295871895274]}",1.0,False,33.043523532632435
F568-V1,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 52.89, 'R_stop': 70.52, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.029997331108132134, 0.07288106946639514, 0.10421614087268476, 0.12896227566232502, 0.13426675457856607, 0.1347734746254093, 0.12766313271545168, 0.12806569297061457, 0.11173344179638141, 0.02744068620403987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,36.67065629287113
F571-8,ok,13,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 46.650000000000006, 'R_stop': 62.2, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.05012736767569884, 0.0926094027695028, 0.08999147558844332, 0.09306418452156635, 0.1187102991999417, 0.12687055535719555, 0.13165236513340897, 0.13216277555529612, 0.1183037730135329, 0.04650780118541345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,38.43645423129474
F571-V1,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 40.769999999999996, 'R_stop': 54.36, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.07443995717537344, 0.103348214555194, 0.12172116392570288, 0.1287231743471307, 0.13262168955229145, 0.1389122826361433, 0.13289359353521454, 0.10886254134188122, 0.05847738293106843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,18.248748177109483
F574-1,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 37.8, 'R_stop': 50.4, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.001916956860584561, 0.004055835405501796, 0.006142680004288768, 0.008282732373066787, 0.010038728957362422, 0.011288814549120079, 0.012240521483628522, 0.013707694832360015, 0.014191030265715747, 0.014061458579729732, 0.015735631476472084, 0.017383880407129553, 0.018997182362212987, 0.020567616926934856, 0.022088157707264466, 0.023552529773828098, 0.024955115890961235, 0.026290897298520247, 0.027555417836843805, 0.028744762945018036, 0.029855547364158744, 0.030884907206670364, 0.03183049344701942, 0.03269046491887739, 0.033463479643514454, 0.034148683834514804, 0.03474569828199142, 0.03525460206077744, 0.035675913665659725, 0.03251978163088213, 0.033056787300618395, 0.03355646702460936, 0.03401453550147366, 0.034426611925457595, 0.03478825238890698, 0.035094987484248434, 0.035342365267305345, 0.0355259996552688, 0.03564162422383006, 0.035685151237671665]}",1.0,False,35.87946087118809
F579-V1,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 45.480000000000004, 'R_stop': 60.64, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.0024504199001131634, 0.005898931114280521, 0.009700183638493938, 0.012809499160370814, 0.014977594994500713, 0.016495821416403263, 0.016810344509529965, 0.015681338698216172, 0.015476202780901066, 0.014014319971758928, 0.01570626162433508, 0.017365124352152768, 0.01897959527285176, 0.020540045244965093, 0.022038345475290877, 0.023467700757354878, 0.02482249839093973, 0.026098172668971954, 0.027291084785030086, 0.02839841764825334, 0.029418084671869075, 0.030348651258441512, 0.031189267486536807, 0.0319396104116441, 0.03259983440898667, 0.03317052807975597, 0.03365267638782497, 0.03404762686751803, 0.03435705892612494, 0.03120279839935714, 0.03164864547324645, 0.03205652300792216, 0.03242272441424939, 0.032743490804774955, 0.03301503969484617, 0.033233598008454074, 0.03339543952078158, 0.03349692679291158, 0.03353455755987416, 0.03350501542016625]}",1.0,False,37.913260895723575
F583-1,ok,25,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 48.78, 'R_stop': 65.04, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.03346081355032087, 0.08749588705097618, 0.12649859870658833, 0.13380265290314478, 0.1380805420849524, 0.13855512331253625, 0.12923824572292425, 0.12166606578744169, 0.09120207088111518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,25.220549138640518
F583-4,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 21.87, 'R_stop': 29.16, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.020282475598204754, 0.05337373950701185, 0.08581623810228883, 0.11471024357699916, 0.130056477193346, 0.14112463404553413, 0.1505369866186216, 0.14685080689744665, 0.15724839846054706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,13.772711608069969
IC2574,ok,34,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 30.69, 'R_stop': 40.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.034696827283299383, 0.06360642400931758, 0.08716402073503501, 0.1281069062403567, 0.1427023931249652, 0.13624189140487583, 0.13780147746981106, 0.13677529526787172, 0.1329047644644674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,8.560705696377003
IC4202,ok,32,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 77.69999999999999, 'R_stop': 103.6, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.003370734768433515, 0.007164106177087017, 0.011477016609727334, 0.01458246665667921, 0.015359144750492394, 0.01572796388615899, 0.015577721669520237, 0.014925708096588568, 0.01394786516378663, 0.013029238590372593, 0.014673238244281243, 0.016304889804117727, 0.017912817644895697, 0.019486726501210194, 0.021017334275123097, 0.02249631979650327, 0.023916279235261795, 0.025270687331913337, 0.026553861121698556, 0.02776092476639089, 0.02888777469671291, 0.029931044637062934, 0.030888070312872176, 0.031756853779889016, 0.03253602739663757, 0.03322481750753353, 0.03382300792858621, 0.03433090333930184, 0.03474929268905617, 0.03166410302645845, 0.032185625060560843, 0.03266908046208187, 0.033110303687511104, 0.03350505865062949, 0.033849071089526915, 0.034138065671070084, 0.03436780795253409, 0.03453415123743021, 0.03463308826137081, 0.034660807522931464]}",1.0,False,35.10836031729326
