galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
NGC0055,ok,21,2.8271,0.8579,2.8271,0.7333941108468605,constant,mass_log,False,19.828628316491834
NGC0100,ok,21,2.8271,0.8579,2.8271,0.6880281399512691,constant,mass_log,False,25.103598391657535
NGC0247,ok,26,2.8271,0.8579,2.8271,0.7958364044683424,constant,mass_log,False,26.77860400860249
NGC0289,ok,28,2.8271,0.8579,2.8271,1.1282203802850854,constant,mass_log,False,55.631571095676456
NGC0300,ok,25,2.8271,0.8579,2.8271,0.7374278208006683,constant,mass_log,False,34.26621252758007
NGC0801,ok,13,2.8271,0.8579,2.8271,1.17404278988913,constant,mass_log,False,37.57004663048763
NGC0891,ok,18,2.8271,0.8579,2.8271,1.008594974835875,constant,mass_log,False,69.84040555723209
NGC1003,ok,36,2.8271,0.8579,2.8271,0.9057218263902189,constant,mass_log,False,48.09934488391982
NGC1090,ok,24,2.8271,0.8579,2.8271,1.0067864682201166,constant,mass_log,False,25.487345237774974
NGC1705,ok,14,2.8271,0.8579,2.8271,0.5803825032652152,constant,mass_log,False,36.72210721992363
NGC2366,ok,26,2.8271,0.8579,2.8271,0.4926135176897112,constant,mass_log,False,16.1375476808651
NGC2403,ok,73,2.8271,0.8579,2.8271,0.9074436083921661,constant,mass_log,False,37.21849541019054
NGC2683,ok,11,2.8271,0.8579,2.8271,1.0351862521283963,constant,mass_log,False,33.04031576740696
NGC2841,ok,50,2.8271,0.8579,2.8271,1.247921916800491,constant,mass_log,False,83.88144151876473
NGC2903,ok,34,2.8271,0.8579,2.8271,1.0117085185254546,constant,mass_log,False,61.425083292698424
NGC2915,ok,30,2.8271,0.8579,2.8271,0.6834795111838383,constant,mass_log,False,48.663927699641285
NGC2955,ok,24,2.8271,0.8579,2.8271,1.1570162167708717,constant,mass_log,False,43.78228780127282
NGC2976,ok,27,2.8271,0.8579,2.8271,0.47741831746217667,constant,mass_log,False,3.200077542212936
NGC2998,ok,13,2.8271,0.8579,2.8271,1.1186093572918887,constant,mass_log,False,29.216672291918403
NGC3109,ok,25,2.8271,0.8579,2.8271,0.5590907503940703,constant,mass_log,False,29.43772992980038
NGC3198,ok,43,2.8271,0.8579,2.8271,1.0306618510145311,constant,mass_log,False,36.58936647971102
NGC3521,ok,41,2.8271,0.8579,2.8271,1.0023711645585376,constant,mass_log,False,52.31568575156718
NGC3726,ok,12,2.8271,0.8579,2.8271,1.0120941897651927,constant,mass_log,False,35.29643695357883
NGC3741,ok,21,2.8271,0.8579,2.8271,0.4944470867060467,constant,mass_log,False,25.038150944389432
NGC3769,ok,12,2.8271,0.8579,2.8271,0.9517969578364489,constant,mass_log,False,38.53876692076687
NGC3877,ok,13,2.8271,0.8579,2.8271,0.886037830563734,constant,mass_log,False,28.910061460426665
NGC3893,ok,10,2.8271,0.8579,2.8271,0.9750797183484613,constant,mass_log,False,33.137802530853754
NGC3917,ok,17,2.8271,0.8579,2.8271,0.8679914861906848,constant,mass_log,False,19.16070228732371
NGC3949,ok,7,2.8271,0.8579,2.8271,0.8067191186540839,constant,mass_log,False,31.91970255462947
NGC3953,ok,8,2.8271,0.8579,2.8271,0.9978180353208838,constant,mass_log,False,18.26639069797791
NGC3972,ok,10,2.8271,0.8579,2.8271,0.7483555146392958,constant,mass_log,False,12.05666126873952
NGC3992,ok,9,2.8271,0.8579,2.8271,1.1699084958649908,constant,mass_log,False,48.96213008449931
NGC4010,ok,12,2.8271,0.8579,2.8271,0.7845685177808002,constant,mass_log,False,10.686573785512559
NGC4013,ok,36,2.8271,0.8579,2.8271,1.0320560343260081,constant,mass_log,False,39.27052950744027
NGC4051,ok,7,2.8271,0.8579,2.8271,0.8709694732455476,constant,mass_log,False,29.682131008832762
NGC4068,ok,6,2.8271,0.8579,2.8271,0.19801568520000223,constant,mass_log,False,4.9763399569905085
NGC4085,ok,7,2.8271,0.8579,2.8271,0.7343532424925241,constant,mass_log,False,33.53583468853068
NGC4088,ok,12,2.8271,0.8579,2.8271,0.9760372458233049,constant,mass_log,False,50.78966622867446
NGC4100,ok,24,2.8271,0.8579,2.8271,0.9820636550136574,constant,mass_log,False,28.52919487226184
NGC4138,ok,7,2.8271,0.8579,2.8271,0.9407762246923392,constant,mass_log,False,31.267122538137272
NGC4157,ok,17,2.8271,0.8579,2.8271,1.0353828475833111,constant,mass_log,False,40.00825759324905
NGC4183,ok,23,2.8271,0.8579,2.8271,0.8559789276720758,constant,mass_log,False,29.822701239013664
NGC4214,ok,14,2.8271,0.8579,2.8271,0.6016855311754203,constant,mass_log,False,32.033377760067566
NGC4217,ok,19,2.8271,0.8579,2.8271,0.9609222072974206,constant,mass_log,False,64.40375600947912
NGC4389,ok,6,2.8271,0.8579,2.8271,0.5818124175934523,constant,mass_log,False,57.39781645079807
NGC4559,ok,32,2.8271,0.8579,2.8271,0.8826489306139259,constant,mass_log,False,23.846308672160742
NGC5005,ok,18,2.8271,0.8579,2.8271,1.0051848845617526,constant,mass_log,False,57.02955192190641
NGC5033,ok,22,2.8271,0.8579,2.8271,1.1064650047518434,constant,mass_log,False,60.86807468311038
NGC5055,ok,28,2.8271,0.8579,2.8271,1.1079261031098648,constant,mass_log,False,58.25915102398616
NGC5371,ok,19,2.8271,0.8579,2.8271,1.1308866127564583,constant,mass_log,False,35.62745617971017
NGC5585,ok,24,2.8271,0.8579,2.8271,0.7181173436641929,constant,mass_log,False,23.166242451726486
NGC5907,ok,19,2.8271,0.8579,2.8271,1.1449699468866659,constant,mass_log,False,42.035382925301896
