galaxy,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,sigma_gate,accel_gate_min,accel_gate_median,accel_gate_max,n_points,rms_gr,rms_metric_resonance_sigma,delta_rms
F568-1,data\Rotmod_LTG\F568-1_rotmod.dat,18.075,25.0,1.0,5.694915875549634,3.305232661375295,0.5803830528148578,0.9591354832418083,0.9835145930818805,0.9871942169632043,12,59.47223904806734,47.91079387842476,-11.561445169642575
F568-3,data\Rotmod_LTG\F568-3_rotmod.dat,14.4525,25.0,1.0,5.694915875549634,3.6087167324945404,0.6336734047272037,0.9744921252590227,0.980714331986691,0.9950349697005924,18,33.872109024328516,20.141159526967385,-13.73094949736113
F568-V1,data\Rotmod_LTG\F568-V1_rotmod.dat,16.8,25.0,1.0,5.694915875549634,3.4060501648024126,0.5980861244019139,0.9485454977978147,0.985885752071612,0.9980653657715974,15,55.10144891123267,44.77569266325754,-10.325756247975136
F571-8,data\Rotmod_LTG\F571-8_rotmod.dat,17.099999999999998,25.0,1.0,5.694915875549634,3.381779023485531,0.5938242280285037,0.09684740300427255,0.7481209045523137,0.9955727304656434,13,47.869589054996254,35.411002004288086,-12.458587050708168
F571-V1,data\Rotmod_LTG\F571-V1_rotmod.dat,11.55,25.0,1.0,5.694915875549634,3.8952912965455773,0.6839945280437757,0.9846824981786072,0.9948874868017543,0.9986602485832677,7,33.703220222549966,19.203768863922335,-14.499451358627631
F574-1,data\Rotmod_LTG\F574-1_rotmod.dat,14.325,25.0,1.0,5.694915875549634,3.6204169583913752,0.6357279084551811,0.9417689975463864,0.9862357076082648,0.992320691035828,14,36.44732159054748,23.592378108294877,-12.854943482252605
F574-2,data\Rotmod_LTG\F574-2_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.9934991354043733,0.9957418460258867,0.9963939626094716,5,7.294377305917471,15.910026113250042,8.615648807332573
F579-V1,data\Rotmod_LTG\F579-V1_rotmod.dat,16.65,25.0,1.0,5.694915875549634,3.418316852070608,0.6002400960384153,0.8800036672738767,0.9398005911074584,0.9881037669929117,14,38.60867712662157,28.299528850544107,-10.309148276077465
F583-1,data\Rotmod_LTG\F583-1_rotmod.dat,11.2875,25.0,1.0,5.694915875549634,3.923469428556413,0.6889424733034791,0.9934850642045302,0.9974478748381477,0.9989626065633426,25,32.7530184892085,27.154214928519036,-5.598803560689465
F583-4,data\Rotmod_LTG\F583-4_rotmod.dat,9.12,25.0,1.0,5.694915875549634,4.17271092874387,0.7327080890973037,0.9692175010032776,0.9890161004301685,0.9978556919710093,12,19.018287399996733,14.061826650912899,-4.956460749083835
IC2574,data\Rotmod_LTG\IC2574_rotmod.dat,9.36,25.0,1.0,5.694915875549634,4.143565101534949,0.7275902211874272,0.997274948390039,0.997849945321666,0.998771990175875,34,18.897457874966218,10.999696116504644,-7.897761758461574
IC4202,data\Rotmod_LTG\IC4202_rotmod.dat,36.6,25.0,1.0,5.694915875549634,2.3112483261159222,0.4058441558441558,0.016512133838295456,0.31315372951050235,0.8178040952053924,32,35.22311818624543,38.27320986701462,3.0500916807691922
KK98-251,data\Rotmod_LTG\KK98-251_rotmod.dat,4.32,25.0,1.0,5.694915875549634,4.855828679697846,0.8526603001364257,0.9952642012535389,0.996718581907648,0.9997664172244023,15,7.801556034620339,7.727067724395984,-0.0744883102243552
NGC0024,data\Rotmod_LTG\NGC0024_rotmod.dat,15.975,25.0,1.0,5.694915875549634,3.474628356040045,0.6101281269066504,0.5821556287655766,0.6677412089606326,0.9966204242565176,29,32.600734022504845,28.53352646821766,-4.067207554287187
NGC0055,data\Rotmod_LTG\NGC0055_rotmod.dat,12.8625,25.0,1.0,5.694915875549634,3.7602613902605704,0.6602839220864972,0.94171157594774,0.9809090846222589,0.9932516409009086,21,22.25378039182271,6.992278155478078,-15.26150223634463
NGC0100,data\Rotmod_LTG\NGC0100_rotmod.dat,12.802499999999998,25.0,1.0,5.694915875549634,3.766229664406874,0.6613319224918988,0.8859898669964976,0.9667065425581274,0.9951258729106214,21,26.631135883562084,16.888103158217994,-9.74303272534409
NGC0247,data\Rotmod_LTG\NGC0247_rotmod.dat,15.75,25.0,1.0,5.694915875549634,3.4938134205825975,0.6134969325153374,0.9671021181277631,0.9792256820938113,0.9936590142062703,26,32.17495623382241,14.814647301960775,-17.36030893186163
NGC0289,data\Rotmod_LTG\NGC0289_rotmod.dat,25.5,25.0,1.0,5.694915875549634,2.819265284925561,0.495049504950495,0.02040006106823199,0.9776854782921498,0.9989141249681108,28,55.649949442799354,48.221173478551805,-7.428775964247549
NGC0300,data\Rotmod_LTG\NGC0300_rotmod.dat,13.9725,25.0,1.0,5.694915875549634,3.6531630480143904,0.6414779652318943,0.8887407668974479,0.9824624274030722,0.997796776360796,25,36.12032545823501,24.07664620426875,-12.043679253966257
NGC0801,data\Rotmod_LTG\NGC0801_rotmod.dat,33.15,25.0,1.0,5.694915875549634,2.448373119324864,0.4299226139294927,0.011321351148457635,0.4456334190692245,0.9750867127044913,13,37.740963726026024,50.04233117298086,12.301367446954835
NGC0891,data\Rotmod_LTG\NGC0891_rotmod.dat,32.85,25.0,1.0,5.694915875549634,2.461069954861553,0.43215211754537597,0.0012642612520065036,0.14214834734991932,0.6340049739741451,18,69.84503892878418,78.47009856882161,8.625059640037435
NGC1003,data\Rotmod_LTG\NGC1003_rotmod.dat,16.65,25.0,1.0,5.694915875549634,3.418316852070608,0.6002400960384153,0.5846645588571356,0.9960297769586284,0.9995183920166975,36,48.153251971836,27.894977607967242,-20.258274363868757
NGC1090,data\Rotmod_LTG\NGC1090_rotmod.dat,24.6,25.0,1.0,5.694915875549634,2.8704213082407426,0.5040322580645161,0.10457518675922857,0.7785311386724714,0.977717999500795,24,25.712295442140153,34.27348027441185,8.5611848322717
NGC1705,data\Rotmod_LTG\NGC1705_rotmod.dat,10.725,25.0,1.0,5.694915875549634,3.985245539222977,0.6997900629811057,0.2629701286200951,0.9889837745032967,0.9990104423076615,14,38.06804446988434,36.75236034759736,-1.3156841222869815
NGC2366,data\Rotmod_LTG\NGC2366_rotmod.dat,7.619999999999999,25.0,1.0,5.694915875549634,4.364589113695305,0.7664009809932558,0.9742799389831331,0.9922055190691565,0.9981793186384125,26,16.360956127974482,14.721827044792152,-1.6391290831823309
NGC2403,data\Rotmod_LTG\NGC2403_rotmod.dat,20.175,25.0,1.0,5.694915875549634,3.151585985362276,0.5534034311012728,0.15249820703862316,0.530390696674057,0.996704702814974,73,37.895599436401874,17.182058561281014,-20.71354087512086
NGC2683,data\Rotmod_LTG\NGC2683_rotmod.dat,25.575,25.0,1.0,5.694915875549634,2.815084466411089,0.49431537320810676,0.031232943810115953,0.8488461338447459,0.990574115220546,11,33.117970053884335,30.806482078776295,-2.31148797510804
NGC2841,data\Rotmod_LTG\NGC2841_rotmod.dat,42.675,25.0,1.0,5.694915875549634,2.103773873494508,0.3694126339120798,0.015695219889213866,0.25568712982839226,0.9920333421174685,50,87.87483219228517,72.99983720717634,-14.874994985108827
NGC2903,data\Rotmod_LTG\NGC2903_rotmod.dat,27.525,25.0,1.0,5.694915875549634,2.710573953141187,0.4759638267491671,0.0006362735013930052,0.30622745697554554,0.9622765953031379,34,61.46052574802574,58.553782624856986,-2.906743123168752
NGC2915,data\Rotmod_LTG\NGC2915_rotmod.dat,12.315,25.0,1.0,5.694915875549634,3.8154333884159413,0.6699718611818304,0.21212780104346063,0.9974352373958475,0.9995261131549461,30,48.7574283509878,43.9520175434779,-4.805410807509901
NGC2955,data\Rotmod_LTG\NGC2955_rotmod.dat,40.35,25.0,1.0,5.694915875549634,2.1786212224749937,0.38255547054322875,0.0061294847315001445,0.07028746657852585,0.8504924079128969,24,44.136667183471666,52.21775458410172,8.081087400630054
NGC2976,data\Rotmod_LTG\NGC2976_rotmod.dat,11.745,25.0,1.0,5.694915875549634,3.8746195914747816,0.6803646754660498,0.3426620560370893,0.5514846185741322,0.8463105247711541,27,3.6845505539647445,3.6757354340702975,-0.008815119894447054
NGC2998,data\Rotmod_LTG\NGC2998_rotmod.dat,31.875,25.0,1.0,5.694915875549634,2.503259725516323,0.4395604395604396,0.07720120032378754,0.4078282511918491,0.97457213620181,13,35.122227450196725,31.58518845154903,-3.537038998647695
NGC3109,data\Rotmod_LTG\NGC3109_rotmod.dat,9.5325,25.0,1.0,5.694915875549634,4.122866774451338,0.7239556939115326,0.997042133823601,0.9986568096289049,0.9998816495011412,25,29.986977397240718,28.302498592607073,-1.6844788046336454
NGC3198,data\Rotmod_LTG\NGC3198_rotmod.dat,22.275,25.0,1.0,5.694915875549634,3.011589569301763,0.5288207297726071,0.057319163480752146,0.5590735883751263,0.9980013239893544,43,37.60592238748666,24.823164280919688,-12.78275810656697
NGC3521,data\Rotmod_LTG\NGC3521_rotmod.dat,31.5,25.0,1.0,5.694915875549634,2.5198742812166524,0.4424778761061947,0.001685711424055757,0.02296571809259595,0.8443326330113163,41,52.51577662137675,52.09474686755089,-0.42102975382586294
NGC3726,data\Rotmod_LTG\NGC3726_rotmod.dat,24.15,25.0,1.0,5.694915875549634,2.896701869557291,0.508646998982706,0.24211904015028998,0.6673391513655711,0.9871961136057613,12,35.31058676501566,48.32607320546419,13.015486440448534
NGC3741,data\Rotmod_LTG\NGC3741_rotmod.dat,7.14,25.0,1.0,5.694915875549634,4.429772771896106,0.7778469197261979,0.9622539186584341,0.9995864103468897,0.9999184243450977,21,25.07618692122832,23.94605667675749,-1.1301302444708305
NGC3769,data\Rotmod_LTG\NGC3769_rotmod.dat,17.925,25.0,1.0,5.694915875549634,3.3167826881477196,0.5824111822947001,0.10036753353894233,0.9389906269212137,0.9992303814076504,12,38.65390422651838,27.222165528435678,-11.4317386980827
NGC3877,data\Rotmod_LTG\NGC3877_rotmod.dat,25.2,25.0,1.0,5.694915875549634,2.836113483839459,0.49800796812749004,0.06272239204373257,0.2714091612676828,0.4736160472399647,13,29.10908735068305,42.90374940674618,13.794662056063128
NGC3893,data\Rotmod_LTG\NGC3893_rotmod.dat,27.375,25.0,1.0,5.694915875549634,2.718336933436579,0.477326968973747,0.01670804097053194,0.5043413401368186,0.9292990931471578,10,33.81205976768977,27.949722737440275,-5.862337030249492
NGC3917,data\Rotmod_LTG\NGC3917_rotmod.dat,20.55,25.0,1.0,5.694915875549634,3.125639887787944,0.5488474204171241,0.7448164075978382,0.829086093759434,0.9643077063433796,17,26.009308864899815,12.921728271822516,-13.087580593077298
NGC3949,data\Rotmod_LTG\NGC3949_rotmod.dat,23.55,25.0,1.0,5.694915875549634,2.932500450849451,0.5149330587023687,0.04166859425215512,0.12003884178946835,0.40822341275066376,7,32.027021331325585,32.876216827933796,0.8491954966082105
NGC3953,data\Rotmod_LTG\NGC3953_rotmod.dat,32.925,25.0,1.0,5.694915875549634,2.4578834162924617,0.43159257660768235,0.06295841763733226,0.192141265274003,0.4910012141135196,8,18.26639069797791,41.799999874768694,23.533609176790783
NGC3972,data\Rotmod_LTG\NGC3972_rotmod.dat,16.95,25.0,1.0,5.694915875549634,3.39387120116188,0.595947556615018,0.571977243281058,0.7124500693328848,0.8903246351387863,10,21.173242996045843,10.625786058212224,-10.54745693783362
NGC3992,data\Rotmod_LTG\NGC3992_rotmod.dat,37.2,25.0,1.0,5.694915875549634,2.288953326185544,0.4019292604501608,0.2621713886418341,0.776451306736852,0.9702456162668348,9,51.50181558835592,32.425518610826366,-19.07629697752955
NGC4010,data\Rotmod_LTG\NGC4010_rotmod.dat,17.775,25.0,1.0,5.694915875549634,3.328413720367992,0.5844535359438926,0.5635541451170358,0.7847444510484562,0.9238198576501109,12,17.706376631874576,9.888158145860753,-7.818218486013823
NGC4013,data\Rotmod_LTG\NGC4013_rotmod.dat,26.7,25.0,1.0,5.694915875549634,2.753827792818972,0.4835589941972921,0.1167564270924769,0.8800103783247218,0.9848185232459836,36,39.2720830188511,36.84657892660547,-2.4255040922456317
NGC4051,data\Rotmod_LTG\NGC4051_rotmod.dat,22.95,25.0,1.0,5.694915875549634,2.969194929900748,0.5213764337851929,0.034132668719544394,0.32117446702273383,0.609256081977297,7,29.682131008832762,50.622985078378456,20.940854069545694
NGC4068,data\Rotmod_LTG\NGC4068_rotmod.dat,3.9675,25.0,1.0,5.694915875549634,4.914918335677599,0.8630361612151549,0.9753247199089191,0.9784058840937451,0.994625752607928,6,6.0332781675934655,5.995630190056302,-0.03764797753716387
NGC4085,data\Rotmod_LTG\NGC4085_rotmod.dat,19.05,25.0,1.0,5.694915875549634,3.2320748442392926,0.5675368898978433,0.08191945090814785,0.19451825704821174,0.4780456863563388,7,33.53583468853068,34.805069148413324,1.2692344598826466
NGC4088,data\Rotmod_LTG\NGC4088_rotmod.dat,25.875,25.0,1.0,5.694915875549634,2.7984844597295497,0.4914004914004914,0.07133675353773591,0.30361230823102814,0.8687716204648096,12,50.78967092195533,77.94795440169185,27.158283479736518
NGC4100,data\Rotmod_LTG\NGC4100_rotmod.dat,25.725,25.0,1.0,5.694915875549634,2.806759918950041,0.4928536224741252,0.18841185937242594,0.7115566269961301,0.9666472075274579,24,29.35765118897049,19.517670111633752,-9.839981077336738
NGC4138,data\Rotmod_LTG\NGC4138_rotmod.dat,24.3,25.0,1.0,5.694915875549634,2.8878883750251694,0.5070993914807302,0.022503349477220165,0.7332841144161937,0.9642665165425715,7,31.520891576041766,26.395586956784182,-5.125304619257584
NGC4157,data\Rotmod_LTG\NGC4157_rotmod.dat,27.675,25.0,1.0,5.694915875549634,2.7028551853581555,0.47460844803037494,0.044691053461551736,0.6560023950613518,0.9637903367099326,17,40.01023827592091,52.32444003105041,12.314201755129496
NGC4183,data\Rotmod_LTG\NGC4183_rotmod.dat,16.5,25.0,1.0,5.694915875549634,3.4306722141865267,0.6024096385542169,0.7524591334376179,0.9549576724784007,0.9966920657799012,23,33.263626959210285,12.62879780279217,-20.634829156418114
NGC4214,data\Rotmod_LTG\NGC4214_rotmod.dat,12.015,25.0,1.0,5.694915875549634,3.846356798290986,0.6754018641091449,0.26740159554836795,0.9452857094461886,0.9959514331943669,14,33.48453104145477,31.919015538283926,-1.5655155031708468
NGC4217,data\Rotmod_LTG\NGC4217_rotmod.dat,27.675,25.0,1.0,5.694915875549634,2.7028551853581555,0.47460844803037494,0.011813413093610394,0.2553547858632458,0.8268104983363906,19,64.40844387153237,71.38404683473847,6.9756029632061
NGC4389,data\Rotmod_LTG\NGC4389_rotmod.dat,11.4525,25.0,1.0,5.694915875549634,3.9057100854191296,0.6858240175570948,0.11336959921643472,0.20393322735287406,0.39892244450244346,6,57.39781645079807,58.69208658976904,1.2942701389709725
NGC4559,data\Rotmod_LTG\NGC4559_rotmod.dat,18.3,25.0,1.0,5.694915875549634,3.2880576648669937,0.5773672055427251,0.2598502969639553,0.906418220682502,0.9887193571807932,32,23.931662308749097,19.17756036485946,-4.754101943889637
NGC5005,data\Rotmod_LTG\NGC5005_rotmod.dat,39.6,25.0,1.0,5.694915875549634,2.203914812519208,0.3869969040247678,0.0005553661536603074,0.020095273954320945,0.18060516940093155,18,57.02955192190641,58.90968812656118,1.880136204654768
NGC5033,data\Rotmod_LTG\NGC5033_rotmod.dat,29.625,25.0,1.0,5.694915875549634,2.6063688217618464,0.4576659038901602,0.0007429593334878803,0.845668565517582,0.9913210861146149,22,61.16313286997931,43.536301276270486,-17.626831593708822
NGC5055,data\Rotmod_LTG\NGC5055_rotmod.dat,26.925,25.0,1.0,5.694915875549634,2.741894981006083,0.4814636494944632,0.002985631314391513,0.4928296087791467,0.9934352947445305,28,58.26922066188828,62.85372405830542,4.584503396417134
NGC5371,data\Rotmod_LTG\NGC5371_rotmod.dat,31.95,25.0,1.0,5.694915875549634,2.4999630709173104,0.43898156277436345,0.005909027685198907,0.3302998452037585,0.9414089136533053,19,35.62745617971017,65.42794906234961,29.80049288263944
NGC5585,data\Rotmod_LTG\NGC5585_rotmod.dat,13.4625,25.0,1.0,5.694915875549634,3.701602779037786,0.6499837504062399,0.5292056490935297,0.8879459125585019,0.995508689123127,24,24.178154775922287,14.3209713482422,-9.857183427680088
NGC5907,data\Rotmod_LTG\NGC5907_rotmod.dat,32.325,25.0,1.0,5.694915875549634,2.4836091912558365,0.436109899694723,0.1905721471855681,0.8588771477302604,0.9838582982586952,19,43.258327077427516,36.81617155977044,-6.442155517657078
NGC5985,data\Rotmod_LTG\NGC5985_rotmod.dat,43.725,25.0,1.0,5.694915875549634,2.0716318208619984,0.3637686431429611,0.14696123203719427,0.45941653763995555,0.8983077301284264,33,80.13943130227766,51.15767972372769,-28.981751578549968
NGC6015,data\Rotmod_LTG\NGC6015_rotmod.dat,23.175,25.0,1.0,5.694915875549634,2.9553273874154815,0.5189413596263621,0.18440471053679844,0.8366851855473729,0.9950723632258139,44,43.27900492409794,19.430778280143294,-23.848226643954646
NGC6195,data\Rotmod_LTG\NGC6195_rotmod.dat,37.725,25.0,1.0,5.694915875549634,2.2697950879034012,0.3985651654045437,0.004830987763325789,0.1713079143706277,0.8284287775662068,23,43.84749983065521,62.85438552222537,19.00688569157016
NGC6503,data\Rotmod_LTG\NGC6503_rotmod.dat,17.25,25.0,1.0,5.694915875549634,3.369772707425818,0.5917159763313609,0.08663525940368318,0.9786355742998076,0.9982585469573128,31,41.67287570412551,15.86037293412028,-25.81250277000523
NGC6674,data\Rotmod_LTG\NGC6674_rotmod.dat,36.3,25.0,1.0,5.694915875549634,2.322559492475381,0.4078303425774878,0.02915021117871131,0.9375389374989195,0.9954043096600502,15,77.68970787051921,64.90456386536306,-12.785144005156155
NGC6789,data\Rotmod_LTG\NGC6789_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.8702084637333338,0.9127176711855431,0.956373030021639,4,22.346909291739045,22.346907283466386,-2.008272659281829e-06
NGC6946,data\Rotmod_LTG\NGC6946_rotmod.dat,23.55,25.0,1.0,5.694915875549634,2.932500450849451,0.5149330587023687,0.00011376111458545763,0.4783384146719569,0.9372132902508903,58,27.29685221130175,44.47303171894501,17.17617950764326
NGC7331,data\Rotmod_LTG\NGC7331_rotmod.dat,35.775,25.0,1.0,5.694915875549634,2.342622737782655,0.41135335252982314,0.004697023125361544,0.3952302467469839,0.9162314467036836,36,70.71859232887839,78.94414486600982,8.225552537131435
NGC7793,data\Rotmod_LTG\NGC7793_rotmod.dat,16.2,25.0,1.0,5.694915875549634,3.4556528371053608,0.6067961165048544,0.17308583764554372,0.3589866122517995,0.9522590056674726,46,11.486837363798388,8.58581494418808,-2.9010224196103085
NGC7814,data\Rotmod_LTG\NGC7814_rotmod.dat,32.1,25.0,1.0,5.694915875549634,2.4933957423597346,0.43782837127845886,0.0002591054317190565,0.46331832171253184,0.9212137208212765,18,53.457344257273526,28.67869050078748,-24.778653756486047
PGC51017,data\Rotmod_LTG\PGC51017_rotmod.dat,2.8575,25.0,1.0,5.694915875549634,5.110756417077658,0.8974243919949745,0.9728151598138397,0.9917068543262624,0.998649603543435,6,4.522399935416963,4.622562519557282,0.10016258414031931
UGC00128,data\Rotmod_LTG\UGC00128_rotmod.dat,19.575,25.0,1.0,5.694915875549634,3.1940077821366426,0.5608524957936063,0.9518738575740044,0.9976844433888943,0.9998182964978503,22,65.11324314929104,49.24715498848192,-15.86608816080912
UGC00191,data\Rotmod_LTG\UGC00191_rotmod.dat,8.64,25.0,1.0,5.694915875549634,4.232250204778265,0.7431629013079667,0.9160986045511735,0.9411218065648855,0.9951169230579531,9,23.831490758619328,17.98164753502475,-5.849843223594579
UGC00634,data\Rotmod_LTG\UGC00634_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.9739345649693049,0.9931664512768004,0.9985533119495594,4,48.762603305365005,30.188489833542942,-18.574113471822063
UGC00731,data\Rotmod_LTG\UGC00731_rotmod.dat,10.4625,25.0,1.0,5.694915875549634,4.014745065597204,0.7049700387733521,0.9971634432857883,0.9986796133649304,0.9995159658677616,12,36.16596928486053,29.537738286097593,-6.6282309987629375
UGC00891,data\Rotmod_LTG\UGC00891_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.9908619444437037,0.9958620026480489,0.9990175872083762,5,25.538963308819817,22.74543348934708,-2.793529819472738
UGC01230,data\Rotmod_LTG\UGC01230_rotmod.dat,15.6,25.0,1.0,5.694915875549634,3.5067215982448485,0.6157635467980296,0.946169866287274,0.9838945703257953,0.9994918099892681,11,43.73505435771638,27.96736704128347,-15.767687316432909
UGC01281,data\Rotmod_LTG\UGC01281_rotmod.dat,8.032499999999999,25.0,1.0,5.694915875549634,4.3100854276467375,0.7568303943086355,0.978636547851704,0.9949419413697137,0.9993820774397176,25,18.461825570134042,17.90898657346135,-0.5528389966726941
UGC02023,data\Rotmod_LTG\UGC02023_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.9539818554710449,0.9723425754188434,0.9830064262970638,5,8.845647965450617,8.415700488984148,-0.42994747646646836
UGC02259,data\Rotmod_LTG\UGC02259_rotmod.dat,12.4875,25.0,1.0,5.694915875549634,3.7978765425472716,0.6668889629876625,0.9551520718555538,0.9776419961074407,0.9949706030020701,8,39.096000450093676,33.775008113995405,-5.320992336098271
UGC02455,data\Rotmod_LTG\UGC02455_rotmod.dat,5.4075,25.0,1.0,5.694915875549634,4.6821638374986705,0.8221655841486475,0.34965328391606787,0.5686770766420005,0.8539241754824791,8,35.37808204018852,35.767935473478445,0.38985343328992883
UGC02487,data\Rotmod_LTG\UGC02487_rotmod.dat,49.875,25.0,1.0,5.694915875549634,1.9014744158763384,0.333889816360601,0.07335250767939716,0.8065553134308701,0.986285484802232,17,109.51773009092928,96.89540613943197,-12.622323951497307
UGC02885,data\Rotmod_LTG\UGC02885_rotmod.dat,44.7,25.0,1.0,5.694915875549634,2.0426527530665832,0.3586800573888092,0.004368521449443693,0.8435752678814511,0.978753948476725,19,69.35716763455243,61.49246565203622,-7.864701982516202
UGC02916,data\Rotmod_LTG\UGC02916_rotmod.dat,31.425,25.0,1.0,5.694915875549634,2.523223693198774,0.4430660168365086,0.003773179911562458,0.15876409356389515,0.9707532813390565,43,39.97364888805376,40.60249169889478,0.6288428108410216
UGC02953,data\Rotmod_LTG\UGC02953_rotmod.dat,39.45,25.0,1.0,5.694915875549634,2.2090441720518363,0.3878975950349108,0.0003517300697882138,0.030863121132533422,0.9902421664918805,115,62.22481167957494,54.8654308981746,-7.35938078140034
UGC03205,data\Rotmod_LTG\UGC03205_rotmod.dat,32.55,25.0,1.0,5.694915875549634,2.473899164009398,0.4344048653344918,0.0062699737070556465,0.16771667847967503,0.9865209700235282,48,33.64653417615317,25.977237856425756,-7.669296319727412
UGC03546,data\Rotmod_LTG\UGC03546_rotmod.dat,29.175,25.0,1.0,5.694915875549634,2.6280184012688665,0.46146746654360865,0.00015062565838527362,0.05405600597972228,0.9689936419133139,30,72.11935937530671,72.5476309019736,0.42827152666689017
