galaxy,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,n_points,rms_gr,rms_metric_resonance_sigma,delta_rms
NGC0024,data\Rotmod_LTG\NGC0024_rotmod.dat,15.975,30.0,0.4,5.694915875549634,5.694915875549634,29,32.600734022504845,26.857093832190277,-5.743640190314569
NGC0055,data\Rotmod_LTG\NGC0055_rotmod.dat,12.8625,30.0,0.4,5.694915875549634,5.694915875549634,21,22.25378039182271,10.20264474676635,-12.051135645056359
NGC0100,data\Rotmod_LTG\NGC0100_rotmod.dat,12.802499999999998,30.0,0.4,5.694915875549634,5.694915875549634,21,26.631135883562084,12.770732195348433,-13.860403688213651
NGC0247,data\Rotmod_LTG\NGC0247_rotmod.dat,15.75,30.0,0.4,5.694915875549634,5.694915875549634,26,32.17495623382241,13.491058739163451,-18.683897494658957
NGC0289,data\Rotmod_LTG\NGC0289_rotmod.dat,25.5,30.0,0.4,5.694915875549634,5.694915875549634,28,55.649949442799354,66.15343985234996,10.503490409550608
NGC0300,data\Rotmod_LTG\NGC0300_rotmod.dat,13.9725,30.0,0.4,5.694915875549634,5.694915875549634,25,36.12032545823501,19.04527569391943,-17.07504976431558
NGC0801,data\Rotmod_LTG\NGC0801_rotmod.dat,33.15,30.0,0.4,5.694915875549634,5.471953547561981,13,37.740963726026024,116.20947898865147,78.46851526262544
NGC0891,data\Rotmod_LTG\NGC0891_rotmod.dat,32.85,30.0,0.4,5.694915875549634,5.491887920099337,18,69.84503892878418,171.29238992360933,101.44735099482516
NGC1003,data\Rotmod_LTG\NGC1003_rotmod.dat,16.65,30.0,0.4,5.694915875549634,5.694915875549634,36,48.153251971836,20.793614802315908,-27.35963716952009
NGC1090,data\Rotmod_LTG\NGC1090_rotmod.dat,24.6,30.0,0.4,5.694915875549634,5.694915875549634,24,25.712295442140153,84.72266807116614,59.01037262902599
NGC1705,data\Rotmod_LTG\NGC1705_rotmod.dat,10.725,30.0,0.4,5.694915875549634,5.694915875549634,14,38.06804446988434,36.23176729676117,-1.8362771731231717
NGC2366,data\Rotmod_LTG\NGC2366_rotmod.dat,7.619999999999999,30.0,0.4,5.694915875549634,5.694915875549634,26,16.360956127974482,14.277603527911051,-2.0833526000634315
NGC2403,data\Rotmod_LTG\NGC2403_rotmod.dat,20.175,30.0,0.4,5.694915875549634,5.694915875549634,73,37.895599436401874,7.442342859706948,-30.453256576694926
NGC2683,data\Rotmod_LTG\NGC2683_rotmod.dat,25.575,30.0,0.4,5.694915875549634,5.694915875549634,11,33.117970053884335,86.23987784906566,53.12190779518133
NGC2841,data\Rotmod_LTG\NGC2841_rotmod.dat,42.675,30.0,0.4,5.694915875549634,4.946139979965293,50,87.87483219228517,93.85195281870415,5.97712062641898
NGC2903,data\Rotmod_LTG\NGC2903_rotmod.dat,27.525,30.0,0.4,5.694915875549634,5.694915875549634,34,61.46052574802574,97.72141083541628,36.26088508739054
NGC2915,data\Rotmod_LTG\NGC2915_rotmod.dat,12.315,30.0,0.4,5.694915875549634,5.694915875549634,30,48.7574283509878,42.03854222089699,-6.718886130090809
NGC2955,data\Rotmod_LTG\NGC2955_rotmod.dat,40.35,30.0,0.4,5.694915875549634,5.058227977733885,24,44.136667183471666,170.59479767598754,126.45813049251586
NGC2976,data\Rotmod_LTG\NGC2976_rotmod.dat,11.745,30.0,0.4,5.694915875549634,5.694915875549634,27,3.6845505539647445,3.661650043467854,-0.022900510496890458
NGC2998,data\Rotmod_LTG\NGC2998_rotmod.dat,31.875,30.0,0.4,5.694915875549634,5.55847603590662,13,35.122227450196725,85.90889313229133,50.7866656820946
NGC3109,data\Rotmod_LTG\NGC3109_rotmod.dat,9.5325,30.0,0.4,5.694915875549634,5.694915875549634,25,29.986977397240718,27.721621620639876,-2.265355776600842
NGC3198,data\Rotmod_LTG\NGC3198_rotmod.dat,22.275,30.0,0.4,5.694915875549634,5.694915875549634,43,37.60592238748666,37.02453757448913,-0.581384812997527
NGC3521,data\Rotmod_LTG\NGC3521_rotmod.dat,31.5,30.0,0.4,5.694915875549634,5.584851033103162,41,52.51577662137675,80.86685286263163,28.35107624125488
NGC3726,data\Rotmod_LTG\NGC3726_rotmod.dat,24.15,30.0,0.4,5.694915875549634,5.694915875549634,12,35.31058676501566,101.9757958633008,66.66520909828515
NGC3741,data\Rotmod_LTG\NGC3741_rotmod.dat,7.14,30.0,0.4,5.694915875549634,5.694915875549634,21,25.07618692122832,23.66053462545226,-1.4156522957760593
NGC3769,data\Rotmod_LTG\NGC3769_rotmod.dat,17.925,30.0,0.4,5.694915875549634,5.694915875549634,12,38.65390422651838,35.51416323636321,-3.1397409901551683
NGC3877,data\Rotmod_LTG\NGC3877_rotmod.dat,25.2,30.0,0.4,5.694915875549634,5.694915875549634,13,29.10908735068305,102.1426898929718,73.03360254228875
NGC3893,data\Rotmod_LTG\NGC3893_rotmod.dat,27.375,30.0,0.4,5.694915875549634,5.694915875549634,10,33.81205976768977,77.64491493094299,43.83285516325322
NGC3917,data\Rotmod_LTG\NGC3917_rotmod.dat,20.55,30.0,0.4,5.694915875549634,5.694915875549634,17,26.009308864899815,34.07022877308626,8.060919908186442
NGC3949,data\Rotmod_LTG\NGC3949_rotmod.dat,23.55,30.0,0.4,5.694915875549634,5.694915875549634,7,32.027021331325585,48.61692035074001,16.589899019414425
NGC3953,data\Rotmod_LTG\NGC3953_rotmod.dat,32.925,30.0,0.4,5.694915875549634,5.486880498245222,8,18.26639069797791,158.15736951287224,139.8909788148943
NGC3972,data\Rotmod_LTG\NGC3972_rotmod.dat,16.95,30.0,0.4,5.694915875549634,5.694915875549634,10,21.173242996045843,12.698571235458884,-8.47467176058696
NGC3992,data\Rotmod_LTG\NGC3992_rotmod.dat,37.2,30.0,0.4,5.694915875549634,5.225389148765759,9,51.50181558835592,107.87995769102909,56.37814210267317
NGC4010,data\Rotmod_LTG\NGC4010_rotmod.dat,17.775,30.0,0.4,5.694915875549634,5.694915875549634,12,17.706376631874576,22.590154568360486,4.8837779364859095
NGC4013,data\Rotmod_LTG\NGC4013_rotmod.dat,26.7,30.0,0.4,5.694915875549634,5.694915875549634,36,39.2720830188511,101.38365532532559,62.11157230647449
NGC4051,data\Rotmod_LTG\NGC4051_rotmod.dat,22.95,30.0,0.4,5.694915875549634,5.694915875549634,7,29.682131008832762,109.10223568549561,79.42010467666285
NGC4068,data\Rotmod_LTG\NGC4068_rotmod.dat,3.9675,30.0,0.4,5.694915875549634,5.694915875549634,6,6.0332781675934655,5.988941519714361,-0.04433664787910452
NGC4085,data\Rotmod_LTG\NGC4085_rotmod.dat,19.05,30.0,0.4,5.694915875549634,5.694915875549634,7,33.53583468853068,42.42422683351979,8.888392144989112
NGC4088,data\Rotmod_LTG\NGC4088_rotmod.dat,25.875,30.0,0.4,5.694915875549634,5.694915875549634,12,50.78967092195533,170.0727504048888,119.28307948293349
NGC4100,data\Rotmod_LTG\NGC4100_rotmod.dat,25.725,30.0,0.4,5.694915875549634,5.694915875549634,24,29.35765118897049,77.95680650491833,48.59915531594784
NGC4138,data\Rotmod_LTG\NGC4138_rotmod.dat,24.3,30.0,0.4,5.694915875549634,5.694915875549634,7,31.520891576041766,62.77936373287833,31.258472156836564
NGC4157,data\Rotmod_LTG\NGC4157_rotmod.dat,27.675,30.0,0.4,5.694915875549634,5.694915875549634,17,40.01023827592091,132.06954727961417,92.05930900369326
NGC4183,data\Rotmod_LTG\NGC4183_rotmod.dat,16.5,30.0,0.4,5.694915875549634,5.694915875549634,23,33.263626959210285,20.58515289976329,-12.678474059446994
NGC4214,data\Rotmod_LTG\NGC4214_rotmod.dat,12.015,30.0,0.4,5.694915875549634,5.694915875549634,14,33.48453104145477,31.199785699552837,-2.2847453419019352
NGC4217,data\Rotmod_LTG\NGC4217_rotmod.dat,27.675,30.0,0.4,5.694915875549634,5.694915875549634,19,64.40844387153237,128.22364166476774,63.81519779323537
NGC4389,data\Rotmod_LTG\NGC4389_rotmod.dat,11.4525,30.0,0.4,5.694915875549634,5.694915875549634,6,57.39781645079807,63.89708595741547,6.499269506617402
NGC4559,data\Rotmod_LTG\NGC4559_rotmod.dat,18.3,30.0,0.4,5.694915875549634,5.694915875549634,32,23.931662308749097,42.437827534486395,18.5061652257373
NGC5005,data\Rotmod_LTG\NGC5005_rotmod.dat,39.6,30.0,0.4,5.694915875549634,5.0963323324507135,18,57.02955192190641,130.65700380325828,73.62745188135187
NGC5033,data\Rotmod_LTG\NGC5033_rotmod.dat,29.625,30.0,0.4,5.694915875549634,5.694915875549634,22,61.16313286997931,79.8301100734676,18.666977203488287
NGC5055,data\Rotmod_LTG\NGC5055_rotmod.dat,26.925,30.0,0.4,5.694915875549634,5.694915875549634,28,58.26922066188828,123.50881473152799,65.23959406963971
NGC5371,data\Rotmod_LTG\NGC5371_rotmod.dat,31.95,30.0,0.4,5.694915875549634,5.553253129461716,19,35.62745617971017,184.26630862700773,148.63885244729755
NGC5585,data\Rotmod_LTG\NGC5585_rotmod.dat,13.4625,30.0,0.4,5.694915875549634,5.694915875549634,24,24.178154775922287,10.372988091028674,-13.805166684893614
NGC5907,data\Rotmod_LTG\NGC5907_rotmod.dat,32.325,30.0,0.4,5.694915875549634,5.5273937304629,19,43.258327077427516,104.37493603007549,61.11660895264797
NGC5985,data\Rotmod_LTG\NGC5985_rotmod.dat,43.725,30.0,0.4,5.694915875549634,4.89828316612005,33,80.13943130227766,76.52989563341774,-3.6095356688599196
NGC6015,data\Rotmod_LTG\NGC6015_rotmod.dat,23.175,30.0,0.4,5.694915875549634,5.694915875549634,44,43.27900492409794,33.2280234022417,-10.050981521856237
NGC6195,data\Rotmod_LTG\NGC6195_rotmod.dat,37.725,30.0,0.4,5.694915875549634,5.196179146369546,23,43.84749983065521,204.00702191624865,160.15952208559344
NGC6503,data\Rotmod_LTG\NGC6503_rotmod.dat,17.25,30.0,0.4,5.694915875549634,5.694915875549634,31,41.67287570412551,13.795777065429377,-27.877098638696133
NGC6674,data\Rotmod_LTG\NGC6674_rotmod.dat,36.3,30.0,0.4,5.694915875549634,5.2768307529125655,15,77.68970787051921,87.07184813367715,9.382140263157936
NGC6789,data\Rotmod_LTG\NGC6789_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,4,22.346909291739045,22.346904972530044,-4.319209001124591e-06
NGC6946,data\Rotmod_LTG\NGC6946_rotmod.dat,23.55,30.0,0.4,5.694915875549634,5.694915875549634,58,27.29685221130175,101.65979387388573,74.36294166258398
NGC7331,data\Rotmod_LTG\NGC7331_rotmod.dat,35.775,30.0,0.4,5.694915875549634,5.307670548900601,36,70.71859232887839,187.9864225126685,117.26783018379011
NGC7793,data\Rotmod_LTG\NGC7793_rotmod.dat,16.2,30.0,0.4,5.694915875549634,5.694915875549634,46,11.486837363798388,7.701376216110576,-3.785461147687812
NGC7814,data\Rotmod_LTG\NGC7814_rotmod.dat,32.1,30.0,0.4,5.694915875549634,5.542858629415753,18,53.457344257273526,63.55139790916096,10.094053651887435
PGC51017,data\Rotmod_LTG\PGC51017_rotmod.dat,2.8575,30.0,0.4,5.694915875549634,5.694915875549634,6,4.522399935416963,4.635270201579288,0.1128702661623251
UGC00128,data\Rotmod_LTG\UGC00128_rotmod.dat,19.575,30.0,0.4,5.694915875549634,5.694915875549634,22,65.11324314929104,41.36578763185561,-23.747455517435426
UGC00191,data\Rotmod_LTG\UGC00191_rotmod.dat,8.64,30.0,0.4,5.694915875549634,5.694915875549634,9,23.831490758619328,16.88205707863556,-6.949433679983766
UGC00634,data\Rotmod_LTG\UGC00634_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,4,48.762603305365005,16.72864829260246,-32.03395501276255
UGC00731,data\Rotmod_LTG\UGC00731_rotmod.dat,10.4625,30.0,0.4,5.694915875549634,5.694915875549634,12,36.16596928486053,27.7947892246637,-8.371180060196831
UGC00891,data\Rotmod_LTG\UGC00891_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,5,25.538963308819817,20.351468797628463,-5.187494511191353
UGC01230,data\Rotmod_LTG\UGC01230_rotmod.dat,15.6,30.0,0.4,5.694915875549634,5.694915875549634,11,43.73505435771638,22.677071621411784,-21.057982736304595
UGC01281,data\Rotmod_LTG\UGC01281_rotmod.dat,8.032499999999999,30.0,0.4,5.694915875549634,5.694915875549634,25,18.461825570134042,17.740390663961925,-0.7214349061721173
UGC02023,data\Rotmod_LTG\UGC02023_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,5,8.845647965450617,7.97756248938352,-0.8680854760670966
UGC02259,data\Rotmod_LTG\UGC02259_rotmod.dat,12.4875,30.0,0.4,5.694915875549634,5.694915875549634,8,39.096000450093676,31.629994439654414,-7.466006010439262
UGC02455,data\Rotmod_LTG\UGC02455_rotmod.dat,5.4075,30.0,0.4,5.694915875549634,5.694915875549634,8,35.37808204018852,36.00885573750043,0.6307736973119162
UGC02487,data\Rotmod_LTG\UGC02487_rotmod.dat,49.875,30.0,0.4,5.694915875549634,4.647106778296494,17,109.51773009092928,123.74844161835519,14.23071152742591
UGC02885,data\Rotmod_LTG\UGC02885_rotmod.dat,44.7,30.0,0.4,5.694915875549634,4.85526351436732,19,69.35716763455243,99.91576091681473,30.558593282262308
UGC02916,data\Rotmod_LTG\UGC02916_rotmod.dat,31.425,30.0,0.4,5.694915875549634,5.590178820611545,43,39.97364888805376,98.75135565316027,58.777706765106515
UGC02953,data\Rotmod_LTG\UGC02953_rotmod.dat,39.45,30.0,0.4,5.694915875549634,5.104074584595596,115,62.22481167957494,104.58899602283176,42.364184343256824
UGC03205,data\Rotmod_LTG\UGC03205_rotmod.dat,32.55,30.0,0.4,5.694915875549634,5.512078803690625,48,33.64653417615317,91.2496891263097,57.60315495015654
UGC03546,data\Rotmod_LTG\UGC03546_rotmod.dat,29.175,30.0,0.4,5.694915875549634,5.694915875549634,30,72.11935937530671,108.86868760423921,36.7493282289325
UGC03580,data\Rotmod_LTG\UGC03580_rotmod.dat,18.45,30.0,0.4,5.694915875549634,5.694915875549634,47,39.24452840755697,33.69647310611983,-5.548055301437138
UGC04278,data\Rotmod_LTG\UGC04278_rotmod.dat,12.57,30.0,0.4,5.694915875549634,5.694915875549634,25,27.66685900630416,22.570105515412443,-5.096753490891718
UGC04305,data\Rotmod_LTG\UGC04305_rotmod.dat,5.010000000000001,30.0,0.4,5.694915875549634,5.694915875549634,22,4.955072428351265,7.125288572382226,2.1702161440309613
UGC04325,data\Rotmod_LTG\UGC04325_rotmod.dat,13.41,30.0,0.4,5.694915875549634,5.694915875549634,8,35.331222541708,32.39454969658359,-2.936672845124413
UGC04483,data\Rotmod_LTG\UGC04483_rotmod.dat,3.12,30.0,0.4,5.694915875549634,5.694915875549634,8,7.079526352533245,7.079376675227596,-0.0001496773056484102
UGC04499,data\Rotmod_LTG\UGC04499_rotmod.dat,10.035,30.0,0.4,5.694915875549634,5.694915875549634,9,21.50254779202607,13.352627728128574,-8.149920063897497
UGC05005,data\Rotmod_LTG\UGC05005_rotmod.dat,11.3325,30.0,0.4,5.694915875549634,5.694915875549634,11,33.6105146121397,8.998527063812608,-24.611987548327093
UGC05253,data\Rotmod_LTG\UGC05253_rotmod.dat,32.775,30.0,0.4,5.694915875549634,5.496911373041923,73,44.104843857397995,78.65741903635397,34.552575178955976
UGC05414,data\Rotmod_LTG\UGC05414_rotmod.dat,7.334999999999999,30.0,0.4,5.694915875549634,5.694915875549634,6,12.492346698655776,11.450777362460768,-1.0415693361950087
UGC05716,data\Rotmod_LTG\UGC05716_rotmod.dat,10.815,30.0,0.4,5.694915875549634,5.694915875549634,12,34.860659179032254,23.021242058947216,-11.839417120085038
UGC05721,data\Rotmod_LTG\UGC05721_rotmod.dat,11.7825,30.0,0.4,5.694915875549634,5.694915875549634,23,36.993423389983725,34.719861544982365,-2.2735618450013604
UGC05750,data\Rotmod_LTG\UGC05750_rotmod.dat,8.3475,30.0,0.4,5.694915875549634,5.694915875549634,11,20.787271481906608,8.379586884425981,-12.407684597480626
UGC05764,data\Rotmod_LTG\UGC05764_rotmod.dat,7.4925,30.0,0.4,5.694915875549634,5.694915875549634,10,27.9551391121523,27.760687838465532,-0.1944512736867665
UGC05829,data\Rotmod_LTG\UGC05829_rotmod.dat,7.484999999999999,30.0,0.4,5.694915875549634,5.694915875549634,11,20.89128746050334,16.732062297490618,-4.159225163012721
UGC05918,data\Rotmod_LTG\UGC05918_rotmod.dat,5.714999999999999,30.0,0.4,5.694915875549634,5.694915875549634,8,18.378285164393436,17.809905408873014,-0.5683797555204215
UGC05986,data\Rotmod_LTG\UGC05986_rotmod.dat,16.95,30.0,0.4,5.694915875549634,5.694915875549634,15,38.97404649965343,23.46770095294966,-15.506345546703773
UGC05999,data\Rotmod_LTG\UGC05999_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,5,37.193191266338594,9.997296779932977,-27.195894486405617
UGC06399,data\Rotmod_LTG\UGC06399_rotmod.dat,11.625,30.0,0.4,5.694915875549634,5.694915875549634,9,28.750319030139067,20.422425208282064,-8.327893821857003
UGC06446,data\Rotmod_LTG\UGC06446_rotmod.dat,12.254999999999995,30.0,0.4,5.694915875549634,5.694915875549634,17,37.554663229842475,28.19364546607204,-9.361017763770434
UGC06614,data\Rotmod_LTG\UGC06614_rotmod.dat,29.025,30.0,0.4,5.694915875549634,5.694915875549634,13,50.98495587013215,120.32094814712275,69.3359922769906
UGC06628,data\Rotmod_LTG\UGC06628_rotmod.dat,6.21,30.0,0.4,5.694915875549634,5.694915875549634,7,8.072900058646603,19.71515551856041,11.642255459913809
UGC06667,data\Rotmod_LTG\UGC06667_rotmod.dat,11.595,30.0,0.4,5.694915875549634,5.694915875549634,9,45.27733630984675,40.11617575229713,-5.161160557549621
UGC06786,data\Rotmod_LTG\UGC06786_rotmod.dat,33.75,30.0,0.4,5.694915875549634,5.432832358271327,45,51.9524574240025,40.21047508760273,-11.741982336399772
UGC06787,data\Rotmod_LTG\UGC06787_rotmod.dat,37.425,30.0,0.4,5.694915875549634,5.2128003454729335,71,64.96642478114666,59.143804185753325,-5.822620595393332
UGC06818,data\Rotmod_LTG\UGC06818_rotmod.dat,8.3175,30.0,0.4,5.694915875549634,5.694915875549634,8,20.175495852306163,13.98219382537893,-6.193302026927233
UGC06917,data\Rotmod_LTG\UGC06917_rotmod.dat,15.075,30.0,0.4,5.694915875549634,5.694915875549634,11,30.603998657699744,12.999189044824616,-17.60480961287513
UGC06923,data\Rotmod_LTG\UGC06923_rotmod.dat,11.355,30.0,0.4,5.694915875549634,5.694915875549634,6,15.1054378478316,11.509760120908254,-3.5956777269233466
UGC06930,data\Rotmod_LTG\UGC06930_rotmod.dat,15.75,30.0,0.4,5.694915875549634,5.694915875549634,10,31.485550365605146,19.131163855440025,-12.35438651016512
UGC06973,data\Rotmod_LTG\UGC06973_rotmod.dat,26.1,30.0,0.4,5.694915875549634,5.694915875549634,9,88.38568001480633,108.54097949365371,20.155299478847382
UGC06983,data\Rotmod_LTG\UGC06983_rotmod.dat,16.275,30.0,0.4,5.694915875549634,5.694915875549634,17,42.45443781782275,16.55060612058477,-25.90383169723798
UGC07089,data\Rotmod_LTG\UGC07089_rotmod.dat,10.364999999999998,30.0,0.4,5.694915875549634,5.694915875549634,12,14.928726535103594,2.787204780692787,-12.141521754410807
UGC07125,data\Rotmod_LTG\UGC07125_rotmod.dat,9.7125,30.0,0.4,5.694915875549634,5.694915875549634,13,14.698599189568334,16.504044075245165,1.805444885676831
UGC07151,data\Rotmod_LTG\UGC07151_rotmod.dat,10.1925,30.0,0.4,5.694915875549634,5.694915875549634,11,15.566865119323268,12.599283190849736,-2.967581928473532
UGC07232,data\Rotmod_LTG\UGC07232_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,4,9.106155029455469,9.10613420231566,-2.0827139808332618e-05
UGC07261,data\Rotmod_LTG\UGC07261_rotmod.dat,10.44,30.0,0.4,5.694915875549634,5.694915875549634,7,22.262552465739894,16.839165520445675,-5.423386945294219
UGC07323,data\Rotmod_LTG\UGC07323_rotmod.dat,9.375,30.0,0.4,5.694915875549634,5.694915875549634,10,10.345457337040719,5.105132078005622,-5.240325259035097
UGC07399,data\Rotmod_LTG\UGC07399_rotmod.dat,14.01,30.0,0.4,5.694915875549634,5.694915875549634,10,50.95226232229807,47.54401262718784,-3.4082496951102286
UGC07524,data\Rotmod_LTG\UGC07524_rotmod.dat,11.895,30.0,0.4,5.694915875549634,5.694915875549634,31,26.756759638805764,16.555731721015054,-10.20102791779071
UGC07559,data\Rotmod_LTG\UGC07559_rotmod.dat,3.915,30.0,0.4,5.694915875549634,5.694915875549634,7,6.78682547264883,6.74428827982639,-0.04253719282244006
UGC07577,data\Rotmod_LTG\UGC07577_rotmod.dat,1.6049999999999998,30.0,0.4,5.694915875549634,5.694915875549634,9,1.7651840058788588,1.7639282775191572,-0.0012557283597016689
UGC07603,data\Rotmod_LTG\UGC07603_rotmod.dat,9.075,30.0,0.4,5.694915875549634,5.694915875549634,12,25.74568614409514,25.20191429751719,-0.5437718465779469
UGC07608,data\Rotmod_LTG\UGC07608_rotmod.dat,7.965,30.0,0.4,5.694915875549634,5.694915875549634,8,30.63714273310021,29.59637154457564,-1.0407711885245696
UGC07690,data\Rotmod_LTG\UGC07690_rotmod.dat,8.684999999999999,30.0,0.4,5.694915875549634,5.694915875549634,7,13.006404800319592,12.155239285775979,-0.851165514543613
UGC07866,data\Rotmod_LTG\UGC07866_rotmod.dat,3.9,30.0,0.4,5.694915875549634,5.694915875549634,7,7.480355756414136,7.455287870291629,-0.025067886122506877
UGC08286,data\Rotmod_LTG\UGC08286_rotmod.dat,12.375,30.0,0.4,5.694915875549634,5.694915875549634,17,36.6726781610861,30.331951904488584,-6.340726256597513
UGC08490,data\Rotmod_LTG\UGC08490_rotmod.dat,11.7525,30.0,0.4,5.694915875549634,5.694915875549634,30,38.25426280569027,29.548638440138344,-8.705624365551923
