galaxy,n_points,sigma_v_true,Q_gal,sigma_eff,G_sigma,rms_gr,rms_theory,delta_rms
NGC0300,25,13.9725,3.0956821919759077,33.07576438718441,0.7558404306957316,36.12032545823501,36.12032545823501,0.0
NGC0801,13,33.15,5.805452561138789,29.306296492257623,0.853059000703303,37.740963726026024,37.740963726026024,0.0
NGC0891,18,32.85,6.480227995882293,28.85788895327227,0.8663142352678984,69.84503892878418,69.84503892878418,0.0
NGC1003,36,16.65,2.717663032648767,34.1990801286478,0.7310138139960689,48.153251971836,48.153251971836,0.0
NGC1090,24,24.6,4.973854072785542,30.026283367818845,0.8326038788668115,25.712295442140153,25.712295442140153,0.0
NGC1705,14,10.725,2.3367224919976417,35.69874582267051,0.70030471446209,38.06804446988434,38.06804446988434,0.0
NGC2366,26,7.619999999999999,3.944237019952895,31.338361481201904,0.7977443241567073,16.360956127974482,16.360956127974482,0.0
NGC2403,73,20.175,3.0605890334693844,33.16836227491177,0.7537303106131882,37.895599436401874,37.895599436401874,0.0
NGC2683,11,25.575,4.395406842445674,30.687755626755497,0.8146571650291506,33.117970053884335,33.117970053884335,0.0
NGC2841,50,42.675,3.172918132883218,32.879182176466244,0.7603595450100372,87.87483219228517,87.87483219228517,0.0
NGC2903,34,27.525,4.662506576988285,30.361922731302307,0.8233997636199004,61.46052574802574,61.46052574802574,0.0
NGC2915,30,12.315,2.122239564308874,36.78000844977248,0.67971708147214,48.7574283509878,48.7574283509878,0.0
NGC2955,24,40.35,5.92121323107485,29.222107704008806,0.85551666064698,44.136667183471666,44.136667183471666,0.0
NGC2976,27,11.745,7.106352154758122,28.517979331106048,0.8766399508793807,3.6845505539647445,3.6845505539647445,0.0
NGC2998,13,31.875,5.149415577265974,29.854919869037545,0.8373829207938164,35.122227450196725,35.122227450196725,0.0
NGC3109,25,9.5325,2.461223756637931,35.1575486310722,0.711084844462251,29.986977397240718,29.986977397240718,0.0
NGC3198,43,22.275,3.60786828862372,31.929299519838256,0.7829799079828558,37.60592238748666,37.60592238748666,0.0
NGC3521,41,31.5,5.652423779496579,29.422881400132134,0.8496788489208854,52.51577662137675,52.51577662137675,0.0
NGC3726,12,24.15,4.866257608939706,30.13741811655696,0.8295335686458637,35.31058676501566,35.31058676501566,0.0
NGC3741,21,7.14,2.025444949982094,37.34296691214492,0.6694701055440065,25.07618692122832,25.07618692122832,0.0
NGC3769,12,17.925,3.394425084749677,32.36501745533254,0.772438946912446,38.65390422651838,38.65390422651838,0.0
NGC3877,13,25.2,7.922125708625197,28.15571866939467,0.8879190864758518,29.10908735068305,29.10908735068305,0.0
NGC3893,10,27.375,5.175454377380151,29.830493745489292,0.8380685956222325,33.81205976768977,33.81205976768977,0.0
NGC3917,17,20.55,4.949017264816354,30.05150793829928,0.83190500960315,26.009308864899815,26.009308864899815,0.0
NGC3949,7,23.55,7.754507811424418,28.223931242053617,0.8857731329344382,32.027021331325585,32.027021331325585,0.0
NGC3953,8,32.925,7.424387351880671,28.36728120653178,0.8812970061524107,18.26639069797791,18.26639069797791,0.0
NGC3972,10,16.95,6.006343035836631,29.162266432476198,0.8572721896594107,21.173242996045843,21.173242996045843,0.0
NGC3992,9,37.2,4.823766509178033,30.182672078433576,0.8282898192391405,51.50181558835592,51.50181558835592,0.0
NGC4010,12,17.775,5.8128327407368765,29.300829064768656,0.8532181783914102,17.706376631874576,17.706376631874576,0.0
NGC4013,36,26.7,4.1886638136138306,30.968490457206418,0.8072721540801631,39.2720830188511,39.2720830188511,0.0
NGC4051,7,22.95,7.93485871979218,28.150654710164112,0.8880788122833061,29.682131008832762,29.682131008832762,0.0
NGC4068,6,3.9675,6.677792753350262,28.743752003602903,0.8697542337850104,6.0332781675934655,6.0332781675934655,0.0
NGC4085,7,19.05,7.870378862626782,28.176467160776063,0.8872652436286277,33.53583468853068,33.53583468853068,0.0
NGC4088,12,25.875,6.998904471471862,28.57198760204574,0.8749828800223198,50.78967092195533,50.78967092195533,0.0
NGC4100,24,25.725,4.660380631886631,30.364368701764047,0.8233334354996026,29.35765118897049,29.35765118897049,0.0
NGC4138,7,24.3,5.102388085213455,29.899666505660193,0.8361297272418522,31.520891576041766,31.520891576041766,0.0
NGC4157,17,27.675,5.165386371849594,29.839909002014913,0.8378041634882968,40.01023827592091,40.01023827592091,0.0
NGC4183,23,16.5,3.900637889016421,31.409208111933705,0.7959449315279435,33.263626959210285,33.263626959210285,0.0
NGC4214,14,12.015,2.9570761234948373,33.45429706775814,0.7472881570150808,33.48453104145477,33.48453104145477,0.0
NGC4217,19,27.675,5.8720101438837125,29.25748583320143,0.8544821705640192,64.40844387153237,64.40844387153237,0.0
NGC4389,6,11.4525,12.394850653372814,27.016966617762122,0.9253444457218938,57.39781645079807,57.39781645079807,0.0
NGC4559,32,18.3,4.651600563137248,30.37449414683596,0.823058974386383,23.931662308749097,23.931662308749097,0.0
NGC5005,18,39.6,7.429587220101518,28.36492449168103,0.8813702291833032,57.02955192190641,57.02955192190641,0.0
NGC5033,22,29.625,4.057977771300998,31.160704027707116,0.8022925277224413,61.16313286997931,61.16313286997931,0.0
NGC5055,28,26.925,4.609304723917126,30.42381150681534,0.8217247860084745,58.26922066188828,58.26922066188828,0.0
NGC5371,19,31.95,6.417750813234355,28.89544572974792,0.8651882457124532,35.62745617971017,35.62745617971017,0.0
NGC5585,24,13.4625,3.6914855062408702,31.772341367109444,0.7868478973941739,24.178154775922287,24.178154775922287,0.0
NGC5907,19,32.325,4.556266685471806,30.486948356143298,0.820023037660388,43.258327077427516,43.258327077427516,0.0
NGC5985,33,43.725,4.619932287034639,30.411334722407062,0.8220619130399432,80.13943130227766,80.13943130227766,0.0
NGC6015,44,23.175,3.5699405543715192,32.0029177290884,0.7811787728740982,43.27900492409794,43.27900492409794,0.0
NGC6195,23,37.725,6.648610122673058,28.76018439022994,0.8692572919835901,43.84749983065521,43.84749983065521,0.0
NGC6503,31,17.25,3.2944606720239817,32.588495504680296,0.7671418889653727,41.67287570412551,41.67287570412551,0.0
NGC6674,15,36.3,3.7031353646966685,31.751035956809485,0.7873758838611493,77.68970787051921,77.68970787051921,0.0
NGC6789,4,25.0,0.8428843726187029,54.660058736560885,0.45737235886426264,22.346909291739045,22.346909291739045,0.0
NGC6946,58,23.55,5.554910281177535,29.50052273296131,0.847442610637783,27.29685221130175,27.29685221130175,0.0
NGC7331,36,35.775,5.333310068848902,29.687520447389964,0.8421046831547673,70.71859232887839,70.71859232887839,0.0
NGC7793,46,16.2,4.911456400911254,30.090139860624966,0.8308369491068479,11.486837363798388,11.486837363798388,0.0
NGC7814,18,32.1,4.391254804557851,30.693133537605593,0.8145144245167963,53.457344257273526,53.457344257273526,0.0
PGC51017,6,2.8575,7.778068877674376,28.2141654173002,0.8860797273369158,4.522399935416963,4.522399935416963,0.0
UGC00128,22,19.575,2.5701235227778274,34.72715893941923,0.7198976467845225,65.11324314929104,65.11324314929104,0.0
UGC00191,9,8.64,5.375658415825462,29.65059311179487,0.8431534541565415,23.831490758619328,23.831490758619328,0.0
UGC00634,4,25.0,1.9856215900172365,37.59051579902643,0.6650613716943858,48.762603305365005,48.762603305365005,0.0
UGC00731,12,10.4625,3.5803531409263414,31.98255144561851,0.7816762225024079,36.16596928486053,36.16596928486053,0.0
UGC00891,5,25.0,1.0761425184426086,48.231123732737515,0.518337497971894,25.538963308819817,25.538963308819817,0.0
UGC01230,11,15.6,3.861014985630546,31.474981343776687,0.794281646331875,43.73505435771638,43.73505435771638,0.0
UGC01281,25,8.032499999999999,3.309319236073604,32.55442380036495,0.7679447854248226,18.461825570134042,18.461825570134042,0.0
UGC02023,5,25.0,1.507846145997661,41.57994090866534,0.6012514557179168,8.845647965450617,8.845647965450617,0.0
UGC02259,8,12.4875,3.6042018411226904,31.936348490464294,0.7828070891531203,39.096000450093676,39.096000450093676,0.0
UGC02455,8,5.4075,14.285409300315678,26.750037361508962,0.9345781339346046,35.37808204018852,35.37808204018852,0.0
UGC02487,17,49.875,3.6974059516489564,31.761497202883714,0.7871165468147446,109.51773009092928,109.51773009092928,0.0
UGC02885,19,44.7,4.275672153077733,30.84703389430932,0.8104506931090064,69.35716763455243,69.35716763455243,0.0
UGC02916,43,31.425,4.917438105337347,30.08394807712276,0.831007949352604,39.97364888805376,39.97364888805376,0.0
UGC02953,115,39.45,3.6570722686248844,31.83606944672176,0.785272818990358,62.22481167957494,62.22481167957494,0.0
UGC03205,48,32.55,4.24647859761349,30.887230896218327,0.8093959631409001,33.64653417615317,33.64653417615317,0.0
UGC03546,30,29.175,5.006447502394339,29.99356080095591,0.8335122383736191,72.11935937530671,72.11935937530671,0.0
UGC03580,47,18.45,3.6044276125866497,31.935914016611147,0.7828177388941021,39.24452840755697,39.24452840755697,0.0
UGC04278,25,12.57,4.037072773973631,31.192605731848836,0.801471996758323,27.66685900630416,27.66685900630416,0.0
UGC04305,22,5.010000000000001,7.848957703245858,28.185136287543187,0.8869923403935818,4.955072428351265,4.955072428351265,0.0
UGC04325,8,13.41,4.143053520329064,31.034196728893416,0.8055629800375833,35.331222541708,35.331222541708,0.0
UGC04483,8,3.12,4.530799885259001,30.517789492609843,0.8191943261832242,7.079526352533245,7.079526352533245,0.0
UGC04499,9,10.035,4.521300199625024,30.529382897882645,0.8188832405693293,21.50254779202607,21.50254779202607,0.0
UGC05005,11,11.3325,4.227104952504675,30.914213221790675,0.8086895118643391,33.6105146121397,33.6105146121397,0.0
UGC05253,73,32.775,4.192723070802169,30.96271196018126,0.8074228133553211,44.104843857397995,44.104843857397995,0.0
UGC05414,6,7.334999999999999,5.321091862736802,29.69828385694167,0.8417994831090722,12.492346698655776,12.492346698655776,0.0
UGC05716,12,10.815,3.0712388546595686,33.14003767960637,0.7543745194769176,34.860659179032254,34.860659179032254,0.0
UGC05721,23,11.7825,2.699467628070392,34.26108531179915,0.7296908364835211,36.993423389983725,36.993423389983725,0.0
UGC05750,11,8.3475,5.452346420467305,29.585181878054133,0.845017620748333,20.787271481906608,20.787271481906608,0.0
UGC05764,10,7.4925,3.0765000706909924,33.12611715441466,0.7546915288460934,27.9551391121523,27.9551391121523,0.0
UGC05829,11,7.484999999999999,5.012701308792423,29.987330874103606,0.8336854021772724,20.89128746050334,20.89128746050334,0.0
UGC05918,8,5.714999999999999,3.604977932382716,31.934855211021006,0.7828436933502136,18.378285164393436,18.378285164393436,0.0
UGC05986,15,16.95,3.4563455438631037,32.233073106474734,0.7756008841421388,38.97404649965343,38.97404649965343,0.0
UGC05999,5,25.0,2.014979424212565,37.40707458328998,0.6683227779369757,37.193191266338594,37.193191266338594,0.0
UGC06399,9,11.625,4.1999311778272475,30.95247849107215,0.807689762459925,28.750319030139067,28.750319030139067,0.0
UGC06446,17,12.254999999999995,3.2387381227963825,32.719055710010466,0.7640807308614104,37.554663229842475,37.554663229842475,0.0
UGC06614,13,29.025,4.503197118800236,30.55161129758864,0.8182874466582778,50.98495587013215,50.98495587013215,0.0
UGC06628,7,6.21,8.107384044551987,28.083608703204277,0.8901989863271224,8.072900058646603,8.072900058646603,0.0
UGC06667,9,11.595,2.738204696883583,34.13006979662737,0.7324919095966931,45.27733630984675,45.27733630984675,0.0
UGC06786,45,33.75,3.260523404674161,32.667480614971495,0.765287053956114,51.9524574240025,51.9524574240025,0.0
UGC06787,71,37.425,3.2737940018649327,32.636399842433164,0.7660158632906416,64.96642478114666,64.96642478114666,0.0
UGC06818,8,8.3175,5.095385431346473,29.9064001804852,0.8359414656770771,20.175495852306163,20.175495852306163,0.0
UGC06917,11,15.075,4.567026641520599,30.47402105621968,0.8203708973580812,30.603998657699744,30.603998657699744,0.0
UGC06923,6,11.355,5.3143170525061,29.704273334277378,0.841629745278136,15.1054378478316,15.1054378478316,0.0
UGC06930,10,15.75,4.654408822993484,30.371251420050644,0.8231468520752284,31.485550365605146,31.485550365605146,0.0
UGC06973,9,26.1,7.410591842041552,28.373549715445225,0.8811023030506182,88.38568001480633,88.38568001480633,0.0
UGC06983,17,16.275,3.665441843593826,31.820460142804624,0.7856580290732567,42.45443781782275,42.45443781782275,0.0
UGC07089,12,10.364999999999998,5.193155823367612,29.81402847330474,0.8385314323552355,14.928726535103594,14.928726535103594,0.0
UGC07125,13,9.7125,4.933391109051961,30.067508220487348,0.83146231528975,14.698599189568334,14.698599189568334,0.0
UGC07151,11,10.1925,5.22931136590659,29.780744203336575,0.8394686119764277,15.566865119323268,15.566865119323268,0.0
UGC07232,4,25.0,1.0694859885074772,48.375715314315414,0.5167882239583538,9.106155029455469,9.106155029455469,0.0
UGC07261,7,10.44,4.57384706332067,30.46585831443382,0.8205906999887721,22.262552465739894,22.262552465739894,0.0
UGC07323,10,9.375,7.029753270207995,28.55631258154531,0.875463172235914,10.345457337040719,10.345457337040719,0.0
UGC07399,10,14.01,2.8701468427679617,33.71035573075072,0.7416118714284258,50.95226232229807,50.95226232229807,0.0
UGC07524,31,11.895,4.29348824513365,30.822771269569827,0.8110886520019557,26.756759638805764,26.756759638805764,0.0
UGC07559,7,3.915,5.236433975588952,29.774241423943135,0.8396519543196859,6.78682547264883,6.78682547264883,0.0
UGC07577,9,1.6049999999999998,9.326486805855088,27.68053775450636,0.903161644535971,1.7651840058788588,1.7651840058788588,0.0
UGC07603,12,9.075,3.122835074151105,33.00554605234664,0.7574484591271454,25.74568614409514,25.74568614409514,0.0
UGC07608,8,7.965,3.074876374632585,33.130408170633274,0.7545937819794187,30.63714273310021,30.63714273310021,0.0
UGC07690,7,8.684999999999999,5.011480871826976,29.988545429863336,0.8336516373716606,13.006404800319592,13.006404800319592,0.0
UGC07866,7,3.9,5.232318146738751,29.77799692199188,0.8395460603173347,7.480355756414136,7.480355756414136,0.0
UGC08286,17,12.375,3.096202926816018,33.07440616487911,0.7558714697815764,36.6726781610861,36.6726781610861,0.0
UGC08490,30,11.7525,2.647446566058812,34.44306122001053,0.7258355998123549,38.25426280569027,38.25426280569027,0.0
UGC08550,11,7.86,3.2172081022196637,32.77071274399428,0.7628762973604113,24.99854471571737,24.99854471571737,0.0
UGC08699,41,27.225,4.104149419978887,31.091396155875977,0.8040809706538457,38.29257854611432,38.29257854611432,0.0
UGC08837,8,4.755,6.8715455944457675,28.638191678478766,0.8729601463903596,7.952404742389242,7.952404742389242,0.0
UGC09037,22,23.325,5.286926021027173,29.72864570084203,0.8409397539186221,31.128091400079775,31.128091400079775,0.0
UGC09133,68,33.975,3.7198318465065374,31.720733901850593,0.7881280451251317,61.91748044477971,61.91748044477971,0.0
UGC09992,5,25.0,1.0855366230579235,48.0300843554921,0.5205071016524526,5.888447315315842,5.888447315315842,0.0
UGC10310,7,10.38,4.530512632703385,30.51813934245281,0.8191849352107551,22.50539817651381,22.50539817651381,0.0
UGC11455,36,40.8,5.5072873031595595,29.53943994998361,0.8463261335465458,39.82149446522485,39.82149446522485,0.0
UGC11557,12,10.92,8.618308380208132,27.90080128223449,0.8960316138274659,20.837740296482337,20.837740296482337,0.0
UGC11820,10,7.78125,5.044430126906012,29.955961202962225,0.8345584316462478,27.350315053297003,27.350315053297003,0.0
UGC11914,65,42.6,6.756398421996469,28.700196234521744,0.8710741834555472,20.216150253791284,20.216150253791284,0.0
UGC12506,31,34.95,4.084121865480129,31.121266902269824,0.8033091994136212,78.84357368691505,78.84357368691505,0.0
UGC12632,15,10.4625,3.8262460807818215,31.533819172156253,0.7927996245400719,28.541353368849645,28.541353368849645,0.0
UGC12732,16,12.72,3.5824274404715335,31.97850840398582,0.7817750497982572,38.50841686062227,38.50841686062227,0.0
UGCA281,7,3.9,4.983573938898744,30.016480202062464,0.8328758012833971,6.731165308050977,6.731165308050977,0.0
UGCA442,8,7.784999999999999,3.1691668395155435,32.888508641539886,0.7601439235959672,26.097011285652165,26.097011285652165,0.0
UGCA444,36,5.2875,2.973678191969071,33.40709666147359,0.7483439897017752,14.062050109758859,14.062050109758859,0.0
