galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
NGC5055,ok,28,2.8271,0.8579,1.312118422411163,1.1079261031098648,mass_power,mass_log,False,58.26687802998353
NGC5371,ok,19,2.8271,0.8579,1.22281010861774,1.1308866127564583,mass_power,mass_log,False,35.62745617971017
NGC5585,ok,24,2.8271,0.8579,4.3422822137013375,0.7181173436641929,mass_power,mass_log,False,22.904846574609856
NGC5907,ok,19,2.8271,0.8579,1.1710656475461168,1.1449699468866659,mass_power,mass_log,False,42.63129778458284
NGC5985,ok,33,2.8271,0.8579,1.0669083136674498,1.1753105534778299,mass_power,mass_log,False,66.90849114375395
NGC6015,ok,44,2.8271,0.8579,1.8993085357341848,0.9874592379332168,mass_power,mass_log,False,42.67395829871777
NGC6195,ok,23,2.8271,0.8579,1.177757214276526,1.1431140480772162,mass_power,mass_log,False,43.80029216249413
NGC6503,ok,31,2.8271,0.8579,2.6247286753821886,0.8820925659631617,mass_power,mass_log,False,41.61600651043533
NGC6674,ok,15,2.8271,0.8579,0.9227798899061262,1.2225822869019023,mass_power,mass_log,False,77.47105027184001
NGC6946,ok,58,2.8271,0.8579,2.165200128901875,0.9447823447427837,mass_power,mass_log,False,27.22369439593114
NGC7331,ok,36,2.8271,0.8579,1.2304631923710654,1.1288544077690212,mass_power,mass_log,False,70.71136410936717
NGC7793,ok,46,2.8271,0.8579,4.275047414429215,0.723200176069363,mass_power,mass_log,False,6.905645957517357
NGC7814,ok,18,2.8271,0.8579,1.7197206934671037,1.0198124400653445,mass_power,mass_log,False,53.08401326043263
PGC51017,ok,6,2.8271,0.8579,23.34485598749937,0.17026247858729038,mass_power,mass_log,False,2.859602361666247
UGC00128,ok,22,2.8271,0.8579,1.7038448126641073,1.0228333506503464,mass_power,mass_log,False,65.04605872659683
UGC00191,ok,9,2.8271,0.8579,6.428055679106485,0.5903461555096123,mass_power,mass_log,False,15.500164438842347
UGC00731,ok,12,2.8271,0.8579,5.322363883104703,0.6518274554133574,mass_power,mass_log,False,34.98378673451434
UGC01230,ok,11,2.8271,0.8579,2.3841619057905397,0.9134040695536977,mass_power,mass_log,False,40.909926107585356
UGC01281,ok,25,2.8271,0.8579,8.991290608830154,0.4810393518572154,mass_power,mass_log,False,10.812773764590435
UGC02259,ok,8,2.8271,0.8579,5.194128354457458,0.6597713698432487,mass_power,mass_log,False,29.319393778104686
UGC02455,ok,8,2.8271,0.8579,13.4407529786748,0.35008817834507533,mass_power,mass_log,False,35.37808204018852
UGC02487,ok,17,2.8271,0.8579,0.6864000598651383,1.3189728934097527,mass_power,mass_log,False,109.26784241768242
UGC02885,ok,19,2.8271,0.8579,0.7741763213908943,1.2797759649107054,mass_power,mass_log,False,69.24636717068311
UGC02916,ok,43,2.8271,0.8579,1.3403220819061985,1.1009989984359052,mass_power,mass_log,False,38.485716466583725
UGC02953,ok,115,2.8271,0.8579,0.916345476101026,1.2248614478524376,mass_power,mass_log,False,60.200305228398044
UGC03205,ok,48,2.8271,0.8579,1.2761579154842717,1.1169775640207757,mass_power,mass_log,False,31.864081906215294
UGC03546,ok,30,2.8271,0.8579,1.5798018661376836,1.0474539110737406,mass_power,mass_log,False,71.86889168585816
