system_label,variant_id,mode,coordinate,coordinate_value,training_images,training_linearized_RMS_arcsec,heldout_images,heldout_linearized_RMS_arcsec,applied_angular_strength
MACS0329,network_target_150,network,target_weight_power,1.5,20,6.013087084166911,3,19.47156517314921,0.102148081662042
MACS0329,network_target_200,network,target_weight_power,2.0,20,6.015415996012221,3,19.530293668568312,0.102148081662042
MACS0329,network_link_125,network,link_scale_kpc,125.0,20,6.0085186845677265,3,19.393759752248368,0.102148081662042
MACS0329,network_link_500,network,link_scale_kpc,500.0,20,6.008576759723293,3,19.397660816683263,0.102148081662042
MACS0329,network_top_001,network,top_k,1.0,20,6.009129287465671,3,19.544190002134844,0.102148081662042
MACS0329,network_top_003,network,top_k,3.0,20,6.001173030658995,3,19.362122265485763,0.102148081662042
MACS0329,network_top_010,network,top_k,10.0,20,6.009346183362821,3,19.421778435855,0.102148081662042
MACS0429,eta_000,none,reference,0.0,5,3.451048559824088,2,13.165399312467747,0.0
MACS0429,local_vector_s200,local_vector,reference,1.0,5,3.4510481708294702,2,13.165391353092003,4.194167589846871e-06
MACS0429,network_parent,network,parent,1.0,5,3.4510481756314904,2,13.165391457460723,4.194167589846871e-06
MACS0429,network_hop_080,network,hop_fraction,0.8,5,3.451048176529247,2,13.165391434325981,4.194167589846871e-06
MACS0429,network_hop_090,network,hop_fraction,0.9,5,3.4510481759540426,2,13.165391444901061,4.194167589846871e-06
MACS0429,network_hop_110,network,hop_fraction,1.1,5,3.4510481730762974,2,13.165391470377793,4.194167589846871e-06
MACS0429,network_hop_120,network,hop_fraction,1.2,5,3.4510481657705014,2,13.165391528734459,4.194167589846871e-06
MACS0429,network_soft_100,network,softening_kpc,100.0,5,3.4510481759613643,2,13.165391460580924,4.194167589846871e-06
MACS0429,network_soft_300,network,softening_kpc,300.0,5,3.451048175517928,2,13.165391457618568,4.194167589846871e-06
MACS0429,network_power_150,network,distance_power,1.5,5,3.4510481755985785,2,13.165391457850827,4.194167589846871e-06
MACS0429,network_power_250,network,distance_power,2.5,5,3.4510481756752824,2,13.165391457293378,4.194167589846871e-06
MACS0429,network_target_050,network,target_weight_power,0.5,5,3.45104817394614,2,13.165391451026421,4.194167589846871e-06
MACS0429,network_target_150,network,target_weight_power,1.5,5,3.4510481769434054,2,13.165391467515601,4.194167589846871e-06
MACS0429,network_target_200,network,target_weight_power,2.0,5,3.451048177625722,2,13.16539148103449,4.194167589846871e-06
MACS0429,network_link_125,network,link_scale_kpc,125.0,5,3.4510481758343867,2,13.165391459184647,4.194167589846871e-06
MACS0429,network_link_500,network,link_scale_kpc,500.0,5,3.4510481755003117,2,13.16539145707791,4.194167589846871e-06
MACS0429,network_top_001,network,top_k,1.0,5,3.451048174193465,2,13.16539145459299,4.194167589846871e-06
MACS0429,network_top_003,network,top_k,3.0,5,3.451048174978352,2,13.165391552495791,4.194167589846871e-06
MACS0429,network_top_010,network,top_k,10.0,5,3.451048174715182,2,13.165391435528006,4.194167589846871e-06
MACS1115,eta_000,none,reference,0.0,4,0.12056515027865068,2,16.13782480589145,0.0
MACS1115,local_vector_s200,local_vector,reference,1.0,4,0.12160706144364766,2,16.133182066603368,0.013469850472188141
MACS1115,network_parent,network,parent,1.0,4,0.12383454490152138,2,16.145140107411557,0.013469850472188141
MACS1115,network_hop_080,network,hop_fraction,0.8,4,0.1233206306160884,2,16.143692215682776,0.013469850472188141
MACS1115,network_hop_090,network,hop_fraction,0.9,4,0.12358082147526321,2,16.144674520759065,0.013469850472188141
MACS1115,network_hop_110,network,hop_fraction,1.1,4,0.12386978197300107,2,16.14519144039122,0.013469850472188141
MACS1115,network_hop_120,network,hop_fraction,1.2,4,0.12380614350932022,2,16.145168330014403,0.013469850472188141
MACS1115,network_soft_100,network,softening_kpc,100.0,4,0.12384152641827373,2,16.144485291239743,0.013469850472188141
MACS1115,network_soft_300,network,softening_kpc,300.0,4,0.12382055473792133,2,16.145390429528113,0.013469850472188141
MACS1115,network_power_150,network,distance_power,1.5,4,0.12382746196405023,2,16.14529541630658,0.013469850472188141
MACS1115,network_power_250,network,distance_power,2.5,4,0.12383929307044661,2,16.144981268504974,0.013469850472188141
MACS1115,network_target_050,network,target_weight_power,0.5,4,0.12402180564126573,2,16.141851263559957,0.013469850472188141
MACS1115,network_target_150,network,target_weight_power,1.5,4,0.12331499804676409,2,16.146796832571244,0.013469850472188141
MACS1115,network_target_200,network,target_weight_power,2.0,4,0.12283857471130956,2,16.147628059228207,0.013469850472188141
MACS1115,network_link_125,network,link_scale_kpc,125.0,4,0.12384353078981289,2,16.144520921930592,0.013469850472188141
MACS1115,network_link_500,network,link_scale_kpc,500.0,4,0.12381988961502355,2,16.14543819685441,0.013469850472188141
MACS1115,network_top_001,network,top_k,1.0,4,0.12366303341197202,2,16.145178408501597,0.013469850472188141
MACS1115,network_top_003,network,top_k,3.0,4,0.12347148507949689,2,16.14249803611541,0.013469850472188141
MACS1115,network_top_010,network,top_k,10.0,4,0.12461011174496688,2,16.140705376221646,0.013469850472188141
MACS1931,eta_000,none,reference,0.0,15,3.753080634693458,4,65.56687139748314,0.0
MACS1931,local_vector_s200,local_vector,reference,1.0,15,3.742550888505778,4,66.43949128887498,0.04054126554812033
MACS1931,network_parent,network,parent,1.0,15,3.763889450061765,4,69.0168435537412,0.04054126554812033
MACS1931,network_hop_080,network,hop_fraction,0.8,15,3.7650944352460836,4,68.8219608203691,0.04054126554812033
MACS1931,network_hop_090,network,hop_fraction,0.9,15,3.7647764489370097,4,68.31201385908007,0.04054126554812033
