galaxy,split,coadd_id,product,relative_path,url,http_status,reused_existing_file,bytes,sha256,naxis1,naxis2,ctype1,ctype2,bunit,center_pixel_x,center_pixel_y,center_inside_wcs_bounds,array_opened
NGC5055,development,2002p424_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC5055/2002p424_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/20/2002/2002p424_ac51/2002p424_ac51-w1-int-3.fits?center=198.95537000%2C42.02932000deg&size=0.48697940deg&gzip=false,200,True,1100160,1ba71bb90e2934d48617c7c3493557dab41d22bc1264c8bc9e85b456394ec711,214,1276,RA---SIN,DEC--SIN,DN,636.997566245554,637.3409902089817,False,0
NGC5055,development,2002p424_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC5055/2002p424_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/20/2002/2002p424_ac51/2002p424_ac51-w1-unc-3.fits.gz?center=198.95537000%2C42.02932000deg&size=0.48697940deg&gzip=false,200,True,1100160,dff454c574abe4fdae2eda14041d0cd119d4e202999d9c11f4b600108f244285,214,1276,RA---SIN,DEC--SIN,DN,636.997566245554,637.3409902089817,False,0
NGC7793,development,3582m319_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC7793/3582m319_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/35/3582/3582m319_ac51/3582m319_ac51-w1-int-3.fits?center=359.45721000%2C-32.59099000deg&size=0.50052069deg&gzip=false,200,True,37440,18a2f96cde2f939ac53be1e1091f1bdf4e12bdcd84b51eb9f75d850c924ad401,12,626,RA---SIN,DEC--SIN,DN,-644.3682009599302,-30.260753900145573,False,0
NGC7793,development,3582m319_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC7793/3582m319_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/35/3582/3582m319_ac51/3582m319_ac51-w1-unc-3.fits.gz?center=359.45721000%2C-32.59099000deg&size=0.50052069deg&gzip=false,200,True,37440,3451d462f1436d7de6021bcdc0b2a8887f3b2e97a562a2f0197fa9bee687d51b,12,626,RA---SIN,DEC--SIN,DN,-644.3682009599302,-30.260753900145573,False,0
NGC7793,development,0000m319_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC7793/0000m319_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/00/0000/0000m319_ac51/0000m319_ac51-w1-int-3.fits?center=359.45721000%2C-32.59099000deg&size=0.50052069deg&gzip=false,200,True,3355200,be247c42a9a4e85fd806f0cbed1ea9d6ac0640901652675bbda39510ae809f72,1312,638,RA---SIN,DEC--SIN,DN,655.3246606951266,-18.14642603981565,False,0
NGC7793,development,0000m319_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC7793/0000m319_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/00/0000/0000m319_ac51/0000m319_ac51-w1-unc-3.fits.gz?center=359.45721000%2C-32.59099000deg&size=0.50052069deg&gzip=false,200,True,3355200,8004a1a4e0ec9339a1cfea6771135760f464193603b88a3f2d738bed9dccd64f,1312,638,RA---SIN,DEC--SIN,DN,655.3246606951266,-18.14642603981565,False,0
NGC7793,development,0000m334_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC7793/0000m334_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/00/0000/0000m334_ac51/0000m334_ac51-w1-int-3.fits?center=359.45721000%2C-32.59099000deg&size=0.50052069deg&gzip=false,200,True,4222080,e0ffa3045a6bc32f91f33ecf014f30645b595fb4dd34e45b62c68eb29b34c13f,1312,803,RA---SIN,DEC--SIN,DN,655.3246606951161,654.7036666237798,True,0
NGC7793,development,0000m334_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC7793/0000m334_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/00/0000/0000m334_ac51/0000m334_ac51-w1-unc-3.fits.gz?center=359.45721000%2C-32.59099000deg&size=0.50052069deg&gzip=false,200,True,4222080,e45e573dac63d2a6754931683f4094d087950d7d546aaaffdb6b42c01256df19,1312,803,RA---SIN,DEC--SIN,DN,655.3246606951161,654.7036666237798,True,0
NGC3521,validation,1663p000_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC3521/1663p000_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/16/1663/1663p000_ac51/1663p000_ac51-w1-int-3.fits?center=166.45242000%2C-0.03586000deg&size=0.33663131deg&gzip=false,200,True,3121920,8b0ca892a21a0c51916624abb8c13a59081aa69b2a41de3fef42ecfcbf55b647,882,883,RA---SIN,DEC--SIN,DN,440.1810783527799,441.10218051704527,True,0
NGC3521,validation,1663p000_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC3521/1663p000_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/16/1663/1663p000_ac51/1663p000_ac51-w1-unc-3.fits.gz?center=166.45242000%2C-0.03586000deg&size=0.33663131deg&gzip=false,200,True,3121920,4ce28cb02303c477656a0b06b61199517be71d175276d5cb6926e0a1d2ce0327,882,883,RA---SIN,DEC--SIN,DN,440.1810783527799,441.10218051704527,True,0
NGC6946,validation,3081p590_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC6946/3081p590_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/30/3081/3081p590_ac51/3081p590_ac51-w1-int-3.fits?center=308.71801000%2C60.15391000deg&size=0.62776245deg&gzip=false,200,True,80640,fdda7ac19fcc9a15c819d02822a42602c8b2f365547cfed1606bae46fa5c57c8,1644,11,RA---SIN,DEC--SIN,DN,821.4874840000863,821.2041087545658,False,0
NGC6946,validation,3081p590_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC6946/3081p590_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/30/3081/3081p590_ac51/3081p590_ac51-w1-unc-3.fits.gz?center=308.71801000%2C60.15391000deg&size=0.62776245deg&gzip=false,200,True,80640,f3f4825956401f060f388e666a93281ba6b0397c33396a612f5f7ca4aff27e22,1644,11,RA---SIN,DEC--SIN,DN,821.4874840000863,821.2041087545658,False,0
NGC6946,validation,3090p605_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC6946/3090p605_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/30/3090/3090p605_ac51/3090p605_ac51-w1-int-3.fits?center=308.71801000%2C60.15391000deg&size=0.62776245deg&gzip=false,200,True,10831680,7612506fb0b8bbcf43932bdbdd796c4d3c8093992555da85bb4fcffaf135a9de,1645,1645,RA---SIN,DEC--SIN,DN,822.1757138969806,822.078795988265,True,0
NGC6946,validation,3090p605_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC6946/3090p605_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/30/3090/3090p605_ac51/3090p605_ac51-w1-unc-3.fits.gz?center=308.71801000%2C60.15391000deg&size=0.62776245deg&gzip=false,200,True,10831680,1b911d511cd9cf95e4869cdba916295c8dffba349b7a5f3236619d709eb251f9,1645,1645,RA---SIN,DEC--SIN,DN,822.1757138969806,822.078795988265,True,0
NGC2841,holdout,1406p514_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC2841/1406p514_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/14/1406/1406p514_ac51/1406p514_ac51-w1-int-3.fits?center=140.51111000%2C50.97661000deg&size=0.44003159deg&gzip=false,200,True,5325120,e9dc7804ba41547bc88d997d7a1a3bde4fcb29bf2e35e246cada7854ad54d927,1153,1153,RA---SIN,DEC--SIN,DN,575.683561766168,576.2090069893206,True,0
NGC2841,holdout,1406p514_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC2841/1406p514_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/14/1406/1406p514_ac51/1406p514_ac51-w1-unc-3.fits.gz?center=140.51111000%2C50.97661000deg&size=0.44003159deg&gzip=false,200,True,5325120,951f223c4ae3a189e992670caf0d7fb5c4e5597772fe88b22821ab3f93559337,1153,1153,RA---SIN,DEC--SIN,DN,575.683561766168,576.2090069893206,True,0
NGC7331,holdout,3398p348_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC7331/3398p348_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/33/3398/3398p348_ac51/3398p348_ac51-w1-int-3.fits?center=339.26693000%2C34.41576000deg&size=0.25266269deg&gzip=false,200,True,1765440,489859cbe98b7f00d93d47dd7d1e57ad95942c6ae9d9d0528e11ee117d30f7fc,663,663,RA---SIN,DEC--SIN,DN,330.8300331727992,330.9465439722553,True,0
NGC7331,holdout,3398p348_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC7331/3398p348_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/33/3398/3398p348_ac51/3398p348_ac51-w1-unc-3.fits.gz?center=339.26693000%2C34.41576000deg&size=0.25266269deg&gzip=false,200,True,1765440,36d2aa05edfa7374b767d98ce206a8388396b0a6f22f8544bc47d79642ee7f15,663,663,RA---SIN,DEC--SIN,DN,330.8300331727992,330.9465439722553,True,0
