row_type,candidate_id,system_label,minimum_permittivity,a0_m_s2,gate_power,anisotropy_tau,smoothing_r80_fraction,identity,source_plane_RMS_arcsec
system,e0d25_a0d6_n1_tp0d6_w0d20,MACS0429,0.25,6e-11,1.0,0.6,0.2,False,9.204823833278196
aggregate,e0d25_a0d6_n1_tp0d6_w0d20,selection,0.25,6e-11,1.0,0.6,0.2,False,13.02589583035503
system,e0d25_a0d6_n1_tp0d6_w0d35,MACS0329,0.25,6e-11,1.0,0.6,0.35,False,15.949969647745405
system,e0d25_a0d6_n1_tp0d6_w0d35,MACS0429,0.25,6e-11,1.0,0.6,0.35,False,9.199140809782577
aggregate,e0d25_a0d6_n1_tp0d6_w0d35,selection,0.25,6e-11,1.0,0.6,0.35,False,13.019710507576713
system,e0d25_a0d6_n1_tp0d6_w0d50,MACS0329,0.25,6e-11,1.0,0.6,0.5,False,15.943973127495509
system,e0d25_a0d6_n1_tp0d6_w0d50,MACS0429,0.25,6e-11,1.0,0.6,0.5,False,9.19298383430676
aggregate,e0d25_a0d6_n1_tp0d6_w0d50,selection,0.25,6e-11,1.0,0.6,0.5,False,13.013862433346304
system,e0d25_a0d6_n2_tm0d6_w0d20,MACS0329,0.25,6e-11,2.0,-0.6,0.2,False,15.968025464216508
system,e0d25_a0d6_n2_tm0d6_w0d20,MACS0429,0.25,6e-11,2.0,-0.6,0.2,False,9.211872367340732
aggregate,e0d25_a0d6_n2_tm0d6_w0d20,selection,0.25,6e-11,2.0,-0.6,0.2,False,13.035268116499225
system,e0d25_a0d6_n2_tm0d6_w0d35,MACS0329,0.25,6e-11,2.0,-0.6,0.35,False,15.967606853873411
system,e0d25_a0d6_n2_tm0d6_w0d35,MACS0429,0.25,6e-11,2.0,-0.6,0.35,False,9.24201129143333
aggregate,e0d25_a0d6_n2_tm0d6_w0d35,selection,0.25,6e-11,2.0,-0.6,0.35,False,13.045674404775829
system,e0d25_a0d6_n2_tm0d6_w0d50,MACS0329,0.25,6e-11,2.0,-0.6,0.5,False,15.970795714186895
system,e0d25_a0d6_n2_tm0d6_w0d50,MACS0429,0.25,6e-11,2.0,-0.6,0.5,False,9.257636325956486
aggregate,e0d25_a0d6_n2_tm0d6_w0d50,selection,0.25,6e-11,2.0,-0.6,0.5,False,13.053163334762184
system,e0d25_a0d6_n2_tp0d0_w0d20,MACS0329,0.25,6e-11,2.0,0.0,0.2,False,15.961646756266752
system,e0d25_a0d6_n2_tp0d0_w0d20,MACS0429,0.25,6e-11,2.0,0.0,0.2,False,9.209297527072975
aggregate,e0d25_a0d6_n2_tp0d0_w0d20,selection,0.25,6e-11,2.0,0.0,0.2,False,13.030451414168148
system,e0d25_a0d6_n2_tp0d0_w0d35,MACS0329,0.25,6e-11,2.0,0.0,0.35,False,15.957760566476441
system,e0d25_a0d6_n2_tp0d0_w0d35,MACS0429,0.25,6e-11,2.0,0.0,0.35,False,9.226438779558721
aggregate,e0d25_a0d6_n2_tp0d0_w0d35,selection,0.25,6e-11,2.0,0.0,0.35,False,13.034133934595262
system,e0d25_a0d6_n2_tp0d0_w0d50,MACS0329,0.25,6e-11,2.0,0.0,0.5,False,15.95669631881754
system,e0d25_a0d6_n2_tp0d0_w0d50,MACS0429,0.25,6e-11,2.0,0.0,0.5,False,9.232547869320097
aggregate,e0d25_a0d6_n2_tp0d0_w0d50,selection,0.25,6e-11,2.0,0.0,0.5,False,13.035645315254866
system,e0d25_a0d6_n2_tp0d6_w0d20,MACS0329,0.25,6e-11,2.0,0.6,0.2,False,15.955807871431118
system,e0d25_a0d6_n2_tp0d6_w0d20,MACS0429,0.25,6e-11,2.0,0.6,0.2,False,9.205933309168191
aggregate,e0d25_a0d6_n2_tp0d6_w0d20,selection,0.25,6e-11,2.0,0.6,0.2,False,13.025686410375378
system,e0d25_a0d6_n2_tp0d6_w0d35,MACS0329,0.25,6e-11,2.0,0.6,0.35,False,15.948564046884627
system,e0d25_a0d6_n2_tp0d6_w0d35,MACS0429,0.25,6e-11,2.0,0.6,0.35,False,9.209712375541336
aggregate,e0d25_a0d6_n2_tp0d6_w0d35,selection,0.25,6e-11,2.0,0.6,0.35,False,13.0225860948926
system,e0d25_a0d6_n2_tp0d6_w0d50,MACS0329,0.25,6e-11,2.0,0.6,0.5,False,15.943265836293433
system,e0d25_a0d6_n2_tp0d6_w0d50,MACS0429,0.25,6e-11,2.0,0.6,0.5,False,9.206312448990005
aggregate,e0d25_a0d6_n2_tp0d6_w0d50,selection,0.25,6e-11,2.0,0.6,0.5,False,13.018139545172145
system,e0d25_a0d6_n4_tm0d6_w0d20,MACS0329,0.25,6e-11,4.0,-0.6,0.2,False,15.964477597755362
system,e0d25_a0d6_n4_tm0d6_w0d20,MACS0429,0.25,6e-11,4.0,-0.6,0.2,False,9.22104417478491
aggregate,e0d25_a0d6_n4_tm0d6_w0d20,selection,0.25,6e-11,4.0,-0.6,0.2,False,13.036337688219179
system,e0d25_a0d6_n4_tm0d6_w0d35,MACS0329,0.25,6e-11,4.0,-0.6,0.35,False,15.964482617050075
system,e0d25_a0d6_n4_tm0d6_w0d35,MACS0429,0.25,6e-11,4.0,-0.6,0.35,False,9.249158144112764
aggregate,e0d25_a0d6_n4_tm0d6_w0d35,selection,0.25,6e-11,4.0,-0.6,0.35,False,13.046295098703338
system,e0d25_a0d6_n4_tm0d6_w0d50,MACS0329,0.25,6e-11,4.0,-0.6,0.5,False,15.967563576939758
system,e0d25_a0d6_n4_tm0d6_w0d50,MACS0429,0.25,6e-11,4.0,-0.6,0.5,False,9.259781662848978
aggregate,e0d25_a0d6_n4_tm0d6_w0d50,selection,0.25,6e-11,4.0,-0.6,0.5,False,13.051947039182457
system,e0d25_a0d6_n4_tp0d0_w0d20,MACS0329,0.25,6e-11,4.0,0.0,0.2,False,15.958528740932122
system,e0d25_a0d6_n4_tp0d0_w0d20,MACS0429,0.25,6e-11,4.0,0.0,0.2,False,9.21904482429125
aggregate,e0d25_a0d6_n4_tp0d0_w0d20,selection,0.25,6e-11,4.0,0.0,0.2,False,13.03198808792135
system,e0d25_a0d6_n4_tp0d0_w0d35,MACS0329,0.25,6e-11,4.0,0.0,0.35,False,15.955655691648865
system,e0d25_a0d6_n4_tp0d0_w0d35,MACS0429,0.25,6e-11,4.0,0.0,0.35,False,9.23570743542423
aggregate,e0d25_a0d6_n4_tp0d0_w0d35,selection,0.25,6e-11,4.0,0.0,0.35,False,13.036127499821356
system,e0d25_a0d6_n4_tp0d0_w0d50,MACS0329,0.25,6e-11,4.0,0.0,0.5,False,15.954606955554102
system,e0d25_a0d6_n4_tp0d0_w0d50,MACS0429,0.25,6e-11,4.0,0.0,0.5,False,9.23694501610157
aggregate,e0d25_a0d6_n4_tp0d0_w0d50,selection,0.25,6e-11,4.0,0.0,0.5,False,13.035924139406054
system,e0d25_a0d6_n4_tp0d6_w0d20,MACS0329,0.25,6e-11,4.0,0.6,0.2,False,15.953271727061452
system,e0d25_a0d6_n4_tp0d6_w0d20,MACS0429,0.25,6e-11,4.0,0.6,0.2,False,9.215858914555957
aggregate,e0d25_a0d6_n4_tp0d6_w0d20,selection,0.25,6e-11,4.0,0.6,0.2,False,13.027642425444037
system,e0d25_a0d6_n4_tp0d6_w0d35,MACS0329,0.25,6e-11,4.0,0.6,0.35,False,15.947478610784543
system,e0d25_a0d6_n4_tp0d6_w0d35,MACS0429,0.25,6e-11,4.0,0.6,0.35,False,9.221135543870314
aggregate,e0d25_a0d6_n4_tp0d6_w0d35,selection,0.25,6e-11,4.0,0.6,0.35,False,13.025962819689356
system,e0d25_a0d6_n4_tp0d6_w0d50,MACS0329,0.25,6e-11,4.0,0.6,0.5,False,15.942332082753763
system,e0d25_a0d6_n4_tp0d6_w0d50,MACS0429,0.25,6e-11,4.0,0.6,0.5,False,9.213021796950635
aggregate,e0d25_a0d6_n4_tp0d6_w0d50,selection,0.25,6e-11,4.0,0.6,0.5,False,13.019940915147954
system,e0d25_a1d2_n1_tm0d6_w0d20,MACS0329,0.25,1.2e-10,1.0,-0.6,0.2,False,15.965729798703995
system,e0d25_a1d2_n1_tm0d6_w0d20,MACS0429,0.25,1.2e-10,1.0,-0.6,0.2,False,9.220187938410032
aggregate,e0d25_a1d2_n1_tm0d6_w0d20,selection,0.25,1.2e-10,1.0,-0.6,0.2,False,13.036801632778388
system,e0d25_a1d2_n1_tm0d6_w0d35,MACS0329,0.25,1.2e-10,1.0,-0.6,0.35,False,15.967936548720463
system,e0d25_a1d2_n1_tm0d6_w0d35,MACS0429,0.25,1.2e-10,1.0,-0.6,0.35,False,9.241093223946443
aggregate,e0d25_a1d2_n1_tm0d6_w0d35,selection,0.25,1.2e-10,1.0,-0.6,0.35,False,13.045550996367146
system,e0d25_a1d2_n1_tm0d6_w0d50,MACS0329,0.25,1.2e-10,1.0,-0.6,0.5,False,15.971940841639544
system,e0d25_a1d2_n1_tm0d6_w0d50,MACS0429,0.25,1.2e-10,1.0,-0.6,0.5,False,9.25575013586407
aggregate,e0d25_a1d2_n1_tm0d6_w0d50,selection,0.25,1.2e-10,1.0,-0.6,0.5,False,13.05319510362082
system,e0d25_a1d2_n1_tp0d0_w0d20,MACS0329,0.25,1.2e-10,1.0,0.0,0.2,False,15.95936302864398
system,e0d25_a1d2_n1_tp0d0_w0d20,MACS0429,0.25,1.2e-10,1.0,0.0,0.2,False,9.217899004051722
aggregate,e0d25_a1d2_n1_tp0d0_w0d20,selection,0.25,1.2e-10,1.0,0.0,0.2,False,13.032093660056047
system,e0d25_a1d2_n1_tp0d0_w0d35,MACS0329,0.25,1.2e-10,1.0,0.0,0.35,False,15.957597480001338
system,e0d25_a1d2_n1_tp0d0_w0d35,MACS0429,0.25,1.2e-10,1.0,0.0,0.35,False,9.225133694984223
aggregate,e0d25_a1d2_n1_tp0d0_w0d35,selection,0.25,1.2e-10,1.0,0.0,0.35,False,13.033572208417736
system,e0d25_a1d2_n1_tp0d0_w0d50,MACS0329,0.25,1.2e-10,1.0,0.0,0.5,False,15.956941229351628
system,e0d25_a1d2_n1_tp0d0_w0d50,MACS0429,0.25,1.2e-10,1.0,0.0,0.5,False,9.22902076637106
aggregate,e0d25_a1d2_n1_tp0d0_w0d50,selection,0.25,1.2e-10,1.0,0.0,0.5,False,13.034546361555703
system,e0d25_a1d2_n1_tp0d6_w0d20,MACS0329,0.25,1.2e-10,1.0,0.6,0.2,False,15.953618038316458
system,e0d25_a1d2_n1_tp0d6_w0d20,MACS0429,0.25,1.2e-10,1.0,0.6,0.2,False,9.214651175823795
aggregate,e0d25_a1d2_n1_tp0d6_w0d20,selection,0.25,1.2e-10,1.0,0.6,0.2,False,13.027427313261185
system,e0d25_a1d2_n1_tp0d6_w0d35,MACS0329,0.25,1.2e-10,1.0,0.6,0.35,False,15.94793480987728
system,e0d25_a1d2_n1_tp0d6_w0d35,MACS0429,0.25,1.2e-10,1.0,0.6,0.35,False,9.208082561966698
aggregate,e0d25_a1d2_n1_tp0d6_w0d35,selection,0.25,1.2e-10,1.0,0.6,0.35,False,13.021624498657813
system,e0d25_a1d2_n1_tp0d6_w0d50,MACS0329,0.25,1.2e-10,1.0,0.6,0.5,False,15.942630645360085
system,e0d25_a1d2_n1_tp0d6_w0d50,MACS0429,0.25,1.2e-10,1.0,0.6,0.5,False,9.20116835481244
aggregate,e0d25_a1d2_n1_tp0d6_w0d50,selection,0.25,1.2e-10,1.0,0.6,0.5,False,13.015931987145146
system,e0d25_a1d2_n2_tm0d6_w0d20,MACS0329,0.25,1.2e-10,2.0,-0.6,0.2,False,15.961894059587978
system,e0d25_a1d2_n2_tm0d6_w0d20,MACS0429,0.25,1.2e-10,2.0,-0.6,0.2,False,9.229439311436744
aggregate,e0d25_a1d2_n2_tm0d6_w0d20,selection,0.25,1.2e-10,2.0,-0.6,0.2,False,13.03772625830524
system,e0d25_a1d2_n2_tm0d6_w0d35,MACS0329,0.25,1.2e-10,2.0,-0.6,0.35,False,15.963817447497357
system,e0d25_a1d2_n2_tm0d6_w0d35,MACS0429,0.25,1.2e-10,2.0,-0.6,0.35,False,9.247668121974716
aggregate,e0d25_a1d2_n2_tm0d6_w0d35,selection,0.25,1.2e-10,2.0,-0.6,0.35,False,13.045359964201992
system,e0d25_a1d2_n2_tm0d6_w0d50,MACS0329,0.25,1.2e-10,2.0,-0.6,0.5,False,15.967542634376692
system,e0d25_a1d2_n2_tm0d6_w0d50,MACS0429,0.25,1.2e-10,2.0,-0.6,0.5,False,9.259058015575983
aggregate,e0d25_a1d2_n2_tm0d6_w0d50,selection,0.25,1.2e-10,2.0,-0.6,0.5,False,13.051677538087569
system,e0d25_a1d2_n2_tp0d0_w0d20,MACS0329,0.25,1.2e-10,2.0,0.0,0.2,False,15.956163468299032
system,e0d25_a1d2_n2_tp0d0_w0d20,MACS0429,0.25,1.2e-10,2.0,0.0,0.2,False,9.227526862190054
aggregate,e0d25_a1d2_n2_tp0d0_w0d20,selection,0.25,1.2e-10,2.0,0.0,0.2,False,13.033541433921933
system,e0d25_a1d2_n2_tp0d0_w0d35,MACS0329,0.25,1.2e-10,2.0,0.0,0.35,False,15.954784208245668
system,e0d25_a1d2_n2_tp0d0_w0d35,MACS0429,0.25,1.2e-10,2.0,0.0,0.35,False,9.234055020502257
aggregate,e0d25_a1d2_n2_tp0d0_w0d35,selection,0.25,1.2e-10,2.0,0.0,0.35,False,13.035008846436359
system,e0d25_a1d2_n2_tp0d0_w0d50,MACS0329,0.25,1.2e-10,2.0,0.0,0.5,False,15.954379183008855
system,e0d25_a1d2_n2_tp0d0_w0d50,MACS0429,0.25,1.2e-10,2.0,0.0,0.5,False,9.235796625310076
aggregate,e0d25_a1d2_n2_tp0d0_w0d50,selection,0.25,1.2e-10,2.0,0.0,0.5,False,13.035377908202648
system,e0d25_a1d2_n2_tp0d6_w0d20,MACS0329,0.25,1.2e-10,2.0,0.6,0.2,False,15.951138231928336
system,e0d25_a1d2_n2_tp0d6_w0d20,MACS0429,0.25,1.2e-10,2.0,0.6,0.2,False,9.224440241778678
aggregate,e0d25_a1d2_n2_tp0d6_w0d20,selection,0.25,1.2e-10,2.0,0.6,0.2,False,13.029372752903951
system,e0d25_a1d2_n2_tp0d6_w0d35,MACS0329,0.25,1.2e-10,2.0,0.6,0.35,False,15.946436444112805
system,e0d25_a1d2_n2_tp0d6_w0d35,MACS0429,0.25,1.2e-10,2.0,0.6,0.35,False,9.21931044152309
aggregate,e0d25_a1d2_n2_tp0d6_w0d35,selection,0.25,1.2e-10,2.0,0.6,0.35,False,13.024678888235705
system,e0d25_a1d2_n2_tp0d6_w0d50,MACS0329,0.25,1.2e-10,2.0,0.6,0.5,False,15.941898634925513
system,e0d25_a1d2_n2_tp0d6_w0d50,MACS0429,0.25,1.2e-10,2.0,0.6,0.5,False,9.21143156576018
aggregate,e0d25_a1d2_n2_tp0d6_w0d50,selection,0.25,1.2e-10,2.0,0.6,0.5,False,13.019112941689288
system,e0d25_a1d2_n4_tm0d6_w0d20,MACS0329,0.25,1.2e-10,4.0,-0.6,0.2,False,15.95889180696793
system,e0d25_a1d2_n4_tm0d6_w0d20,MACS0429,0.25,1.2e-10,4.0,-0.6,0.2,False,9.237116293911578
aggregate,e0d25_a1d2_n4_tm0d6_w0d20,selection,0.25,1.2e-10,4.0,-0.6,0.2,False,13.038607002547376
system,e0d25_a1d2_n4_tm0d6_w0d35,MACS0329,0.25,1.2e-10,4.0,-0.6,0.35,False,15.962198736539062
system,e0d25_a1d2_n4_tm0d6_w0d35,MACS0429,0.25,1.2e-10,4.0,-0.6,0.35,False,9.249421515112221
aggregate,e0d25_a1d2_n4_tm0d6_w0d35,selection,0.25,1.2e-10,4.0,-0.6,0.35,False,13.044991124354782
system,e0d25_a1d2_n4_tm0d6_w0d50,MACS0329,0.25,1.2e-10,4.0,-0.6,0.5,False,15.966202750500235
system,e0d25_a1d2_n4_tm0d6_w0d50,MACS0429,0.25,1.2e-10,4.0,-0.6,0.5,False,9.259382512498702
aggregate,e0d25_a1d2_n4_tm0d6_w0d50,selection,0.25,1.2e-10,4.0,-0.6,0.5,False,13.050973043854777
system,e0d25_a1d2_n4_tp0d0_w0d20,MACS0329,0.25,1.2e-10,4.0,0.0,0.2,False,15.953787764260607
system,e0d25_a1d2_n4_tp0d0_w0d20,MACS0429,0.25,1.2e-10,4.0,0.0,0.2,False,9.235601258565115
aggregate,e0d25_a1d2_n4_tp0d0_w0d20,selection,0.25,1.2e-10,4.0,0.0,0.2,False,13.034946770782783
system,e0d25_a1d2_n4_tp0d0_w0d35,MACS0329,0.25,1.2e-10,4.0,0.0,0.35,False,15.95355932527419
system,e0d25_a1d2_n4_tp0d0_w0d35,MACS0429,0.25,1.2e-10,4.0,0.0,0.35,False,9.236821350248054
aggregate,e0d25_a1d2_n4_tp0d0_w0d35,selection,0.25,1.2e-10,4.0,0.0,0.35,False,13.035239234502782
system,e0d25_a1d2_n4_tp0d0_w0d50,MACS0329,0.25,1.2e-10,4.0,0.0,0.5,False,15.95345715494186
system,e0d25_a1d2_n4_tp0d0_w0d50,MACS0429,0.25,1.2e-10,4.0,0.0,0.5,False,9.236891031922003
aggregate,e0d25_a1d2_n4_tp0d0_w0d50,selection,0.25,1.2e-10,4.0,0.0,0.5,False,13.0352014010173
system,e0d25_a1d2_n4_tp0d6_w0d20,MACS0329,0.25,1.2e-10,4.0,0.6,0.2,False,15.949348884524614
system,e0d25_a1d2_n4_tp0d6_w0d20,MACS0429,0.25,1.2e-10,4.0,0.6,0.2,False,9.232955947411948
aggregate,e0d25_a1d2_n4_tp0d6_w0d20,selection,0.25,1.2e-10,4.0,0.6,0.2,False,13.031293208410595
system,e0d25_a1d2_n4_tp0d6_w0d35,MACS0329,0.25,1.2e-10,4.0,0.6,0.35,False,15.945579667793604
system,e0d25_a1d2_n4_tp0d6_w0d35,MACS0429,0.25,1.2e-10,4.0,0.6,0.35,False,9.22312896315583
aggregate,e0d25_a1d2_n4_tp0d6_w0d35,selection,0.25,1.2e-10,4.0,0.6,0.35,False,13.025506109417721
system,e0d25_a1d2_n4_tp0d6_w0d50,MACS0329,0.25,1.2e-10,4.0,0.6,0.5,False,15.94137059584442
system,e0d25_a1d2_n4_tp0d6_w0d50,MACS0429,0.25,1.2e-10,4.0,0.6,0.5,False,9.213313479366473
aggregate,e0d25_a1d2_n4_tp0d6_w0d50,selection,0.25,1.2e-10,4.0,0.6,0.5,False,13.019455475232615
system,e0d25_a2d4_n1_tm0d6_w0d20,MACS0329,0.25,2.4e-10,1.0,-0.6,0.2,False,15.962852283949042
system,e0d25_a2d4_n1_tm0d6_w0d20,MACS0429,0.25,2.4e-10,1.0,-0.6,0.2,False,9.227786185618818
aggregate,e0d25_a2d4_n1_tm0d6_w0d20,selection,0.25,2.4e-10,1.0,-0.6,0.2,False,13.037727772251472
system,e0d25_a2d4_n1_tm0d6_w0d35,MACS0329,0.25,2.4e-10,1.0,-0.6,0.35,False,15.96542242920381
system,e0d25_a2d4_n1_tm0d6_w0d35,MACS0429,0.25,2.4e-10,1.0,-0.6,0.35,False,9.245149022122098
aggregate,e0d25_a2d4_n1_tm0d6_w0d35,selection,0.25,2.4e-10,1.0,-0.6,0.35,False,13.045449279043043
system,e0d25_a2d4_n1_tm0d6_w0d50,MACS0329,0.25,2.4e-10,1.0,-0.6,0.5,False,15.969424241370188
system,e0d25_a2d4_n1_tm0d6_w0d50,MACS0429,0.25,2.4e-10,1.0,-0.6,0.5,False,9.257682656114602
aggregate,e0d25_a2d4_n1_tm0d6_w0d50,selection,0.25,2.4e-10,1.0,-0.6,0.5,False,13.052340762525834
system,e0d25_a2d4_n1_tp0d0_w0d20,MACS0329,0.25,2.4e-10,1.0,0.0,0.2,False,15.956853244773272
system,e0d25_a2d4_n1_tp0d0_w0d20,MACS0429,0.25,2.4e-10,1.0,0.0,0.2,False,9.225753413208826
aggregate,e0d25_a2d4_n1_tp0d0_w0d20,selection,0.25,2.4e-10,1.0,0.0,0.2,False,13.033335941280836
system,e0d25_a2d4_n1_tp0d0_w0d35,MACS0329,0.25,2.4e-10,1.0,0.0,0.35,False,15.955741160179093
system,e0d25_a2d4_n1_tp0d0_w0d35,MACS0429,0.25,2.4e-10,1.0,0.0,0.35,False,9.230440784697
aggregate,e0d25_a2d4_n1_tp0d0_w0d35,selection,0.25,2.4e-10,1.0,0.0,0.35,False,13.034314578266688
system,e0d25_a2d4_n1_tp0d0_w0d50,MACS0329,0.25,2.4e-10,1.0,0.0,0.5,False,15.955344597862682
system,e0d25_a2d4_n1_tp0d0_w0d50,MACS0429,0.25,2.4e-10,1.0,0.0,0.5,False,9.232712841177229
aggregate,e0d25_a2d4_n1_tp0d0_w0d50,selection,0.25,2.4e-10,1.0,0.0,0.5,False,13.03487644061471
system,e0d25_a2d4_n1_tp0d6_w0d20,MACS0329,0.25,2.4e-10,1.0,0.6,0.2,False,15.95154684287387
system,e0d25_a2d4_n1_tp0d6_w0d20,MACS0429,0.25,2.4e-10,1.0,0.6,0.2,False,9.222596568217158
aggregate,e0d25_a2d4_n1_tp0d6_w0d20,selection,0.25,2.4e-10,1.0,0.6,0.2,False,13.028970299691574
system,e0d25_a2d4_n1_tp0d6_w0d35,MACS0329,0.25,2.4e-10,1.0,0.6,0.35,False,15.946758481905379
system,e0d25_a2d4_n1_tp0d6_w0d35,MACS0429,0.25,2.4e-10,1.0,0.6,0.35,False,9.214596478228328
aggregate,e0d25_a2d4_n1_tp0d6_w0d35,selection,0.25,2.4e-10,1.0,0.6,0.35,False,13.023208021390104
system,e0d25_a2d4_n1_tp0d6_w0d50,MACS0329,0.25,2.4e-10,1.0,0.6,0.5,False,15.941963726820694
system,e0d25_a2d4_n1_tp0d6_w0d50,MACS0429,0.25,2.4e-10,1.0,0.6,0.5,False,9.206616207547318
aggregate,e0d25_a2d4_n1_tp0d6_w0d50,selection,0.25,2.4e-10,1.0,0.6,0.5,False,13.017449624644986
system,e0d25_a2d4_n2_tm0d6_w0d20,MACS0329,0.25,2.4e-10,2.0,-0.6,0.2,False,15.95936173012081
system,e0d25_a2d4_n2_tm0d6_w0d20,MACS0429,0.25,2.4e-10,2.0,-0.6,0.2,False,9.235914890820961
aggregate,e0d25_a2d4_n2_tm0d6_w0d20,selection,0.25,2.4e-10,2.0,-0.6,0.2,False,13.038469057050621
system,e0d25_a2d4_n2_tm0d6_w0d35,MACS0329,0.25,2.4e-10,2.0,-0.6,0.35,False,15.96248403490685
system,e0d25_a2d4_n2_tm0d6_w0d35,MACS0429,0.25,2.4e-10,2.0,-0.6,0.35,False,9.248994347493959
aggregate,e0d25_a2d4_n2_tm0d6_w0d35,selection,0.25,2.4e-10,2.0,-0.6,0.35,False,13.045014239253081
system,e0d25_a2d4_n2_tm0d6_w0d50,MACS0329,0.25,2.4e-10,2.0,-0.6,0.5,False,15.966483394672654
system,e0d25_a2d4_n2_tm0d6_w0d50,MACS0429,0.25,2.4e-10,2.0,-0.6,0.5,False,9.259289832621443
aggregate,e0d25_a2d4_n2_tm0d6_w0d50,selection,0.25,2.4e-10,2.0,-0.6,0.5,False,13.051111833802597
system,e0d25_a2d4_n2_tp0d0_w0d20,MACS0329,0.25,2.4e-10,2.0,0.0,0.2,False,15.954136475862663
system,e0d25_a2d4_n2_tp0d0_w0d20,MACS0429,0.25,2.4e-10,2.0,0.0,0.2,False,9.2343300627584
aggregate,e0d25_a2d4_n2_tp0d0_w0d20,selection,0.25,2.4e-10,2.0,0.0,0.2,False,13.03470986248668
system,e0d25_a2d4_n2_tp0d0_w0d35,MACS0329,0.25,2.4e-10,2.0,0.0,0.35,False,15.953755077289749
system,e0d25_a2d4_n2_tp0d0_w0d35,MACS0429,0.25,2.4e-10,2.0,0.0,0.35,False,9.23616481619535
aggregate,e0d25_a2d4_n2_tp0d0_w0d35,selection,0.25,2.4e-10,2.0,0.0,0.35,False,13.035126420140184
system,e0d25_a2d4_n2_tp0d0_w0d50,MACS0329,0.25,2.4e-10,2.0,0.0,0.5,False,15.95363828179195
system,e0d25_a2d4_n2_tp0d0_w0d50,MACS0429,0.25,2.4e-10,2.0,0.0,0.5,False,9.236613692011119
aggregate,e0d25_a2d4_n2_tp0d0_w0d50,selection,0.25,2.4e-10,2.0,0.0,0.5,False,13.0352139783301
system,e0d25_a2d4_n2_tp0d6_w0d20,MACS0329,0.25,2.4e-10,2.0,0.6,0.2,False,15.9495870240784
system,e0d25_a2d4_n2_tp0d6_w0d20,MACS0429,0.25,2.4e-10,2.0,0.6,0.2,False,9.231599323326993
aggregate,e0d25_a2d4_n2_tp0d6_w0d20,selection,0.25,2.4e-10,2.0,0.6,0.2,False,13.030958374292766
system,e0d25_a2d4_n2_tp0d6_w0d35,MACS0329,0.25,2.4e-10,2.0,0.6,0.35,False,15.945692618851725
system,e0d25_a2d4_n2_tp0d6_w0d35,MACS0429,0.25,2.4e-10,2.0,0.6,0.35,False,9.222232402855433
aggregate,e0d25_a2d4_n2_tp0d6_w0d35,selection,0.25,2.4e-10,2.0,0.6,0.35,False,13.025257839812213
system,e0d25_a2d4_n2_tp0d6_w0d50,MACS0329,0.25,2.4e-10,2.0,0.6,0.5,False,15.941458617819787
