candidate_id,system_label,minimum_permittivity,a0_m_s2,gate_power,anisotropy_tau,smoothing_r80_fraction,center_x_arcsec,center_y_arcsec,r80_arcsec,quadrupole_asymmetry,grid_spacing_arcsec,smoothing_width_arcsec,smoothing_width_kpc,asymmetry_gate,gate_minimum,gate_median,gate_maximum,metric_minimum_eigenvalue,metric_maximum_eigenvalue,maximum_Q_eigenvalue,RMS_Q_eigenvalue,maximum_edge_Q_eigenvalue,maximum_solver_edge_Q_eigenvalue,maximum_abs_circular_cross_mean,circular_mean_subtracted,full_metric_correction_RMS_arcsec,circular_residual_fraction,correction_RMS_arcsec_at_distance_ratio_one,correction_maximum_arcsec_at_distance_ratio_one,normalized_curl_RMS
e0d75_a0d6_n2_tp0d6_w0d35,MACS0329,0.75,6e-11,2.0,0.6,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.6578813986236016,0.9596530568596329,0.9998889935580171,0.5397461669591337,1.0423200613376236,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.8930627178348358,0.03486593050097123,0.031137462653037868,0.3780506687550338,0.0
e0d75_a0d6_n2_tp0d6_w0d35,MACS0429,0.75,6e-11,2.0,0.6,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.7238672499029951,0.9763789381841715,0.9990113435683668,0.5857158992795096,0.9799565260996789,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.6081151821074523,0.033040949092749905,0.020092702774540668,0.2909800236133887,0.0
e0d75_a0d6_n2_tp0d6_w0d50,MACS0329,0.75,6e-11,2.0,0.6,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.7546535850067017,0.9545665633269779,0.9998449334078786,0.5426606846450278,1.0423200613378378,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.9177976032118426,0.031117623259097504,0.028559680044848774,0.31554606409615094,0.0
e0d75_a0d6_n2_tp0d6_w0d50,MACS0429,0.75,6e-11,2.0,0.6,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.8142954179252722,0.9731745492197218,0.9995320145386831,0.5855678946645823,0.9745026785910278,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.6223534050568906,0.02980337827383245,0.018548233950918182,0.22588758962755137,0.0
e0d75_a0d6_n4_tm0d6_w0d20,MACS0329,0.75,6e-11,4.0,-0.6,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.6418427835785496,0.9986009005695824,0.9999911597464883,0.53970964234554,1.0423200613377164,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.09794825352467856,0.3754016208344159,0.03676993313106462,0.3607353923362177,0.0
e0d75_a0d6_n4_tm0d6_w0d20,MACS0429,0.75,6e-11,4.0,-0.6,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.7471843187440401,0.999529396091561,0.9999958088009919,0.5853809281672455,0.9786203526280223,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.06253427303435363,0.34863936417939817,0.021801909190117933,0.28563484571456543,0.0
e0d75_a0d6_n4_tm0d6_w0d35,MACS0329,0.75,6e-11,4.0,-0.6,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.7871337938175627,0.9982354832972254,0.9999999876748337,0.539706486430404,1.0423200613246721,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.1010100078064781,0.3945476714556009,0.039853263373758004,0.387618428057355,0.0
e0d75_a0d6_n4_tm0d6_w0d35,MACS0429,0.75,6e-11,4.0,-0.6,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.8729671909141198,0.9994150645821342,0.9999990206238418,0.5853798355327169,0.9705646096464084,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.06705843940214035,0.3917143649524762,0.02626775400511351,0.2999994415219527,0.0
e0d75_a0d6_n4_tm0d6_w0d50,MACS0329,0.75,6e-11,4.0,-0.6,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.9044066063145165,0.9977397523924098,0.9999999759468935,0.5397312000237618,1.0423200613376926,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.1022498929894432,0.3895916300633894,0.039835702483564314,0.3681685046287433,0.0
e0d75_a0d6_n4_tm0d6_w0d50,MACS0429,0.75,6e-11,4.0,-0.6,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.9505619120366432,0.999240753654116,0.9999997807845248,0.5853796067793084,0.9648568152418161,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.06886067745417958,0.37524061345897364,0.02583932285110686,0.2762749087713172,0.0
