galaxy,points,outer_points,R50_kpc,R80_kpc,concentration_R50_over_R80,total_force_equivalent_mass_solar
UGC05764,10,3,2.617444232732748,3.418665644861349,0.7656332922370078,637967018.5040326
UGC05829,11,4,3.9936896334851877,4.722158388017613,0.8457339431093839,1396099267.2361841
UGC05918,8,3,2.8891967020271947,3.8126955478610385,0.7577832181350184,372328119.7123155
UGC05986,15,5,6.19576639507016,8.448734044525061,0.7333366587725806,9208114045.398098
UGC06399,9,3,4.8290202017953,6.669832659109163,0.7240091991213876,3254176337.1486297
UGC06446,17,6,6.473474917252411,8.313032940065364,0.7787139740602919,4356458141.179828
UGC06614,13,4,13.1968849516095,43.73004163176749,0.3017807543549806,112664115606.64542
UGC06667,9,3,8.00564423309869,10.250036558407341,0.7810356760661753,5057273859.881074
UGC06786,45,14,6.700375386261513,13.13402905939259,0.5101538420512208,87583600340.04774
UGC06787,71,22,8.739232394077408,23.961766203282586,0.3647157025044422,135529961810.38878
UGC06818,8,3,3.305758201249942,4.49969652309631,0.7346624787431663,825404502.794854
UGC06917,11,4,6.847600654579513,9.877943527016066,0.6932212799001534,8869471082.385191
UGC06930,10,3,7.486116044217514,10.348803564184994,0.7233798571774391,10494166614.304747
UGC06983,17,6,8.011077126126718,11.74455848267258,0.6821096883246756,11152113622.910088
UGC07089,12,4,4.088609748892301,5.718380663144686,0.7149943296436423,1765619686.0869055
UGC07125,13,4,5.237771124438164,6.29382000304293,0.8322085985785758,1735359510.7418218
UGC07151,11,4,3.492294014699297,4.712190901024835,0.741118958898667,2402180927.8668466
UGC07323,10,3,3.184578530038118,3.948813481566695,0.806464662082402,2115479687.3241718
UGC07399,10,3,6.304774474032618,9.865152372290773,0.6390954985897086,6313503469.701884
UGC07524,31,10,7.664527411773314,9.24808351845266,0.828769268408997,4476074532.708398
UGC07577,9,3,1.073358687879168,1.3156909723771246,0.8158136754103262,41374597.632791884
UGC07603,12,4,2.0607929643258793,4.076282793726096,0.5055569175665866,739559890.8484225
UGC08286,17,6,3.261250405433126,4.782978461793557,0.6818450953697579,2821813540.748574
UGC08490,30,9,2.6901701981742128,6.5963206342644805,0.40782890149398854,2210803919.0741715
UGC08550,11,4,4.431352150596709,5.283332227021696,0.8387419076037808,964179861.540781
UGC08699,41,13,4.419627409120372,8.163400333916416,0.5413954024474558,41837688356.839485
UGC08837,8,3,2.8028522239204086,3.44649633989237,0.8132468302600717,527615418.235704
UGC09037,22,7,12.289514325964642,20.238309607926173,0.6072401580985574,37378785800.34867
UGC09133,68,21,3.934356917508978,9.658897603080437,0.4073298091755548,104159284212.26477
UGC11455,36,11,11.92721955797729,19.73914714072291,0.6042418891224942,237373508464.31516
UGC11557,12,4,3.9388550592756992,5.439969128562216,0.7240583477937381,4915176516.5033
UGC11820,10,3,6.583887095087418,9.141216724857435,0.7202418773404696,3076560825.7289615
UGC11914,65,20,2.027865638779605,3.908660332915686,0.5188134721511879,39135815451.372055
UGC12506,31,10,16.35671655867131,38.45975900516989,0.42529430713470107,234407390233.692
UGC12632,15,5,6.7848103201151995,8.724585671200535,0.7776656194129142,3096416984.250542
UGC12732,16,5,9.951321811530496,11.884161603394379,0.8373600211468161,5840973991.674698
UGCA442,8,3,2.3286811671430137,3.2613313320454904,0.7140277788587879,547168241.7046994
UGCA444,36,11,1.1364610197252332,1.649177193576591,0.6891078921971847,109111460.42905097
