candidate_id,gate_mode,return_length_over_R80,width_over_R80,route_mode,route_fraction_multiplier,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s,galaxies_improved_vs_Newtonian,galaxy_improved_fraction
K0113,none,0.65,0.18,chord,1.0,70.39517687975119,64.72302374210288,-63.93053072175671,112,0.8549618320610687
K0120,none,0.65,0.23,endpoint,0.5,70.40004327890087,64.69507201771228,-63.988415425428805,118,0.9007633587786259
K0254,cluster_logistic_soft,0.65,0.18,endpoint,1.0,70.41800526901525,64.69382105439195,-63.909397872911306,117,0.8931297709923665
K0072,none,0.5,0.18,endpoint,0.5,70.43429917405098,64.7597020497308,-64.03535725040369,117,0.8931297709923665
K0062,none,0.36,0.28,endpoint,1.0,70.47593996434732,64.75817724887759,-64.01456015619992,108,0.8244274809160306
K0266,cluster_logistic_soft,0.65,0.23,endpoint,1.0,70.48692516440293,64.75658955135415,-64.00586885161721,118,0.9007633587786259
K0049,none,0.36,0.23,endpoint,0.75,70.49686760468587,64.8069196903016,-64.07833808662765,111,0.8473282442748091
K0132,none,0.65,0.28,endpoint,0.5,70.51535417431059,64.79950887814634,-64.13923040462544,116,0.8854961832061069
K0398,cluster_logistic,0.65,0.18,endpoint,1.0,70.51600179667632,64.75842565277694,-63.94301389779301,118,0.9007633587786259
K0218,cluster_logistic_soft,0.5,0.18,endpoint,1.0,70.53403571972109,64.82284992358139,-64.07532042707632,117,0.8931297709923665
K0084,none,0.5,0.23,endpoint,0.5,70.53445535090721,64.84837678657625,-64.16874105215129,115,0.8778625954198473
K0002,none,0.25,0.18,endpoint,1.0,70.5644439506588,64.8781087897983,-64.11083179409962,110,0.8396946564885496
K0410,cluster_logistic,0.65,0.23,endpoint,1.0,70.5723449261777,64.81204480504896,-64.02818383618218,118,0.9007633587786259
K0278,cluster_logistic_soft,0.65,0.28,endpoint,1.0,70.58265242672421,64.84732840333982,-64.13945592324662,116,0.8854961832061069
K0230,cluster_logistic_soft,0.5,0.23,endpoint,1.0,70.61720811072512,64.90126567269087,-64.19265133072332,115,0.8778625954198473
K0362,cluster_logistic,0.5,0.18,endpoint,1.0,70.62398820487603,64.87746581003735,-64.11228401533148,117,0.8931297709923665
K0125,none,0.65,0.23,chord,1.0,70.64861186525887,64.96167862447427,-64.26430616858516,100,0.7633587786259542
K0422,cluster_logistic,0.65,0.28,endpoint,1.0,70.65177772482974,64.8912840640435,-64.14761618190221,116,0.8854961832061069
K0112,none,0.65,0.18,chord,0.75,70.66179425963838,64.99398357496334,-64.3117716633817,112,0.8549618320610687
K0096,none,0.5,0.28,endpoint,0.5,70.6642296767721,64.96806459086011,-64.33965137136865,113,0.8625954198473282
K0253,cluster_logistic_soft,0.65,0.18,endpoint,0.75,70.68197433003206,64.97287869662878,-64.29633244980245,117,0.8931297709923665
K0374,cluster_logistic,0.5,0.23,endpoint,1.0,70.69348841790696,64.94738860594136,-64.21682921501124,114,0.8702290076335878
K0036,none,0.36,0.18,endpoint,0.5,70.7014012256652,65.03002208725923,-64.37194560292961,113,0.8625954198473282
K0061,none,0.36,0.28,endpoint,0.75,70.7192486898635,65.01818563500574,-64.37310852053723,108,0.8244274809160306
K0242,cluster_logistic_soft,0.5,0.28,endpoint,1.0,70.72610975561952,65.00816763264804,-64.34509433772403,113,0.8625954198473282
K0077,none,0.5,0.18,chord,1.0,70.7266001165465,65.06241649072228,-64.35941920609154,102,0.7786259541984732
K0265,cluster_logistic_soft,0.65,0.23,endpoint,0.75,70.73585262497525,65.0221365935122,-64.37022546916366,118,0.9007633587786259
K0397,cluster_logistic,0.65,0.18,endpoint,0.75,70.75518837513492,65.0191931814575,-64.31970910490497,117,0.8931297709923665
K0182,cluster_logistic_soft,0.36,0.18,endpoint,1.0,70.77100939712875,65.06726489782389,-64.3976080590365,113,0.8625954198473282
K0217,cluster_logistic_soft,0.5,0.18,endpoint,0.75,70.77474847375296,65.07542574976281,-64.42512198858095,117,0.8931297709923665
K0386,cluster_logistic,0.5,0.28,endpoint,1.0,70.78569521612836,65.04384832818508,-64.35464130144527,113,0.8625954198473282
K0001,none,0.25,0.18,endpoint,0.75,70.79687235630989,65.11660539142832,-64.45159874442525,110,0.8396946564885496
K0409,cluster_logistic,0.65,0.23,endpoint,0.75,70.79949171430518,65.06157245982976,-64.38514668384691,117,0.8931297709923665
K0277,cluster_logistic_soft,0.65,0.28,endpoint,0.75,70.81023817080037,65.09289679626384,-64.4723320278482,116,0.8854961832061069
K0048,none,0.36,0.23,endpoint,0.5,70.83072605445984,65.15121591528931,-64.54559918607666,110,0.8396946564885496
K0326,cluster_logistic,0.36,0.18,endpoint,1.0,70.83233636964687,65.09902079840283,-64.42006841479068,113,0.8625954198473282
K0229,cluster_logistic_soft,0.5,0.23,endpoint,0.75,70.83902212313328,65.13625029686582,-64.51449436927602,113,0.8625954198473282
K0361,cluster_logistic,0.5,0.18,endpoint,0.75,70.84141629629627,65.1144046851229,-64.45114576615613,117,0.8931297709923665
K0014,none,0.25,0.23,endpoint,1.0,70.84880879575458,65.15379580461008,-64.49341624654372,101,0.7709923664122137
K0124,none,0.65,0.23,chord,0.75,70.85359532586745,65.17596687328653,-64.56398491344844,100,0.7633587786259542
K0421,cluster_logistic,0.65,0.28,endpoint,0.75,70.86159593034341,65.1237778792734,-64.47672231836692,116,0.8854961832061069
K0194,cluster_logistic_soft,0.36,0.23,endpoint,1.0,70.88049084064524,65.17757982129629,-64.55230993381475,110,0.8396946564885496
K0373,cluster_logistic,0.5,0.23,endpoint,0.75,70.89545462754026,65.16895546978084,-64.53101594204807,113,0.8625954198473282
K0076,none,0.5,0.18,chord,0.75,70.9202717531368,65.2575273170361,-64.6398888146049,102,0.7786259541984732
K0241,cluster_logistic_soft,0.5,0.28,endpoint,0.75,70.92286001333173,65.21878787945919,-64.6304712388924,113,0.8625954198473282
K0338,cluster_logistic,0.36,0.23,endpoint,1.0,70.92603164566839,65.2005479813258,-64.56010267912538,110,0.8396946564885496
K0111,none,0.65,0.18,chord,0.5,70.94544122455133,65.28113186884812,-64.70480621359687,112,0.8549618320610687
K0137,none,0.65,0.28,chord,1.0,70.95259250493042,65.2513463044133,-64.65491779403423,89,0.6793893129770993
K0181,cluster_logistic_soft,0.36,0.18,endpoint,0.75,70.9593475303666,65.26578017540072,-64.67196616026716,113,0.8625954198473282
K0252,cluster_logistic_soft,0.65,0.18,endpoint,0.5,70.96067069984724,65.26727852114388,-64.69451255441814,116,0.8854961832061069
K0385,cluster_logistic,0.5,0.28,endpoint,0.75,70.9668536102498,65.24381876503297,-64.63615833186869,113,0.8625954198473282
K0060,none,0.36,0.28,endpoint,0.5,70.98170588528203,65.29576608816934,-64.74452149478152,108,0.8244274809160306
K0257,cluster_logistic_soft,0.65,0.18,chord,1.0,70.98759549241774,65.30392180603711,-64.7093085128552,112,0.8549618320610687
K0264,cluster_logistic_soft,0.65,0.23,endpoint,0.5,70.99822281868241,65.301759955115,-64.74496466208988,116,0.8854961832061069
K0089,none,0.5,0.23,chord,1.0,71.00182376269956,65.32573552038767,-64.7197606641056,89,0.6793893129770993
K0325,cluster_logistic,0.36,0.18,endpoint,0.75,71.0043207352012,65.28791724579169,-64.68739741616677,113,0.8625954198473282
K0119,none,0.65,0.18,transverse_arc_0.5,1.0,71.00807887630363,65.22770249174476,-64.76340166588518,106,0.8091603053435115
K0396,cluster_logistic,0.65,0.18,endpoint,0.5,71.00881616542885,65.29620747979551,-64.70841870680862,116,0.8854961832061069
K0206,cluster_logistic_soft,0.36,0.28,endpoint,1.0,71.00918368347104,65.30974726759145,-64.73146335447099,108,0.8244274809160306
K0013,none,0.25,0.23,endpoint,0.75,71.01245694437276,65.32663230027782,-64.74075849898696,101,0.7709923664122137
K0401,cluster_logistic,0.65,0.18,chord,1.0,71.02661773054021,65.3239478816252,-64.71557960372341,112,0.8549618320610687
K0216,cluster_logistic_soft,0.5,0.18,endpoint,0.5,71.02689424974683,65.3401111361109,-64.78383047188784,117,0.8931297709923665
K0350,cluster_logistic,0.36,0.28,endpoint,1.0,71.03724809351087,65.32292793434605,-64.72401478619932,108,0.8244274809160306
K0408,cluster_logistic,0.65,0.23,endpoint,0.5,71.0399159342419,65.32612590369662,-64.75327541553723,117,0.8931297709923665
K0000,none,0.25,0.18,endpoint,0.5,71.04124716232779,65.36748503163207,-64.80145618650958,110,0.8396946564885496
K0193,cluster_logistic_soft,0.36,0.23,endpoint,0.75,71.04313459416358,65.35043284453734,-64.78933160993586,111,0.8473282442748091
K0276,cluster_logistic_soft,0.65,0.28,endpoint,0.5,71.04974884622663,65.35096515455128,-64.81451285135643,116,0.8854961832061069
K0146,cluster_logistic_soft,0.25,0.18,endpoint,1.0,71.06742883519517,65.37396232744065,-64.79901863568422,110,0.8396946564885496
K0360,cluster_logistic,0.5,0.18,endpoint,0.5,71.07047167829337,65.36439501277708,-64.79971461519038,117,0.8931297709923665
K0228,cluster_logistic_soft,0.5,0.23,endpoint,0.5,71.07113080641811,65.38213660419946,-64.84443957899107,113,0.8625954198473282
K0123,none,0.65,0.23,chord,0.5,71.07481596723535,65.40473214858817,-64.87444809171711,99,0.7557251908396947
K0337,cluster_logistic,0.36,0.23,endpoint,0.75,71.07641013201898,65.36618837213237,-64.7939216960847,111,0.8473282442748091
K0136,none,0.65,0.28,chord,0.75,71.08235905713674,65.39570209535208,-64.85844185775193,89,0.6793893129770993
K0420,cluster_logistic,0.65,0.28,endpoint,0.5,71.08324987245143,65.36972079220305,-64.81589813659042,114,0.8702290076335878
K0290,cluster_logistic,0.25,0.18,endpoint,1.0,71.09163236388518,65.3801197972535,-64.7977623714764,110,0.8396946564885496
K0269,cluster_logistic_soft,0.65,0.23,chord,1.0,71.0977693964692,65.41690488273962,-64.86157523528405,100,0.7633587786259542
K0118,none,0.65,0.18,transverse_arc_0.5,0.75,71.09956066827054,65.37186336418553,-64.93383589742574,106,0.8091603053435115
K0372,cluster_logistic,0.5,0.23,endpoint,0.5,71.10791734476462,65.40233143679936,-64.85407049094194,113,0.8625954198473282
K0413,cluster_logistic,0.65,0.23,chord,1.0,71.12185467931054,65.42867306664317,-64.85446534665635,99,0.7557251908396947
K0075,none,0.5,0.18,chord,0.5,71.12489086802019,65.46342138134247,-64.92838324668647,102,0.7786259541984732
K0256,cluster_logistic_soft,0.65,0.18,chord,0.75,71.12555728024432,65.44756355549924,-64.90879019133381,111,0.8473282442748091
K0088,none,0.5,0.23,chord,0.75,71.12743945824336,65.45693108960802,-64.91138276386427,89,0.6793893129770993
K0240,cluster_logistic_soft,0.5,0.28,endpoint,0.5,71.12861125023758,65.4388943864827,-64.92299006640344,112,0.8549618320610687
K0205,cluster_logistic_soft,0.36,0.28,endpoint,0.75,71.14118447330553,65.45134285352704,-64.92495634085131,108,0.8244274809160306
K0221,cluster_logistic_soft,0.5,0.18,chord,1.0,71.14655146995969,65.47071942735725,-64.92207184863148,102,0.7786259541984732
K0400,cluster_logistic,0.65,0.18,chord,0.75,71.15411020439548,65.4613959071716,-64.91245821201234,111,0.8473282442748091
K0180,cluster_logistic_soft,0.36,0.18,endpoint,0.5,71.15503338135039,65.47224950254004,-64.95229274447023,113,0.8625954198473282
K0041,none,0.36,0.18,chord,1.0,71.15652867825112,65.49657088557841,-64.91060073605207,86,0.6564885496183206
K0384,cluster_logistic,0.5,0.28,endpoint,0.5,71.1571875461018,65.4541157079469,-64.92552146767952,112,0.8549618320610687
K0349,cluster_logistic,0.36,0.28,endpoint,0.75,71.1615456313717,65.45998240951212,-64.91829365954295,108,0.8244274809160306
K0365,cluster_logistic,0.5,0.18,chord,1.0,71.1674472736805,65.4778021480693,-64.9186081143527,102,0.7786259541984732
K0026,none,0.25,0.28,endpoint,1.0,71.17179461498955,65.46834850266698,-64.91418434021443,83,0.6335877862595419
K0324,cluster_logistic,0.36,0.18,endpoint,0.5,71.1841114388864,65.48564022145447,-64.96141891512352,113,0.8625954198473282
K0012,none,0.25,0.23,endpoint,0.5,71.1867622641035,65.50992258166886,-64.99592376887102,101,0.7709923664122137
K0145,cluster_logistic_soft,0.25,0.18,endpoint,0.75,71.18730026419358,65.50185639236824,-64.97745429443081,109,0.8320610687022901
K0158,cluster_logistic_soft,0.25,0.23,endpoint,1.0,71.19261872987937,65.50571246216276,-64.97444131823852,101,0.7709923664122137
K0302,cluster_logistic,0.25,0.23,endpoint,1.0,71.20084213014772,65.50356018965861,-64.95868325575059,101,0.7709923664122137
K0289,cluster_logistic,0.25,0.18,endpoint,0.75,71.20461048040673,65.50532450698236,-64.9755305983667,109,0.8320610687022901
K0268,cluster_logistic_soft,0.65,0.23,chord,0.75,71.20915991397499,65.53342855189257,-65.02380870102135,99,0.7557251908396947
K0192,cluster_logistic_soft,0.36,0.23,endpoint,0.5,71.21211383478327,65.53007743486066,-65.0315276888622,110,0.8396946564885496
K0263,cluster_logistic_soft,0.65,0.18,transverse_arc_0.5,1.0,71.22221380572448,65.54000448734293,-65.07812874592845,106,0.8091603053435115
K0412,cluster_logistic,0.65,0.23,chord,0.75,71.22665896496648,65.54121776167172,-65.01756548291998,99,0.7557251908396947
K0117,none,0.65,0.18,transverse_arc_0.5,0.5,71.22827955015318,65.53538102911918,-65.12029107431356,106,0.8091603053435115
K0135,none,0.65,0.28,chord,0.5,71.22828694626097,65.55319247385513,-65.07202859725584,89,0.6793893129770993
K0281,cluster_logistic_soft,0.65,0.28,chord,1.0,71.22899650760914,65.5527798785077,-65.04001746143166,89,0.6793893129770993
K0407,cluster_logistic,0.65,0.18,transverse_arc_0.5,1.0,71.23123508902628,65.54906638894852,-65.05287137374248,106,0.8091603053435115
K0336,cluster_logistic,0.36,0.23,endpoint,0.5,71.23351492375535,65.53938692396707,-65.03356062414697,110,0.8396946564885496
K0425,cluster_logistic,0.65,0.28,chord,1.0,71.23584504114656,65.55484126039737,-65.01814416416157,89,0.6793893129770993
K0220,cluster_logistic_soft,0.5,0.18,chord,0.75,71.24747884573566,65.57546933487879,-65.07051126932677,101,0.7709923664122137
K0040,none,0.36,0.18,chord,0.75,71.25035478140946,65.59063593752705,-65.05880233422126,86,0.6564885496183206
K0025,none,0.25,0.28,endpoint,0.75,71.25497597256391,65.56442750680473,-65.05751129673291,83,0.6335877862595419
K0364,cluster_logistic,0.5,0.18,chord,0.75,71.26249244689373,65.57984051021762,-65.06709004447005,101,0.7709923664122137
K0131,none,0.65,0.23,transverse_arc_0.5,1.0,71.26354425384939,65.49510586718094,-65.09463805212013,89,0.6793893129770993
K0087,none,0.5,0.23,chord,0.5,71.26373864352084,65.5978235204698,-65.11037101078307,89,0.6793893129770993
K0233,cluster_logistic_soft,0.5,0.23,chord,1.0,71.26540179225866,65.5944381718029,-65.08564663014965,89,0.6793893129770993
K0255,cluster_logistic_soft,0.65,0.18,chord,0.5,71.2685888556414,65.596557544181,-65.11243180361338,110,0.8396946564885496
K0377,cluster_logistic,0.5,0.23,chord,1.0,71.27079016734342,65.59332801221441,-65.0681191034966,88,0.6717557251908397
K0204,cluster_logistic_soft,0.36,0.28,endpoint,0.5,71.27859373689755,65.59864096499525,-65.1228710270413,106,0.8091603053435115
K0157,cluster_logistic_soft,0.25,0.23,endpoint,0.75,71.28221991921797,65.60188763478705,-65.10992183395408,101,0.7709923664122137
K0399,cluster_logistic,0.65,0.18,chord,0.5,71.28699272950757,65.60482065417156,-65.11403591444736,110,0.8396946564885496
K0301,cluster_logistic,0.25,0.23,endpoint,0.75,71.28772523554713,65.59932933592405,-65.09728132809403,101,0.7709923664122137
K0348,cluster_logistic,0.36,0.28,endpoint,0.5,71.29153666548633,65.60338570775463,-65.11754558338424,106,0.8091603053435115
K0130,none,0.65,0.23,transverse_arc_0.5,0.75,71.29522141511154,65.57507870632112,-65.1841511830943,89,0.6793893129770993
K0262,cluster_logistic_soft,0.65,0.18,transverse_arc_0.5,0.75,71.30365230582508,65.62821656344724,-65.18818752927984,106,0.8091603053435115
K0280,cluster_logistic_soft,0.65,0.28,chord,0.75,71.30846694696919,65.6363917550521,-65.15842318255235,89,0.6793893129770993
K0144,cluster_logistic_soft,0.25,0.18,endpoint,0.5,71.31111074755198,65.63404963518207,-65.15924340581155,108,0.8244274809160306
K0406,cluster_logistic,0.65,0.18,transverse_arc_0.5,0.75,71.31148063279323,65.63496110595894,-65.16919565522274,105,0.8015267175572519
K0424,cluster_logistic,0.65,0.28,chord,0.75,71.31322446884889,65.63706399824854,-65.14124951186241,89,0.6793893129770993
K0288,cluster_logistic,0.25,0.18,endpoint,0.5,71.32196413424843,65.63546092436542,-65.15718556200251,108,0.8244274809160306
K0101,none,0.5,0.28,chord,1.0,71.32324610684572,65.63548793571071,-65.12917966729603,74,0.5648854961832062
K0314,cluster_logistic,0.25,0.28,endpoint,1.0,71.32374350895056,65.6432532541965,-65.13657140657331,82,0.6259541984732825
K0267,cluster_logistic_soft,0.65,0.23,chord,0.5,71.32502907870412,65.65461281085925,-65.18970978247835,99,0.7557251908396947
K0170,cluster_logistic_soft,0.25,0.28,endpoint,1.0,71.3326308931448,65.65418680166815,-65.16712227419644,83,0.6335877862595419
K0419,cluster_logistic,0.65,0.23,transverse_arc_0.5,1.0,71.33468349716082,65.66794729791445,-65.19954811795374,89,0.6793893129770993
K0411,cluster_logistic,0.65,0.23,chord,0.5,71.33617597280096,65.65896461366131,-65.184804153286,99,0.7557251908396947
K0232,cluster_logistic_soft,0.5,0.23,chord,0.75,71.337279139368,65.66906172299286,-65.19379320948381,88,0.6717557251908397
K0083,none,0.5,0.18,transverse_arc_0.5,1.0,71.33782927439792,65.60436230074603,-65.22114750970549,91,0.6946564885496184
K0275,cluster_logistic_soft,0.65,0.23,transverse_arc_0.5,1.0,71.33900944966099,65.66696221054188,-65.23441537002576,89,0.6793893129770993
K0376,cluster_logistic,0.5,0.23,chord,0.75,71.34082420553487,65.6674351899172,-65.17994568871718,88,0.6717557251908397
K0329,cluster_logistic,0.36,0.18,chord,1.0,71.34354747456044,65.6722096414475,-65.17160562137803,86,0.6564885496183206
K0185,cluster_logistic_soft,0.36,0.18,chord,1.0,71.34525552350544,65.67990773392032,-65.18884122646719,86,0.6564885496183206
K0024,none,0.25,0.28,endpoint,0.5,71.34892482576818,65.66993834978386,-65.20808007550369,83,0.6335877862595419
K0039,none,0.36,0.18,chord,0.5,71.3504848833358,65.69096815574417,-65.211775432684,86,0.6564885496183206
K0219,cluster_logistic_soft,0.5,0.18,chord,0.5,71.35183812780922,65.68387688100825,-65.22184123263683,101,0.7709923664122137
K0082,none,0.5,0.18,transverse_arc_0.5,0.75,71.36024778083052,65.66266081312587,-65.28370397772225,91,0.6946564885496184
K0129,none,0.65,0.23,transverse_arc_0.5,0.5,71.36098286274348,65.67254711608894,-65.28835025206723,89,0.6793893129770993
K0363,cluster_logistic,0.5,0.18,chord,0.5,71.36130192861795,65.68605079363547,-65.21890870548829,101,0.7709923664122137
K0100,none,0.5,0.28,chord,0.75,71.3677307225685,65.69015605429654,-65.21894550394993,73,0.5572519083969466
K0156,cluster_logistic_soft,0.25,0.23,endpoint,0.5,71.37513406401953,65.70161291033541,-65.24821188373515,101,0.7709923664122137
K0300,cluster_logistic,0.25,0.23,endpoint,0.5,71.37825658027283,65.69916582955877,-65.23913490780123,101,0.7709923664122137
K0313,cluster_logistic,0.25,0.28,endpoint,0.75,71.38082689924563,65.70519454584714,-65.23153048913775,82,0.6259541984732825
K0169,cluster_logistic_soft,0.25,0.28,endpoint,0.75,71.3879302340407,65.71414164497043,-65.25510393321483,83,0.6335877862595419
K0371,cluster_logistic,0.5,0.18,transverse_arc_0.5,1.0,71.38874382882044,65.73261000394545,-65.28328594200299,90,0.6870229007633588
K0261,cluster_logistic_soft,0.65,0.18,transverse_arc_0.5,0.5,71.3890722004915,65.71970214638422,-65.30084164891409,105,0.8015267175572519
K0418,cluster_logistic,0.65,0.23,transverse_arc_0.5,0.75,71.38964478516657,65.7247701276321,-65.2796787153697,89,0.6793893129770993
K0389,cluster_logistic,0.5,0.28,chord,1.0,71.39087946588323,65.7280506491336,-65.23902443066667,72,0.549618320610687
K0227,cluster_logistic_soft,0.5,0.18,transverse_arc_0.5,1.0,71.39185200020941,65.73079926696329,-65.31221778531169,90,0.6870229007633588
K0274,cluster_logistic_soft,0.65,0.23,transverse_arc_0.5,0.75,71.39185649613981,65.72404117969378,-65.30583947928342,89,0.6793893129770993
K0279,cluster_logistic_soft,0.65,0.28,chord,0.5,71.39188218389803,65.72401910470708,-65.28002791745956,89,0.6793893129770993
K0423,cluster_logistic,0.65,0.28,chord,0.5,71.394670994081,65.72375196319197,-65.26794464089208,89,0.6793893129770993
K0405,cluster_logistic,0.65,0.18,transverse_arc_0.5,0.5,71.39487937263952,65.72407088644205,-65.28806398424749,106,0.8091603053435115
K0328,cluster_logistic,0.36,0.18,chord,0.75,71.39708011762082,65.72844067221453,-65.25903518611153,86,0.6564885496183206
K0184,cluster_logistic_soft,0.36,0.18,chord,0.75,71.3988392053069,65.73484108925211,-65.27252234127117,86,0.6564885496183206
K0245,cluster_logistic_soft,0.5,0.28,chord,1.0,71.40283691749812,65.73846462828362,-65.27156567090618,72,0.549618320610687
K0081,none,0.5,0.18,transverse_arc_0.5,0.5,71.40980330065766,65.73454732135843,-65.35769965921376,90,0.6870229007633588
K0231,cluster_logistic_soft,0.5,0.23,chord,0.5,71.41218511987266,65.7468478385687,-65.3044659359587,88,0.6717557251908397
K0375,cluster_logistic,0.5,0.23,chord,0.5,71.41412166883383,65.74513441202295,-65.2946749929934,88,0.6717557251908397
K0099,none,0.5,0.28,chord,0.5,71.42373753201093,65.75412894882852,-65.3159371686189,72,0.549618320610687
K0370,cluster_logistic,0.5,0.18,transverse_arc_0.5,0.75,71.43149187659964,65.7746260339669,-65.34361635051988,90,0.6870229007633588
K0388,cluster_logistic,0.5,0.28,chord,0.75,71.43155334000474,65.76923206750703,-65.3087314114968,72,0.549618320610687
K0226,cluster_logistic_soft,0.5,0.18,transverse_arc_0.5,0.75,71.43288282714876,65.77318912497253,-65.36524231123464,90,0.6870229007633588
K0244,cluster_logistic_soft,0.5,0.28,chord,0.75,71.44081474963647,65.77768712954959,-65.33370633138239,72,0.549618320610687
K0312,cluster_logistic,0.25,0.28,endpoint,0.5,71.44099979760409,65.77053701186033,-65.32924635824146,82,0.6259541984732825
K0168,cluster_logistic_soft,0.25,0.28,endpoint,0.5,71.44612076595887,65.77709584309,-65.34549030663122,82,0.6259541984732825
K0417,cluster_logistic,0.65,0.23,transverse_arc_0.5,0.5,71.44739743467754,65.78440263840126,-65.36205910485783,89,0.6793893129770993
K0273,cluster_logistic_soft,0.65,0.23,transverse_arc_0.5,0.5,71.44829434833966,65.78400853759852,-65.37958405601213,89,0.6793893129770993
K0053,none,0.36,0.23,chord,1.0,71.44970453865282,65.78171647540033,-65.28958533111411,64,0.48854961832061067
K0327,cluster_logistic,0.36,0.18,chord,0.5,71.45287701697674,65.78716810968152,-65.34850787748145,86,0.6564885496183206
K0341,cluster_logistic,0.36,0.23,chord,1.0,71.45310358178781,65.79668908279736,-65.32846570563957,64,0.48854961832061067
K0183,cluster_logistic_soft,0.36,0.18,chord,0.5,71.45443054768484,65.79191747158008,-65.35793225367824,86,0.6564885496183206
K0431,cluster_logistic,0.65,0.28,transverse_arc_0.5,1.0,71.46420235012407,65.81462903738715,-65.37950405913662,68,0.5190839694656488
K0052,none,0.36,0.23,chord,0.75,71.46938490174954,65.8047630054661,-65.34322795000251,64,0.48854961832061067
K0197,cluster_logistic_soft,0.36,0.23,chord,1.0,71.4704811512121,65.81233581541568,-65.35991426156487,64,0.48854961832061067
K0387,cluster_logistic,0.5,0.28,chord,0.5,71.47509263739641,65.81354977044799,-65.38097885554511,73,0.5572519083969466
K0369,cluster_logistic,0.5,0.18,transverse_arc_0.5,0.5,71.47624844872094,65.8186367024358,-65.40552408481294,90,0.6870229007633588
K0225,cluster_logistic_soft,0.5,0.18,transverse_arc_0.5,0.5,71.47662636689905,65.81768191155996,-65.41994357590482,90,0.6870229007633588
K0340,cluster_logistic,0.36,0.23,chord,0.75,71.479643586728,65.82224669842968,-65.37706799276503,65,0.4961832061068702
K0243,cluster_logistic_soft,0.5,0.28,chord,0.5,71.48155070142174,65.81970486615519,-65.39808985059864,73,0.5572519083969466
K0287,cluster_logistic_soft,0.65,0.28,transverse_arc_0.5,1.0,71.48646272363945,65.82459346482584,-65.42798100548586,68,0.5190839694656488
K0430,cluster_logistic,0.65,0.28,transverse_arc_0.5,0.75,71.4872206254528,65.83524808958288,-65.41502567212595,68,0.5190839694656488
K0196,cluster_logistic_soft,0.36,0.23,chord,0.75,71.49299013486262,65.8344919486252,-65.401111258527,65,0.4961832061068702
K0383,cluster_logistic,0.5,0.23,transverse_arc_0.5,1.0,71.49597542823166,65.85623287282516,-65.43323659775643,64,0.48854961832061067
K0051,none,0.36,0.23,chord,0.5,71.49609296383716,65.8340127714601,-65.40161986336723,64,0.48854961832061067
K0286,cluster_logistic_soft,0.65,0.28,transverse_arc_0.5,0.75,71.50283808772883,65.84267635752806,-65.45133236892326,68,0.5190839694656488
K0339,cluster_logistic,0.36,0.23,chord,0.5,71.50820962799591,65.85003128112498,-65.42748030917585,67,0.5114503816793893
K0382,cluster_logistic,0.5,0.23,transverse_arc_0.5,0.75,71.51207035563773,65.86749403145893,-65.45622623616606,64,0.48854961832061067
K0429,cluster_logistic,0.65,0.28,transverse_arc_0.5,0.5,71.512763538151,65.85839287022928,-65.45256718323503,67,0.5114503816793893
K0239,cluster_logistic_soft,0.5,0.23,transverse_arc_0.5,1.0,71.51308835427652,65.86246520485614,-65.47271222692638,64,0.48854961832061067
