domain,system,role,url,destination,status,bytes,sha256,etag,last_modified
cluster_comparator,MACS0159,zitrin-ltm-gauss_v1_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0159m08/models/zitrin-ltm-gauss/hlsp_relics_model_model_macs0159m08_zitrin-ltm-gauss_v1_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0159\zitrin-ltm-gauss\v1\hlsp_relics_model_model_macs0159m08_zitrin-ltm-gauss_v1_y-arcsec-deflect.fits,downloaded,25007040,65446a0aa893274f87450bf8a4842c58fd1c5ac72ddcb7eb9c90d232ba0148b5,"""17d93c0-561a734dec280""","Sun, 31 Dec 2017 18:40:58 GMT"
cluster_comparator,PLCKG287,glafic_v2_kappa,https://archive.stsci.edu/hlsps/relics/plckg287p32/models/glafic/v2/hlsp_relics_model_model_plckg287p32_glafic_v2_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\PLCKG287\glafic\v2\hlsp_relics_model_model_plckg287p32_glafic_v2_kappa.fits,downloaded,23042880,27fdf1d5816232889b2983116a50bd4260901253b59f0cba9f8711b321c0f100,"""15f9b40-5924d05808880""","Wed, 11 Sep 2019 20:39:46 GMT"
cluster_comparator,PLCKG287,glafic_v2_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/plckg287p32/models/glafic/v2/hlsp_relics_model_model_plckg287p32_glafic_v2_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\PLCKG287\glafic\v2\hlsp_relics_model_model_plckg287p32_glafic_v2_x-arcsec-deflect.fits,downloaded,23042880,b3d46676e28c7657767dcb96aa7a14859ad83561214233a3f2e173f711f2eb09,"""15f9b40-5924d05808880""","Wed, 11 Sep 2019 20:39:46 GMT"
cluster_comparator,PLCKG287,glafic_v2_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/plckg287p32/models/glafic/v2/hlsp_relics_model_model_plckg287p32_glafic_v2_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\PLCKG287\glafic\v2\hlsp_relics_model_model_plckg287p32_glafic_v2_y-arcsec-deflect.fits,downloaded,23042880,6029d3c15958317599a90a0b19c2292cb588eea1ea6e377a47c5ad82eaca0092,"""15f9b40-5924d05808880""","Wed, 11 Sep 2019 20:39:46 GMT"
cluster_comparator,PLCKG287,zitrin-ltm-gauss_v1_kappa,https://archive.stsci.edu/hlsps/relics/plckg287p32/models/zitrin-ltm-gauss/hlsp_relics_model_model_plckg287p32_zitrin-ltm-gauss_v1_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\PLCKG287\zitrin-ltm-gauss\v1\hlsp_relics_model_model_plckg287p32_zitrin-ltm-gauss_v1_kappa.fits,downloaded,77446080,29d1997e34831b459a1bd87304b02ece0bec67220188cf1a17e5ff9210dab088,"""49dbbc0-56aa346c3bdc0""","Wed, 25 Apr 2018 02:46:23 GMT"
cluster_comparator,PLCKG287,zitrin-ltm-gauss_v1_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/plckg287p32/models/zitrin-ltm-gauss/hlsp_relics_model_model_plckg287p32_zitrin-ltm-gauss_v1_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\PLCKG287\zitrin-ltm-gauss\v1\hlsp_relics_model_model_plckg287p32_zitrin-ltm-gauss_v1_x-arcsec-deflect.fits,downloaded,77446080,bc1c8ba6d0e1b34e2bdb0a3c35c744909e663cc3755c8d01b543280594df87cf,"""49dbbc0-56aa34700c6c0""","Wed, 25 Apr 2018 02:46:27 GMT"
cluster_comparator,PLCKG287,zitrin-ltm-gauss_v1_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/plckg287p32/models/zitrin-ltm-gauss/hlsp_relics_model_model_plckg287p32_zitrin-ltm-gauss_v1_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\PLCKG287\zitrin-ltm-gauss\v1\hlsp_relics_model_model_plckg287p32_zitrin-ltm-gauss_v1_y-arcsec-deflect.fits,downloaded,77446080,da869753341d7f6ae8d554b90308236c5484db8cacb6d755169699d7382b5d46,"""49dbbc0-56aa34700c6c0""","Wed, 25 Apr 2018 02:46:27 GMT"
galaxy,CVnIdwA,XMOM1,https://things.cv.nrao.edu/littlethings/cvnidwa/HI/CVnIdwA_R_XMOM1.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\CVnIdwA\CVnIdwA_R_XMOM1.FITS,downloaded,1203840,b0360a5e52f6a9f2222b5de22f1c9b8c55b18e15eec3edfb9b1d80d6143c936b,"""125e80-4b6e53b35f300""","Thu, 19 Jan 2012 17:52:44 GMT"
galaxy,CVnIdwA,XMOM2,https://things.cv.nrao.edu/littlethings/cvnidwa/HI/CVnIdwA_R_XMOM2.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\CVnIdwA\CVnIdwA_R_XMOM2.FITS,downloaded,1203840,076cfadc833ab3885efaad9dfa6502d005750107694f98246cd7f2ded7a0d7fb,"""125e80-4b6e53b547780""","Thu, 19 Jan 2012 17:52:46 GMT"
galaxy,DDO101,XMOM1,https://things.cv.nrao.edu/littlethings/ddo101/HI/DDO101_R_XMOM1.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\DDO101\DDO101_R_XMOM1.FITS,downloaded,4380480,f8a42f2be55b44ac02778a130c36ec0cf35401d4e0c448d3125a81e29af9c7a2,"""42d740-4b6e609cce980""","Thu, 19 Jan 2012 18:50:30 GMT"
galaxy,DDO101,XMOM2,https://things.cv.nrao.edu/littlethings/ddo101/HI/DDO101_R_XMOM2.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\DDO101\DDO101_R_XMOM2.FITS,downloaded,4380480,e3162096127db5f0579395bf44ac3daa09582994df9e0aa1e8e61fe3325ba452,"""42d740-4b6e609eb6e00""","Thu, 19 Jan 2012 18:50:32 GMT"
galaxy,DDO126,XMOM1,https://things.cv.nrao.edu/littlethings/ddo126/HI/DDO126_NA_XMOM1.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\DDO126\DDO126_NA_XMOM1.FITS,downloaded,4386240,8f2116af9100214ea90c921093801b43678634a5e65fc2d31b154d24e25644c5,"""42edc0-4b6e9dad6fb80""","Thu, 19 Jan 2012 23:23:42 GMT"
galaxy,DDO126,XMOM2,https://things.cv.nrao.edu/littlethings/ddo126/HI/DDO126_NA_XMOM2.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\DDO126\DDO126_NA_XMOM2.FITS,downloaded,4386240,7ac7adc2507440c3a99c7d2779a001303ad9d9054fc883cfc8d4ab3211d64ca4,"""42edc0-4b6e9db04c240""","Thu, 19 Jan 2012 23:23:45 GMT"
galaxy,DDO133,XMOM1,https://things.cv.nrao.edu/littlethings/ddo133/HI/DDO133_R_XMOM1.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\DDO133\DDO133_R_XMOM1.FITS,downloaded,4374720,b1f5fe1669da6980b34cc48e6ff6b4b098a2198ba7d23ba13e67e001410e9ce8,"""42c0c0-4b6e610e4b540""","Thu, 19 Jan 2012 18:52:29 GMT"
galaxy,DDO133,XMOM2,https://things.cv.nrao.edu/littlethings/ddo133/HI/DDO133_R_XMOM2.FITS,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_little_things_kinematics\DDO133\DDO133_R_XMOM2.FITS,downloaded,4374720,727c69278154dfedbd7ceab1cc068c7dc57a64cf0ffb9ca328099a89af44239c,"""42c0c0-4b6e6110339c0""","Thu, 19 Jan 2012 18:52:31 GMT"
