Galaxy,Hubble_Type,Winner,RMS_Sigma,RMS_MOND,Improvement_Pct,V_flat,R_d,R_d_source,Gas_Pct,Bulge_Pct,Deep_MOND_Pct,g_bar_min,g_bar_max,g_bar_mean,Accel_Regime,Mass_Type,Rise_Ratio,R_max,N_points,Inclination,Distance,Luminosity,M_HI,R_HI,Quality
UGC12506,Scd,MOND,35.372,25.919,-36.47,248.40,7.380,catalog,18.0,0.0,96.8,1.3207e-11,9.9386e-11,4.5433e-11,Deep MOND,Massive,1.214,49.99,31,86.0,100.60,139.5710,35.5560,59.01,2
F563-V2,Im,MOND,20.441,14.782,-38.28,117.67,2.430,catalog,43.5,0.0,100.0,4.5819e-12,2.0545e-11,1.3276e-11,Deep MOND,Normal,3.262,10.47,10,29.0,59.70,2.9860,2.1690,11.37,1
F563-1,Sm,MOND,17.137,12.386,-38.35,110.70,3.520,catalog,58.8,0.0,100.0,2.7987e-12,1.1232e-11,6.1929e-12,Deep MOND,Normal,2.139,20.10,17,25.0,48.90,1.9030,3.2000,23.47,1
F568-V1,Sd,MOND,20.031,14.232,-40.75,113.80,2.850,catalog,38.0,0.0,100.0,4.4022e-12,2.2870e-11,1.2636e-11,Deep MOND,Normal,2.518,17.63,15,40.0,80.60,3.8250,2.4910,14.38,1
UGC07608,Im,MOND,7.398,5.085,-45.47,65.57,1.500,catalog,66.9,0.0,100.0,5.4142e-12,6.1836e-12,5.7434e-12,Deep MOND,Dwarf,2.095,4.78,8,25.0,8.21,0.2640,0.5350,6.73,1
NGC5985,Sb,MOND,44.233,28.989,-52.58,299.36,7.010,catalog,4.4,13.3,42.4,3.3642e-11,2.3934e-10,1.0867e-10,Transition,Massive,1.125,34.72,33,60.0,39.70,208.7280,11.5860,39.50,1
F568-1,Sc,MOND,29.790,18.994,-56.84,133.00,5.180,catalog,47.4,0.0,100.0,1.0751e-11,1.9213e-11,1.3916e-11,Deep MOND,Normal,3.054,13.23,12,26.0,90.70,6.2520,4.4980,16.31,1
UGC05716,Sm,MOND,11.815,7.371,-60.29,73.59,1.140,catalog,53.2,0.0,100.0,2.5873e-12,1.5179e-11,6.3615e-12,Deep MOND,Dwarf,1.505,12.37,12,54.0,21.30,0.5880,1.0940,10.64,2
UGC08550,Sd,MOND,7.177,4.445,-61.46,57.53,0.450,catalog,36.8,0.0,100.0,4.4023e-12,2.4377e-11,1.1116e-11,Deep MOND,Dwarf,1.457,5.36,11,90.0,6.70,0.2890,0.2880,5.59,1
UGC05764,Im,MOND,10.773,6.656,-61.86,54.80,1.170,catalog,76.6,0.0,100.0,3.2764e-12,7.0396e-12,5.9442e-12,Deep MOND,Dwarf,1.585,3.62,10,60.0,7.47,0.0850,0.1630,3.51,2
NGC2841,Sb,MOND,15.180,8.814,-72.22,320.81,3.640,catalog,7.3,55.0,46.0,8.9604e-12,7.9183e-10,2.1529e-10,Transition,Massive,0.914,63.64,50,76.0,14.10,188.1210,9.7750,45.12,1
UGC06446,Sd,MOND,9.163,5.317,-72.34,83.46,1.490,catalog,53.5,0.0,100.0,4.9517e-12,2.5467e-11,1.1278e-11,Deep MOND,Normal,1.546,10.22,17,51.0,12.00,0.9880,1.3790,10.33,1
UGC04325,Sm,MOND,14.447,8.155,-77.16,91.93,1.860,catalog,25.4,0.0,100.0,1.6945e-11,3.0114e-11,2.4427e-11,Deep MOND,Normal,1.401,5.59,8,41.0,9.60,2.0260,0.6780,6.61,1
UGC02259,Sdm,MOND,10.799,6.086,-77.43,88.10,1.620,catalog,28.5,0.0,100.0,7.1090e-12,2.1667e-11,1.4748e-11,Deep MOND,Normal,1.253,8.14,8,41.0,10.50,1.7250,0.4940,7.28,2
UGC08286,Scd,MOND,6.654,3.702,-79.77,83.54,1.050,catalog,29.8,0.0,100.0,5.8225e-12,2.2064e-11,1.3958e-11,Deep MOND,Normal,1.679,8.04,17,90.0,6.50,1.2550,0.6420,8.07,1
UGC06667,Scd,MOND,23.375,12.186,-91.82,84.90,5.150,catalog,53.3,0.0,100.0,1.7836e-12,5.5842e-12,4.3039e-12,Deep MOND,Normal,1.932,7.85,9,89.0,18.00,1.3970,0.8090,8.59,1
NGC0024,Sc,MOND,14.109,7.113,-98.37,106.67,1.340,catalog,12.5,0.0,100.0,5.8227e-12,8.4711e-11,6.4758e-11,Deep MOND,Normal,2.264,11.27,29,64.0,7.30,3.8890,0.6760,7.29,1
UGC02487,S0,MOND,23.453,8.823,-165.82,378.60,7.890,catalog,2.8,29.5,64.7,1.1791e-11,3.5424e-10,1.1280e-10,Transition,Massive,0.881,80.38,17,36.0,69.10,489.9550,17.9630,40.20,1
UGC08490,Sm,MOND,6.617,1.796,-268.50,79.74,0.670,catalog,22.7,0.0,100.0,3.0241e-12,7.6829e-11,1.9659e-11,Deep MOND,Dwarf,1.214,10.15,30,50.0,4.65,1.0170,0.7200,7.80,1
