name,Rd,Vf,Mbar,Sigma0,HSB_LSB,residual_rms,chi2_red,ape,A_used,l0_used,A_dwarf,M_crit,gamma,l0_base,beta
F568-V1,2.85,112.3,4.4035,45.27,LSB,40.928760767161094,26.188776326919537,40.52347904813482,1.0444341035081477,5.0,2.0,5.0,0.7,5.0,0.0
F571-8,3.56,139.7,6.864,43.63,LSB,41.07818082264567,121.93569997305167,58.584727162799844,0.8895540429965747,5.0,2.0,5.0,0.7,5.0,0.0
F571-V1,2.47,83.6,2.1415,32.195,LSB,17.225049638489182,18.104591479412356,21.348923907287347,1.2883594365520097,5.0,2.0,5.0,0.7,5.0,0.0
F574-1,4.46,97.8,6.7925,64.24,LSB,22.31243393738915,33.07816244811492,25.160908658458407,0.8931757414693324,5.0,2.0,5.0,0.7,5.0,0.0
F574-2,3.76,36.0,3.1395,20.69,LSB,20.30061096436474,30.139895713042925,73.6762994760335,1.1614557261805984,5.0,2.0,5.0,0.7,5.0,0.0
F579-V1,3.37,112.1,8.169,100.88,HSB,24.640484662071447,8.511632787828997,24.718102131748694,0.8298530346208313,5.0,2.0,5.0,0.7,5.0,0.0
F583-1,2.36,85.8,2.619,30.465,LSB,23.85261526735278,24.588721592342743,39.181859921874604,1.222539048559313,5.0,2.0,5.0,0.7,5.0,0.0
F583-4,1.93,67.2,1.4985,41.67,LSB,6.745573011343933,3.0248466708443837,15.878387497145741,1.3983958276746193,5.0,2.0,5.0,0.7,5.0,0.0
IC2574,2.78,66.4,1.544,40.16,LSB,7.22993762760841,14.157876110602851,12.752381254904076,1.3895517728405244,5.0,2.0,5.0,0.7,5.0,0.0
IC4202,4.78,242.6,102.2005,4444.265,HSB,33.82201835937628,68.03594133523542,21.328461805955424,0.21582393104801714,5.0,2.0,5.0,0.7,5.0,0.0
KK98-251,1.34,33.7,0.1575,26.05,LSB,4.925429278946981,8.27040463019597,21.324283769050574,1.8367450819311968,5.0,2.0,5.0,0.7,5.0,0.0
NGC0024,1.34,106.3,2.6205,591.29,HSB,23.40635325028024,26.602660365949724,25.39472112421305,1.2223485638347842,5.0,2.0,5.0,0.7,5.0,0.0
NGC0055,6.11,85.6,3.879,195.795,HSB,3.8145630149470757,2.5376090822256634,5.216344250998246,1.0886181065170055,5.0,2.0,5.0,0.7,5.0,0.0
NGC0100,1.66,88.1,3.606,596.76,HSB,13.085171426971488,5.574965516066497,14.617695413128109,1.1138971931708703,5.0,2.0,5.0,0.7,5.0,0.0
NGC0247,3.74,104.9,5.412,253.395,HSB,14.241398623522484,51.58967099615343,16.922790540087735,0.9722938134032743,5.0,2.0,5.0,0.7,5.0,0.0
NGC0289,6.74,163.0,63.5015,34.98,LSB,48.932461302706784,51.00224956029391,25.705538106076727,0.28881922966385004,5.0,2.0,5.0,0.7,5.0,0.0
NGC0300,1.75,93.3,2.397,218.675,HSB,18.876464318011557,35.84106108963878,19.585134044091077,1.2517936767017452,5.0,2.0,5.0,0.7,5.0,0.0
NGC0801,8.72,220.1,179.486,779.47,HSB,41.53956316584184,93.25986687384825,19.602184605636353,0.150812887701597,5.0,2.0,5.0,0.7,5.0,0.0
NGC0891,2.55,216.1,73.632,2533.96,HSB,87.8534711252184,553.430616176539,34.027973763984555,0.26414681357943065,5.0,2.0,5.0,0.7,5.0,0.0
NGC1003,1.61,109.8,9.29,672.665,HSB,34.584452246323465,228.6426810698565,28.93525001604053,0.7865099519241358,5.0,2.0,5.0,0.7,5.0,0.0
NGC1090,3.53,164.4,44.8055,1027.545,HSB,21.676160619679017,44.47668889507112,19.452057701794182,0.35451928858762694,5.0,2.0,5.0,0.7,5.0,0.0
NGC1705,0.39,71.9,0.4055,293.63,HSB,29.661786720119725,57.6642000031915,41.16637840134471,1.7060310107971766,5.0,2.0,5.0,0.7,5.0,0.0
NGC2366,0.65,50.2,0.765,56.99,LSB,7.9930743115604255,21.450805509991515,15.989085275350561,1.576404246529731,5.0,2.0,5.0,0.7,5.0,0.0
NGC2403,1.39,131.2,8.2195,704.37,HSB,24.433014641656776,158.1151499210278,15.90416305008659,0.8277592444789996,5.0,2.0,5.0,0.7,5.0,0.0
NGC2683,2.18,154.0,41.6135,5102.7,HSB,30.786194396355178,34.150498104424905,14.809052875067593,0.36986178436564066,5.0,2.0,5.0,0.7,5.0,0.0
NGC2841,3.64,284.8,103.8355,2375.745,HSB,74.05377808829218,327.4313423242204,18.899923734330635,0.21369418925498224,5.0,2.0,5.0,0.7,5.0,0.0
NGC2903,2.33,184.6,43.4835,596.76,HSB,66.51901534061109,525.7620756603917,40.10164996305103,0.36067559852006803,5.0,2.0,5.0,0.7,5.0,0.0
NGC2915,0.55,83.5,0.8285,156.965,HSB,37.96775166664165,34.29382080986775,53.38219119502933,1.5574678351700852,5.0,2.0,5.0,0.7,5.0,0.0
NGC2955,18.76,257.0,188.66000000000005,25.34,LSB,56.617155421990816,106.7033613792998,18.337446002837186,0.14601869804075063,5.0,2.0,5.0,0.7,5.0,0.0
NGC2976,1.01,85.4,1.8575,751.275,HSB,6.3185962162899845,3.5216394028530873,15.317025847849076,1.3333321376959444,5.0,2.0,5.0,0.7,5.0,0.0
NGC2998,6.2,209.9,98.902,387.08,HSB,28.93876865928724,96.43064232252976,15.692193500276849,0.2202854453003913,5.0,2.0,5.0,0.7,5.0,0.0
NGC3109,1.56,66.2,0.574,70.435,LSB,22.80502114904773,88.27347739378489,45.70099241437126,1.639659558203831,5.0,2.0,5.0,0.7,5.0,0.0
NGC3198,3.14,150.1,30.0085,801.31,HSB,28.55582637400186,188.81591088382453,22.991718258929772,0.4438684763915413,5.0,2.0,5.0,0.7,5.0,0.0
NGC3521,2.4,213.7,46.572,1056.33,HSB,69.06105433269195,48.76866374407402,31.602394358802904,0.3466930081866886,5.0,2.0,5.0,0.7,5.0,0.0
NGC3726,3.4,168.0,41.59,894.955,HSB,42.32926518127647,89.77690442453931,27.431512738933428,0.3699810024972454,5.0,2.0,5.0,0.7,5.0,0.0
NGC3741,0.2,50.1,0.196,71.745,LSB,20.595442578315037,96.27797148281711,48.830510926290636,1.812274125222004,5.0,2.0,5.0,0.7,5.0,0.0
NGC3769,3.38,118.6,14.8685,80.13,LSB,31.90963527041974,23.159568292089357,23.899235003611295,0.6360491871771063,5.0,2.0,5.0,0.7,5.0,0.0
NGC3877,2.53,168.4,37.7505,1705.295,HSB,48.40700686182209,109.05366806574021,37.5571060019071,0.3908641348578257,5.0,2.0,5.0,0.7,5.0,0.0
NGC3893,2.38,174.0,35.0615,1027.545,HSB,34.342810182873976,44.285164110833044,16.329382513283264,0.4073875592646849,5.0,2.0,5.0,0.7,5.0,0.0
NGC3917,2.63,135.9,12.871,613.48,HSB,7.9737631755526275,3.88315362488574,7.779082487884064,0.6806361175270422,5.0,2.0,5.0,0.7,5.0,0.0
NGC3949,3.59,163.0,22.4045,92.855,LSB,51.02650557644028,141.50554381550614,32.461327800188656,0.5184975403506166,5.0,2.0,5.0,0.7,5.0,0.0
NGC3953,4.89,220.8,73.48249999999999,999.54,HSB,42.10681093482706,92.04601677163461,19.35129893719349,0.264473153036626,5.0,2.0,5.0,0.7,5.0,0.0
NGC3972,2.18,132.7,8.3905,793.965,HSB,8.040044637860785,5.111257123504462,7.8330756118264135,0.8207750800648308,5.0,2.0,5.0,0.7,5.0,0.0
NGC3992,4.96,241.0,130.065,1628.545,HSB,37.21095434603855,59.15065767257465,12.263440569304713,0.18541466779915852,5.0,2.0,5.0,0.7,5.0,0.0
NGC4010,2.81,125.8,11.4285,1305.57,HSB,15.044936146073203,9.945970831112838,14.865426180768452,0.7184770797699825,5.0,2.0,5.0,0.7,5.0,0.0
NGC4013,3.53,172.9,42.514,5102.7,HSB,37.54784662163007,81.2485609948284,17.96368285580074,0.36536532794124094,5.0,2.0,5.0,0.7,5.0,0.0
NGC4051,4.65,157.0,50.331,660.39,HSB,47.82114676441793,107.7698065491354,32.25315576651451,0.3313960826287792,5.0,2.0,5.0,0.7,5.0,0.0
NGC4068,0.59,36.0,0.272,130.555,HSB,3.280513379202815,2.8362864309349134,18.636133127739697,1.7694535702071994,5.0,2.0,5.0,0.7,5.0,0.0
NGC4085,1.65,131.5,12.211,2510.73,HSB,50.21243650239772,192.754530003957,55.2274248172323,0.6972768765447396,5.0,2.0,5.0,0.7,5.0,0.0
NGC4088,2.58,171.7,61.869,1994.345,HSB,71.85128165125786,163.77377967156045,40.886767014111534,0.2933535782540365,5.0,2.0,5.0,0.7,5.0,0.0
NGC4100,2.15,158.2,32.799,4485.39,HSB,20.384264244206463,15.442609611016099,9.068717451732493,0.4227450108858981,5.0,2.0,5.0,0.7,5.0,0.0
NGC4138,1.51,147.3,23.5385,1976.06,HSB,30.901424865300047,16.655129930364616,13.394414487611476,0.5053335568130135,5.0,2.0,5.0,0.7,5.0,0.0
NGC4157,2.32,184.7,61.036,11906.935,HSB,49.806649474987225,55.35853490970371,24.019197610962518,0.29573683197133044,5.0,2.0,5.0,0.7,5.0,0.0
NGC4183,2.79,110.6,8.924999999999999,549.29,HSB,14.67450168313467,6.942144674599671,11.939094814228863,0.7999386651579363,5.0,2.0,5.0,0.7,5.0,0.0
NGC4214,0.51,80.1,1.0565,654.335,HSB,23.388755528829634,17.00929542168366,27.94941594000821,1.4960601495543429,5.0,2.0,5.0,0.7,5.0,0.0
NGC4217,2.94,181.3,45.2115,2186.755,HSB,78.63642253958508,169.16324712877022,47.93993886350884,0.35268127145913925,5.0,2.0,5.0,0.7,5.0,0.0
NGC4389,2.79,95.9,11.203,161.36,HSB,74.63897598631237,394.6879846215512,119.73889717253981,0.7249118269853065,5.0,2.0,5.0,0.7,5.0,0.0
NGC4559,2.1,121.2,15.4995,801.31,HSB,18.92509434667983,14.32471325743531,16.119605156286013,0.6234964221544854,5.0,2.0,5.0,0.7,5.0,0.0
NGC5005,9.45,262.2,90.64,48.285,LSB,73.73490186342599,25.835785510953087,28.752476218747514,0.23254331281235177,5.0,2.0,5.0,0.7,5.0,0.0
NGC5033,5.16,194.2,66.5685,307.47,HSB,54.114590115181315,223.03126086634362,23.011332511599846,0.28075563011788734,5.0,2.0,5.0,0.7,5.0,0.0
NGC5055,3.2,179.0,88.18299999999999,1674.17,HSB,66.54342748551666,2957.2782633777533,30.388254038735994,0.23652588861753918,5.0,2.0,5.0,0.7,5.0,0.0
NGC5371,7.44,209.5,181.3765,697.91,HSB,50.01276063443399,324.19957329721075,19.41588312680201,0.149793348439129,5.0,2.0,5.0,0.7,5.0,0.0
NGC5585,1.53,90.3,3.1545,148.525,HSB,11.880811294177798,58.787321312524476,16.156582468859778,1.1598305193844862,5.0,2.0,5.0,0.7,5.0,0.0
NGC5907,5.34,215.0,108.7375,4323.145,HSB,31.906102453247893,157.68993634532333,11.961999647019727,0.20760901727846262,5.0,2.0,5.0,0.7,5.0,0.0
NGC5985,7.01,293.6,115.95,730.805,HSB,62.55075577570639,173.4182421003101,21.6166169135131,0.19939238099581613,5.0,2.0,5.0,0.7,5.0,0.0
NGC6015,2.3,154.1,21.8985,963.385,HSB,29.583998833904765,61.873222928973846,16.125523742549426,0.5246627698382874,5.0,2.0,5.0,0.7,5.0,0.0
NGC6195,13.94,251.7,216.445,87.055,LSB,57.36350911667712,116.35073599507771,22.306785843367564,0.1335236523646975,5.0,2.0,5.0,0.7,5.0,0.0
NGC6503,2.16,116.3,8.166500000000001,199.435,HSB,26.40053690118154,258.17534032366757,20.197642358378083,0.8299570637904312,5.0,2.0,5.0,0.7,5.0,0.0
NGC6674,6.04,241.3,139.492,685.175,HSB,65.65857209054332,1005.3039607256538,23.590282853311358,0.17733756284304253,5.0,2.0,5.0,0.7,5.0,0.0
NGC6789,0.31,0.0,0.067,159.88,HSB,21.973145942139897,55.88433139745771,46.48126108473632,1.9068281101755133,5.0,2.0,5.0,0.7,5.0,0.0
NGC6946,2.44,158.9,38.7565,1116.35,HSB,39.475474305423816,330.06791397040604,20.407099907165648,0.3851071125575941,5.0,2.0,5.0,0.7,5.0,0.0
NGC7331,5.02,239.0,136.3825,903.235,HSB,83.00156617276897,274.16147232686336,26.646146280491674,0.17990453745046003,5.0,2.0,5.0,0.7,5.0,0.0
NGC7793,1.21,109.0,4.386,534.32,HSB,9.969111175880565,3.055543295435497,17.11791081191702,1.0458249749900748,5.0,2.0,5.0,0.7,5.0,0.0
NGC7814,2.54,218.9,38.3345,1317.65,HSB,43.17803580638088,74.09991387339085,16.14264421740582,0.3874957969340261,5.0,2.0,5.0,0.7,5.0,0.0
PGC51017,0.53,18.6,0.2785,46.97,LSB,7.738666551054922,42.74346211747567,39.545858314257536,1.7660601877744726,5.0,2.0,5.0,0.7,5.0,0.0
UGC00128,5.95,129.3,13.441,44.445,LSB,49.72516248236939,1645.096493778414,38.76935759395369,0.6670831331350074,5.0,2.0,5.0,0.7,5.0,0.0
UGC00191,1.58,81.0,2.345,103.705,HSB,14.311861822753048,126.33456377348216,23.029673624816148,1.2589693760329521,5.0,2.0,5.0,0.7,5.0,0.0
UGC00634,2.45,0.0,5.1575,63.065,LSB,31.27697566767125,1901.0069813615446,28.45840536741549,0.9891455075870476,5.0,2.0,5.0,0.7,5.0,0.0
UGC00731,2.3,73.3,1.9685,41.285,LSB,26.253586467665876,141.88849684724357,44.92424930746584,1.3151545422847148,5.0,2.0,5.0,0.7,5.0,0.0
UGC00891,1.43,60.15,0.615,56.99,LSB,14.856438791442885,1056.480323659183,23.477614604704982,1.625171380269017,5.0,2.0,5.0,0.7,5.0,0.0
UGC01230,4.34,103.7,10.24,34.66,LSB,29.242991090434376,10.947517787822704,27.667196279230012,0.7542333521629341,5.0,2.0,5.0,0.7,5.0,0.0
UGC01281,1.63,55.2,0.4705,67.89,LSB,13.11049029526756,10.030151165928048,42.2669730352903,1.6789637610939683,5.0,2.0,5.0,0.7,5.0,0.0
UGC02023,1.55,47.9,1.131,60.785,LSB,4.8299879245263355,1.5446231565898012,14.215233960148977,1.4778678620871755,5.0,2.0,5.0,0.7,5.0,0.0
UGC02259,1.62,86.2,1.3565,86.26,LSB,25.208513924566873,320.2771303554163,32.43730967258052,1.4272972347989965,5.0,2.0,5.0,0.7,5.0,0.0
UGC02455,0.99,53.1,2.6275,397.925,HSB,44.92384526356027,304.6358944065189,132.3612055689991,1.2214608507919757,5.0,2.0,5.0,0.7,5.0,0.0
UGC02487,7.89,332.0,262.9405,575.175,HSB,97.6866170132246,1430.6261577667121,25.407448719301872,0.1175193255515479,5.0,2.0,5.0,0.7,5.0,0.0
UGC02885,11.4,289.5,241.8375,235.395,HSB,60.32714512963168,46.098616233560826,17.650217928687606,0.12416711672652672,5.0,2.0,5.0,0.7,5.0,0.0
UGC02916,6.15,182.7,85.3495,260.495,HSB,48.12097878930507,437.78416531975887,18.756766497804367,0.2413355502110634,5.0,2.0,5.0,0.7,5.0,0.0
UGC02953,3.55,264.9,137.43699999999998,2107.655,HSB,62.792579741691675,374.4701277497194,21.635716034169363,0.17902377546934986,5.0,2.0,5.0,0.7,5.0,0.0
UGC03205,3.19,219.6,66.49799999999999,1957.945,HSB,28.30581339775794,78.74249204880888,10.492315689117289,0.2809346908639593,5.0,2.0,5.0,0.7,5.0,0.0
UGC03546,3.79,196.9,53.343,461.105,HSB,77.95219815053774,97.65944531520162,29.759843828300802,0.32029974041459636,5.0,2.0,5.0,0.7,5.0,0.0
UGC03580,2.43,126.2,11.003,151.285,HSB,38.69101179351615,236.61224966709952,41.51920199074358,0.7307495429808635,5.0,2.0,5.0,0.7,5.0,0.0
UGC04278,2.21,91.4,1.7695,188.71,HSB,16.384397463040465,14.426148916051266,22.85249199784616,1.3483453125706126,5.0,2.0,5.0,0.7,5.0,0.0
UGC04305,1.16,34.5,1.0579999999999998,44.035,LSB,14.301216874637397,25.027500948386457,40.12135660538378,1.4956856801008047,5.0,2.0,5.0,0.7,5.0,0.0
UGC04325,1.86,90.9,1.6909999999999998,106.61,HSB,24.1574540577664,125.07710718795971,30.582715821423466,1.3622221221308453,5.0,2.0,5.0,0.7,5.0,0.0
UGC04483,0.18,24.2,0.0385,41.285,LSB,6.565459520389886,36.75584140515943,29.57822866871495,1.935818745928807,5.0,2.0,5.0,0.7,5.0,0.0
UGC04499,1.73,72.8,1.876,63.65,LSB,7.163302460954839,11.480781557216885,12.206903038108758,1.3302453574384276,5.0,2.0,5.0,0.7,5.0,0.0
UGC05005,3.2,98.9,5.143,32.795,LSB,19.5777173897083,5.877992008958488,16.481119587059794,0.9901307914176991,5.0,2.0,5.0,0.7,5.0,0.0
UGC05253,8.07,213.7,102.187,94.58,LSB,48.86996345827659,212.17748401203679,19.517774944031817,0.215841735578775,5.0,2.0,5.0,0.7,5.0,0.0
UGC05414,1.47,56.8,1.1355,63.65,LSB,4.067312387673981,8.294457254300204,7.370244749481983,1.4767947139347082,5.0,2.0,5.0,0.7,5.0,0.0
UGC05716,1.14,73.1,1.388,45.27,LSB,21.85882988441371,568.975790978067,33.9394891897106,1.4207071299157987,5.0,2.0,5.0,0.7,5.0,0.0
UGC05721,0.38,79.7,0.8275000000000001,456.88,HSB,28.821175554577778,45.44757067764607,34.574670391583325,1.557759107571251,5.0,2.0,5.0,0.7,5.0,0.0
UGC05750,3.46,77.6,2.767,62.49,LSB,7.338678217463297,2.1023931694025557,15.237236540706137,1.2041756211898285,5.0,2.0,5.0,0.7,5.0,0.0
UGC05764,1.17,50.0,0.2055,16.895,LSB,24.141252182931602,768.9857962018917,53.50652269185269,1.8065618580183702,5.0,2.0,5.0,0.7,5.0,0.0
UGC05829,1.99,65.6,1.305,31.61,LSB,11.648840469573438,8.328350740528068,28.70251755996852,1.4383061278852842,5.0,2.0,5.0,0.7,5.0,0.0
UGC05918,1.66,42.6,0.4135,12.47,LSB,13.809406307765116,24.694197123055893,40.800666678097095,1.7025851216277164,5.0,2.0,5.0,0.7,5.0,0.0
UGC05986,1.67,113.0,5.0145,862.58,HSB,21.55242734604934,68.48334204217224,18.81295051288954,0.9989864692578392,5.0,2.0,5.0,0.7,5.0,0.0
UGC05999,3.22,97.7,3.714,25.81,LSB,18.0457621243848,65.1299061299762,18.813457021071795,1.1036909198166975,5.0,2.0,5.0,0.7,5.0,0.0
UGC06399,2.05,85.0,1.822,155.525,HSB,13.62548826340528,15.669825828629593,18.958701115398203,1.33932198461759,5.0,2.0,5.0,0.7,5.0,0.0
UGC06446,1.49,82.2,1.873,43.23,LSB,24.50529218939417,41.809736245976936,33.57681556208429,1.330744323555043,5.0,2.0,5.0,0.7,5.0,0.0
UGC06614,5.1,199.8,84.063,270.27,HSB,49.67189017506711,26.773490144780506,24.691164653532695,0.24360085125721684,5.0,2.0,5.0,0.7,5.0,0.0
UGC06628,2.82,41.8,3.3695,51.5,LSB,22.544358307261657,17.339697738621915,46.047073832741184,1.1372637845447624,5.0,2.0,5.0,0.7,5.0,0.0
UGC06667,5.15,83.8,1.5075,307.47,HSB,36.03265429285821,219.81404112040505,55.54430098517966,1.3966311883009956,5.0,2.0,5.0,0.7,5.0,0.0
UGC06786,3.6,219.4,41.7335,539.26,HSB,40.70212042660174,361.5379705117098,14.401568591780267,0.3692545202287179,5.0,2.0,5.0,0.7,5.0,0.0
UGC06787,5.37,248.1,54.158,214.685,HSB,58.992672856485385,349.6037287521721,21.122488552712696,0.31745480759606953,5.0,2.0,5.0,0.7,5.0,0.0
UGC06818,1.39,71.2,1.873,143.155,HSB,11.057694072299256,9.197424744771464,23.101747922126275,1.330744323555043,5.0,2.0,5.0,0.7,5.0,0.0
UGC06917,2.76,108.7,5.439,130.555,HSB,10.82855322955458,10.4183823493067,10.231435793775713,0.9705534576493948,5.0,2.0,5.0,0.7,5.0,0.0
UGC06923,1.44,79.6,2.254,173.7,HSB,6.655127853727939,3.026886496909032,9.013446006627323,1.2718459743796666,5.0,2.0,5.0,0.7,5.0,0.0
UGC06930,3.94,107.2,7.703,94.58,LSB,11.388961243632405,4.817845884293274,10.098907996031654,0.8498829495166924,5.0,2.0,5.0,0.7,5.0,0.0
UGC06973,1.07,174.2,28.688,6365.025,HSB,107.09740159095848,1006.760869697423,53.84347641076308,0.4548429278681664,5.0,2.0,5.0,0.7,5.0,0.0
UGC06983,3.21,109.0,5.616,60.785,LSB,22.77000887213948,24.04373629254588,21.38324195322174,0.9593587840130043,5.0,2.0,5.0,0.7,5.0,0.0
UGC07089,2.26,77.6,3.0065,260.495,HSB,5.461220023221186,2.344399420472784,7.97913077014059,1.1761740855209948,5.0,2.0,5.0,0.7,5.0,0.0
UGC07125,3.38,65.2,5.984999999999999,51.5,LSB,3.0238970532464466,1.8892977678507714,5.341144989894586,0.9371465162720226,5.0,2.0,5.0,0.7,5.0,0.0
UGC07151,1.25,73.5,1.758,482.835,HSB,4.492589040214929,6.4374618676158395,5.631967618105185,1.350348876437181,5.0,2.0,5.0,0.7,5.0,0.0
UGC07232,0.29,0.0,0.1025,113.71,HSB,8.535954411453263,26.7630919061188,14.547329531613354,1.8765241936970332,5.0,2.0,5.0,0.7,5.0,0.0
UGC07261,1.2,74.7,2.2645,283.01,HSB,10.330407529654256,7.772823963560968,14.957930346884016,1.270338870068539,5.0,2.0,5.0,0.7,5.0,0.0
UGC07323,2.26,82.8,2.7765,141.84,HSB,5.140346265949083,2.9404349068517397,7.7842645129277885,1.2030257445148824,5.0,2.0,5.0,0.7,5.0,0.0
UGC07399,1.64,103.0,1.323,67.89,LSB,39.82529136066263,257.4853330013074,43.10255072081005,1.4344245054623146,5.0,2.0,5.0,0.7,5.0,0.0
UGC07524,3.46,79.5,2.997,53.43,LSB,13.480151963479557,17.923669705079856,21.498126392639726,1.1772471841209098,5.0,2.0,5.0,0.7,5.0,0.0
UGC07559,0.58,31.1,0.2235,27.53,LSB,4.088068596816317,3.7377314062862084,12.96990486360525,1.7960457914534937,5.0,2.0,5.0,0.7,5.0,0.0
UGC07577,0.9,15.9,0.0665,27.275,LSB,2.0408194048344073,0.7460417476208934,17.809576941843297,1.907292789097404,5.0,2.0,5.0,0.7,5.0,0.0
UGC07603,0.53,61.6,0.446,260.495,HSB,19.281264049896357,66.76772488867931,29.858482860142725,1.6889246052775457,5.0,2.0,5.0,0.7,5.0,0.0
UGC07608,1.5,66.0,0.667,23.325,LSB,24.389409765348013,26.581552400770086,45.385566711583586,1.607557817400416,5.0,2.0,5.0,0.7,5.0,0.0
UGC07690,0.57,57.4,0.819,197.605,HSB,4.619212427525347,2.6801439152859916,7.322281358442903,1.5602436242308162,5.0,2.0,5.0,0.7,5.0,0.0
UGC07866,0.61,30.6,0.18,48.73,LSB,5.2029512178268655,3.813181478620505,20.73673403273169,1.8221716361498468,5.0,2.0,5.0,0.7,5.0,0.0
UGC08286,1.05,82.4,1.2695,744.39,HSB,23.808182955701533,168.8667415843036,32.116903531540316,1.4460715488584055,5.0,2.0,5.0,0.7,5.0,0.0
UGC08490,0.67,78.6,1.2285,288.27,HSB,24.809961899979005,52.16117538556531,31.70829993351288,1.4552281148583224,5.0,2.0,5.0,0.7,5.0,0.0
UGC08550,0.45,56.9,0.4325,642.39,HSB,17.697455593969877,112.58810629246724,34.15767968177949,1.6945347839967373,5.0,2.0,5.0,0.7,5.0,0.0
UGC08699,3.09,182.4,28.889,685.175,HSB,32.705815069126466,36.288759153553826,13.551947424628551,0.4531277788249,5.0,2.0,5.0,0.7,5.0,0.0
UGC08837,1.72,46.6,0.5705,38.71,LSB,2.684105352848377,3.0765809417300396,15.170373709312749,1.6409226164981392,5.0,2.0,5.0,0.7,5.0,0.0
UGC09037,4.28,152.3,53.385000000000005,420.535,HSB,37.83094581401138,78.16732743382386,26.116583035621606,0.32015156503813186,5.0,2.0,5.0,0.7,5.0,0.0
UGC09133,6.97,226.8,174.891,432.315,HSB,62.06321100101852,697.2502327231117,22.155760554182194,0.1533638862095537,5.0,2.0,5.0,0.7,5.0,0.0
UGC09992,1.04,33.6,0.486,36.625,LSB,3.8652771874724046,2.3318382886530267,10.977574711009087,1.6728018209624793,5.0,2.0,5.0,0.7,5.0,0.0
UGC10310,1.8,71.4,2.0665,79.395,LSB,10.081498453833722,9.262451081391708,16.422052786131363,1.299757866906796,5.0,2.0,5.0,0.7,5.0,0.0
UGC11455,5.93,269.4,200.496,4784.1,HSB,49.79652983997891,64.77862699966501,24.985586251756814,0.14035715231909662,5.0,2.0,5.0,0.7,5.0,0.0
