name,Rd,Vf,Mbar,Sigma0,HSB_LSB,residual_rms,chi2_red,ape,A_mean,A_at_Rd,A0,Sigma_crit,delta,l0
IC2574,2.78,66.4,1.544,40.16,LSB,7.418191321121991,15.239800217130245,13.193945017660555,1.3577386619980998,1.3481355659143148,1.5,50,1.0,5.0
IC4202,4.78,242.6,102.2005,4444.265,HSB,38.15866080362011,74.46842283170629,24.499397917155875,0.3711060182147853,0.19881322513902971,1.5,50,1.0,5.0
KK98-251,1.34,33.7,0.1575,26.05,LSB,5.658583364487229,10.915761031653956,23.35453472194925,1.3474470069454667,1.3105332634836893,1.5,50,1.0,5.0
NGC0024,1.34,106.3,2.6205,591.29,HSB,25.698485153811866,28.15885164816832,27.8364516642805,0.6541968200580836,0.5217066017810693,1.5,50,1.0,5.0
NGC0055,6.11,85.6,3.879,195.795,HSB,2.5496026579126863,1.6155185617627423,3.571538902280945,1.1220776604497213,1.1015929184676536,1.5,50,1.0,5.0
NGC0100,1.66,88.1,3.606,596.76,HSB,12.065870594188725,4.944751635422238,13.832363071822126,1.056199916154441,0.8245316559414205,1.5,50,1.0,5.0
NGC0247,3.74,104.9,5.412,253.395,HSB,11.565499966889078,45.186997502877574,13.999128633049898,1.1343240283648732,1.0650172361992811,1.5,50,1.0,5.0
NGC0289,6.74,163.0,63.5015,34.98,LSB,29.20198379411139,11.562046823583534,14.420359334286035,0.899655716148177,0.2421262401186125,1.5,50,1.0,5.0
NGC0300,1.75,93.3,2.397,218.675,HSB,19.32167765804277,36.47972618660997,20.858147280692943,1.11781640637096,0.8727558934259515,1.5,50,1.0,5.0
NGC0801,8.72,220.1,179.486,779.47,HSB,57.51884899698831,286.69183691159526,28.090494124969357,0.47433338781812956,0.2458584045225265,1.5,50,1.0,5.0
NGC0891,2.55,216.1,73.632,2533.96,HSB,82.30592559985753,517.199602719601,34.10692326614913,0.2491696647859961,0.04028126474004617,1.5,50,1.0,5.0
NGC1003,1.61,109.8,9.29,672.665,HSB,27.01781532044461,135.45841687174965,21.729152707598004,1.1866360735770236,0.512854943113336,1.5,50,1.0,5.0
NGC1090,3.53,164.4,44.8055,1027.545,HSB,27.935288103955703,79.00546327551186,23.48704927900719,0.6709468330842956,0.29064064506382503,1.5,50,1.0,5.0
NGC1705,0.39,71.9,0.4055,293.63,HSB,31.630804473354335,66.97386892255517,43.8394850827941,1.0541336014793434,0.31099535236410863,1.5,50,1.0,5.0
NGC2366,0.65,50.2,0.765,56.99,LSB,9.324620410581852,28.650969603664723,18.398105208043035,1.2380970739168784,1.1362920795985174,1.5,50,1.0,5.0
NGC2403,1.39,131.2,8.2195,704.37,HSB,18.56999989969752,89.86447802300275,11.44854803617643,0.6816585402601135,0.30206040225725433,1.5,50,1.0,5.0
NGC2683,2.18,154.0,41.6135,5102.7,HSB,26.090700476144782,24.1105149676197,11.757453437027294,0.7150278841242512,0.10933961597173449,1.5,50,1.0,5.0
NGC2841,3.64,284.8,103.8355,2375.745,HSB,42.63468165232471,97.53876079327335,11.546380758626215,0.5472442322491944,0.08789148245356483,1.5,50,1.0,5.0
NGC2903,2.33,184.6,43.4835,596.76,HSB,59.44968400430431,403.0542679196198,35.9167541149116,0.42126844725877666,0.06855219327471909,1.5,50,1.0,5.0
NGC2915,0.55,83.5,0.8285,156.965,HSB,39.19390623951405,36.41599417778736,54.826503213070374,1.1923527246861252,0.4049811392089272,1.5,50,1.0,5.0
NGC2955,18.76,257.0,188.66000000000005,25.34,LSB,62.454283346490854,105.532909050267,23.096411330221866,0.25023228134793113,0.39250745103131546,1.5,50,1.0,5.0
NGC2976,1.01,85.4,1.8575,751.275,HSB,3.998431845778309,1.5551549519150598,12.463012001958605,0.5099317412999531,0.4878614196036809,1.5,50,1.0,5.0
NGC2998,6.2,209.9,98.902,387.08,HSB,27.354213271038933,54.24055481182796,14.525362550435922,0.5247775943411965,0.2579466506109514,1.5,50,1.0,5.0
NGC3109,1.56,66.2,0.574,70.435,LSB,23.76685660087834,95.37550224358779,47.243063331750584,1.381099752388037,1.346608690693231,1.5,50,1.0,5.0
NGC3198,3.14,150.1,30.0085,801.31,HSB,18.273091471626955,71.81106744933318,17.806398627347367,0.7298097585636717,0.49516322167911336,1.5,50,1.0,5.0
NGC3521,2.4,213.7,46.572,1056.33,HSB,57.31306158429306,35.004873413408845,26.474596118729043,0.1492564799220196,0.06106061439712407,1.5,50,1.0,5.0
NGC3726,3.4,168.0,41.59,894.955,HSB,43.40653777662399,115.45071635838663,26.626858011889613,0.6697315644297516,0.29759434031388055,1.5,50,1.0,5.0
NGC3741,0.2,50.1,0.196,71.745,LSB,21.371420900010342,103.52802298992593,50.42866801235628,1.3816750351663192,1.0328408824100785,1.5,50,1.0,5.0
NGC3769,3.38,118.6,14.8685,80.13,LSB,24.084539284888805,15.52051340562056,18.674214763925455,0.8942628173813602,0.2984598560127564,1.5,50,1.0,5.0
NGC3877,2.53,168.4,37.7505,1705.295,HSB,46.31313907800927,96.98193850691352,35.8651975151614,0.3135141682401948,0.2873261138131,1.5,50,1.0,5.0
NGC3893,2.38,174.0,35.0615,1027.545,HSB,28.568697598012562,31.240266394762134,13.390352774113337,0.4826642053854984,0.08099622090145328,1.5,50,1.0,5.0
NGC3917,2.63,135.9,12.871,613.48,HSB,7.219809696926914,4.336804524318404,7.51327581779173,0.7796965190683482,0.7364197992386167,1.5,50,1.0,5.0
NGC3949,3.59,163.0,22.4045,92.855,LSB,39.7534030353499,89.3882559790206,25.3421065521565,0.23173403795969238,0.15695471051005463,1.5,50,1.0,5.0
NGC3953,4.89,220.8,73.48249999999999,999.54,HSB,45.44896123593624,102.70793879527686,20.512360537659315,0.2818786815683949,0.19305779556731228,1.5,50,1.0,5.0
NGC3972,2.18,132.7,8.3905,793.965,HSB,6.788750518612081,3.072205412107055,7.611894033056052,0.6389009462947095,0.581934451437498,1.5,50,1.0,5.0
NGC3992,4.96,241.0,130.065,1628.545,HSB,14.788660636329306,10.37299005822262,4.889634886892005,0.6771397722399363,0.31048720119951556,1.5,50,1.0,5.0
NGC4010,2.81,125.8,11.4285,1305.57,HSB,13.641131634871845,8.548655274082527,14.225035647691838,0.6806827002897463,0.4983836029594935,1.5,50,1.0,5.0
NGC4013,3.53,172.9,42.514,5102.7,HSB,31.74157138512624,57.67109758871341,14.736799633106171,0.7465818590702643,0.206011004794185,1.5,50,1.0,5.0
NGC4051,4.65,157.0,50.331,660.39,HSB,51.106478095191534,120.19667626196014,34.02157696778551,0.34467550769747374,0.35404434028724385,1.5,50,1.0,5.0
NGC4068,0.59,36.0,0.272,130.555,HSB,4.093225624639039,5.300486155230762,20.145625881265254,1.1499863553284257,1.1184808467491358,1.5,50,1.0,5.0
NGC4085,1.65,131.5,12.211,2510.73,HSB,40.4830118070115,117.01715009756663,46.54889548394859,0.27766921563332225,0.18360111626636372,1.5,50,1.0,5.0
NGC4088,2.58,171.7,61.869,1994.345,HSB,75.27696970234207,183.0922838057548,45.476648188651254,0.39545440992041203,0.16671710967960757,1.5,50,1.0,5.0
NGC4100,2.15,158.2,32.799,4485.39,HSB,15.685005317844954,10.814854464224954,7.177701722498364,0.6142703976514278,0.2715443261798448,1.5,50,1.0,5.0
NGC4138,1.51,147.3,23.5385,1976.06,HSB,24.294269349008456,8.869543953403488,10.812999598200722,0.5962232536106689,0.09345030164082076,1.5,50,1.0,5.0
NGC4157,2.32,184.7,61.036,11906.935,HSB,50.6941178254341,64.0643931082083,25.761008957496628,0.5563743953075778,0.14535974354142317,1.5,50,1.0,5.0
NGC4183,2.79,110.6,8.924999999999999,549.29,HSB,9.5964383644548,2.7709724578690156,8.306310292298235,1.0238081340612335,0.7675664821205092,1.5,50,1.0,5.0
NGC4214,0.51,80.1,1.0565,654.335,HSB,25.578983241222367,21.24452803584485,31.054881375845305,0.8844805364717087,0.33855482775987245,1.5,50,1.0,5.0
NGC4217,2.94,181.3,45.2115,2186.755,HSB,73.15462785853452,142.95312582478874,48.06645398899009,0.341916970385399,0.07154919900008566,1.5,50,1.0,5.0
NGC4389,2.79,95.9,11.203,161.36,HSB,64.72047590122702,299.6552502102351,107.90830311737281,0.2770213445442604,0.25876221041871117,1.5,50,1.0,5.0
NGC4559,2.1,121.2,15.4995,801.31,HSB,18.268075541753458,15.614560369552233,15.17182813498007,0.817171574135567,0.3789172707726402,1.5,50,1.0,5.0
NGC5005,9.45,262.2,90.64,48.285,LSB,65.85258200014476,21.193913742340218,25.84021439815133,0.10661501485208039,0.19954439491957862,1.5,50,1.0,5.0
NGC5033,5.16,194.2,66.5685,307.47,HSB,36.71831589770542,31.571780534493467,11.689459397290157,0.6846206120288907,0.13943325261682343,1.5,50,1.0,5.0
NGC5055,3.2,179.0,88.18299999999999,1674.17,HSB,63.93486714867924,2667.530662632337,29.31665579966949,0.5706739397001491,0.07031790294765966,1.5,50,1.0,5.0
NGC5371,7.44,209.5,181.3765,697.91,HSB,76.61008456506731,736.0887649028358,32.03605359433034,0.4402113088246129,0.20923266191034315,1.5,50,1.0,5.0
NGC5585,1.53,90.3,3.1545,148.525,HSB,11.217133113614453,50.64372515001646,15.306954291794685,0.8647295176186681,0.6550817441204012,1.5,50,1.0,5.0
NGC5907,5.34,215.0,108.7375,4323.145,HSB,24.14574447294009,119.3196807876793,9.33555143926205,0.736444396584725,0.26285733877639395,1.5,50,1.0,5.0
NGC5985,7.01,293.6,115.95,730.805,HSB,42.34910072962735,59.96704329561751,13.472214894861064,0.47392851141459436,0.34179012656736035,1.5,50,1.0,5.0
NGC6015,2.3,154.1,21.8985,963.385,HSB,17.200420935079052,25.876217533833927,10.362448389215134,0.7298590848659557,0.32953577795227945,1.5,50,1.0,5.0
NGC6195,13.94,251.7,216.445,87.055,LSB,72.00044269218435,162.66613427285273,29.150375096254255,0.27948814935018207,0.27910151983625797,1.5,50,1.0,5.0
NGC6503,2.16,116.3,8.166500000000001,199.435,HSB,18.42550956261077,109.99762605033763,13.607665440550647,0.9687107703082545,0.19646025061834704,1.5,50,1.0,5.0
NGC6674,6.04,241.3,139.492,685.175,HSB,25.919318314506057,115.46191425238136,7.645134640739748,0.8330210521935346,0.22450932963010373,1.5,50,1.0,5.0
NGC6789,0.31,0.0,0.067,159.88,HSB,22.169277975369244,56.765981795052326,46.776918838743406,0.8926406832865788,0.7970388330967512,1.5,50,1.0,5.0
NGC6946,2.44,158.9,38.7565,1116.35,HSB,40.221027161489644,285.4766210299083,23.946358918563185,0.4661451228315094,0.14108588123665117,1.5,50,1.0,5.0
NGC7331,5.02,239.0,136.3825,903.235,HSB,83.9369615365074,364.4994849851922,30.33502944096376,0.40895286697718586,0.06401720223125705,1.5,50,1.0,5.0
NGC7793,1.21,109.0,4.386,534.32,HSB,6.844490553241537,1.390880377641942,14.177824973392127,0.43516851696356734,0.35774457097696666,1.5,50,1.0,5.0
NGC7814,2.54,218.9,38.3345,1317.65,HSB,31.522405852905955,23.542515146001925,10.14572806656439,0.43870991576060075,0.07075389024720721,1.5,50,1.0,5.0
PGC51017,0.53,18.6,0.2785,46.97,LSB,6.8907649810045415,32.25293393723097,35.05651167181566,1.2423771656118345,1.1376045673978594,1.5,50,1.0,5.0
UGC00128,5.95,129.3,13.441,44.445,LSB,36.90409182613596,825.3891005255883,28.66879635990659,1.3183441820005637,1.1464216180192925,1.5,50,1.0,5.0
UGC00191,1.58,81.0,2.345,103.705,HSB,14.941927952372444,136.5148578070328,23.986240423858224,1.0188242251728679,0.9383385660237195,1.5,50,1.0,5.0
UGC00634,2.45,0.0,5.1575,63.065,LSB,26.750464006175616,1376.805322599744,24.397555801251197,1.2514533058916013,1.092020249045847,1.5,50,1.0,5.0
UGC00731,2.3,73.3,1.9685,41.285,LSB,25.951333946797845,138.7776870608648,44.4396196607377,1.3801741236530825,1.4184855075739458,1.5,50,1.0,5.0
UGC00891,1.43,60.15,0.615,56.99,LSB,16.368527817668305,1276.997272671906,26.389967534498382,1.3142441042902993,1.2302028441354027,1.5,50,1.0,5.0
UGC01230,4.34,103.7,10.24,34.66,LSB,21.793644982274365,6.146163148912977,20.671904587328115,1.1935050498655015,1.0498636194053372,1.5,50,1.0,5.0
UGC01281,1.63,55.2,0.4705,67.89,LSB,14.16269124047283,11.765911909133882,44.08041261907537,1.2980631125585638,1.2758808796604781,1.5,50,1.0,5.0
UGC02023,1.55,47.9,1.131,60.785,LSB,4.811430815702521,1.532776884286386,13.131875536329376,1.0766860958453357,0.9989519230033301,1.5,50,1.0,5.0
UGC02259,1.62,86.2,1.3565,86.26,LSB,27.265469475574136,392.63345964849714,35.055344927977764,1.1307915005174758,1.0034438809528063,1.5,50,1.0,5.0
UGC02455,0.99,53.1,2.6275,397.925,HSB,39.922242171461136,240.57864690206344,120.0307953183283,0.530074753866894,0.3645607537694594,1.5,50,1.0,5.0
UGC02487,7.89,332.0,262.9405,575.175,HSB,43.415452326197986,234.30397422506434,11.12921963210767,0.6722473299411752,0.16452963784943245,1.5,50,1.0,5.0
UGC02885,11.4,289.5,241.8375,235.395,HSB,25.346339279435412,8.13753425499784,8.179016722511308,0.682220552933748,0.2953776979501355,1.5,50,1.0,5.0
UGC02916,6.15,182.7,85.3495,260.495,HSB,45.82421808802535,376.5567324298377,19.592846696084255,0.3202600036650368,0.19185620724106747,1.5,50,1.0,5.0
UGC02953,3.55,264.9,137.43699999999998,2107.655,HSB,46.37978828918571,136.12437026508957,15.261400810929334,0.3261814504146027,0.0622542121392129,1.5,50,1.0,5.0
UGC03205,3.19,219.6,66.49799999999999,1957.945,HSB,20.832452722790983,17.080741944409592,8.653927983685762,0.3932666751597463,0.15877582270776197,1.5,50,1.0,5.0
UGC03546,3.79,196.9,53.343,461.105,HSB,72.86371773623463,196.02369866973794,28.16647206238883,0.3133482051880483,0.10743594654623544,1.5,50,1.0,5.0
UGC03580,2.43,126.2,11.003,151.285,HSB,34.028944045615575,160.35362737281628,36.97597242460643,0.5326828486266907,0.2813683448163816,1.5,50,1.0,5.0
UGC04278,2.21,91.4,1.7695,188.71,HSB,17.42080665212455,15.985128369379083,24.332434244386558,1.1736399438894924,1.094142288951395,1.5,50,1.0,5.0
UGC04305,1.16,34.5,1.0579999999999998,44.035,LSB,12.451077367960757,18.9861218079285,35.82642518184308,1.1391483194776424,0.9676008796085706,1.5,50,1.0,5.0
UGC04325,1.86,90.9,1.6909999999999998,106.61,HSB,26.830404681703758,154.36246263280296,33.950081272562706,0.967008818968208,0.9017364843350116,1.5,50,1.0,5.0
UGC04483,0.18,24.2,0.0385,41.285,LSB,6.7336140929454,38.69155627124249,30.188730073603313,1.25529044409231,1.1479271224232312,1.5,50,1.0,5.0
UGC04499,1.73,72.8,1.876,63.65,LSB,8.517958872323785,16.40994234838181,14.16131773296461,1.1083715308630597,0.9839420341779468,1.5,50,1.0,5.0
UGC05005,3.2,98.9,5.143,32.795,LSB,15.545183607040176,3.7933161774423536,13.677661639467347,1.2683675556354628,1.129934705043628,1.5,50,1.0,5.0
UGC05253,8.07,213.7,102.187,94.58,LSB,39.3429350169691,157.0109109385688,14.625644586893413,0.25660120664675395,0.2136961924086873,1.5,50,1.0,5.0
UGC05414,1.47,56.8,1.1355,63.65,LSB,5.99531366385435,18.024798890580982,10.621563281904418,1.0646261466620657,0.9830380480403363,1.5,50,1.0,5.0
UGC05716,1.14,73.1,1.388,45.27,LSB,22.32954873437415,596.3469225659609,34.72528481463419,1.3166754334313315,1.1138494565236445,1.5,50,1.0,5.0
UGC05721,0.38,79.7,0.8275000000000001,456.88,HSB,30.564223927705818,51.055465023382396,36.66804918641938,0.9255493011114071,0.4025637186954288,1.5,50,1.0,5.0
UGC05750,3.46,77.6,2.767,62.49,LSB,6.2781050939068255,1.6878147461379474,13.887684022643265,1.3230558259217067,1.3008383190245454,1.5,50,1.0,5.0
UGC05764,1.17,50.0,0.2055,16.895,LSB,25.06520000813921,823.2472413234051,55.306973293431284,1.3214218527605321,1.3056450848429586,1.5,50,1.0,5.0
UGC05829,1.99,65.6,1.305,31.61,LSB,12.354067632999696,9.367281263393977,30.083538136922446,1.3174755829293234,1.3439513885436836,1.5,50,1.0,5.0
UGC05918,1.66,42.6,0.4135,12.47,LSB,14.573881133798059,27.50396717389883,42.72345179181804,1.3700617662637384,1.3767455960350938,1.5,50,1.0,5.0
UGC05986,1.67,113.0,5.0145,862.58,HSB,21.708845313287632,74.35991288970466,19.633841785298443,0.8816941336134464,0.7016385115377447,1.5,50,1.0,5.0
UGC05999,3.22,97.7,3.714,25.81,LSB,15.473601327489432,47.88646760841653,16.360688857160405,1.2438618876042615,1.1057727577953336,1.5,50,1.0,5.0
UGC06399,2.05,85.0,1.822,155.525,HSB,15.500244802421523,20.603021978963817,21.32161877369262,1.1144700526533262,1.0229278213739337,1.5,50,1.0,5.0
UGC06446,1.49,82.2,1.873,43.23,LSB,25.067086670501933,44.09960693650854,34.32469666519487,1.2056402048655066,1.0565289127327413,1.5,50,1.0,5.0
UGC06614,5.1,199.8,84.063,270.27,HSB,44.32766778258907,28.32590013559098,21.994812187329746,0.7255628440533118,0.0968976498710693,1.5,50,1.0,5.0
UGC06628,2.82,41.8,3.3695,51.5,LSB,22.39172383492217,17.105698954598854,45.31155973630385,1.073097714699284,1.059580876643776,1.5,50,1.0,5.0
UGC06667,5.15,83.8,1.5075,307.47,HSB,36.32532004729278,223.4142183460584,55.88151693875829,1.3668677343638929,1.330328389165072,1.5,50,1.0,5.0
UGC06786,3.6,219.4,41.7335,539.26,HSB,26.259999961773726,131.33327291723532,9.183025682500496,0.40416641859339836,0.17612077385627378,1.5,50,1.0,5.0
UGC06787,5.37,248.1,54.158,214.685,HSB,44.66246267683793,140.36133233944696,15.39166720867054,0.36034900093038547,0.17231731697913688,1.5,50,1.0,5.0
UGC06818,1.39,71.2,1.873,143.155,HSB,11.097657393439407,8.933733944569102,22.226487455834963,1.0959401385374774,0.9119992716429683,1.5,50,1.0,5.0
UGC06917,2.76,108.7,5.439,130.555,HSB,10.265784234823188,9.740382391540242,9.848079043788847,0.9356022167105141,0.7537325356866422,1.5,50,1.0,5.0
UGC06923,1.44,79.6,2.254,173.7,HSB,6.716299047164437,4.113914404768647,10.876489659872842,0.7827111437272753,0.6624036545043753,1.5,50,1.0,5.0
UGC06930,3.94,107.2,7.703,94.58,LSB,7.233884043777456,1.9032988009037846,5.55546819968251,1.033541015084975,0.8494817491725973,1.5,50,1.0,5.0
UGC06973,1.07,174.2,28.688,6365.025,HSB,93.98727983906424,775.5912178985561,45.77950209660824,0.19679606640272523,0.027126898072410387,1.5,50,1.0,5.0
UGC06983,3.21,109.0,5.616,60.785,LSB,19.570527661744837,18.91585466994864,18.597325612035622,1.0752560322322713,0.8382638278121523,1.5,50,1.0,5.0
UGC07089,2.26,77.6,3.0065,260.495,HSB,4.489637934105246,1.57432139637416,6.544192540739373,1.098398786012065,0.9678124348293096,1.5,50,1.0,5.0
UGC07125,3.38,65.2,5.984999999999999,51.5,LSB,6.16039433377435,9.031060788406911,10.339817929379683,1.2628733614801855,1.0539926844384442,1.5,50,1.0,5.0
UGC07151,1.25,73.5,1.758,482.835,HSB,6.8181057026988245,14.172134180703008,9.274928247650962,0.892463285096855,0.6961496883694293,1.5,50,1.0,5.0
UGC07232,0.29,0.0,0.1025,113.71,HSB,8.83931117694579,28.69914493402343,15.134040182298868,0.7862785409266344,0.7921241040262292,1.5,50,1.0,5.0
UGC07261,1.2,74.7,2.2645,283.01,HSB,11.583375657679724,9.772691853110189,17.434721345128672,1.0086186105507797,0.9310445995459686,1.5,50,1.0,5.0
UGC07323,2.26,82.8,2.7765,141.84,HSB,2.212854753189097,0.5449198608870527,3.9078461110025082,0.886024149786827,0.8538890983415847,1.5,50,1.0,5.0
UGC07399,1.64,103.0,1.323,67.89,LSB,41.7354964602252,283.53933684547974,45.081844384781284,1.040043554856143,0.9152607186253955,1.5,50,1.0,5.0
UGC07524,3.46,79.5,2.997,53.43,LSB,12.897462355014907,16.39714990576644,20.63014055565051,1.225223704093541,1.214049689201607,1.5,50,1.0,5.0
UGC07559,0.58,31.1,0.2235,27.53,LSB,4.789386906216953,5.1301679802067435,14.78862443010148,1.2553840455943106,1.1866050598559514,1.5,50,1.0,5.0
UGC07577,0.9,15.9,0.0665,27.275,LSB,1.898188201684392,0.6454052889594769,16.810079966335348,1.3532200474280491,1.3226582639374942,1.5,50,1.0,5.0
UGC07603,0.53,61.6,0.446,260.495,HSB,20.941999432556898,78.76474304065086,32.429986159260885,1.0738504405911595,0.7916720397683726,1.5,50,1.0,5.0
UGC07608,1.5,66.0,0.667,23.325,LSB,25.341370379540827,28.69709615954335,46.81742590153118,1.3260848611692921,1.3285733024921074,1.5,50,1.0,5.0
UGC07690,0.57,57.4,0.819,197.605,HSB,7.220708692791792,6.5491041029981645,11.555444185247083,0.8529623332161121,0.4110436952801219,1.5,50,1.0,5.0
UGC07866,0.61,30.6,0.18,48.73,LSB,5.82901462920305,4.786061306985293,22.667786075446138,1.2543270281106629,1.2404399366811003,1.5,50,1.0,5.0
UGC08286,1.05,82.4,1.2695,744.39,HSB,25.647713806333655,197.28774981917982,34.47145419833982,1.1463027242290615,1.024478272126316,1.5,50,1.0,5.0
UGC08490,0.67,78.6,1.2285,288.27,HSB,26.4058732159745,59.087585253835755,33.88523735176221,1.1264416752209587,0.5445176882850822,1.5,50,1.0,5.0
UGC08550,0.45,56.9,0.4325,642.39,HSB,19.16169015101562,132.33832088593178,36.79579499298691,1.2160234839123076,1.030056919811456,1.5,50,1.0,5.0
UGC08699,3.09,182.4,28.889,685.175,HSB,26.7095220250618,17.120467992880574,10.194114690779275,0.39913846655412816,0.13955028333072855,1.5,50,1.0,5.0
UGC08837,1.72,46.6,0.5705,38.71,LSB,3.134702880359039,3.199166919656974,15.595957118301643,1.222384238147169,1.2465285256312144,1.5,50,1.0,5.0
UGC09037,4.28,152.3,53.385000000000005,420.535,HSB,47.8550510399372,111.0380609706587,36.98724647939174,0.6950354187392124,0.33319055518533575,1.5,50,1.0,5.0
UGC09133,6.97,226.8,174.891,432.315,HSB,44.39356374471275,155.82472136526204,14.613325888918173,0.5365466680801552,0.12196365560871938,1.5,50,1.0,5.0
UGC09992,1.04,33.6,0.486,36.625,LSB,3.6213787999364095,2.0468454489113475,10.210411830606239,1.1933045673449612,1.0488497627377058,1.5,50,1.0,5.0
UGC10310,1.8,71.4,2.0665,79.395,LSB,11.138205250904944,11.305927206577794,18.191210498584688,1.1417484161969973,1.043707182403864,1.5,50,1.0,5.0
UGC11455,5.93,269.4,200.496,4784.1,HSB,60.209858652007924,90.52102237325083,29.37325936230779,0.32425287564137495,0.2038412339293279,1.5,50,1.0,5.0
UGC11557,2.75,81.6,8.6555,168.965,HSB,34.61478709840984,31.515199350112013,100.70653946109466,0.6961905283038798,0.5845686549365139,1.5,50,1.0,5.0
UGC11820,2.08,81.25,2.462,17.055,LSB,15.339727865704276,231.72078296141805,30.242314986903096,1.2274965866376453,1.037595453938689,1.5,50,1.0,5.0
