galaxy,split,tier,component,realization,status,profile,baseScaleHeightKpc,flaringPerR80,r80Kpc,projection_relative_error
NGC6946,validation,haar_256,stars,2,assumed_prior_not_measured,exponential,1.9466983823837862,0.5186502025657398,22.780674992743304,1.8612838286958718e-16
NGC6946,validation,haar_384,gas,0,assumed_prior_not_measured,sech_squared,2.6481626141196752,0.020415146889292468,16.2892618962616,2.689457724964264e-16
NGC6946,validation,haar_384,gas,1,assumed_prior_not_measured,sech_squared,3.8810793867271403,0.06721481678113572,16.2892618962616,1.7929718166428427e-16
NGC6946,validation,haar_384,gas,2,assumed_prior_not_measured,exponential,1.5723549170654267,0.5642770315310287,16.2892618962616,3.5859436332856854e-16
NGC6946,validation,haar_384,stars,0,assumed_prior_not_measured,sech_squared,2.7943807840902952,0.7317104387652861,22.524427365085227,1.8284360272753645e-16
NGC6946,validation,haar_384,stars,1,assumed_prior_not_measured,sech_squared,2.3277399954947637,0.3686087303624487,22.524427365085227,2.4379147030338195e-16
NGC6946,validation,haar_384,stars,2,assumed_prior_not_measured,sech_squared,1.4543403679651776,0.7148740883706965,22.524427365085227,1.2189573515169097e-16
NGC6946,validation,haar_512,gas,0,assumed_prior_not_measured,sech_squared,2.7435582975813833,0.7857906287541429,16.308096388374093,2.6928727335049237e-16
NGC6946,validation,haar_512,gas,1,assumed_prior_not_measured,sech_squared,1.3325210392586297,0.9922566991313092,16.308096388374093,3.590496978006565e-16
NGC6946,validation,haar_512,gas,2,assumed_prior_not_measured,exponential,1.5425920378965723,0.2197630302765058,16.308096388374093,3.590496978006565e-16
NGC6946,validation,haar_512,stars,0,assumed_prior_not_measured,exponential,1.807206413258627,0.7248698814556926,22.2188069619523,1.205394799884986e-16
NGC6946,validation,haar_512,stars,1,assumed_prior_not_measured,exponential,1.5759837770650649,0.7181728840652274,22.2188069619523,1.205394799884986e-16
NGC6946,validation,haar_512,stars,2,assumed_prior_not_measured,sech_squared,2.9566141687337772,0.9781325084542227,22.2188069619523,1.205394799884986e-16
NGC6946,validation,haar_768,gas,0,assumed_prior_not_measured,exponential,1.2834432647566532,0.5228389316131066,16.2892618962616,2.5998351157319103e-16
NGC6946,validation,haar_768,gas,1,assumed_prior_not_measured,exponential,3.0806835411862092,0.5460994880780207,16.2892618962616,3.4664468209758804e-16
NGC6946,validation,haar_768,gas,2,assumed_prior_not_measured,exponential,1.8257745519059883,0.5068081225168647,16.2892618962616,3.4664468209758804e-16
NGC6946,validation,haar_768,stars,0,assumed_prior_not_measured,sech_squared,1.3623057399778877,0.018476981339496157,22.243912966528622,1.1985669052767048e-16
NGC6946,validation,haar_768,stars,1,assumed_prior_not_measured,sech_squared,2.3412673485627984,0.7576133101877531,22.243912966528622,1.1985669052767048e-16
NGC6946,validation,haar_768,stars,2,assumed_prior_not_measured,exponential,1.334076350042972,0.6097697103068058,22.243912966528622,5.992834526383524e-17
