galaxy,split,law,radius_kpc,observed_velocity_km_s,predicted_velocity_km_s,gbar_m_s2,gobs_m_s2,predicted_acceleration_m_s2,log_residual_dex
NGC6195,train,li2018_rar_mond,8.32,247.0,272.3023761601207,2.1248686701160215e-10,2.3764026883378756e-10,2.888211485230835e-10,-0.08470895565913604
NGC6195,train,li2018_rar_mond,9.34,248.0,272.9583423469948,1.8343802651025642e-10,2.134056631884221e-10,2.585206996867731e-10,-0.08328938247087915
NGC6195,train,li2018_rar_mond,10.38,242.0,275.1644127570535,1.6258225920268452e-10,1.8284489239597282e-10,2.3639409958518434e-10,-0.11155379909471164
NGC6195,train,li2018_rar_mond,11.36,252.0,276.6722673898265,1.458674263788899e-10,1.8116412675781249e-10,2.183747304320322e-10,-0.08113017691992855
NGC6195,train,li2018_rar_mond,12.34,245.0,277.6693378613763,1.313624550171047e-10,1.576400136538882e-10,2.0248373555108375e-10,-0.1087236805602568
NGC6195,train,li2018_rar_mond,13.32,247.0,280.09724713911527,1.2093129660697987e-10,1.4843596371599943e-10,1.9088109203346326e-10,-0.10922377447541842
NGC6195,train,li2018_rar_mond,14.3,238.0,283.72520697866105,1.1343282803589427e-10,1.2837112032957106e-10,1.8243546178891415e-10,-0.15264192889518113
NGC6195,train,li2018_rar_mond,15.47,249.0,288.749172352071,1.0660863553525229e-10,1.2988465205225604e-10,1.746628881659789e-10,-0.12864280195737096
NGC6195,train,li2018_rar_mond,16.35,250.0,291.17341586303843,1.0086377920034405e-10,1.2388300036102312e-10,1.68048693545173e-10,-0.13242342537324286
NGC6195,train,li2018_rar_mond,17.92,253.0,294.7404288252541,9.14954898765507e-11,1.1575839371542653e-10,1.5710531273160374e-10,-0.13263837974840156
NGC6195,train,li2018_rar_mond,19.1,258.0,297.5288925599508,8.568059772899882e-11,1.1294200660867786e-10,1.5020153778304614e-10,-0.1238188795981898
NGC6195,train,li2018_rar_mond,22.52,254.0,299.5743470304192,6.8469876974346e-11,9.284285818729691e-11,1.2914878100304604e-10,-0.14334180951373307
NGC6195,train,li2018_rar_mond,26.05,256.0,294.5490892220137,5.2080470802898366e-11,8.153079136776427e-11,1.0793370756911839e-10,-0.12183543775244039
NGC6195,train,li2018_rar_mond,29.48,255.0,288.3253852866402,4.013346523889581e-11,7.148292852649926e-11,9.138769796348136e-11,-0.1066854012207971
NGC6195,train,li2018_rar_mond,33.0,244.0,283.69822132577445,3.1805448908642316e-11,5.846758659889688e-11,7.904032927285147e-11,-0.1309335732263868
NGC6195,train,li2018_rar_mond,36.43,246.0,283.1153313913684,2.6888624157457352e-11,5.3834476936594896e-11,7.130451984843545e-11,-0.12205656202528618
NGC6195,train,simple_mond,1.33,175.0,212.38173679944038,9.908993158752132e-10,7.462320732273209e-10,1.0990871993939983e-09,-0.16815823866808327
NGC6195,train,simple_mond,2.34,237.0,240.6433655120166,6.976309556488323e-10,7.77911674823934e-10,8.020129538188612e-10,-0.013251093517955174
NGC6195,train,simple_mond,3.33,247.0,251.62093768634898,5.15728247253088e-10,5.937438548639977e-10,6.161674810264658e-10,-0.016099646385714667
NGC6195,train,simple_mond,4.34,242.0,259.8240698351358,4.0717522659186314e-10,4.373110560069581e-10,5.041020779703584e-10,-0.061728030430544874
NGC6195,train,simple_mond,5.35,240.0,264.7400829453522,3.309996460472963e-10,3.489138076112064e-10,4.2455608900950383e-10,-0.08521691775980261
NGC6195,train,simple_mond,6.34,233.0,270.6993717296108,2.8368758309369515e-10,2.775057836666327e-10,3.7457146753668117e-10,-0.13026265356965588
NGC6195,train,simple_mond,7.34,233.0,274.910672549825,2.4542502039786275e-10,2.396984561916147e-10,3.3368493163610966e-10,-0.14367135854814284
NGC6195,train,simple_mond,8.32,247.0,276.61423941695705,2.1248686701160215e-10,2.3764026883378756e-10,2.9804043870789966e-10,-0.09835515898991411
NGC6195,train,simple_mond,9.34,248.0,276.9549123887008,1.8343802651025642e-10,2.134056631884221e-10,2.661464783336678e-10,-0.09591478373568553
NGC6195,train,simple_mond,10.38,242.0,278.9263992094648,1.6258225920268452e-10,1.8284489239597282e-10,2.4290214053866785e-10,-0.12334850875066777
NGC6195,train,simple_mond,11.36,252.0,280.2180654920947,1.458674263788899e-10,1.8116412675781249e-10,2.2400792569795682e-10,-0.09219117955568779
NGC6195,train,simple_mond,12.34,245.0,281.00400157725716,1.313624550171047e-10,1.576400136538882e-10,2.0737638709095577e-10,-0.11909284012413977
NGC6195,train,simple_mond,13.32,247.0,283.287329560375,1.2093129660697987e-10,1.4843596371599943e-10,1.9525381624711515e-10,-0.11906039448011133
NGC6195,train,simple_mond,14.3,238.0,286.82367976861764,1.1343282803589427e-10,1.2837112032957106e-10,1.86441858643751e-10,-0.16207609234932077
NGC6195,train,simple_mond,15.47,249.0,291.77432521586616,1.0660863553525229e-10,1.2988465205225604e-10,1.783418583580518e-10,-0.1376954524953503
NGC6195,train,simple_mond,16.35,250.0,294.1111629333174,1.0086377920034405e-10,1.2388300036102312e-10,1.714568002288737e-10,-0.1411429994248271
NGC6195,train,simple_mond,17.92,253.0,297.5195338852755,9.14954898765507e-11,1.1575839371542653e-10,1.6008196970113268e-10,-0.14078992755958497
NGC6195,train,simple_mond,19.1,258.0,300.20669609684114,8.568059772899882e-11,1.1294200660867786e-10,1.529173761071274e-10,-0.13160133794184609
NGC6195,train,simple_mond,22.52,254.0,301.86201982649885,6.8469876974346e-11,9.284285818729691e-11,1.3112877859139241e-10,-0.14994951412198115
NGC6195,train,simple_mond,26.05,256.0,296.3713736828242,5.2080470802898366e-11,8.153079136776427e-11,1.092733439347167e-10,-0.12719257560236072
NGC6195,train,simple_mond,29.48,255.0,289.7723037686452,4.013346523889581e-11,7.148292852649926e-11,9.230723086446219e-11,-0.11103338625224421
NGC6195,train,simple_mond,33.0,244.0,284.8720443409623,3.1805448908642316e-11,5.846758659889688e-11,7.969575318087672e-11,-0.1345200117954508
NGC6195,train,simple_mond,36.43,246.0,284.13114638332644,2.6888624157457352e-11,5.3834476936594896e-11,7.18171176149125e-11,-0.12516747295742395
NGC6195,train,standard_mond,1.33,175.0,202.38309757480695,9.908993158752132e-10,7.462320732273209e-10,9.98036193749388e-10,-0.1262723800645427
NGC6195,train,standard_mond,2.34,237.0,226.03445514408068,6.976309556488323e-10,7.77911674823934e-10,7.075919565846879e-10,0.04114740188107749
NGC6195,train,standard_mond,3.33,247.0,233.10900433525217,5.15728247253088e-10,5.937438548639977e-10,5.28838810936175e-10,0.05027580771853933
