galaxy,split,law,points,velocity_RMSE_km_s,log_acceleration_RMSE_dex,mean_log_residual_dex
NGC0024,train,simple_mond,20,22.22831018359858,0.23759387735381443,0.23186238650863325
NGC0024,train,standard_mond,20,28.501993954084515,0.3175580854136496,0.3105461611679224
NGC0055,development,baryons,20,30.82848190447653,0.4274406557981343,0.4161646510776008
NGC0055,development,li2018_rar_mond,20,17.50497027228645,0.19670652552473317,-0.19013300235881164
NGC0055,development,simple_mond,20,17.634259813560597,0.19803545127218483,-0.19145157762828996
NGC0055,development,standard_mond,20,12.399095175715201,0.14615256175198008,-0.13822503674285497
NGC0100,train,baryons,16,38.25228077920715,0.5930633950489735,0.5734085279297969
NGC0100,train,li2018_rar_mond,16,5.035120428584677,0.07386364265179325,-0.03476592581141028
NGC0100,train,simple_mond,16,5.111185445862669,0.07495944190974967,-0.03613299545389362
NGC0100,train,standard_mond,16,4.875724155820632,0.05915464832038604,0.017316290065492318
NGC0247,train,baryons,26,44.33874452179441,0.625235084866386,0.6232620814704144
NGC0247,train,li2018_rar_mond,26,5.404356548423862,0.057311159157562186,-0.01689238891461746
NGC0247,train,simple_mond,26,5.47531650704009,0.05757364459702419,-0.01796827643670831
NGC0247,train,standard_mond,26,4.191766911510601,0.06419526749088651,0.031099007099146144
NGC0289,development,baryons,22,80.02883870061216,0.5553416292236544,0.5410785969640745
NGC0289,development,li2018_rar_mond,22,25.014781298160795,0.11952294227515556,-0.10331960064770042
NGC0289,development,simple_mond,22,25.19250689442761,0.12032853977702347,-0.10488717092763884
NGC0289,development,standard_mond,22,18.924294670434097,0.09270144444498865,-0.05370313644658639
NGC0300,train,baryons,16,44.77844672601623,0.6773275742555472,0.6684620176226151
NGC0300,train,li2018_rar_mond,16,6.071731424804827,0.06478728558845401,0.047209240058900745
NGC0300,train,simple_mond,16,6.000470894205616,0.06399397128570564,0.045935355644557564
NGC0300,train,standard_mond,16,9.568205830280014,0.10655966039850244,0.0978199918840477
NGC0801,holdout,baryons,13,53.955412557620825,0.2575725018984575,0.21469090856490947
NGC0801,holdout,li2018_rar_mond,13,34.99841614732145,0.1336960925665884,-0.08215564327529737
NGC0801,holdout,simple_mond,13,35.30627148488901,0.13541444046680848,-0.09134870773053397
NGC0801,holdout,standard_mond,13,26.18743980656012,0.10649325269539282,-0.01653753708052527
NGC0891,holdout,baryons,18,42.48873191442031,0.1874085560274271,0.10067409976580936
NGC0891,holdout,li2018_rar_mond,18,29.286037766702,0.10852503529955596,-0.08315626405330843
NGC0891,holdout,simple_mond,18,32.67557124788641,0.11976215004621428,-0.09452098154493818
NGC0891,holdout,standard_mond,18,22.814032868170635,0.08722289026846035,-0.008202711109529134
NGC1003,train,baryons,35,57.85359515406134,0.7294863798798424,0.6923614433770001
NGC1003,train,li2018_rar_mond,35,7.9002055117028664,0.07404318113648843,-0.05064877296503726
NGC1003,train,simple_mond,35,8.026285655288268,0.07528201528481851,-0.05165419239396237
NGC1003,train,standard_mond,35,4.734379515384003,0.04329699609641422,-0.00947622174967715
NGC1090,holdout,baryons,22,56.24447375938987,0.37087947163789337,0.35344883691421225
NGC1090,holdout,li2018_rar_mond,22,17.785803708521872,0.09501431503115097,-0.07850590751055092
NGC1090,holdout,simple_mond,22,18.223791860607058,0.09763682045414465,-0.08222985080538785
NGC1090,holdout,standard_mond,22,11.435419269209369,0.06435349213900478,-0.005806390343695877
NGC2403,development,baryons,72,51.04302530421459,0.49732391088490624,0.4541438677496525
NGC2403,development,li2018_rar_mond,72,6.454234925210953,0.050825371001133046,0.035010277683122315
NGC2403,development,simple_mond,72,6.282129475156836,0.04867145868881569,0.030484213829236526
NGC2403,development,standard_mond,72,13.247435394592594,0.11454645719544362,0.10954366983452869
NGC2683,development,baryons,11,63.99459888504825,0.4315657557728217,0.40071238773174883
NGC2683,development,li2018_rar_mond,11,14.214844012056645,0.07354138378628601,-0.03883095350383578
NGC2683,development,simple_mond,11,14.150851957738814,0.07349876573707696,-0.043659864849426286
NGC2683,development,standard_mond,11,17.390889672441293,0.08269869955336151,0.028534333350720486
NGC2841,train,baryons,50,130.51149487715648,0.541085319411894,0.5027072310684116
NGC2841,train,li2018_rar_mond,50,55.507750072318565,0.17473234368560886,0.17277608422337817
NGC2841,train,simple_mond,50,53.02373106096402,0.166327796449332,0.16477722289190516
NGC2841,train,standard_mond,50,75.6134059811842,0.2477366766067698,0.24456352183366714
NGC2903,train,baryons,32,58.330040149614426,0.35212483333368966,0.2749877414651893
NGC2903,train,li2018_rar_mond,32,8.631770013634885,0.043806807684700806,-0.010877405613893706
NGC2903,train,simple_mond,32,10.51788130427881,0.05153918816212362,-0.020061022515867104
NGC2903,train,standard_mond,32,16.076991310315915,0.07777319003655203,0.05660418563618613
