galaxy,radius_kpc,gbar_m_s2,gobs_m_s2,predicted_acceleration_m_s2,log_residual_dex
ESO444-G084,1.3567701863354036,9.02884556821514e-12,3.693855553197427e-11,3.763652453095945e-11,-0.008129604040336674
ESO444-G084,1.9036853002070393,7.887287812668232e-12,3.212203831528958e-11,3.4876793572340053e-11,-0.03573345507265396
ESO444-G084,2.440082815734989,6.522674960364466e-12,3.0240002854711004e-11,3.136510042522649e-11,-0.015864854578497806
ESO444-G084,3.5654658385093168,3.290112534948888e-12,2.4494740670602344e-11,2.156034887295194e-11,0.05541706188735293
ESO563-G021,3.2276315789473684,1.1811147530963782e-10,5.491293245856872e-11,1.877160736263623e-10,-0.5338268251829632
ESO563-G021,4.515789473684211,9.544193406613546e-11,1.0122374765552987e-10,1.6174064228687068e-10,-0.20353675103703217
ESO563-G021,5.803947368421053,8.659996862552427e-11,1.1056990495788492e-10,1.5129925686493104e-10,-0.13619985862047576
ESO563-G021,7.092105263157896,8.788407025865595e-11,1.7306778136498423e-10,1.528284794099471e-10,0.05401193423955104
ESO563-G021,8.380263157894737,9.549363161694849e-11,1.9847976371869587e-10,1.6180111115027747e-10,0.08873473450301037
ESO563-G021,9.682894736842107,9.887503708633373e-11,2.017377533650314e-10,1.6574263536802402e-10,0.08535294003400003
ESO563-G021,10.971052631578948,9.611498802248061e-11,2.1132139358017574e-10,1.6252739292961346e-10,0.11401689704302344
ESO563-G021,12.25921052631579,9.616197934246439e-11,2.1087861681295264e-10,1.6258228222954808e-10,0.1129593286980991
ESO563-G021,14.806578947368422,9.275206614599302e-11,1.8460923722036636e-10,1.5858544059893702e-10,0.06599011472284404
ESO563-G021,17.455263157894738,8.741024602454406e-11,1.7771298573308653e-10,1.5226474147798062e-10,0.0671198139952303
ESO563-G021,19.45263157894737,8.012127173525286e-11,1.5946567023370713e-10,1.4351039198077138e-10,0.045783851885871515
ESO563-G021,21.97105263157895,7.315375858863673e-11,1.4118699657055491e-10,1.3498233753916442e-10,0.01951775499754213
ESO563-G021,24.35921052631579,6.691268506877324e-11,1.3065266230806145e-10,1.271895636070249e-10,0.011666786526632437
ESO563-G021,26.86315789473684,5.830644267276206e-11,1.2074902596376436e-10,1.1615972790597345e-10,0.01682805008982234
ESO563-G021,29.381578947368425,5.260366518304693e-11,1.1179655262769512e-10,1.0863407657554134e-10,0.012462334728607123
ESO563-G021,31.75526315789474,4.9007221579479245e-11,1.0279232762772186e-10,1.0378269227457333e-10,-0.004164232410408902
ESO563-G021,34.27368421052632,4.5481256681973995e-11,9.464112845808555e-11,9.893594600114639e-11,-0.01927420076205532
ESO563-G021,36.77763157894737,4.011699704736729e-11,8.819763565082511e-11,9.136404485450631e-11,-0.01531837536125169
ESO563-G021,39.16578947368421,3.552175194761702e-11,8.02277254043741e-11,8.46521876231142e-11,-0.023313706467038425
ESO563-G021,41.684210526315795,3.087069657523411e-11,7.538063366119313e-11,7.75990683465113e-11,-0.012596723280020749
ESO563-G021,44.18815789473685,2.7118422940129533e-11,7.065404935240979e-11,7.167517489860179e-11,-0.006231704013604483
ESO563-G021,46.57631578947369,2.4642517906613016e-11,6.660095114794976e-11,6.762791755210062e-11,-0.006645583017501125
ESO563-G021,49.080263157894734,2.2616834380288693e-11,6.44323496337628e-11,6.42203475547777e-11,0.001431317312515289
ESO563-G021,51.598684210526315,2.049183400167423e-11,6.405949431858202e-11,6.053809058016612e-11,0.024554787208385328
ESO563-G021,53.98684210526316,1.8827371207050156e-11,6.160902226536004e-11,5.756545768642876e-11,0.02948235463593219
ESO563-G021,56.49078947368422,1.711550594571333e-11,5.851193882801561e-11,5.4414674458879317e-11,0.03152845364929911
ESO563-G021,58.99473684210526,1.561928149218894e-11,5.429127186294638e-11,5.157156179491303e-11,0.022319732047681666
ESO563-G021,61.382894736842104,1.4434167400586147e-11,5.118986676355488e-11,4.9251928883823814e-11,0.01676075546389518
F565-V2,6.885000000000001,3.4547740256077145e-12,2.352820748789047e-11,2.2137275721820002e-11,0.026464667146565566
F565-V2,8.253243243243244,3.5313903697690013e-12,2.2388901018260566e-11,2.240175160829178e-11,-0.000249201124146052
F565-V2,9.632432432432434,3.349136586338806e-12,2.1497313213070707e-11,2.176852623950191e-11,-0.005444843558223092
F568-3,1.7934466019417472,5.718235219408189e-12,2.0278101100908903e-11,2.9158250839438645e-11,-0.15773418374622167
F568-3,3.6267475728155336,6.640420867398108e-12,4.444380016637062e-11,3.167880431732376e-11,0.1470424049538769
F568-3,4.583252427184465,6.558456698695902e-12,5.1515341503361975e-11,3.14606667476923e-11,0.21416866076592495
F568-3,5.1212864077669895,6.2583218543028435e-12,4.9991166331364664e-11,3.0652512491807576e-11,0.21242719119522724
F568-3,5.370376213592232,6.253702459475015e-12,4.745021763538333e-11,3.063995542019321e-11,0.18995007962353627
F568-3,10.132973300970873,6.383017350213104e-12,3.2702655764777366e-11,3.09900981723796e-11,0.023360070882840187
F568-V1,2.845384615384616,1.3172342389121101e-11,5.640168087019792e-11,4.67069704812552e-11,0.08191034803435639
F568-V1,3.665769230769231,1.2758130982211702e-11,5.2386639418701576e-11,4.585280154464417e-11,0.05785466390297268
F568-V1,5.285769230769231,1.1233028885019777e-11,4.878576830045388e-11,4.261709086206725e-11,0.058709348369350385
F568-V1,6.095769230769231,9.846566357184835e-12,4.549475853110471e-11,3.9532243700773625e-11,0.06100990034610685
F571-8,2.5452157598499063,2.93612166947502e-11,4.0441128301267176e-11,7.524377039268738e-11,-0.26964728566345514
F571-8,4.45891181988743,2.0437548628083725e-11,3.452853743977596e-11,6.044243228868781e-11,-0.2431637497529537
F571-8,6.5831144465290805,1.2409190386925873e-11,3.580566928613175e-11,4.512545839497255e-11,-0.1004698305508111
F571-8,7.2337711069418384,1.0597262541581238e-11,3.381602215414247e-11,4.1221182389534535e-11,-0.08599792559314386
F571-8,9.128330206378987,6.811368671870327e-12,3.894379121890992e-11,3.213037138008128e-11,0.08352248287599795
F571-8,10.410506566604129,5.371350633337068e-12,3.8852158768983066e-11,2.8168532600216893e-11,0.13965093118820002
F571-8,11.692682926829269,4.341457751351469e-12,3.710673796186585e-11,2.5064377411257316e-11,0.17039585598862758
F571-8,13.816885553470918,3.3612192114706323e-12,3.588262297523187e-11,2.1810949598671996e-11,0.21620960774535297
F571-8,17.854784240150096,2.2321872067097874e-12,3.2912729648162e-11,1.7507960305974297e-11,0.274128349098759
F571-8,21.24202626641651,1.7318769368168962e-12,2.975165311138342e-11,1.5299417338837588e-11,0.28883621022141903
F571-8,29.75797373358349,9.695489189437923e-13,2.246842343981192e-11,1.1278410212080647e-11,0.29932471353556095
F571-V1,5.822721598002498,5.479627747052053e-12,3.2156124765270474e-11,2.8480160005070756e-11,0.052721280157543904
F571-V1,7.770287141073659,4.9577699832536794e-12,2.842114974276752e-11,2.6954039798653974e-11,0.02301777751309691
F571-V1,9.707865168539328,4.605408933196798e-12,2.6114482355292345e-11,2.588633064502938e-11,0.0038109275176578476
F571-V1,11.645443196004996,3.813555899584323e-12,2.272984050353474e-11,2.335561240216004e-11,-0.01179487104033186
F571-V1,13.57303370786517,2.820332173973683e-12,1.9317203472890324e-11,1.9842918224434354e-11,-0.011661288227643998
F574-1,2.3232954545454545,1.6612441482153784e-11,5.355850966416877e-11,5.3468670077029506e-11,0.0007291016395882162
F574-1,3.2526136363636367,1.2705475982447678e-11,5.824876224410268e-11,4.574350962056072e-11,0.10495721894785853
F574-1,4.172045454545454,1.096074330136919e-11,5.5765127257072706e-11,4.202291857202492e-11,0.1228764859064333
F574-1,5.11125,1.0083454901977002e-11,4.97814876873507e-11,4.007023126090373e-11,0.09424602215190706
F574-1,6.040568181818182,9.5647149297478e-12,4.468407696332004e-11,3.8885779192426387e-11,0.060361985402566785
F574-1,6.9698863636363635,8.740320954886314e-12,4.1458473973697314e-11,3.695226957965636e-11,0.04997219472267423
F574-1,7.899204545454546,8.290192782440689e-12,3.834176866158468e-11,3.5867287560881995e-11,0.02897360781359333
F574-1,8.818636363636363,7.545346266259217e-12,3.5514580054980604e-11,3.4020733218751066e-11,0.018663014346281558
F574-1,9.757840909090909,7.360085564197649e-12,3.310392738829836e-11,3.3550639603922986e-11,-0.005821283182232886
F574-1,10.667386363636362,7.279010497898091e-12,3.0903766113118513e-11,3.3343466004644524e-11,-0.03299933380859962
F574-1,11.665909090909091,7.134000790337055e-12,2.8660457456805853e-11,3.2970656628733264e-11,-0.06084447844174225
F574-1,12.456818181818182,6.918076196628015e-12,2.6948756812935154e-11,3.2409983566506066e-11,-0.08014007550202046
F583-1,1.6220338983050848,5.274808949532423e-12,2.110977281384553e-11,2.7888531762293436e-11,-0.12094209132089151
F583-1,2.081610169491525,4.611993846239062e-12,3.0247345073578166e-11,2.590658470805964e-11,0.06727709768831237
F583-1,3.0908757062146894,4.602905573037391e-12,3.29433143316247e-11,2.5878627617987286e-11,0.10482604881750325
F583-1,3.6856214689265534,4.643595341897151e-12,3.4230330380132574e-11,2.600362070127744e-11,0.11937726819987382
F583-1,3.9379378531073446,4.6161060691756835e-12,3.307887125527565e-11,2.591922717556126e-11,0.10592863358976887
F583-1,4.866101694915255,4.4998412420100705e-12,3.428753940451787e-11,2.5559980036083006e-11,0.12757580944448899
F583-1,5.478870056497175,4.4009225155388916e-12,3.227301652857833e-11,2.525131106927974e-11,0.10655562842456492
F583-1,5.794265536723163,4.3656865968508675e-12,2.969047729996528e-11,2.5140670137017136e-11,0.07224032947079112
F583-1,9.272627118644067,4.5553784833945975e-12,2.53923248652282e-11,2.5732055023867413e-11,-0.005772005659838478
F583-1,13.958502824858757,3.83979506660731e-12,1.7755755454927853e-11,2.344278555877759e-11,-0.12067005991660695
F583-4,3.6993621013133207,6.4062207779921916e-12,2.9276918471189645e-11,3.1052626488123877e-11,-0.025572976167687233
F583-4,4.1051594746716695,5.907784580646606e-12,2.853572112006433e-11,2.9688855945363165e-11,-0.017204610474017255
F583-4,4.718574108818011,5.4415502969965695e-12,2.7134287047700834e-11,2.8370856991316195e-11,-0.019354039622401432
F583-4,4.765759849906191,5.393735679695574e-12,2.9346391561416676e-11,2.8233164578382456e-11,0.016795148165318904
F583-4,5.501857410881801,4.7442213389079435e-12,2.4853894286291933e-11,2.6310814377600236e-11,-0.024739843890392754
F583-4,5.747223264540337,4.574708055482383e-12,2.5836905302850563e-11,2.5791742516169158e-11,0.00075980893843235
F583-4,6.360637898686679,4.518766619764682e-12,2.5419365214460768e-11,2.56187155356026e-11,-0.003392650485496883
F583-4,6.87968105065666,3.959658233660953e-12,2.54280393322276e-11,2.3837877743585718e-11,0.02804528643279747
IC2574,0.8217391304347825,2.454515525160986e-13,4.7918255089459664e-12,5.550821933548078e-12,-0.06385630056253709
IC2574,2.204194373401534,7.956468930610544e-13,1.1470745364771057e-11,1.0174487174422526e-11,0.0520791104465316
IC2574,2.465217391304347,9.109157008893442e-13,1.1552203458570243e-11,1.0917207460933675e-11,0.02455326579936117
IC2574,2.745575447570332,9.550379380548455e-13,1.1924495939231191e-11,1.1189969624549056e-11,0.027611122396726286
IC2574,3.2966240409207157,1.0038140595662582e-12,1.3634825379825609e-11,1.1484878517577178e-11,0.07452317457368292
IC2574,3.5769820971867006,9.027862953478267e-13,1.271100343459018e-11,1.0866296803730829e-11,0.06809827282253898
IC2574,4.679079283887467,1.1568885697518653e-12,1.1880153165056513e-11,1.2370379974417929e-11,-0.0175609999983453
IC2574,4.949769820971866,1.3005968361932139e-12,1.310171276656527e-11,1.3154442613331828e-11,-0.0017443766566934227
IC2574,5.230127877237851,1.31054018652308e-12,1.3060589833626352e-11,1.3207208314149155e-11,-0.004848237219188009
IC2574,5.491150895140664,1.3871917710945557e-12,1.3324872923830223e-11,1.3608076982766274e-11,-0.009133681520844738
IC2574,5.771508951406648,1.4214295457797646e-12,1.3666993601221614e-11,1.3783908293447224e-11,-0.0036993839326957476
IC2574,6.051867007672633,1.5938589843612917e-12,1.4725271071509264e-11,1.464202307741347e-11,0.00246221126964124
IC2574,6.322557544757032,1.7901833232786394e-12,1.5812569188959858e-11,1.5570115475440636e-11,0.00671060529262011
IC2574,6.6029156010230174,1.840619221244775e-12,1.5849435905047698e-11,1.5801141894400443e-11,0.001325336854397889
IC2574,6.86393861892583,1.9186256680797575e-12,1.5767928514685875e-11,1.6153023572008713e-11,-0.010479184473459172
IC2574,7.144296675191814,1.937825125086958e-12,1.6233966626388054e-11,1.6238658092613957e-11,-0.00012548895728336978
IC2574,7.4246547314577995,2.060223618781579e-12,1.7283786920183998e-11,1.6776049631818258e-11,0.012949201240690586
IC2574,7.695345268542199,2.1258966702572365e-12,1.583585978125276e-11,1.705860941070395e-11,-0.03230197768170988
IC2574,8.797442455242965,2.0363226833667916e-12,1.5698702129303182e-11,1.667223802074446e-11,-0.02613015272028112
IC2574,9.068132992327365,2.0865716237073766e-12,1.7829144472040102e-11,1.6889879775564375e-11,0.023503945925301934
IC2574,9.348491048593349,2.2316483154754514e-12,1.687773597705058e-11,1.7505705970876576e-11,-0.01586544088414071
IC2574,9.628849104859334,2.3063929630655984e-12,1.7355261962425428e-11,1.781615408188286e-11,-0.011382786660210732
IC4202,1.0198804780876494,2.711993960818537e-10,1.9283021756365985e-10,3.48759643497291e-10,-0.2573511338034222
IC4202,1.5137848605577688,2.2088698389151355e-10,2.831267983953136e-10,2.974911349532498e-10,-0.021493050593681222
IC4202,2.0076892430278885,1.9718866523575414e-10,3.928277499209699e-10,2.7293026355439853e-10,0.15815046481174383
IC4202,2.5336653386454184,1.9374567616990255e-10,4.715227615259902e-10,2.693342145892966e-10,0.24321113494790447
IC4202,3.03398406374502,1.9692525998261583e-10,4.445253108648207e-10,2.726554171659024e-10,0.2122823635931366
IC4202,3.5278884462151394,1.9330714159557278e-10,4.012612141806556e-10,2.688756319231315e-10,0.17387573886053337
IC4202,4.021792828685259,1.9012898511262992e-10,3.9000944178515385e-10,2.655483587860808e-10,0.16693149942172775
IC4202,4.541354581673307,2.0190297200434374e-10,3.8079216355821867e-10,2.778420133528213e-10,0.13689008493834137
IC4202,5.041673306772909,2.2105492381596364e-10,3.5498538951172565e-10,2.9766409838437616e-10,0.07648402169203565
IC4202,5.554820717131474,2.343510355379994e-10,3.5019631911604294e-10,3.1131468378467095e-10,0.051111971398368074
IC4202,6.061553784860557,2.3900229196562595e-10,3.2354575483574105e-10,3.1607085326008815e-10,0.010151257069899909
IC4202,6.568286852589641,2.3625313362646953e-10,2.8183384487747626e-10,3.132608270297672e-10,-0.04591294467916001
IC4202,7.068605577689243,2.2808294835901616e-10,2.640816282933957e-10,3.0488989850490277e-10,-0.0624048465911554
IC4202,7.562509960159362,2.1655610209860834e-10,2.4683456690358106e-10,2.9302573465249847e-10,-0.07449978489375327
IC4202,7.9986852589641435,2.045345994348642e-10,2.451890443622897e-10,2.805779736980585e-10,-0.058552513517340525
IC4202,8.556733067729084,1.8868224079600067e-10,2.1997612923102778e-10,2.640314694642661e-10,-0.07928013698331933
IC4202,9.050637450199202,1.7518485489824376e-10,2.2379496107847607e-10,2.498068866569824e-10,-0.047754102983149645
IC4202,9.358525896414342,1.674692010021762e-10,2.0280223659982365e-10,2.416114546752104e-10,-0.076044779821479
IC4202,9.608685258964144,1.6150364839545204e-10,2.008006616684204e-10,2.352396434791287e-10,-0.06874537298810371
IC4202,10.102589641434262,1.50370782565286e-10,1.9729682833053159e-10,2.2325797972680663e-10,-0.05368688671550142
