field,image_id,split,source_family,source_redshift,x_arcsec,y_arcsec,correction_x_arcsec,correction_y_arcsec,correction_magnitude_arcsec,correction_radial_arcsec,correction_tangential_arcsec,correction_convergence,correction_shear,correction_rotation,correction_gradient_spectral_norm,fixed_full_lens_mapping_determinant
P0652_finite_gather,7b,training,7,3.427,-7.485830922116288,-2.1700512000000174,-0.051179355863385324,0.5911900098670348,0.5934011747824366,-0.11544649570759621,-0.5820627636793233,-0.015225767203758157,0.025890552100340997,0.003597862256201241,0.04153563438704167,-0.22662175637464868
P0652_finite_gather,7c,spent_heldout,7,3.427,3.7040355081620837,-19.321482528000033,-0.48195475788272313,0.23585156735406343,0.5365690547069991,-0.32237462182222926,-0.428930010227936,0.017460678412137692,0.06993096185808717,-0.0008933858911339132,0.08741448063900106,0.23156743901855487
P0653_compact_gather,1a,training,1,0.6786,-5.748113029341908,4.227443603999998,-0.06154496876883585,0.08420792193954472,0.10430128138298896,0.09947088814753213,-0.03137355111036347,-0.0068202737231735575,0.019603140464915274,-4.945372405300297e-06,0.02642341598103043,0.14515815421900893
P0653_compact_gather,1b,training,1,0.6786,-4.783674198960802,-0.969769187999997,-0.015074874586795869,0.3473934587742535,0.3477203862918402,-0.05424690183062907,-0.34346286652959246,-0.015841664389811196,0.04082900652776476,-0.001543524295142193,0.05674568953299882,-0.11778990426849732
P0653_compact_gather,1c,spent_heldout,1,0.6786,0.456839445991538,-8.935221672000038,0.12269298979717909,0.1470014560196047,0.19147584134102785,-0.14054483978843846,0.13003901655309705,-0.005285972001736403,0.021307337520081227,0.0010647278786037745,0.026699474893944884,0.2098476681809803
P0653_compact_gather,2a,training,2,0.916,-6.776271782658472,11.277998675999983,-0.12493708775474421,-0.024668758810311053,0.12734921891349768,0.04320028151456773,0.11979799345122627,-0.000496950159168362,0.011486722322330587,-0.00012790288165460614,0.011999868118214185,0.25010945889377345
P0653_compact_gather,2b,training,2,0.916,-0.7772390574582798,-4.156659036000021,0.2187798751480454,0.17686733637899985,0.2813302124685449,-0.21406607049411547,0.18254425740297892,0.004649432339095677,0.014242631070049843,-6.983586936140651e-05,0.01889258785742735,-0.014569599452375598
P0653_compact_gather,2c,spent_heldout,2,0.916,0.24443970348725166,-5.292556488000027,0.20079610467320022,0.16455696235906092,0.25961138170883835,-0.1551177279590962,0.2081743499703554,-0.003962935037367804,0.014816462595052928,-0.0007545098975207665,0.018850584469247377,0.046667778417926645
P0653_compact_gather,3a,training,3,1.5194,-2.0174375536347493,8.154932903999962,-0.046651668935187976,-0.009156655604729348,0.04754179799189345,0.0023146580737086146,0.04748541791227934,0.0015844351597620997,0.01791662135912877,-0.0002530341145075537,0.019521134069765547,0.07880351245392442
P0653_compact_gather,3b,training,3,1.5194,2.98907637506174,5.134105511999998,0.0408938990766177,0.017886016337490023,0.04463429804660934,0.03603254257559012,-0.026341534458945992,-0.0018295115792994754,0.011049350168178974,-0.0004808386727694035,0.012940994544910895,-0.10843551423941775
P0653_compact_gather,3c,training,3,1.5194,1.5634781039797112,3.965703875999982,0.03170343148446845,0.042038676875685944,0.05265318529157298,0.05073700673574972,-0.014075299955780858,-0.002813964467970973,0.016565014733878954,0.0002698466243464259,0.01939188813530221,-0.11267336517266203
P0653_compact_gather,3d,spent_heldout,3,1.5194,7.381071049134713,-15.531179832000019,0.37525872003551597,0.6253796895199331,0.7293276787745969,-0.4037641222523327,0.6073659494971257,0.0807458160602087,0.11389176321262515,-0.0021535784269988145,0.19466629330268695,0.1664951893353717
P0653_compact_gather,4a,training,4,1.5202,-3.4189158540684597,10.495438775999993,-0.08683350982996711,-0.036547285997954974,0.09421126547927966,-0.007854800129084325,0.0938832501468683,0.003825484605964255,0.017488248513376214,-4.195030709405745e-06,0.02131373541947747,0.13916191404780384
