radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
8.903890941296736e-11,1.0,1.0
9.019491898922485e-11,1.0,1.0
9.13659372639178e-11,1.0,1.0
9.255215909791354e-11,1.0,1.0
9.375378188199622e-11,1.0,1.0
9.497100556971315e-11,1.0,1.0
9.62040327106476e-11,1.0,1.0
9.745306848412375e-11,1.0,1.0
9.871832073334907e-11,1.0,1.0
1e-10,1.0,1.0
1.012983195592568e-10,1.0,1.0
1.026134954552931e-10,1.0,1.0
1.0394574653722627e-10,1.0,1.0
1.0529529449553458e-10,1.0,1.0
1.0666236389894715e-10,1.0,1.0
1.0804718223181285e-10,1.0,1.0
1.0944997993195432e-10,1.0,1.0
1.1087099042901353e-10,1.0,1.0
1.1231045018329516e-10,1.0,1.0
1.1376859872511424e-10,1.0,1.0
1.1524567869465479e-10,1.0,1.0
1.1674193588234574e-10,1.0,1.0
1.182576192697613e-10,1.0,1.0
1.1979298107105204e-10,1.0,1.0
1.2134827677491431e-10,1.0,1.0
1.2292376518710411e-10,1.0,1.0
1.245197084735032e-10,1.0,1.0
1.2613637220374424e-10,1.0,1.0
1.2777402539540242e-10,1.0,1.0
1.294329405587607e-10,1.0,1.0
1.311133937421563e-10,1.0,1.0
1.328156645779161e-10,1.0,1.0
1.345400363288881e-10,1.0,1.0
1.3628679593557727e-10,1.0,1.0
1.3805623406389326e-10,1.0,1.0
1.3984864515351816e-10,1.0,1.0
1.4166432746690192e-10,1.0,1.0
1.4350358313889433e-10,1.0,1.0
1.4536671822702095e-10,1.0,1.0
1.472540427624121e-10,1.0,1.0
1.4916587080139286e-10,1.0,1.0
1.5110252047774308e-10,1.0,1.0
1.5306431405563563e-10,1.0,1.0
1.5505157798326222e-10,1.0,1.0
1.5706464294715523e-10,1.0,1.0
1.59103843927215e-10,1.0,1.0
1.6116952025245147e-10,1.0,1.0
1.632620156574494e-10,1.0,1.0
1.6538167833956697e-10,1.0,1.0
1.6752886101687676e-10,1.0,1.0
1.69703920986859e-10,1.0,1.0
1.7190722018585712e-10,1.0,1.0
1.7413912524930475e-10,1.0,1.0
1.764000075727352e-10,1.0,1.0
1.786902433735825e-10,1.0,1.0
1.810102137537853e-10,1.0,1.0
1.8336030476320325e-10,1.0,1.0
1.857409074638568e-10,1.0,1.0
1.8815241799500114e-10,1.0,1.0
1.9059523763904485e-10,1.0,1.0
1.9306977288832457e-10,1.0,1.0
1.9557643551274639e-10,1.0,1.0
1.9811564262830562e-10,1.0,1.0
2.0068781676649625e-10,1.0,1.0
2.0329338594462194e-10,1.0,1.0
2.059327837370164e-10,1.0,1.0
2.0860644934719611e-10,1.0,1.0
2.113148276809419e-10,1.0,1.0
2.1405836942033337e-10,1.0,1.0
2.1683753109874376e-10,1.0,1.0
2.196527751768083e-10,1.0,1.0
2.2250457011937917e-10,1.0,1.0
2.2539339047347936e-10,1.0,1.0
2.2831971694726858e-10,1.0,1.0
2.3128403649003475e-10,1.0,1.0
2.3428684237322353e-10,1.0,1.0
2.3732863427252026e-10,1.0,1.0
2.404099183509974e-10,1.0,1.0
2.4353120734334175e-10,1.0,1.0
2.466930206411746e-10,1.0,1.0
2.498958843794804e-10,1.0,1.0
2.5314033152415694e-10,1.0,1.0
2.564269019607026e-10,1.0,1.0
2.597561425840547e-10,1.0,1.0
2.6312860738959445e-10,1.0,1.0
2.665448575653336e-10,1.0,1.0
2.700054615852975e-10,1.0,1.0
2.735109953041211e-10,1.0,1.0
2.7706204205287245e-10,1.0,1.0
2.806591927361212e-10,1.0,1.0
2.843030459302665e-10,1.0,1.0
2.87994207983142e-10,1.0,1.0
2.917332931149139e-10,1.0,1.0
2.9552092352028877e-10,1.0,1.0
2.9935772947204904e-10,1.0,1.0
3.032443494259317e-10,1.0,1.0
3.0718143012686963e-10,1.0,1.0
3.111696267166116e-10,1.0,1.0
3.1520960284273973e-10,1.0,1.0
3.1930203076910273e-10,1.0,1.0
3.234475914876822e-10,1.0,1.0
