galaxy,Vf,R_coh,R_outer,ratio,C,A_dyn,rms_bar,rms_fixed,rms_dynamic,delta
NGC5985,293.6,14.52,39.50,0.367,0.633,1.096,80.14,41.39,30.79,10.59
NGC6015,154.1,4.00,21.43,0.187,0.813,1.409,43.28,56.68,43.21,13.48
NGC6195,251.7,10.67,40.89,0.261,0.739,1.280,43.85,110.92,93.04,17.89
NGC6503,116.3,2.28,14.05,0.162,0.838,1.451,41.67,55.65,44.88,10.77
NGC6674,241.3,9.80,50.02,0.196,0.804,1.393,77.69,93.22,68.49,24.73
NGC6946,158.9,4.25,21.25,0.200,0.800,1.386,27.30,84.40,71.25,13.15
NGC7331,239.0,9.62,27.01,0.356,0.644,1.115,70.72,124.63,98.79,25.84
NGC7793,109.0,2.00,7.35,0.272,0.728,1.261,11.49,33.48,24.71,8.77
NGC7814,218.9,8.07,12.15,0.664,0.336,0.582,53.46,47.83,31.43,16.40
PGC51017,18.6,0.06,4.29,0.014,0.986,1.709,4.52,38.99,38.66,0.34
UGC00128,129.3,2.82,31.27,0.090,0.910,1.576,65.11,59.59,52.19,7.39
UGC00191,81.0,1.10,10.03,0.110,0.890,1.541,23.83,28.46,24.42,4.04
UGC00731,73.3,0.90,11.57,0.078,0.922,1.597,36.17,27.41,24.46,2.95
UGC00891,60.1,0.61,6.23,0.098,0.902,1.563,25.54,29.75,26.28,3.47
UGC01230,103.7,1.81,26.29,0.069,0.931,1.613,43.74,53.31,49.05,4.26
UGC01281,55.2,0.51,5.26,0.098,0.902,1.563,18.46,20.83,18.34,2.48
UGC02023,47.9,0.39,6.50,0.059,0.941,1.629,8.85,38.89,37.03,1.86
UGC02259,86.2,1.25,7.28,0.172,0.828,1.434,39.10,22.11,15.03,7.08
UGC02455,53.1,0.47,7.11,0.067,0.933,1.616,35.38,71.82,69.70,2.12
UGC02487,332.0,18.56,40.20,0.462,0.538,0.932,109.52,68.64,13.24,55.41
UGC02885,289.5,14.11,74.24,0.190,0.810,1.403,69.36,110.16,84.51,25.65
UGC02916,182.7,5.62,34.24,0.164,0.836,1.448,39.97,79.08,70.15,8.93
UGC02953,264.9,11.82,24.00,0.492,0.508,0.879,62.22,70.50,45.13,25.37
UGC03205,219.6,8.12,28.60,0.284,0.716,1.240,33.65,58.74,39.66,19.08
UGC03546,196.9,6.53,18.37,0.355,0.645,1.117,72.12,94.22,80.80,13.42
UGC03580,126.2,2.68,19.97,0.134,0.866,1.499,39.24,61.17,55.72,5.45
UGC04278,91.4,1.41,8.90,0.158,0.842,1.458,27.67,26.89,21.20,5.69
UGC04305,34.5,0.20,7.41,0.027,0.973,1.685,4.96,51.52,50.60,0.92
UGC04325,90.9,1.39,6.61,0.210,0.790,1.367,35.33,19.00,11.87,7.12
UGC04483,24.2,0.10,1.46,0.068,0.932,1.615,7.08,14.82,13.81,1.01
UGC04499,72.8,0.89,8.67,0.103,0.897,1.554,21.50,39.52,35.10,4.42
UGC05005,98.9,1.65,21.61,0.076,0.924,1.600,33.61,54.81,50.44,4.37
UGC05253,213.7,7.69,36.64,0.210,0.790,1.369,44.10,65.15,55.09,10.06
UGC05414,56.8,0.54,6.65,0.082,0.918,1.591,12.49,33.08,30.41,2.66
UGC05716,73.1,0.90,10.64,0.085,0.915,1.586,34.86,29.63,25.98,3.65
UGC05721,79.7,1.07,6.74,0.159,0.841,1.457,36.99,9.45,6.02,3.43
UGC05750,77.6,1.01,16.79,0.060,0.940,1.627,20.79,46.98,44.26,2.72
UGC05764,50.0,0.42,3.51,0.120,0.880,1.524,27.96,10.87,8.37,2.50
UGC05829,65.6,0.72,7.87,0.092,0.908,1.573,20.89,30.83,27.55,3.28
UGC05918,42.6,0.31,5.90,0.052,0.948,1.642,18.38,21.30,19.95,1.35
UGC05986,113.0,2.15,16.53,0.130,0.870,1.507,38.97,26.71,20.59,6.12
UGC05999,97.7,1.61,15.26,0.105,0.895,1.550,37.19,50.42,44.21,6.22
UGC06399,85.0,1.22,8.80,0.138,0.862,1.493,28.75,31.23,25.26,5.97
UGC06446,82.2,1.14,10.33,0.110,0.890,1.541,37.55,25.10,20.43,4.67
UGC06614,199.8,6.72,60.63,0.111,0.889,1.540,50.98,104.43,93.81,10.62
UGC06628,41.8,0.29,10.47,0.028,0.972,1.683,8.07,67.84,66.62,1.22
UGC06667,83.8,1.18,8.59,0.138,0.862,1.494,45.28,10.17,6.87,3.31
UGC06786,219.4,8.11,20.31,0.399,0.601,1.041,51.95,33.02,14.86,18.16
UGC06787,248.1,10.36,26.44,0.392,0.608,1.053,64.97,47.81,38.00,9.81
UGC06818,71.2,0.85,6.96,0.123,0.877,1.520,20.18,42.69,37.97,4.72
UGC06917,108.7,1.99,12.67,0.157,0.843,1.460,30.60,41.81,33.30,8.51
UGC06923,79.6,1.07,6.75,0.158,0.842,1.458,15.11,40.56,34.33,6.23
UGC06930,107.2,1.94,16.76,0.115,0.885,1.532,31.49,56.71,49.32,7.38
UGC06973,174.2,5.11,11.57,0.442,0.558,0.967,88.39,106.68,97.49,9.19
UGC06983,109.0,2.00,16.07,0.124,0.876,1.516,42.45,40.90,33.53,7.37
UGC07089,77.6,1.01,9.29,0.109,0.891,1.543,14.93,52.50,47.29,5.21
UGC07125,65.2,0.72,23.04,0.031,0.969,1.678,14.70,68.27,66.54,1.73
UGC07151,73.5,0.91,6.39,0.142,0.858,1.485,15.57,35.28,29.81,5.47
UGC07261,74.7,0.94,10.10,0.093,0.907,1.571,22.26,34.17,30.37,3.80
UGC07323,82.8,1.15,7.14,0.162,0.838,1.452,10.35,43.29,36.74,6.55
UGC07399,103.0,1.79,7.85,0.228,0.772,1.338,50.95,2.97,8.31,-5.33
UGC07524,79.5,1.06,12.11,0.088,0.912,1.580,26.76,38.20,34.25,3.95
UGC07559,31.1,0.16,3.76,0.043,0.957,1.657,6.79,26.45,25.49,0.96
UGC07577,15.9,0.04,2.07,0.021,0.979,1.696,1.77,25.49,25.15,0.34
UGC07603,61.6,0.64,4.37,0.146,0.854,1.479,25.75,17.12,12.98,4.13
UGC07608,66.0,0.73,6.73,0.109,0.891,1.543,30.64,12.90,9.94,2.96
UGC07690,57.4,0.55,5.50,0.101,0.899,1.557,13.01,31.08,27.77,3.31
UGC07866,30.6,0.16,3.30,0.048,0.952,1.649,7.48,23.90,22.86,1.03
UGC08286,82.4,1.14,8.07,0.142,0.858,1.487,36.67,20.87,15.20,5.68
UGC08490,78.6,1.04,7.80,0.133,0.867,1.501,38.25,21.56,15.97,5.58
UGC08550,56.9,0.55,5.59,0.098,0.902,1.563,25.00,20.23,17.20,3.02
UGC08699,182.4,5.60,19.05,0.294,0.706,1.223,38.29,51.31,37.23,14.08
UGC08837,46.6,0.37,4.75,0.077,0.923,1.599,7.95,37.09,34.79,2.30
UGC09037,152.3,3.91,39.72,0.098,0.902,1.562,31.13,109.25,101.12,8.14
UGC09133,226.8,8.66,60.35,0.144,0.856,1.483,61.92,103.27,89.26,14.01
UGC09992,33.6,0.19,5.45,0.035,0.965,1.672,5.89,36.40,35.38,1.02
UGC10310,71.4,0.86,9.58,0.090,0.910,1.577,22.51,37.38,33.57,3.82
UGC11455,269.4,12.22,43.44,0.281,0.719,1.245,39.82,102.25,81.71,20.54
UGC11557,81.6,1.12,16.66,0.067,0.933,1.615,20.84,77.44,74.26,3.18
UGC11820,81.2,1.11,12.99,0.086,0.914,1.584,27.35,32.53,29.10,3.44
UGC11914,288.1,13.98,9.26,1.509,0.100,0.173,20.22,33.03,21.11,11.91
UGC12506,234.0,9.22,59.01,0.156,0.844,1.461,78.84,72.05,56.09,15.96
UGC12632,71.7,0.87,12.60,0.069,0.931,1.613,28.54,34.64,31.71,2.93
UGC12732,93.2,1.46,17.41,0.084,0.916,1.587,38.51,35.97,31.72,4.26
UGCA281,28.8,0.14,1.83,0.076,0.924,1.600,6.73,15.25,14.03,1.21
UGCA442,56.4,0.54,4.37,0.123,0.877,1.520,26.10,19.93,16.23,3.70
UGCA444,37.0,0.23,2.08,0.111,0.889,1.540,14.06,15.43,13.26,2.18
