galaxy,Vf,R_outer,R_coh,ratio,C,A_dynamic,regime
NGC2915,83.5,7.16,1.17,0.1640,0.8360,1.4480,R_coh << R_outer
NGC2955,257.0,40.34,11.12,0.2757,0.7243,1.2545,R_coh << R_outer
NGC2976,85.4,3.04,1.23,0.4040,0.5960,1.0324,R_coh << R_outer
NGC2998,209.9,43.58,7.42,0.1702,0.8298,1.4372,R_coh << R_outer
NGC3109,66.2,6.00,0.74,0.1230,0.8770,1.5190,R_coh << R_outer
NGC3198,150.1,35.66,3.79,0.1064,0.8936,1.5478,R_coh << R_outer
NGC3521,213.7,18.85,7.69,0.4079,0.5921,1.0255,R_coh << R_outer
NGC3726,168.0,22.20,4.75,0.2141,0.7859,1.3613,R_coh << R_outer
NGC3741,50.1,4.20,0.42,0.1006,0.8994,1.5578,R_coh << R_outer
NGC3769,118.6,22.57,2.37,0.1049,0.8951,1.5503,R_coh << R_outer
NGC3877,168.4,11.47,4.78,0.4163,0.5837,1.0110,R_coh << R_outer
NGC3893,174.0,20.84,5.10,0.2446,0.7554,1.3083,R_coh << R_outer
NGC3917,135.9,14.08,3.11,0.2209,0.7791,1.3495,R_coh << R_outer
NGC3949,163.0,13.72,4.47,0.3261,0.6739,1.1673,R_coh << R_outer
NGC3953,220.8,17.38,8.21,0.4723,0.5277,0.9139,R_coh << R_outer
NGC3972,132.7,10.05,2.97,0.2950,0.7050,1.2210,R_coh << R_outer
NGC3992,241.0,32.75,9.78,0.2986,0.7014,1.2148,R_coh << R_outer
NGC4010,125.8,17.59,2.66,0.1515,0.8485,1.4697,R_coh << R_outer
NGC4013,172.9,31.35,5.03,0.1606,0.8394,1.4539,R_coh << R_outer
NGC4051,157.0,15.13,4.15,0.2743,0.7257,1.2569,R_coh << R_outer
NGC4068,36.0,3.18,0.22,0.0686,0.9314,1.6132,R_coh << R_outer
NGC4085,131.5,10.16,2.91,0.2866,0.7134,1.2357,R_coh << R_outer
NGC4088,171.7,22.25,4.96,0.2231,0.7769,1.3456,R_coh << R_outer
NGC4100,158.2,18.06,4.21,0.2333,0.7667,1.3279,R_coh << R_outer
NGC4138,147.3,18.58,3.65,0.1966,0.8034,1.3915,R_coh << R_outer
NGC4157,184.7,24.09,5.74,0.2385,0.7615,1.3190,R_coh << R_outer
NGC4183,110.6,16.07,2.06,0.1282,0.8718,1.5100,R_coh << R_outer
NGC4214,80.1,5.84,1.08,0.1850,0.8150,1.4116,R_coh << R_outer
NGC4217,181.3,16.70,5.53,0.3314,0.6686,1.1580,R_coh << R_outer
NGC4389,95.9,6.81,1.55,0.2274,0.7726,1.3382,R_coh << R_outer
NGC4559,121.2,21.16,2.47,0.1169,0.8831,1.5296,R_coh << R_outer
NGC5005,262.2,10.41,11.58,1.1120,0.1000,0.1732,R_coh > R_outer
NGC5033,194.2,29.53,6.35,0.2151,0.7849,1.3596,R_coh << R_outer
NGC5055,179.0,35.06,5.40,0.1539,0.8461,1.4655,R_coh << R_outer
NGC5371,209.5,30.03,7.39,0.2461,0.7539,1.3058,R_coh << R_outer
NGC5585,90.3,10.92,1.37,0.1257,0.8743,1.5143,R_coh << R_outer
NGC5907,215.0,21.36,7.78,0.3644,0.6356,1.1009,R_coh << R_outer
NGC5985,293.6,39.50,14.52,0.3675,0.6325,1.0956,R_coh << R_outer
NGC6015,154.1,21.43,4.00,0.1866,0.8134,1.4089,R_coh << R_outer
NGC6195,251.7,40.89,10.67,0.2609,0.7391,1.2802,R_coh << R_outer
NGC6503,116.3,14.05,2.28,0.1621,0.8379,1.4513,R_coh << R_outer
NGC6674,241.3,50.02,9.80,0.1960,0.8040,1.3926,R_coh << R_outer
NGC6946,158.9,21.25,4.25,0.2001,0.7999,1.3855,R_coh << R_outer
NGC7331,239.0,27.01,9.62,0.3561,0.6439,1.1153,R_coh << R_outer
NGC7793,109.0,7.35,2.00,0.2722,0.7278,1.2606,R_coh << R_outer
NGC7814,218.9,12.15,8.07,0.6641,0.3359,0.5818,R_coh ~ R_outer
PGC51017,18.6,4.29,0.06,0.0136,0.9864,1.7085,R_coh << R_outer
UGC00128,129.3,31.27,2.82,0.0900,0.9100,1.5761,R_coh << R_outer
UGC00191,81.0,10.03,1.10,0.1101,0.8899,1.5413,R_coh << R_outer
UGC00731,73.3,11.57,0.90,0.0782,0.9218,1.5966,R_coh << R_outer
UGC00891,60.15,6.23,0.61,0.0978,0.9022,1.5627,R_coh << R_outer
UGC01230,103.7,26.29,1.81,0.0689,0.9311,1.6128,R_coh << R_outer
UGC01281,55.2,5.26,0.51,0.0975,0.9025,1.5631,R_coh << R_outer
UGC02023,47.9,6.50,0.39,0.0594,0.9406,1.6291,R_coh << R_outer
UGC02259,86.2,7.28,1.25,0.1719,0.8281,1.4344,R_coh << R_outer
UGC02455,53.1,7.11,0.47,0.0668,0.9332,1.6164,R_coh << R_outer
UGC02487,332.0,40.20,18.56,0.4617,0.5383,0.9324,R_coh << R_outer
UGC02885,289.5,74.24,14.11,0.1901,0.8099,1.4028,R_coh << R_outer
UGC02916,182.7,34.24,5.62,0.1642,0.8358,1.4477,R_coh << R_outer
UGC02953,264.9,24.00,11.82,0.4923,0.5077,0.8793,R_coh << R_outer
UGC03205,219.6,28.60,8.12,0.2839,0.7161,1.2403,R_coh << R_outer
UGC03546,196.9,18.37,6.53,0.3554,0.6446,1.1165,R_coh << R_outer
UGC03580,126.2,19.97,2.68,0.1343,0.8657,1.4995,R_coh << R_outer
UGC04278,91.4,8.90,1.41,0.1581,0.8419,1.4583,R_coh << R_outer
UGC04305,34.5,7.41,0.20,0.0270,0.9730,1.6852,R_coh << R_outer
UGC04325,90.9,6.61,1.39,0.2105,0.7895,1.3675,R_coh << R_outer
UGC04483,24.2,1.46,0.10,0.0675,0.9325,1.6151,R_coh << R_outer
UGC04499,72.8,8.67,0.89,0.1029,0.8971,1.5538,R_coh << R_outer
UGC05005,98.9,21.61,1.65,0.0762,0.9238,1.6000,R_coh << R_outer
UGC05253,213.7,36.64,7.69,0.2099,0.7901,1.3685,R_coh << R_outer
UGC05414,56.8,6.65,0.54,0.0817,0.9183,1.5906,R_coh << R_outer
UGC05716,73.1,10.64,0.90,0.0846,0.9154,1.5856,R_coh << R_outer
UGC05721,79.7,6.74,1.07,0.1587,0.8413,1.4572,R_coh << R_outer
UGC05750,77.6,16.79,1.01,0.0604,0.9396,1.6274,R_coh << R_outer
UGC05764,50.0,3.51,0.42,0.1199,0.8801,1.5243,R_coh << R_outer
UGC05829,65.6,7.87,0.72,0.0921,0.9079,1.5726,R_coh << R_outer
UGC05918,42.6,5.90,0.31,0.0518,0.9482,1.6423,R_coh << R_outer
UGC05986,113.0,16.53,2.15,0.1301,0.8699,1.5068,R_coh << R_outer
UGC05999,97.7,15.26,1.61,0.1053,0.8947,1.5496,R_coh << R_outer
UGC06399,85.0,8.80,1.22,0.1382,0.8618,1.4926,R_coh << R_outer
UGC06446,82.2,10.33,1.14,0.1101,0.8899,1.5413,R_coh << R_outer
UGC06614,199.8,60.63,6.72,0.1109,0.8891,1.5400,R_coh << R_outer
UGC06628,41.8,10.47,0.29,0.0281,0.9719,1.6834,R_coh << R_outer
UGC06667,83.8,8.59,1.18,0.1377,0.8623,1.4936,R_coh << R_outer
UGC06786,219.4,20.31,8.11,0.3991,0.6009,1.0408,R_coh << R_outer
UGC06787,248.1,26.44,10.36,0.3920,0.6080,1.0531,R_coh << R_outer
UGC06818,71.2,6.96,0.85,0.1226,0.8774,1.5196,R_coh << R_outer
UGC06917,108.7,12.67,1.99,0.1570,0.8430,1.4601,R_coh << R_outer
UGC06923,79.6,6.75,1.07,0.1581,0.8419,1.4583,R_coh << R_outer
UGC06930,107.2,16.76,1.94,0.1155,0.8845,1.5321,R_coh << R_outer
UGC06973,174.2,11.57,5.11,0.4416,0.5584,0.9671,R_coh << R_outer
UGC06983,109.0,16.07,2.00,0.1245,0.8755,1.5164,R_coh << R_outer
UGC07089,77.6,9.29,1.01,0.1091,0.8909,1.5430,R_coh << R_outer
UGC07125,65.2,23.04,0.72,0.0311,0.9689,1.6782,R_coh << R_outer
UGC07151,73.5,6.39,0.91,0.1424,0.8576,1.4855,R_coh << R_outer
UGC07261,74.7,10.10,0.94,0.0930,0.9070,1.5709,R_coh << R_outer
UGC07323,82.8,7.14,1.15,0.1617,0.8383,1.4520,R_coh << R_outer
UGC07399,103.0,7.85,1.79,0.2276,0.7724,1.3379,R_coh << R_outer
UGC07524,79.5,12.11,1.06,0.0879,0.9121,1.5798,R_coh << R_outer
UGC07559,31.1,3.76,0.16,0.0433,0.9567,1.6570,R_coh << R_outer
UGC07577,15.9,2.07,0.04,0.0206,0.9794,1.6964,R_coh << R_outer
UGC07603,61.6,4.37,0.64,0.1462,0.8538,1.4788,R_coh << R_outer
UGC07608,66.0,6.73,0.73,0.1090,0.8910,1.5433,R_coh << R_outer
UGC07690,57.4,5.50,0.55,0.1009,0.8991,1.5573,R_coh << R_outer
UGC07866,30.6,3.30,0.16,0.0478,0.9522,1.6493,R_coh << R_outer
UGC08286,82.4,8.07,1.14,0.1417,0.8583,1.4867,R_coh << R_outer
UGC08490,78.6,7.80,1.04,0.1334,0.8666,1.5010,R_coh << R_outer
UGC08550,56.9,5.59,0.55,0.0975,0.9025,1.5631,R_coh << R_outer
UGC08699,182.4,19.05,5.60,0.2941,0.7059,1.2227,R_coh << R_outer
UGC08837,46.6,4.75,0.37,0.0770,0.9230,1.5987,R_coh << R_outer
UGC09037,152.3,39.72,3.91,0.0983,0.9017,1.5617,R_coh << R_outer
UGC09133,226.8,60.35,8.66,0.1435,0.8565,1.4835,R_coh << R_outer
UGC09992,33.6,5.45,0.19,0.0349,0.9651,1.6716,R_coh << R_outer
UGC10310,71.4,9.58,0.86,0.0896,0.9104,1.5768,R_coh << R_outer
UGC11455,269.4,43.44,12.22,0.2813,0.7187,1.2448,R_coh << R_outer
UGC11557,81.6,16.66,1.12,0.0673,0.9327,1.6155,R_coh << R_outer
UGC11820,81.25,12.99,1.11,0.0856,0.9144,1.5838,R_coh << R_outer
UGC11914,288.1,9.26,13.98,1.5093,0.1000,0.1732,R_coh > R_outer
UGC12506,234.0,59.01,9.22,0.1562,0.8438,1.4614,R_coh << R_outer
UGC12632,71.7,12.60,0.87,0.0687,0.9313,1.6131,R_coh << R_outer
UGC12732,93.15,17.41,1.46,0.0839,0.9161,1.5867,R_coh << R_outer
UGCA281,28.8,1.83,0.14,0.0763,0.9237,1.5999,R_coh << R_outer
UGCA442,56.4,4.37,0.54,0.1226,0.8774,1.5198,R_coh << R_outer
UGCA444,37.0,2.08,0.23,0.1108,0.8892,1.5401,R_coh << R_outer
